Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707710615492, 2634823, 6128, -224, 7632
1707710615502, 2634833, 6080, -384, 7280
1707710615512, 2634843, 6064, -704, 7280
1707710615522, 2634853, 6032, -1184, 7024
1707710615532, 2634863, 6016, -1456, 6624
1707710615542, 2634873, 5984, -1456, 6160
1707710615552, 2634883, 5936, -1520, 5504
1707710615562, 2634893, 5808, -1488, 5104
1707710615572, 2634903, 5152, -1312, 4512
1707710615582, 2634913, 5040, -2176, 3904
1707710615592, 2634923, 5568, -2080, 3376
1707710615602, 2634933, 6000, -2432, 2112
1707710615612, 2634943, 5920, -2672, 1536
1707710615622, 2634953, 6352, -2528, 1072
1707710615632, 2634963, 6400, -2688, 704
1707710615642, 2634973, 6240, -2624, 1024
1707710615652, 2634983, 6224, -2272, 1632
1707710615662, 2634993, 6144, -1728, 2048
1707710615672, 2635003, 6256, -928, 2144
1707710615682, 2635013, 6176, -192, 2112
1707710615692, 2635023, 6032, 416, 2000
1707710615702, 2635033, 6000, 800, 1696
1707710615712, 2635043, 6048, 1008, 1360
1707710615722, 2635053, 6240, 656, 1008
1707710615732, 2635063, 6240, 112, 880
1707710615742, 2635073, 6368, -160, 752
1707710615752, 2635083, 6560, -672, 768
1707710615762, 2635093, 6704, -1040, 768
1707710615772, 2635103, 6848, -1136, 944
1707710615782, 2635113, 6960, -864, 1280
1707710615792, 2635123, 7104, -560, 1440
1707710615802, 2635133, 7312, -320, 1440
1707710615812, 2635143, 7440, -48, 1344
1707710615822, 2635153, 7536, 400, 1040
1707710615832, 2635163, 7648, 992, 720
1707710615842, 2635173, 7744, 1328, 864
1707710615852, 2635183, 7808, 1344, 1120
1707710615862, 2635193, 7936, 848, 1296
1707710615872, 2635203, 7744, 480, 1280
1707710615882, 2635213, 7392, 704, 1504
1707710615892, 2635223, 7488, -544, 64
1707710615902, 2635233, 7264, -880, -1008
1707710615912, 2635243, 7056, -1840, -1696
1707710615922, 2635253, 7088, -2560, -2528
1707710615932, 2635263, 7152, -3008, -3200
1707710615942, 2635273, 6976, -2752, -3696
1707710615952, 2635283, 6368, -2080, -3808
1707710615962, 2635293, 5936, -1424, -4160
1707710615972, 2635303, 5600, -1200, -4480
1707710615982, 2635313, 5312, -1232, -4752
1707710615992, 2635323, 5088, -1184, -5056
1707710616002, 2635333, 5024, -1248, -5520
1707710616012, 2635343, 4896, -1488, -6160
1707710616022, 2635353, 4608, -1728, -6320
1707710616032, 2635363, 4352, -2048, -6576
1707710616042, 2635373, 3968, -2112, -6576
1707710616052, 2635383, 3296, -2112, -6752
1707710616062, 2635393, 2496, -1888, -7168
1707710616072, 2635403, 1600, -1904, -7392
1707710616082, 2635413, 976, -1856, -7456
1707710616092, 2635423, 160, -1504, -7520
1707710616102, 2635433, -656, -816, -7152
1707710616112, 2635443, -1680, 32, -6368
1707710616122, 2635453, -2496, 944, -5312
1707710616132, 2635463, -3776, 2128, -4000
1707710616142, 2635473, -4864, 2864, -2576
1707710616152, 2635483, -5152, 2208, -816
1707710616162, 2635493, -5200, 2144, 720
1707710616172, 2635503, -5072, 1872, 1920
1707710616182, 2635513, -4880, 1328, 2864
1707710616192, 2635523, -4576, 704, 3648
1707710616202, 2635533, -4336, -144, 4560
1707710616212, 2635543, -4176, -1152, 5888
1707710616222, 2635553, -4032, -1856, 7280
1707710616232, 2635563, -3744, -2368, 8864
1707710616242, 2635573, -3648, -3216, 10960
1707710616252, 2635583, -3680, -3488, 12384
1707710616262, 2635593, -3232, -3408, 13440
1707710616272, 2635603, -2992, -3392, 14320
1707710616282, 2635613, -3008, -3296, 15120
1707710616292, 2635623, -2960, -3680, 16016
1707710616302, 2635633, -2960, -4768, 16736
1707710616312, 2635643, -2992, -5920, 17040
1707710616322, 2635653, -2864, -6976, 16480
1707710616332, 2635663, -2976, -7456, 15680
1707710616342, 2635673, -2912, -7728, 14944
1707710616352, 2635683, -3536, -7520, 14624
1707710616362, 2635693, -4160, -6608, 14864
1707710616372, 2635703, -4768, -5760, 15504
1707710616382, 2635713, -5376, -5232, 16160
1707710616392, 2635723, -5840, -4736, 17072
1707710616402, 2635733, -5920, -4528, 17744
1707710616412, 2635743, -5872, -4368, 17072
1707710616422, 2635753, -5936, -3936, 15440
1707710616432, 2635763, -6224, -3744, 14048
1707710616442, 2635773, -6560, -3632, 12944
1707710616452, 2635783, -7248, -4000, 12944
1707710616462, 2635793, -7600, -4128, 13424
1707710616472, 2635803, -8080, -4416, 13952
1707710616482, 2635813, -8256, -4176, 14048
1707710616492, 2635823, -8368, -3392, 13760
1707710616502, 2635833, -8528, -2592, 13648
1707710616512, 2635843, -9040, -1856, 13584
1707710616522, 2635853, -9440, -1312, 13856
1707710616532, 2635863, -9424, -992, 14688
1707710616542, 2635873, -9376, -496, 15504
1707710616552, 2635883, -9104, -416, 16208
1707710616562, 2635893, -8704, -416, 16128
1707710616572, 2635903, -8144, -240, 15344
1707710616582, 2635913, -7584, -224, 14352
1707710616592, 2635923, -7072, -1280, 13136
1707710616602, 2635933, -6624, -2336, 12096
1707710616612, 2635943, -6528, -3552, 11456
1707710616622, 2635953, -6464, -4272, 10464
1707710616632, 2635963, -6560, -4240, 9120
1707710616642, 2635973, -6576, -3456, 7984
1707710616652, 2635983, -6592, -2080, 6672
1707710616662, 2635993, -6384, -1024, 5984
1707710616672, 2636003, -6576, -1072, 6464
1707710616682, 2636013, -6576, -1760, 7072
1707710616692, 2636023, -7024, -2224, 7600
1707710616702, 2636033, -7136, -2608, 8128
1707710616712, 2636043, -7296, -3088, 8688
1707710616722, 2636053, -7536, -2720, 8496
1707710616732, 2636063, -7744, -1696, 7984
1707710616742, 2636073, -7344, -624, 7232
1707710616752, 2636083, -6816, -368, 6448
1707710616762, 2636093, -6320, -32, 5552
1707710616772, 2636103, -6016, 272, 5248
1707710616782, 2636113, -5392, 560, 5280
1707710616792, 2636123, -5088, 672, 5680
1707710616802, 2636133, -5312, 576, 6144
1707710616812, 2636143, -5248, 576, 5936
1707710616822, 2636153, -4704, 208, 5552
1707710616832, 2636163, -4448, -368, 5808
1707710616842, 2636173, -4304, -768, 6240
1707710616852, 2636183, -4224, -688, 6464
1707710616862, 2636193, -4208, -336, 6544
1707710616872, 2636203, -4208, 144, 6224
1707710616882, 2636213, -3952, 432, 5760
1707710616892, 2636223, -3712, 304, 5056
1707710616902, 2636233, -3568, 176, 4576
1707710616912, 2636243, -3568, 288, 4096
1707710616922, 2636253, -3456, 48, 3728
1707710616932, 2636263, -3312, -240, 3168
1707710616942, 2636273, -3232, -608, 2544
1707710616952, 2636283, -3184, -864, 2128
1707710616962, 2636293, -3312, -1264, 1920
1707710616972, 2636303, -3744, -1792, 2016
1707710616982, 2636313, -4192, -1936, 2608
1707710616992, 2636323, -4736, -1920, 3152
1707710617002, 2636333, -5872, -2320, 3264
1707710617012, 2636343, -6400, -1968, 2688
1707710617022, 2636353, -6720, -1536, 1728
1707710617032, 2636363, -7152, -1264, 1296
1707710617042, 2636373, -7632, -1312, 1584
1707710617052, 2636383, -8032, -1280, 2416
1707710617062, 2636393, -8464, -1168, 3168
1707710617072, 2636403, -8864, -1232, 3696
1707710617082, 2636413, -9296, -1216, 3760
1707710617092, 2636423, -9808, -1664, 3648
