Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707713135441, 5154783, -2688, -5280, 5520
1707713135451, 5154793, -2624, -5264, 5440
1707713135461, 5154803, -2624, -5168, 5312
1707713135471, 5154813, -2512, -5088, 5248
1707713135481, 5154823, -2528, -5088, 5200
1707713135491, 5154833, -2432, -5088, 5184
1707713135501, 5154843, -2480, -5024, 5152
1707713135511, 5154853, -2400, -4928, 5072
1707713135521, 5154863, -2352, -4896, 5104
1707713135531, 5154873, -2368, -4800, 5136
1707713135541, 5154883, -2416, -4688, 5216
1707713135551, 5154893, -2368, -4704, 5296
1707713135561, 5154903, -2400, -4656, 5344
1707713135571, 5154913, -2336, -4544, 5360
1707713135581, 5154923, -2352, -4560, 5376
1707713135591, 5154933, -2272, -4464, 5456
1707713135601, 5154943, -2240, -4432, 5552
1707713135611, 5154953, -2208, -4416, 5680
1707713135621, 5154963, -2192, -4352, 5680
1707713135631, 5154973, -2160, -4320, 5824
1707713135641, 5154983, -2176, -4336, 5808
1707713135651, 5154993, -2128, -4320, 5776
1707713135661, 5155003, -2032, -4240, 5696
1707713135671, 5155013, -2400, -4080, 6064
1707713135681, 5155023, -2128, -4304, 6064
1707713135691, 5155033, -2208, -4144, 5984
1707713135701, 5155043, -2272, -4176, 5920
1707713135711, 5155053, -2336, -4080, 5872
1707713135721, 5155063, -2384, -3936, 5888
1707713135731, 5155073, -2544, -3808, 5888
1707713135741, 5155083, -2528, -3616, 5840
1707713135751, 5155093, -2448, -3552, 5760
1707713135761, 5155103, -2496, -3472, 5808
1707713135771, 5155113, -2496, -3408, 5856
1707713135781, 5155123, -2432, -3376, 5840
1707713135791, 5155133, -2384, -3408, 5856
1707713135801, 5155143, -2368, -3488, 5904
1707713135811, 5155153, -2256, -3520, 6032
1707713135821, 5155163, -2240, -3664, 6112
1707713135831, 5155173, -2272, -3792, 6208
1707713135841, 5155183, -2336, -3776, 6176
1707713135851, 5155193, -2224, -3744, 6128
1707713135861, 5155203, -2224, -3744, 6192
1707713135871, 5155213, -2288, -3680, 6256
1707713135881, 5155223, -2240, -3664, 6320
1707713135891, 5155233, -2192, -3680, 6368
1707713135901, 5155243, -2176, -3664, 6544
1707713135911, 5155253, -2240, -3744, 6624
1707713135921, 5155263, -2160, -3808, 6624
1707713135931, 5155273, -2160, -3728, 6656
1707713135941, 5155283, -2208, -3648, 6720
1707713135951, 5155293, -2240, -3632, 6784
1707713135961, 5155303, -2176, -3536, 6768
1707713135971, 5155313, -2272, -3520, 6768
1707713135981, 5155323, -2272, -3488, 6784
1707713135991, 5155333, -2208, -3536, 6704
1707713136001, 5155343, -2272, -3520, 6640
1707713136011, 5155353, -2272, -3520, 6544
1707713136021, 5155363, -2368, -3504, 6416
1707713136031, 5155373, -2432, -3536, 6256
1707713136041, 5155383, -2528, -3600, 6144
1707713136051, 5155393, -2672, -3632, 6128
1707713136061, 5155403, -2768, -3648, 5984
1707713136071, 5155413, -2896, -3696, 6032
1707713136081, 5155423, -2880, -3696, 6064
1707713136091, 5155433, -2864, -3616, 6128
1707713136101, 5155443, -2848, -3536, 6144
1707713136111, 5155453, -2896, -3456, 6160
1707713136121, 5155463, -2944, -3280, 6192
1707713136131, 5155473, -2912, -3232, 6080
1707713136141, 5155483, -3024, -3088, 6208
1707713136151, 5155493, -3136, -3072, 6272
1707713136161, 5155503, -3168, -3168, 6288
1707713136171, 5155513, -3184, -3360, 6224
1707713136181, 5155523, -3232, -3504, 6256
1707713136191, 5155533, -3264, -3520, 5952
1707713136201, 5155543, -3344, -3504, 5952
1707713136211, 5155553, -3344, -3376, 5840
1707713136221, 5155563, -3472, -3344, 5760
1707713136231, 5155573, -3424, -3280, 5856
1707713136241, 5155583, -3504, -3184, 5824
1707713136251, 5155593, -3488, -3184, 5760
1707713136261, 5155603, -3392, -3216, 5616
1707713136271, 5155613, -3408, -3312, 5600
1707713136281, 5155623, -3360, -3296, 5504
1707713136291, 5155633, -3248, -3440, 5520
1707713136301, 5155643, -3280, -3584, 5584
1707713136311, 5155653, -3232, -3664, 5760
1707713136321, 5155663, -3168, -3744, 5920
1707713136331, 5155673, -3008, -3888, 5904
1707713136341, 5155683, -3008, -3840, 5872
1707713136351, 5155693, -2928, -3824, 5952
1707713136361, 5155703, -2896, -3840, 5952
1707713136371, 5155713, -2912, -4000, 5984
1707713136381, 5155723, -2880, -4000, 6128
1707713136391, 5155733, -2832, -4064, 6304
1707713136401, 5155743, -2928, -4128, 6480
1707713136411, 5155753, -2880, -4128, 6656
1707713136421, 5155763, -2896, -4176, 6704
1707713136431, 5155773, -2864, -4176, 6704
1707713136441, 5155783, -2832, -4160, 6656
1707713136451, 5155793, -2928, -4128, 6672
