Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707712380625, 4399963, -4640, -6880, 560
1707712380635, 4399973, -4784, -6448, 544
1707712380645, 4399983, -4976, -5856, 832
1707712380655, 4399993, -5312, -5472, 1088
1707712380665, 4400003, -5680, -5376, 1792
1707712380675, 4400013, -5840, -5360, 2448
1707712380685, 4400023, -5824, -5344, 3072
1707712380695, 4400033, -5808, -5520, 3664
1707712380705, 4400043, -5872, -5664, 4400
1707712380715, 4400053, -5856, -5712, 4944
1707712380725, 4400063, -5968, -5904, 5632
1707712380735, 4400073, -6000, -5904, 6144
1707712380745, 4400083, -5824, -5680, 6544
1707712380755, 4400093, -5616, -5744, 6784
1707712380765, 4400103, -5680, -5840, 7040
1707712380775, 4400113, -5744, -5952, 7088
1707712380785, 4400123, -5776, -5968, 7104
1707712380795, 4400133, -5856, -6224, 7184
1707712380805, 4400143, -6016, -6096, 7008
1707712380815, 4400153, -5856, -5872, 6864
1707712380825, 4400163, -5808, -5792, 6736
1707712380835, 4400173, -5920, -5920, 6720
1707712380845, 4400183, -5936, -5792, 6400
1707712380855, 4400193, -6064, -5440, 5920
1707712380865, 4400203, -6016, -5248, 5536
1707712380875, 4400213, -6080, -5184, 5472
1707712380885, 4400223, -6128, -5280, 5504
1707712380895, 4400233, -6144, -5488, 5760
1707712380905, 4400243, -6176, -5952, 6144
1707712380915, 4400253, -6368, -6160, 6576
1707712380925, 4400263, -6560, -6224, 6960
1707712380935, 4400273, -6736, -5904, 7248
1707712380945, 4400283, -6944, -5712, 7552
1707712380955, 4400293, -7152, -5744, 7568
1707712380965, 4400303, -7600, -5808, 7472
1707712380975, 4400313, -8000, -5632, 6976
1707712380985, 4400323, -8240, -5376, 6304
1707712380995, 4400333, -8320, -5184, 5536
1707712381005, 4400343, -8416, -5056, 4880
1707712381015, 4400353, -8464, -4864, 4320
1707712381025, 4400363, -8384, -4736, 4096
1707712381035, 4400373, -8272, -4816, 4016
1707712381045, 4400383, -8256, -4880, 3936
1707712381055, 4400393, -8224, -5008, 3712
1707712381065, 4400403, -8176, -5040, 3616
1707712381075, 4400413, -8096, -4960, 3744
1707712381085, 4400423, -7920, -4896, 3888
1707712381095, 4400433, -7936, -4832, 4064
1707712381105, 4400443, -7984, -4784, 4144
1707712381115, 4400453, -7888, -4560, 4256
1707712381125, 4400463, -7840, -4720, 4224
1707712381135, 4400473, -7808, -4880, 4224
1707712381145, 4400483, -7776, -4880, 4176
1707712381155, 4400493, -7616, -4992, 4016
1707712381165, 4400503, -7408, -5088, 3792
1707712381175, 4400513, -7328, -5008, 3712
1707712381185, 4400523, -7264, -4832, 3696
1707712381195, 4400533, -7136, -4768, 3584
1707712381205, 4400543, -6976, -4608, 3392
1707712381215, 4400553, -6912, -4624, 3152
1707712381225, 4400563, -6656, -4800, 2848
1707712381235, 4400573, -6544, -4960, 2656
1707712381245, 4400583, -6416, -5072, 2448
1707712381255, 4400593, -6224, -5152, 2160
1707712381265, 4400603, -6016, -5280, 2064
1707712381275, 4400613, -5952, -5344, 2112
1707712381285, 4400623, -5792, -5392, 2064
1707712381295, 4400633, -5504, -5440, 2048
1707712381305, 4400643, -5488, -5200, 2032
1707712381315, 4400653, -5552, -5056, 2096
1707712381325, 4400663, -5632, -5072, 2112
1707712381335, 4400673, -5728, -5040, 2080
1707712381345, 4400683, -5744, -4944, 2240
1707712381355, 4400693, -5808, -4944, 2416
1707712381365, 4400703, -5792, -4912, 2672
1707712381375, 4400713, -5744, -4944, 2784
1707712381385, 4400723, -5952, -5008, 2800
1707712381395, 4400733, -5888, -5024, 2640
1707712381405, 4400743, -5632, -5168, 2528
1707712381415, 4400753, -5552, -5456, 2400
1707712381425, 4400763, -5504, -5856, 2144
1707712381435, 4400773, -5520, -6208, 1664
1707712381445, 4400783, -5376, -6576, 1040
1707712381455, 4400793, -5280, -6688, 528
1707712381463, 4400803, -5168, -6768, 0
1707712381473, 4400813, -5120, -6608, 16
1707712381485, 4400823, -5200, -6320, 288
1707712381495, 4400833, -5344, -5904, 1216
1707712381505, 4400843, -5520, -5648, 1856
1707712381515, 4400853, -5600, -5584, 2368
1707712381525, 4400863, -5600, -5760, 2112
1707712381535, 4400873, -5856, -6032, 1280
1707712381545, 4400883, -5840, -6176, 656
1707712381555, 4400893, -5824, -6176, -192
1707712381565, 4400903, -5792, -6080, -624
1707712381575, 4400913, -5696, -5952, -672
1707712381585, 4400923, -5712, -5760, -288
1707712381595, 4400933, -5728, -5744, 112
1707712381605, 4400943, -5824, -5824, 224
1707712381615, 4400953, -5936, -5984, 144
1707712381623, 4400963, -5952, -6032, 80
1707712381635, 4400973, -5904, -6304, -272
1707712381645, 4400983, -5760, -6544, -864
1707712381655, 4400993, -5808, -6512, -1216
1707712381665, 4401003, -5696, -7040, -1456
1707712381675, 4401013, -5712, -7152, -1552
1707712381685, 4401023, -5824, -7056, -1312
1707712381695, 4401033, -5888, -6800, -832
1707712381705, 4401043, -6128, -6720, -256
1707712381715, 4401053, -6128, -6496, 208
1707712381725, 4401063, -6304, -6384, 544
1707712381735, 4401073, -6400, -6384, 800
1707712381745, 4401083, -6528, -6496, 800
1707712381755, 4401093, -6656, -6656, 784
1707712381765, 4401103, -6752, -6768, 592
1707712381775, 4401113, -6800, -6992, 512
1707712381785, 4401123, -6864, -7168, 288
1707712381795, 4401133, -6880, -7280, -16
1707712381805, 4401143, -6880, -7520, -192
1707712381815, 4401153, -6848, -8000, -272
1707712381825, 4401163, -6848, -8352, -320
1707712381835, 4401173, -6688, -8752, -288
1707712381845, 4401183, -6576, -9248, -208
1707712381853, 4401193, -6608, -9696, 16
1707712381865, 4401203, -6560, -9968, 256
1707712381875, 4401213, -6576, -9904, 448
1707712381885, 4401223, -6752, -9760, 496
1707712381895, 4401233, -6960, -9872, 544
1707712381905, 4401243, -7024, -9952, 432
1707712381915, 4401253, -7104, -10016, 368
1707712381925, 4401263, -7104, -9904, 192
1707712381935, 4401273, -7104, -9664, -80
1707712381945, 4401283, -7008, -9632, -464
1707712381955, 4401293, -7008, -9584, -976
1707712381965, 4401303, -6928, -9632, -1696
1707712381975, 4401313, -6736, -9584, -2608
1707712381985, 4401323, -6384, -9008, -3616
1707712381995, 4401333, -5584, -9040, -5536
1707712382005, 4401343, -5088, -9120, -7280
1707712382015, 4401353, -4048, -8544, -9520
1707712382025, 4401363, -3520, -8528, -10432
1707712382035, 4401373, -2800, -8368, -11824
