Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707712743302, 4762643, -4352, -6240, 6624
1707712743312, 4762653, -4144, -6672, 6496
1707712743322, 4762663, -3952, -7008, 6352
1707712743332, 4762673, -3616, -7456, 6192
1707712743342, 4762683, -3520, -7840, 6048
1707712743352, 4762693, -3344, -8016, 6112
1707712743362, 4762703, -3168, -8096, 5936
1707712743372, 4762713, -3184, -8176, 5840
1707712743382, 4762723, -3200, -8448, 5936
1707712743392, 4762733, -3184, -8992, 6192
1707712743402, 4762743, -3376, -9616, 6496
1707712743412, 4762753, -3344, -10208, 6688
1707712743422, 4762763, -3328, -10688, 6800
1707712743432, 4762773, -3104, -10912, 6720
1707712743442, 4762783, -3152, -10576, 6512
1707712743452, 4762793, -3344, -10352, 6528
1707712743462, 4762803, -3104, -10448, 6560
1707712743472, 4762813, -3104, -10688, 6672
1707712743482, 4762823, -2960, -10640, 6688
1707712743492, 4762833, -3120, -10080, 6480
1707712743502, 4762843, -3120, -9920, 6320
1707712743512, 4762853, -2896, -10368, 6560
1707712743522, 4762863, -2752, -10208, 6720
1707712743532, 4762873, -2480, -9552, 6544
1707712743542, 4762883, -1968, -9712, 6784
1707712743552, 4762893, -2000, -10048, 7024
1707712743562, 4762903, -1760, -9760, 7024
1707712743572, 4762913, -1728, -9088, 6800
1707712743582, 4762923, -1456, -8352, 6576
1707712743592, 4762933, -832, -7200, 6032
1707712743602, 4762943, -496, -6912, 5968
1707712743612, 4762953, -576, -7328, 6480
1707712743622, 4762963, -400, -7680, 7264
1707712743632, 4762973, -528, -7488, 7760
1707712743642, 4762983, -272, -6080, 7392
1707712743652, 4762993, -80, -4976, 6800
1707712743662, 4763003, 144, -4448, 6256
1707712743672, 4763013, 304, -4304, 6400
1707712743682, 4763023, 224, -3328, 5840
1707712743692, 4763033, 144, -3040, 5328
1707712743702, 4763043, -304, -1984, 4512
1707712743712, 4763053, 464, -816, 3520
1707712743722, 4763063, 544, -192, 2960
1707712743732, 4763073, 112, 496, 1984
1707712743742, 4763083, 752, 96, 1440
1707712743752, 4763093, 1136, 736, 368
1707712743762, 4763103, 1488, -32, 96
1707712743772, 4763113, 1696, -880, 464
1707712743782, 4763123, 2640, 640, -480
1707712743792, 4763133, 2784, -96, -496
1707712743802, 4763143, 3088, -912, -432
1707712743812, 4763153, 3504, -2928, -288
1707712743822, 4763163, 4528, -752, -1904
1707712743832, 4763173, 3408, -2624, -1616
1707712743842, 4763183, 4608, -912, -2528
1707712743852, 4763193, 4864, -288, -1968
1707712743862, 4763203, 5072, -400, -1520
1707712743872, 4763213, 5536, -640, -112
1707712743882, 4763223, 5840, -432, 1184
1707712743892, 4763233, 6064, -256, 2352
1707712743902, 4763243, 6240, -128, 3008
1707712743912, 4763253, 6336, 336, 3024
1707712743922, 4763263, 6496, 816, 2880
1707712743932, 4763273, 6560, 704, 2848
1707712743942, 4763283, 6656, -64, 2624
1707712743952, 4763293, 7120, -960, 2272
1707712743962, 4763303, 7856, -2160, 1648
1707712743972, 4763313, 8256, -3360, 1136
1707712743982, 4763323, 8400, -3584, 512
1707712743992, 4763333, 8416, -4064, 576
1707712744002, 4763343, 8400, -4240, 544
1707712744012, 4763353, 8672, -5216, 864
1707712744022, 4763363, 9200, -7616, 1216
1707712744032, 4763373, 9392, -6592, 1024
1707712744042, 4763383, 9840, -6384, 592
1707712744052, 4763393, 9616, -5888, 288
1707712744062, 4763403, 9360, -5344, 464
1707712744072, 4763413, 8992, -4528, 976
1707712744082, 4763423, 8720, -3856, 928
1707712744092, 4763433, 7984, -3552, 1712
1707712744102, 4763443, 8320, -2496, 1104
1707712744112, 4763453, 8448, -2784, 832
1707712744122, 4763463, 9568, -2992, 176
1707712744132, 4763473, 10160, -3808, 672
1707712744142, 4763483, 10576, -4864, 1680
1707712744152, 4763493, 10992, -5216, 2960
1707712744162, 4763503, 10992, -5184, 3968
1707712744172, 4763513, 10624, -4976, 4448
1707712744182, 4763523, 10496, -3728, 3840
