Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707712474673, 4494013, -3424, -6944, 3536
1707712474684, 4494023, -3488, -6864, 3248
1707712474694, 4494033, -3360, -6864, 3296
1707712474704, 4494043, -3392, -6784, 3456
1707712474713, 4494053, -3456, -6768, 3648
1707712474723, 4494063, -3520, -6816, 3696
1707712474734, 4494073, -3568, -6816, 3744
1707712474744, 4494083, -3568, -6880, 3600
1707712474754, 4494093, -3552, -7072, 3280
1707712474764, 4494103, -3600, -7184, 2864
1707712474774, 4494113, -3344, -7280, 2704
1707712474784, 4494123, -3184, -7184, 2480
1707712474794, 4494133, -2848, -6960, 2368
1707712474804, 4494143, -2704, -6832, 2288
1707712474813, 4494153, -2720, -6560, 2208
1707712474824, 4494163, -2704, -6368, 2256
1707712474834, 4494173, -2640, -6304, 2416
1707712474844, 4494183, -2608, -6368, 2656
1707712474853, 4494193, -2752, -6448, 2928
1707712474864, 4494203, -2752, -6368, 3040
1707712474873, 4494213, -2752, -6464, 3184
1707712474884, 4494223, -2576, -6416, 3168
1707712474894, 4494233, -2400, -6352, 3072
1707712474904, 4494243, -2432, -6528, 2928
1707712474913, 4494253, -2352, -6688, 2928
1707712474924, 4494263, -2144, -6624, 2832
1707712474934, 4494273, -2016, -6512, 2960
1707712474944, 4494283, -1760, -6752, 2944
1707712474953, 4494293, -1792, -6832, 3072
1707712474964, 4494303, -2016, -6640, 3008
1707712474973, 4494313, -1952, -6544, 3120
1707712474984, 4494323, -1936, -6160, 3408
1707712474994, 4494333, -1952, -6112, 3728
1707712475003, 4494343, -1984, -6192, 3744
1707712475013, 4494353, -1984, -6528, 3696
1707712475023, 4494363, -1920, -6704, 3696
1707712475033, 4494373, -1776, -6848, 3504
1707712475044, 4494383, -1584, -6960, 3456
1707712475054, 4494393, -1600, -6752, 3472
1707712475064, 4494403, -1392, -6816, 3456
1707712475073, 4494413, -1648, -6736, 3760
1707712475084, 4494423, -1568, -6672, 3984
1707712475094, 4494433, -1712, -6480, 4352
1707712475104, 4494443, -1760, -6464, 4560
1707712475113, 4494453, -1792, -6400, 4672
1707712475124, 4494463, -1840, -6240, 4704
1707712475133, 4494473, -1664, -6064, 4720
1707712475144, 4494483, -1568, -5808, 4656
1707712475153, 4494493, -1424, -5856, 4528
1707712475164, 4494503, -1184, -6160, 4416
1707712475173, 4494513, -1024, -6432, 4304
1707712475184, 4494523, -848, -6304, 4320
1707712475194, 4494533, -848, -6176, 4288
1707712475203, 4494543, -896, -6368, 4304
1707712475214, 4494553, -880, -6496, 4320
1707712475223, 4494563, -768, -6672, 4176
1707712475233, 4494573, -704, -6928, 3968
1707712475244, 4494583, -368, -7296, 3504
1707712475253, 4494593, 80, -7456, 2784
1707712475264, 4494603, 400, -7728, 1872
1707712475273, 4494613, 608, -7728, 1136
1707712475284, 4494623, 528, -8000, 816
1707712475294, 4494633, 384, -8064, 768
1707712475304, 4494643, -16, -8032, 976
1707712475314, 4494653, -336, -7616, 1328
1707712475324, 4494663, -640, -7392, 1728
1707712475334, 4494673, -928, -7056, 2016
1707712475343, 4494683, -1328, -6672, 2224
1707712475354, 4494693, -1824, -6128, 2672
1707712475364, 4494703, -2176, -5584, 2896
1707712475373, 4494713, -2320, -5264, 2800
1707712475384, 4494723, -2288, -5456, 2752
1707712475394, 4494733, -2416, -5904, 2832
1707712475403, 4494743, -2544, -6448, 2944
1707712475414, 4494753, -2544, -6944, 2768
1707712475424, 4494763, -2576, -7200, 2512
1707712475433, 4494773, -2896, -7152, 2352
1707712475444, 4494783, -3280, -6736, 2368
1707712475454, 4494793, -3760, -6400, 2832
1707712475464, 4494803, -4048, -5840, 3440
1707712475473, 4494813, -4000, -5264, 3888
1707712475484, 4494823, -4448, -5632, 4624
1707712475493, 4494833, -4544, -5680, 5456
1707712475504, 4494843, -4448, -5936, 6208
1707712475513, 4494853, -4304, -6176, 6672
1707712475524, 4494863, -4256, -6048, 6944
1707712475534, 4494873, -4048, -6208, 7104
1707712475544, 4494883, -3872, -6624, 7024
1707712475553, 4494893, -3504, -7056, 6784
1707712475564, 4494903, -3168, -7568, 6352
1707712475573, 4494913, -2672, -8032, 5824
1707712475584, 4494923, -2352, -8224, 5552
1707712475594, 4494933, -2128, -8384, 5488
1707712475604, 4494943, -1808, -8480, 5280
1707712475614, 4494953, -1744, -8464, 5088
1707712475624, 4494963, -1904, -8416, 5104
1707712475634, 4494973, -2128, -8480, 5312
1707712475644, 4494983, -2320, -8496, 5520
1707712475653, 4494993, -2464, -8576, 5744
1707712475664, 4495003, -2464, -8384, 5920
1707712475673, 4495013, -2288, -8608, 6032
1707712475684, 4495023, -2208, -9216, 6016
1707712475694, 4495033, -2144, -9856, 5808
1707712475704, 4495043, -2000, -10000, 5520
1707712475714, 4495053, -2272, -10048, 5328
1707712475724, 4495063, -2320, -9792, 5344
1707712475734, 4495073, -2672, -9936, 5280
1707712475744, 4495083, -2816, -10016, 5056
1707712475753, 4495093, -2816, -9904, 4656
1707712475764, 4495103, -3104, -9984, 4224
1707712475774, 4495113, -3056, -9984, 3696
1707712475784, 4495123, -2960, -9984, 3312
1707712475794, 4495133, -3008, -10112, 2976
1707712475804, 4495143, -2992, -9904, 2560
1707712475814, 4495153, -3280, -9984, 2384
1707712475824, 4495163, -3328, -10096, 2208
1707712475834, 4495173, -3376, -10272, 2080
1707712475844, 4495183, -3680, -10512, 1808
1707712475854, 4495193, -3744, -10544, 1664
1707712475864, 4495203, -3792, -10544, 1488
1707712475874, 4495213, -3888, -10512, 1280
1707712475884, 4495223, -3760, -10224, 1360
1707712475894, 4495233, -3760, -10176, 1360
1707712475904, 4495243, -3952, -10224, 1328
1707712475914, 4495253, -4224, -10320, 1440
1707712475924, 4495263, -4160, -10160, 1248
1707712475934, 4495273, -4160, -10208, 1072
1707712475944, 4495283, -4112, -10320, 864
1707712475954, 4495293, -4096, -10304, 704
1707712475964, 4495303, -4144, -10128, 560
1707712475974, 4495313, -4176, -9888, 464
1707712475984, 4495323, -4176, -9584, 480
1707712475994, 4495333, -4176, -9392, 480
1707712476004, 4495343, -4096, -9296, 544
1707712476014, 4495353, -3968, -9408, 592
1707712476023, 4495363, -3744, -9504, 480
1707712476033, 4495373, -3472, -9568, 384
1707712476043, 4495383, -3072, -9792, 144
1707712476053, 4495393, -2784, -10016, 0
1707712476064, 4495403, -2416, -9984, -112
1707712476074, 4495413, -2192, -9776, 64
1707712476084, 4495423, -1888, -9872, -80
1707712476094, 4495433, -1440, -9856, -224
1707712476104, 4495443, -1344, -9776, 0
1707712476114, 4495453, -1136, -9616, 464
1707712476123, 4495463, -992, -9200, 1008
1707712476134, 4495473, -1136, -8864, 1472
1707712476144, 4495483, -1152, -8704, 1808
1707712476154, 4495493, -1376, -8400, 2016
1707712476164, 4495503, -1728, -8144, 2336
