Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707713693078, 5712423, 944, -3664, 9632
1707713693088, 5712433, 1056, -3504, 9536
1707713693098, 5712443, 1232, -3264, 9088
1707713693108, 5712453, 1280, -3216, 9104
1707713693118, 5712463, 1328, -3024, 9088
1707713693128, 5712473, 1392, -3040, 9040
1707713693138, 5712483, 1648, -2960, 8800
1707713693148, 5712493, 1936, -3136, 8688
1707713693158, 5712503, 1904, -3072, 8624
1707713693168, 5712513, 1936, -2896, 8512
1707713693178, 5712523, 1840, -3200, 8752
1707713693188, 5712533, 2080, -2736, 8304
1707713693198, 5712543, 2224, -2272, 8192
1707713693208, 5712553, 2272, -2224, 8256
1707713693218, 5712563, 2176, -1872, 8288
1707713693228, 5712573, 2176, -1536, 8080
1707713693238, 5712583, 2208, -1520, 7872
1707713693248, 5712593, 2384, -1392, 7648
1707713693258, 5712603, 2560, -1232, 7472
1707713693268, 5712613, 2688, -1152, 7312
1707713693278, 5712623, 2800, -1104, 7136
1707713693288, 5712633, 2880, -1152, 7056
1707713693298, 5712643, 3120, -1008, 6784
1707713693308, 5712653, 3248, -1120, 6816
1707713693318, 5712663, 3472, -1280, 6960
1707713693328, 5712673, 3744, -1648, 6944
1707713693338, 5712683, 4032, -2032, 6816
1707713693348, 5712693, 4272, -2304, 6656
1707713693358, 5712703, 4368, -2432, 6448
1707713693368, 5712713, 4384, -2368, 6240
1707713693378, 5712723, 4400, -2096, 6128
1707713693388, 5712733, 4288, -1856, 5952
1707713693398, 5712743, 4480, -1744, 5680
1707713693408, 5712753, 4528, -1584, 5472
1707713693418, 5712763, 4656, -1680, 5520
1707713693428, 5712773, 4656, -1584, 5600
1707713693438, 5712783, 4784, -1392, 5776
1707713693448, 5712793, 4656, -960, 6208
1707713693458, 5712803, 4512, -720, 6336
1707713693468, 5712813, 4368, -544, 6240
1707713693478, 5712823, 4224, -192, 6032
1707713693488, 5712833, 4208, 80, 5744
1707713693498, 5712843, 4192, 432, 5616
1707713693508, 5712853, 4176, 832, 5632
1707713693518, 5712863, 4240, 816, 5552
1707713693528, 5712873, 4176, 720, 5744
1707713693538, 5712883, 4192, 848, 5792
1707713693548, 5712893, 4192, 1168, 5936
1707713693558, 5712903, 4176, 1440, 5984
1707713693568, 5712913, 4176, 1616, 5904
1707713693578, 5712923, 3968, 2032, 5696
1707713693588, 5712933, 3968, 2144, 5344
1707713693598, 5712943, 4080, 1392, 5168
1707713693608, 5712953, 4528, 592, 4784
1707713693618, 5712963, 4752, -400, 4432
1707713693628, 5712973, 5040, -1408, 3664
1707713693638, 5712983, 4752, -1056, 3152
1707713693648, 5712993, 4560, -96, 3424
1707713693658, 5713003, 4288, 912, 3808
1707713693668, 5713013, 4080, 1472, 4416
1707713693678, 5713023, 3888, 1424, 5072
1707713693688, 5713033, 3616, 1312, 5584
1707713693698, 5713043, 3456, 1344, 5584
1707713693708, 5713053, 3680, 1376, 5248
1707713693718, 5713063, 3664, 1488, 4640
1707713693728, 5713073, 3632, 1488, 4416
1707713693738, 5713083, 3424, 1488, 4192
1707713693748, 5713093, 3424, 1712, 3744
1707713693758, 5713103, 3600, 1584, 3344
1707713693768, 5713113, 3632, 1232, 3488
1707713693778, 5713123, 3520, 656, 3664
1707713693788, 5713133, 3136, 1184, 3776
1707713693798, 5713143, 2928, 1552, 3504
1707713693808, 5713153, 2736, 1728, 3440
1707713693818, 5713163, 2352, 2192, 3408
1707713693828, 5713173, 2512, 2128, 3248
1707713693838, 5713183, 2208, 1920, 3696
1707713693848, 5713193, 1888, 2128, 4240
1707713693858, 5713203, 1712, 2704, 4640
1707713693868, 5713213, 976, 3536, 4960
1707713693878, 5713223, 864, 4512, 4928
1707713693888, 5713233, 480, 5056, 4784
1707713693898, 5713243, 576, 5216, 4976
1707713693908, 5713253, 688, 5040, 5520
1707713693918, 5713263, 832, 4528, 6160
1707713693928, 5713273, 896, 4384, 6656
1707713693938, 5713283, 1008, 4320, 6720
1707713693948, 5713293, 1184, 4304, 6512
1707713693958, 5713303, 1376, 3952, 6320
1707713693968, 5713313, 1664, 3248, 6384
1707713693978, 5713323, 1696, 2816, 6528
1707713693988, 5713333, 1600, 2800, 6608
1707713693998, 5713343, 1424, 3344, 6592
1707713694008, 5713353, 1328, 4080, 6480
1707713694018, 5713363, 1136, 4464, 6400
1707713694028, 5713373, 1088, 4624, 6192
1707713694038, 5713383, 1024, 4656, 6016
1707713694048, 5713393, 1008, 4576, 6128
1707713694058, 5713403, 848, 4816, 6384
1707713694068, 5713413, 880, 5024, 6544
1707713694078, 5713423, 960, 4928, 6912
1707713694088, 5713433, 960, 4784, 7232
