Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707712959171, 4978513, -3952, -4944, 3600
1707712959181, 4978523, -4080, -5152, 3424
1707712959191, 4978533, -3920, -5440, 2992
1707712959201, 4978543, -3920, -5984, 2976
1707712959211, 4978553, -3920, -6480, 3008
1707712959221, 4978563, -4048, -7072, 3136
1707712959231, 4978573, -4144, -7760, 3232
1707712959241, 4978583, -4208, -8480, 3472
1707712959251, 4978593, -4192, -9024, 3776
1707712959261, 4978603, -4272, -9408, 3968
1707712959271, 4978613, -4320, -9408, 4064
1707712959281, 4978623, -4240, -9200, 4048
1707712959291, 4978633, -4288, -9136, 3984
1707712959301, 4978643, -4192, -9040, 3872
1707712959311, 4978653, -4240, -9008, 3872
1707712959321, 4978663, -4480, -9040, 3920
1707712959331, 4978673, -4400, -8816, 3344
1707712959341, 4978683, -4800, -8528, 3440
1707712959351, 4978693, -4944, -8112, 3152
1707712959361, 4978703, -5088, -7856, 2944
1707712959371, 4978713, -5408, -7680, 3088
1707712959381, 4978723, -5600, -7232, 3248
1707712959391, 4978733, -5840, -6976, 3264
1707712959401, 4978743, -5968, -6928, 2912
1707712959411, 4978753, -5968, -6672, 2592
1707712959421, 4978763, -6848, -5232, 2512
1707712959431, 4978773, -6528, -6112, 2208
1707712959441, 4978783, -6224, -6496, 2304
1707712959451, 4978793, -6416, -6752, 2864
1707712959461, 4978803, -6432, -6896, 3024
1707712959471, 4978813, -6288, -6768, 2864
1707712959481, 4978823, -6032, -6464, 2832
1707712959491, 4978833, -6384, -6448, 2832
1707712959501, 4978843, -6624, -6432, 2656
1707712959511, 4978853, -6352, -6192, 2496
1707712959521, 4978863, -6256, -6208, 2304
1707712959531, 4978873, -6352, -6176, 2016
1707712959541, 4978883, -6624, -5808, 1952
1707712959551, 4978893, -6816, -5408, 2032
1707712959561, 4978903, -6960, -4928, 2128
1707712959571, 4978913, -7200, -4560, 2096
1707712959581, 4978923, -7280, -4448, 1856
1707712959591, 4978933, -7360, -4448, 1584
1707712959601, 4978943, -7344, -4896, 1200
1707712959611, 4978953, -7168, -5296, 688
1707712959621, 4978963, -6880, -5392, 336
1707712959631, 4978973, -6928, -5536, 480
1707712959641, 4978983, -7104, -5376, 464
1707712959651, 4978993, -7280, -5168, 528
1707712959661, 4979003, -7536, -5040, 704
1707712959671, 4979013, -7712, -4912, 752
1707712959681, 4979023, -7568, -4768, 592
1707712959691, 4979033, -7456, -4608, -80
1707712959701, 4979043, -7568, -4432, -512
1707712959711, 4979053, -7760, -3984, -704
1707712959721, 4979063, -7632, -3984, -1120
1707712959731, 4979073, -7440, -3856, -1536
1707712959741, 4979083, -7328, -3952, -1952
1707712959751, 4979093, -7072, -4080, -2624
1707712959761, 4979103, -7104, -4256, -3152
1707712959771, 4979113, -7136, -4288, -3616
1707712959781, 4979123, -7248, -4416, -3792
1707712959791, 4979133, -7280, -4688, -3680
1707712959801, 4979143, -7296, -4864, -3360
1707712959811, 4979153, -7184, -5104, -2976
1707712959821, 4979163, -7040, -5264, -2704
1707712959831, 4979173, -6864, -5360, -2560
1707712959841, 4979183, -6992, -5392, -2336
1707712959851, 4979193, -6992, -5440, -2336
1707712959861, 4979203, -7056, -5424, -2368
1707712959871, 4979213, -7328, -5440, -2288
1707712959881, 4979223, -7392, -5296, -2304
1707712959891, 4979233, -7328, -5248, -2384
1707712959901, 4979243, -7424, -5344, -2528
1707712959911, 4979253, -7440, -5328, -2848
1707712959921, 4979263, -7376, -5408, -3184
1707712959931, 4979273, -7264, -5312, -3264
1707712959941, 4979283, -7280, -5104, -3584
1707712959951, 4979293, -7408, -4656, -3792
1707712959961, 4979303, -7280, -4272, -4336
1707712959971, 4979313, -7328, -4016, -4880
1707712959981, 4979323, -7296, -4016, -5504
1707712959991, 4979333, -7168, -3872, -6080
1707712960001, 4979343, -7136, -3840, -6416
1707712960011, 4979353, -7008, -3760, -6496
1707712960021, 4979363, -6880, -3712, -6448
1707712960031, 4979373, -6736, -3600, -6368
1707712960041, 4979383, -6704, -3424, -6064
1707712960051, 4979393, -6624, -3152, -6000
1707712960061, 4979403, -6384, -2864, -6000
1707712960071, 4979413, -6400, -2640, -6112
1707712960081, 4979423, -6288, -2544, -6032
1707712960091, 4979433, -6128, -2640, -6032
1707712960101, 4979443, -5952, -2800, -6176
1707712960111, 4979453, -5632, -2912, -6432
1707712960121, 4979463, -5520, -3008, -6592
1707712960131, 4979473, -5552, -2896, -6592
1707712960141, 4979483, -5312, -2912, -6400
1707712960151, 4979493, -5264, -2976, -6208
1707712960161, 4979503, -5088, -2976, -6208
1707712960171, 4979513, -4864, -2992, -6304
1707712960181, 4979523, -4704, -3168, -6416
1707712960191, 4979533, -4672, -3392, -6512
1707712960201, 4979543, -4928, -3296, -6592
1707712960211, 4979553, -4912, -2944, -6720
1707712960221, 4979563, -4880, -2736, -6864
1707712960231, 4979573, -4688, -2416, -7104
1707712960241, 4979583, -4464, -2128, -7104
1707712960251, 4979593, -4288, -2096, -7024
1707712960261, 4979603, -4048, -2032, -7056
1707712960271, 4979613, -3856, -2032, -7024
1707712960281, 4979623, -3744, -2080, -7168
1707712960291, 4979633, -3760, -2064, -7344
1707712960301, 4979643, -3696, -1744, -7408
1707712960311, 4979653, -3600, -1584, -7312
1707712960321, 4979663, -3408, -1632, -7040
1707712960331, 4979673, -3184, -1584, -7040
1707712960341, 4979683, -2800, -1936, -7056
1707712960351, 4979693, -2528, -1888, -6992
1707712960361, 4979703, -2576, -2016, -6688
1707712960371, 4979713, -2144, -2176, -6672
1707712960381, 4979723, -1680, -2208, -6720
1707712960391, 4979733, -1392, -2240, -6608
1707712960401, 4979743, -1184, -1984, -6368
1707712960411, 4979753, -1152, -1456, -5888
1707712960421, 4979763, -1104, -544, -5136
1707712960431, 4979773, -1104, 80, -4432
1707712960441, 4979783, -1056, 848, -3856
1707712960451, 4979793, -832, 1328, -3680
1707712960461, 4979803, -544, 1648, -3632
1707712960471, 4979813, -256, 1840, -3824
1707712960481, 4979823, -80, 1904, -3888
1707712960491, 4979833, 112, 1872, -3904
1707712960501, 4979843, 432, 1664, -3984
1707712960511, 4979853, 736, 1168, -4000
1707712960521, 4979863, 1056, 912, -3808
1707712960531, 4979873, 1200, 832, -3632
1707712960541, 4979883, 1392, 656, -3696
1707712960551, 4979893, 1712, 656, -3888
1707712960561, 4979903, 1888, 544, -4192
1707712960571, 4979913, 1968, 336, -3968
1707712960581, 4979923, 2016, 192, -3616
1707712960591, 4979933, 2016, -32, -3088
1707712960601, 4979943, 2256, -256, -2768
1707712960611, 4979953, 2576, -368, -2816
1707712960621, 4979963, 2624, -768, -2848
1707712960631, 4979973, 2832, -1088, -2736
1707712960641, 4979983, 2992, -1200, -2560
1707712960651, 4979993, 3152, -1152, -2144
1707712960661, 4980003, 2976, -704, -1536
1707712960671, 4980013, 2880, -224, -1072
1707712960681, 4980023, 2640, -160, -592
1707712960691, 4980033, 2688, -352, -80
1707712960701, 4980043, 2784, -608, 352
1707712960711, 4980053, 3072, -976, 800
1707712960721, 4980063, 3216, -1152, 1040
1707712960731, 4980073, 3344, -1392, 1328
1707712960741, 4980083, 3392, -1984, 1552
1707712960751, 4980093, 3584, -2768, 1568
1707712960761, 4980103, 3760, -3504, 1568
1707712960771, 4980113, 3968, -3968, 1408
1707712960781, 4980123, 4368, -3888, 1152
1707712960791, 4980133, 4464, -3920, 1184
1707712960801, 4980143, 4288, -4096, 1472
1707712960811, 4980153, 4240, -4000, 1504
1707712960821, 4980163, 4064, -4096, 1408
1707712960831, 4980173, 3952, -4336, 1200
1707712960841, 4980183, 4080, -4320, 944
1707712960851, 4980193, 4288, -4368, 704
1707712960861, 4980203, 4320, -4544, 496
1707712960871, 4980213, 4320, -4384, 352
1707712960881, 4980223, 4080, -4304, 336
1707712960891, 4980233, 3712, -4384, 576
1707712960901, 4980243, 3392, -4464, 1024
1707712960911, 4980253, 3280, -4496, 1616
1707712960921, 4980263, 3328, -4496, 2208
1707712960931, 4980273, 3264, -4240, 2496
1707712960941, 4980283, 3056, -4144, 2976
1707712960951, 4980293, 3056, -4256, 3264
1707712960961, 4980303, 2752, -4608, 3216
1707712960971, 4980313, 2704, -5488, 3072
1707712960981, 4980323, 2768, -6080, 2880
1707712960991, 4980333, 2928, -6784, 2832
1707712961001, 4980343, 2832, -7408, 2608
1707712961011, 4980353, 3120, -7968, 2608
1707712961021, 4980363, 3120, -8272, 2800
1707712961031, 4980373, 3040, -8656, 3200
1707712961041, 4980383, 2864, -8704, 3584
1707712961051, 4980393, 2912, -8512, 3920
1707712961061, 4980403, 2880, -8128, 4112
1707712961071, 4980413, 2560, -7632, 4288
1707712961081, 4980423, 2272, -7248, 4384
1707712961091, 4980433, 2320, -7232, 4064
1707712961101, 4980443, 1824, -7696, 4080
1707712961111, 4980453, 1744, -8016, 4112
1707712961121, 4980463, 1776, -8064, 3952
1707712961131, 4980473, 1808, -8048, 3904
1707712961141, 4980483, 1792, -7776, 3952
1707712961151, 4980493, 1456, -7712, 4016
1707712961161, 4980503, 1312, -8016, 3856
1707712961171, 4980513, 1232, -8192, 3856
1707712961181, 4980523, 1008, -8288, 4064
1707712961191, 4980533, 848, -8176, 3824
1707712961201, 4980543, 784, -8240, 3728
1707712961211, 4980553, 720, -8272, 3696
1707712961221, 4980563, 640, -8160, 3888
1707712961231, 4980573, 304, -8160, 4144
1707712961241, 4980583, 96, -8048, 4432
1707712961251, 4980593, -96, -7920, 4400
1707712961261, 4980603, -160, -8048, 4048
1707712961271, 4980613, -208, -8496, 4208
1707712961281, 4980623, -128, -8704, 4496
1707712961291, 4980633, -368, -8928, 4688
1707712961301, 4980643, -592, -9136, 4752
1707712961311, 4980653, -736, -9200, 4816
1707712961321, 4980663, -832, -8992, 4848
1707712961331, 4980673, -1088, -8864, 5120
1707712961341, 4980683, -1200, -8864, 5216
1707712961351, 4980693, -1280, -8896, 5152
1707712961361, 4980703, -1264, -9120, 5056
1707712961371, 4980713, -1248, -9376, 4928
1707712961381, 4980723, -1200, -9616, 4752
1707712961391, 4980733, -1216, -9632, 4592
1707712961401, 4980743, -1392, -9456, 4768
1707712961411, 4980753, -1472, -8992, 4976
1707712961421, 4980763, -1760, -8576, 5376
1707712961431, 4980773, -2192, -8480, 5344
1707712961441, 4980783, -2480, -8640, 5088
1707712961451, 4980793, -2624, -9008, 4784
1707712961461, 4980803, -2240, -8752, 4512
1707712961471, 4980813, -2368, -9024, 4160
1707712961481, 4980823, -2384, -8720, 4256
1707712961491, 4980833, -2640, -8976, 4096
1707712961501, 4980843, -2832, -8944, 4224
1707712961511, 4980853, -2976, -8656, 4400
1707712961521, 4980863, -3376, -8480, 4496
1707712961531, 4980873, -3344, -8032, 4256
1707712961541, 4980883, -3392, -7984, 4224
1707712961551, 4980893, -3392, -8160, 4160
1707712961561, 4980903, -3312, -8352, 4048
1707712961571, 4980913, -3248, -8448, 3872
1707712961581, 4980923, -3232, -8368, 3824
1707712961591, 4980933, -3392, -8256, 3744
1707712961601, 4980943, -3504, -8144, 3792
1707712961611, 4980953, -3680, -7984, 3696
1707712961621, 4980963, -3840, -7808, 3696
1707712961631, 4980973, -3904, -7648, 3568
1707712961641, 4980983, -3904, -7808, 3616
1707712961651, 4980993, -3872, -7552, 3392
1707712961661, 4981003, -3872, -7424, 3312
1707712961671, 4981013, -3952, -7344, 3232
1707712961681, 4981023, -3936, -7104, 3168
1707712961691, 4981033, -3936, -6864, 3104
1707712961701, 4981043, -3936, -6656, 3120
1707712961711, 4981053, -3920, -6400, 3200
1707712961721, 4981063, -3920, -6496, 3392
1707712961731, 4981073, -3904, -6800, 3632
1707712961741, 4981083, -3808, -6992, 3936
1707712961751, 4981093, -3712, -7040, 3936
1707712961761, 4981103, -3808, -6880, 3856
1707712961771, 4981113, -3760, -6688, 3600
1707712961781, 4981123, -3872, -5744, 3680
1707712961791, 4981133, -4016, -4912, 3792
1707712961801, 4981143, -4128, -4304, 4016
1707712961811, 4981153, -4128, -4384, 4272
1707712961821, 4981163, -4096, -4816, 4496
1707712961831, 4981173, -4176, -5232, 4480
1707712961841, 4981183, -4176, -5808, 4160
1707712961851, 4981193, -3872, -6384, 3680
1707712961861, 4981203, -3648, -7152, 3088
1707712961871, 4981213, -3312, -8064, 2512
1707712961881, 4981223, -3152, -8768, 2176
1707712961891, 4981233, -3024, -9232, 1632
1707712961901, 4981243, -2864, -9408, 1136
1707712961911, 4981253, -2736, -9632, 576
1707712961921, 4981263, -2560, -9808, 64
1707712961931, 4981273, -2464, -9888, 0
1707712961941, 4981283, -2656, -9984, 256
1707712961951, 4981293, -2752, -9664, 464
1707712961961, 4981303, -2848, -9088, 672
1707712961971, 4981313, -2976, -8736, 912
1707712961981, 4981323, -3168, -8384, 1120
1707712961991, 4981333, -3264, -8192, 1424
1707712962001, 4981343, -3344, -8064, 1728
1707712962011, 4981353, -3392, -7936, 1952
1707712962021, 4981363, -3392, -7744, 1984
1707712962031, 4981373, -3392, -7520, 1808
1707712962041, 4981383, -3200, -7456, 1360
1707712962051, 4981393, -3200, -7456, 976
1707712962061, 4981403, -2976, -7520, 896
1707712962071, 4981413, -2768, -7728, 1056
1707712962081, 4981423, -2624, -7760, 1360
