Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707713222540, 5241883, -3712, -5520, 5088
1707713222550, 5241893, -3744, -5552, 5088
1707713222560, 5241903, -3648, -5424, 5120
1707713222570, 5241913, -3552, -5136, 5184
1707713222580, 5241923, -3632, -4928, 5232
1707713222590, 5241933, -3600, -4752, 5248
1707713222600, 5241943, -3664, -4704, 5232
1707713222610, 5241953, -3584, -4672, 5264
1707713222620, 5241963, -3584, -4576, 5264
1707713222630, 5241973, -3584, -4560, 5344
1707713222640, 5241983, -3632, -4256, 5392
1707713222650, 5241993, -3696, -4144, 5600
1707713222660, 5242003, -3552, -4016, 5696
1707713222670, 5242013, -3616, -4144, 5920
1707713222680, 5242023, -3552, -4288, 6048
1707713222690, 5242033, -3472, -4512, 6016
1707713222700, 5242043, -3648, -4800, 6256
1707713222710, 5242053, -3712, -4928, 6320
1707713222720, 5242063, -3808, -4816, 6416
1707713222730, 5242073, -3824, -4320, 6336
1707713222740, 5242083, -3856, -4032, 6384
1707713222750, 5242093, -3824, -3776, 6240
1707713222760, 5242103, -3680, -3520, 6176
1707713222770, 5242113, -3584, -3504, 5968
1707713222780, 5242123, -3600, -3504, 5952
1707713222790, 5242133, -3616, -3504, 5872
1707713222800, 5242143, -3680, -3392, 5856
1707713222810, 5242153, -3648, -3216, 5904
1707713222820, 5242163, -3792, -2960, 6000
1707713222830, 5242173, -3728, -2656, 6080
1707713222840, 5242183, -3712, -2592, 6224
1707713222850, 5242193, -3792, -2384, 6336
1707713222860, 5242203, -3760, -2144, 6464
1707713222870, 5242213, -3744, -1840, 6736
1707713222880, 5242223, -3952, -1472, 6928
1707713222890, 5242233, -4080, -960, 7056
1707713222900, 5242243, -4288, -400, 7040
1707713222910, 5242253, -4480, -16, 7152
1707713222920, 5242263, -4576, 192, 6864
1707713222930, 5242273, -4624, 400, 6784
1707713222940, 5242283, -4640, 368, 6496
1707713222950, 5242293, -4416, 416, 6144
1707713222960, 5242303, -4112, 272, 5728
1707713222970, 5242313, -4096, 400, 5744
1707713222980, 5242323, -3872, -96, 5696
1707713222990, 5242333, -3600, -912, 5984
1707713223000, 5242343, -3184, -1904, 6144
1707713223010, 5242353, -2576, -2992, 6176
1707713223020, 5242363, -2208, -4176, 6240
1707713223030, 5242373, -2048, -5344, 6160
1707713223040, 5242383, -1952, -5680, 5904
1707713223050, 5242393, -1904, -5456, 5552
1707713223060, 5242403, -2096, -5136, 5312
1707713223070, 5242413, -2416, -4768, 5024
1707713223080, 5242423, -2704, -4384, 4848
1707713223090, 5242433, -3088, -4208, 4720
1707713223100, 5242443, -3056, -4112, 4480
1707713223110, 5242453, -3440, -4048, 4672
1707713223120, 5242463, -3584, -4048, 4672
1707713223130, 5242473, -3744, -4000, 4752
1707713223140, 5242483, -3744, -4032, 4928
1707713223150, 5242493, -3744, -4368, 5296
1707713223160, 5242503, -3696, -5024, 5664
1707713223170, 5242513, -3520, -5664, 5984
1707713223180, 5242523, -3392, -6384, 6048
1707713223190, 5242533, -3216, -7088, 5984
1707713223200, 5242543, -3104, -7744, 5728
1707713223210, 5242553, -3024, -8112, 5536
1707713223220, 5242563, -3088, -8160, 5408
1707713223230, 5242573, -3184, -7968, 5424
1707713223240, 5242583, -3392, -7712, 5488
1707713223250, 5242593, -3616, -7376, 5600
1707713223260, 5242603, -3808, -7040, 5792
1707713223270, 5242613, -4016, -6800, 5760
1707713223280, 5242623, -4128, -6416, 5856
1707713223290, 5242633, -4128, -5872, 5936
1707713223300, 5242643, -4256, -5664, 6368
1707713223310, 5242653, -4224, -5232, 6656
1707713223320, 5242663, -4304, -4816, 7424
1707713223330, 5242673, -4288, -4672, 7760
1707713223340, 5242683, -4368, -4480, 8032
1707713223350, 5242693, -4464, -4528, 8288
1707713223360, 5242703, -4464, -4320, 8416
1707713223370, 5242713, -4688, -4240, 8432
1707713223380, 5242723, -4976, -3952, 8608
1707713223390, 5242733, -5408, -3552, 9120
1707713223400, 5242743, -5696, -3072, 9728
1707713223410, 5242753, -5872, -2880, 10304
1707713223420, 5242763, -5952, -2704, 10784
1707713223430, 5242773, -6144, -2608, 11168
1707713223440, 5242783, -6176, -2400, 11200
1707713223450, 5242793, -6192, -2272, 11184
1707713223460, 5242803, -6160, -2192, 10880
1707713223470, 5242813, -6064, -2160, 10560
1707713223480, 5242823, -5968, -2368, 10080
1707713223490, 5242833, -5744, -2496, 9680
1707713223500, 5242843, -5568, -2496, 9344
1707713223510, 5242853, -5504, -2864, 9376
1707713223520, 5242863, -5440, -3040, 9152
1707713223530, 5242873, -5408, -3136, 9296
1707713223540, 5242883, -5360, -3056, 9152
1707713223550, 5242893, -5440, -3008, 9200
1707713223560, 5242903, -5520, -2816, 9184
1707713223570, 5242913, -5520, -2560, 9184
1707713223580, 5242923, -5616, -2400, 9232
1707713223590, 5242933, -5904, -2016, 9472
1707713223600, 5242943, -5984, -1648, 9568
1707713223610, 5242953, -5968, -1248, 9568
1707713223620, 5242963, -5712, -1424, 9520
1707713223630, 5242973, -5520, -1504, 9328
1707713223640, 5242983, -5312, -1408, 9280
1707713223650, 5242993, -5200, -1296, 9200
1707713223660, 5243003, -4976, -928, 8928
1707713223670, 5243013, -4896, -464, 8784
1707713223680, 5243023, -4544, -624, 8688
1707713223690, 5243033, -4112, -928, 8672
1707713223700, 5243043, -3744, -1312, 8576
1707713223710, 5243053, -3408, -1744, 8512
1707713223720, 5243063, -3120, -1984, 8432
1707713223730, 5243073, -2752, -2192, 8048
1707713223740, 5243083, -2608, -2192, 7872
1707713223750, 5243093, -2480, -1824, 7776
1707713223760, 5243103, -2400, -1680, 7712
1707713223770, 5243113, -2208, -1408, 7632
1707713223780, 5243123, -2000, -1376, 7744
1707713223790, 5243133, -1872, -1104, 7664
1707713223800, 5243143, -1616, -912, 7360
1707713223810, 5243153, -1456, -848, 7088
1707713223820, 5243163, -1328, -480, 6912
1707713223830, 5243173, -1072, -240, 6880
1707713223840, 5243183, -864, -256, 6880
1707713223850, 5243193, -672, -256, 7024
1707713223860, 5243203, -416, -240, 7152
1707713223870, 5243213, -336, -144, 7280
1707713223880, 5243223, -240, -96, 7248
1707713223890, 5243233, -64, -16, 7248
1707713223900, 5243243, -96, 176, 7392
1707713223910, 5243253, -32, 432, 7488
1707713223920, 5243263, 64, 560, 7584
1707713223930, 5243273, 128, 672, 7504
1707713223940, 5243283, 112, 880, 7392
1707713223950, 5243293, 304, 896, 7312
1707713223960, 5243303, 544, 912, 7216
1707713223970, 5243313, 720, 896, 7072
1707713223980, 5243323, 800, 768, 6912
1707713223990, 5243333, 880, 896, 6576
1707713224000, 5243343, 1120, 960, 6304
1707713224010, 5243353, 1216, 928, 6112
1707713224020, 5243363, 1360, 1024, 6032
1707713224030, 5243373, 1456, 1040, 6032
1707713224040, 5243383, 1600, 1008, 6016
1707713224050, 5243393, 1712, 1216, 5952
1707713224060, 5243403, 1792, 1280, 5824
1707713224070, 5243413, 1904, 1200, 5680
1707713224080, 5243423, 2032, 1232, 5488
1707713224090, 5243433, 2032, 1248, 5456
1707713224100, 5243443, 2080, 1344, 5328
1707713224110, 5243453, 2016, 1440, 5200
1707713224120, 5243463, 2048, 1616, 5152
1707713224130, 5243473, 1984, 1632, 5184
1707713224140, 5243483, 2176, 1728, 5136
1707713224150, 5243493, 2304, 1728, 5104
1707713224160, 5243503, 2384, 1728, 4896
1707713224170, 5243513, 2528, 1632, 4928
1707713224180, 5243523, 2752, 1504, 4736
1707713224190, 5243533, 2896, 1424, 4528
1707713224200, 5243543, 3040, 1072, 4320
1707713224210, 5243553, 3200, 672, 4064
1707713224220, 5243563, 3280, 560, 3840
1707713224230, 5243573, 3600, 416, 3328
1707713224240, 5243583, 3616, 976, 3488
1707713224250, 5243593, 3648, 928, 3296
1707713224260, 5243603, 3648, 1152, 3376
1707713224270, 5243613, 3568, 1312, 2864
1707713224280, 5243623, 3872, 1264, 2960
1707713224290, 5243633, 3968, 1040, 2912
1707713224300, 5243643, 4048, 736, 2864
1707713224310, 5243653, 4208, 192, 2736
1707713224320, 5243663, 4352, -64, 2752
1707713224330, 5243673, 4624, -192, 2240
1707713224340, 5243683, 4816, -320, 1888
1707713224350, 5243693, 5088, -544, 1632
1707713224360, 5243703, 5168, -720, 1472
1707713224370, 5243713, 5376, -832, 1312
1707713224380, 5243723, 5584, -1056, 1232
1707713224390, 5243733, 5792, -1248, 1312
1707713224400, 5243743, 5872, -1312, 1392
1707713224410, 5243753, 6000, -1408, 1568
1707713224420, 5243763, 5984, -1360, 1680
1707713224430, 5243773, 5856, -1392, 1664
1707713224440, 5243783, 5856, -1328, 1552
1707713224450, 5243793, 5840, -1376, 1424
1707713224460, 5243803, 5968, -1216, 1280
1707713224470, 5243813, 6112, -1376, 1376
1707713224480, 5243823, 6176, -1728, 1440
1707713224490, 5243833, 6208, -1904, 1536
1707713224500, 5243843, 6192, -1968, 1648
1707713224510, 5243853, 6256, -2128, 1568
1707713224520, 5243863, 6400, -2336, 1552
1707713224530, 5243873, 6384, -2624, 1408
1707713224540, 5243883, 6336, -2608, 1328
1707713224550, 5243893, 6128, -2480, 1168
1707713224560, 5243903, 6224, -2272, 1024
1707713224570, 5243913, 6128, -1888, 1120
1707713224580, 5243923, 6112, -1760, 1408
1707713224590, 5243933, 5920, -1888, 1520
1707713224600, 5243943, 5920, -1968, 1696
1707713224610, 5243953, 5936, -2032, 1680
1707713224620, 5243963, 5968, -2096, 1808
1707713224630, 5243973, 6016, -2368, 1792
1707713224640, 5243983, 6032, -2832, 1856
1707713224650, 5243993, 6064, -3184, 1792
1707713224660, 5244003, 6208, -3232, 1792
1707713224670, 5244013, 6080, -3152, 1936
1707713224680, 5244023, 5856, -2832, 2288
1707713224690, 5244033, 5840, -2864, 2608
1707713224700, 5244043, 5824, -2944, 2528
1707713224710, 5244053, 5936, -2896, 2368
1707713224720, 5244063, 5888, -3120, 2064
1707713224730, 5244073, 5808, -3424, 1936
1707713224740, 5244083, 5808, -3664, 2032
1707713224750, 5244093, 5872, -4032, 2064
1707713224760, 5244103, 5904, -4144, 1968
1707713224770, 5244113, 5792, -3968, 1856
1707713224780, 5244123, 5664, -3728, 1952
1707713224790, 5244133, 5712, -3440, 2224
1707713224800, 5244143, 5568, -3248, 2352
1707713224810, 5244153, 5392, -3088, 2368
1707713224820, 5244163, 5184, -3168, 2384
1707713224830, 5244173, 5040, -3120, 2400
1707713224840, 5244183, 4880, -3232, 2432
1707713224850, 5244193, 4784, -3504, 2512
1707713224860, 5244203, 4784, -3600, 2464
1707713224870, 5244213, 4608, -3264, 2608
1707713224880, 5244223, 4480, -3216, 2944
1707713224890, 5244233, 4352, -3344, 3120
1707713224900, 5244243, 4144, -3264, 3120
1707713224910, 5244253, 4096, -3232, 3168
1707713224920, 5244263, 4064, -3296, 3184
1707713224930, 5244273, 3728, -3216, 3248
1707713224940, 5244283, 3488, -3184, 3408
1707713224950, 5244293, 3344, -3616, 3696
1707713224960, 5244303, 3408, -3984, 3760
1707713224970, 5244313, 3520, -4576, 3808
1707713224980, 5244323, 3504, -4768, 3696
1707713224990, 5244333, 3520, -5152, 3648
1707713225000, 5244343, 3472, -5664, 3744
1707713225010, 5244353, 3600, -5888, 3856
1707713225020, 5244363, 3584, -6048, 4016
1707713225030, 5244373, 3440, -5968, 4032
1707713225040, 5244383, 3264, -5216, 4048
1707713225050, 5244393, 3040, -4832, 4480
1707713225060, 5244403, 2768, -4896, 4976
1707713225070, 5244413, 2672, -5392, 5440
1707713225080, 5244423, 2544, -6304, 5632
1707713225090, 5244433, 2624, -6816, 5584
1707713225100, 5244443, 2720, -6832, 5264
1707713225110, 5244453, 2624, -6720, 5136
1707713225120, 5244463, 2400, -6464, 4896
1707713225130, 5244473, 2368, -6000, 4896
1707713225140, 5244483, 2208, -5776, 5168
1707713225150, 5244493, 2032, -6064, 5472
1707713225160, 5244503, 1872, -6336, 5696
1707713225170, 5244513, 1744, -6864, 5856
1707713225180, 5244523, 1760, -7184, 5728
1707713225190, 5244533, 1840, -7088, 5376
1707713225200, 5244543, 1696, -6688, 5168
1707713225211, 5244553, 1456, -6496, 5104
1707713225219, 5244563, 1360, -6416, 5024
1707713225229, 5244573, 1232, -6496, 5040
1707713225239, 5244583, 1168, -6656, 5152
1707713225249, 5244593, 1088, -6816, 5248
1707713225259, 5244603, 912, -7024, 5456
1707713225269, 5244613, 736, -7248, 5712
1707713225279, 5244623, 528, -7312, 6080
1707713225289, 5244633, 528, -7392, 6368
1707713225299, 5244643, 336, -7248, 6320
1707713225309, 5244653, 336, -7248, 6464
1707713225319, 5244663, 192, -7408, 6752
1707713225329, 5244673, 48, -7424, 6848
1707713225339, 5244683, 48, -7856, 7216
1707713225349, 5244693, -64, -8208, 7408
1707713225359, 5244703, -160, -8592, 7456
1707713225369, 5244713, -320, -8464, 7360
1707713225379, 5244723, -352, -8368, 7360
1707713225389, 5244733, -480, -8272, 7424
1707713225399, 5244743, -592, -8064, 7440
1707713225409, 5244753, -368, -8032, 7488
1707713225419, 5244763, -736, -7872, 7136
1707713225429, 5244773, -544, -7824, 6768
1707713225439, 5244783, -432, -7904, 6624
1707713225449, 5244793, -496, -8144, 6432
1707713225459, 5244803, -496, -8176, 6304
1707713225469, 5244813, -464, -8144, 6288
1707713225479, 5244823, -432, -8096, 6432
1707713225489, 5244833, -544, -8096, 6704
1707713225499, 5244843, -624, -7952, 6704
1707713225509, 5244853, -864, -7744, 6784
1707713225519, 5244863, -1232, -7456, 6896
1707713225529, 5244873, -1424, -6960, 7136
1707713225539, 5244883, -1648, -6720, 6976
1707713225549, 5244893, -1680, -6800, 7024
1707713225559, 5244903, -1792, -6784, 7200
1707713225569, 5244913, -1840, -6784, 7344
1707713225579, 5244923, -1888, -6368, 6944
1707713225589, 5244933, -1792, -6160, 6624
1707713225599, 5244943, -2016, -6096, 6624
1707713225609, 5244953, -2080, -6128, 6736
1707713225619, 5244963, -2256, -6240, 7072
1707713225629, 5244973, -2368, -6336, 7616
1707713225639, 5244983, -2368, -6544, 7984
1707713225649, 5244993, -2384, -6672, 8208
1707713225659, 5245003, -2400, -6848, 7952
1707713225669, 5245013, -2256, -6560, 7504
1707713225679, 5245023, -2160, -6192, 6992
1707713225689, 5245033, -2144, -6016, 6880
1707713225699, 5245043, -2144, -5888, 7184
1707713225709, 5245053, -2080, -6000, 7712
1707713225719, 5245063, -1984, -6288, 8192
1707713225729, 5245073, -1936, -6640, 8432
1707713225739, 5245083, -2144, -7184, 8832
1707713225749, 5245093, -2000, -7312, 8592
1707713225759, 5245103, -2080, -7408, 8400
1707713225769, 5245113, -2048, -7200, 8112
1707713225779, 5245123, -2016, -6736, 7920
1707713225789, 5245133, -2128, -6272, 7824
1707713225799, 5245143, -2256, -5888, 7824
1707713225809, 5245153, -2240, -5440, 7776
1707713225819, 5245163, -2240, -5200, 7664
1707713225829, 5245173, -2304, -5008, 7664
1707713225839, 5245183, -2288, -4752, 7808
1707713225849, 5245193, -2208, -4416, 7904
1707713225859, 5245203, -2080, -4128, 8032
1707713225869, 5245213, -1968, -4016, 8256
1707713225879, 5245223, -1808, -3984, 8496
1707713225889, 5245233, -1696, -4000, 8704
1707713225899, 5245243, -1424, -3904, 8784
1707713225909, 5245253, -1136, -3760, 8800
1707713225919, 5245263, -976, -3920, 8800
1707713225929, 5245273, -800, -4064, 8944
1707713225939, 5245283, -608, -4160, 9168
1707713225949, 5245293, -512, -4192, 9296
1707713225959, 5245303, -304, -4128, 9504
1707713225969, 5245313, -240, -3968, 9648
1707713225979, 5245323, -272, -3904, 9904
1707713225989, 5245333, -256, -3776, 10256
1707713225999, 5245343, -224, -3568, 10496
1707713226009, 5245353, -64, -3504, 10640
1707713226019, 5245363, 96, -3632, 10704
1707713226029, 5245373, 224, -3840, 10560
1707713226039, 5245383, 208, -3968, 10320
1707713226049, 5245393, 48, -3440, 10096
1707713226059, 5245403, 256, -2976, 9760
1707713226069, 5245413, 304, -2704, 9536
1707713226079, 5245423, 352, -2256, 9376
1707713226089, 5245433, 384, -1584, 9344
1707713226099, 5245443, 416, -1200, 9440
1707713226109, 5245453, 384, -1040, 9424
1707713226119, 5245463, 528, -928, 9280
1707713226129, 5245473, 624, -800, 9056
1707713226139, 5245483, 896, -672, 8784
1707713226149, 5245493, 1088, -640, 8592
1707713226159, 5245503, 1184, -608, 8256
1707713226169, 5245513, 1296, -448, 7856
1707713226179, 5245523, 1344, -288, 7536
1707713226189, 5245533, 1520, -144, 7056
1707713226199, 5245543, 1760, 0, 6512
1707713226209, 5245553, 1936, 48, 6064
1707713226219, 5245563, 2128, 160, 5664
1707713226229, 5245573, 2304, 160, 5264
1707713226239, 5245583, 2464, 96, 4720
1707713226249, 5245593, 2592, 16, 4160
1707713226259, 5245603, 2640, -208, 3696
1707713226269, 5245613, 2640, -432, 3056
1707713226279, 5245623, 2800, -80, 2656
1707713226289, 5245633, 3104, -32, 2080
1707713226299, 5245643, 3248, 112, 1552
1707713226309, 5245653, 3248, 144, 1264
1707713226319, 5245663, 3408, 64, 992
1707713226329, 5245673, 3648, -112, 736
1707713226339, 5245683, 3696, -112, 576
1707713226349, 5245693, 3536, -128, 448
