Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707713544978, 5564323, -3616, -5824, 6160
1707713544988, 5564333, -3520, -5888, 6416
1707713544998, 5564343, -3488, -5984, 6512
1707713545008, 5564353, -3360, -5952, 6784
1707713545018, 5564363, -3376, -5952, 6736
1707713545028, 5564373, -3408, -5856, 6736
1707713545038, 5564383, -3296, -5728, 6752
1707713545048, 5564393, -3248, -5696, 6816
1707713545058, 5564403, -3216, -5856, 6928
1707713545068, 5564413, -3136, -5936, 7008
1707713545078, 5564423, -3056, -6064, 6976
1707713545088, 5564433, -2944, -6208, 7040
1707713545098, 5564443, -2768, -6512, 7120
1707713545108, 5564453, -2800, -6704, 7312
1707713545118, 5564463, -2704, -6992, 7552
1707713545128, 5564473, -2608, -7088, 7664
1707713545138, 5564483, -2640, -7072, 7872
1707713545148, 5564493, -2752, -7104, 8224
1707713545158, 5564503, -2864, -7200, 8672
1707713545168, 5564513, -2912, -7088, 8752
1707713545178, 5564523, -2976, -7088, 8880
1707713545188, 5564533, -2960, -7072, 8768
1707713545198, 5564543, -3024, -6992, 8704
1707713545208, 5564553, -2992, -6672, 8608
1707713545218, 5564563, -2880, -6448, 8352
1707713545228, 5564573, -2944, -6160, 8464
1707713545238, 5564583, -3088, -5872, 8720
1707713545248, 5564593, -3344, -5648, 9088
1707713545258, 5564603, -3424, -5520, 9264
1707713545268, 5564613, -3296, -5344, 9312
1707713545278, 5564623, -3376, -5344, 9472
1707713545288, 5564633, -3456, -5296, 9520
1707713545298, 5564643, -3408, -5184, 9360
1707713545308, 5564653, -3472, -4944, 9056
1707713545318, 5564663, -3584, -4640, 8720
1707713545328, 5564673, -3392, -4304, 8208
1707713545338, 5564683, -3184, -4096, 7568
1707713545348, 5564693, -3264, -3888, 7824
1707713545358, 5564703, -3008, -3696, 7072
1707713545368, 5564713, -2688, -3680, 6592
1707713545378, 5564723, -2320, -3648, 6208
1707713545388, 5564733, -2000, -3728, 5728
1707713545398, 5564743, -1856, -3904, 5600
1707713545408, 5564753, -1504, -4064, 5280
1707713545418, 5564763, -1312, -4080, 5280
1707713545428, 5564773, -1312, -4128, 5296
1707713545438, 5564783, -1152, -4080, 5296
1707713545448, 5564793, -1024, -4064, 5408
1707713545458, 5564803, -848, -4096, 5600
