Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714053326, 6072673, -4624, -5216, 4160
1707714053336, 6072683, -4704, -5296, 4112
1707714053346, 6072693, -4720, -5328, 4144
1707714053356, 6072703, -4752, -5296, 4016
1707714053366, 6072713, -4640, -5312, 3904
1707714053376, 6072723, -4640, -5376, 3840
1707714053386, 6072733, -4576, -5488, 3728
1707714053396, 6072743, -4576, -5552, 3568
1707714053406, 6072753, -4512, -5744, 3440
1707714053416, 6072763, -4416, -5904, 3296
1707714053426, 6072773, -4240, -6080, 3232
1707714053436, 6072783, -4112, -6384, 3184
1707714053446, 6072793, -4032, -6640, 3104
1707714053456, 6072803, -3936, -6816, 3024
1707714053466, 6072813, -3792, -7024, 2880
1707714053476, 6072823, -3584, -7264, 2832
1707714053486, 6072833, -3360, -7504, 2800
1707714053496, 6072843, -3184, -7840, 2896
1707714053506, 6072853, -3152, -8240, 3056
1707714053516, 6072863, -3232, -8656, 3200
1707714053526, 6072873, -3168, -9200, 3184
1707714053536, 6072883, -3104, -9616, 3184
1707714053546, 6072893, -3072, -10016, 2976
1707714053556, 6072903, -3104, -10240, 2752
1707714053566, 6072913, -3120, -10416, 2624
1707714053576, 6072923, -3248, -10336, 2464
1707714053586, 6072933, -3376, -10240, 2352
1707714053596, 6072943, -3424, -9856, 2176
1707714053606, 6072953, -3376, -9520, 2064
1707714053616, 6072963, -3264, -9328, 1904
1707714053626, 6072973, -3200, -9312, 1904
1707714053636, 6072983, -3056, -9360, 1904
1707714053646, 6072993, -2992, -9504, 2000
1707714053656, 6073003, -2896, -9504, 2000
1707714053666, 6073013, -2816, -9456, 1984
1707714053676, 6073023, -2800, -9504, 1872
1707714053686, 6073033, -2800, -9376, 1840
1707714053696, 6073043, -2736, -9376, 1680
1707714053706, 6073053, -2608, -9184, 1312
1707714053716, 6073063, -2384, -9088, 944
1707714053726, 6073073, -2160, -9168, 720
1707714053736, 6073083, -1888, -9344, 560
1707714053746, 6073093, -1888, -9376, 368
1707714053756, 6073103, -1584, -9568, 272
1707714053766, 6073113, -1344, -9664, 512
1707714053776, 6073123, -1344, -9824, 864
1707714053786, 6073133, -1296, -9904, 1152
1707714053796, 6073143, -1392, -9920, 1344
1707714053806, 6073153, -1216, -10032, 1328
1707714053816, 6073163, -1184, -10368, 1168
1707714053826, 6073173, -960, -10736, 896
1707714053836, 6073183, -736, -11040, 688
1707714053846, 6073193, -512, -11312, 640
1707714053856, 6073203, -240, -11360, 592
1707714053866, 6073213, -384, -11296, 672
1707714053876, 6073223, -448, -11024, 816
1707714053886, 6073233, -368, -10720, 880
1707714053896, 6073243, -240, -10464, 928
1707714053906, 6073253, -144, -10288, 1008
1707714053916, 6073263, 16, -10160, 1040
1707714053926, 6073273, 256, -9888, 1136
1707714053936, 6073283, 352, -9696, 1344
1707714053946, 6073293, 624, -9664, 1392
1707714053956, 6073303, 832, -9680, 1440
1707714053966, 6073313, 1056, -9504, 1504
1707714053976, 6073323, 1168, -9472, 1776
1707714053986, 6073333, 1472, -9616, 2016
1707714053996, 6073343, 1728, -9680, 2144
1707714054006, 6073353, 1920, -9664, 2064
1707714054016, 6073363, 2192, -9536, 1984
1707714054026, 6073373, 2512, -9552, 1712
1707714054036, 6073383, 2624, -9408, 1696
1707714054046, 6073393, 2720, -9248, 1808
1707714054056, 6073403, 2752, -8928, 2096
1707714054066, 6073413, 2864, -8864, 2384
1707714054076, 6073423, 2944, -8784, 2544
1707714054086, 6073433, 3168, -8640, 2608
1707714054096, 6073443, 3424, -8464, 2672
1707714054106, 6073453, 3616, -8336, 2608
1707714054116, 6073463, 3952, -8176, 2608
1707714054126, 6073473, 4064, -8064, 2288
1707714054136, 6073483, 4272, -7872, 2288
1707714054146, 6073493, 4496, -7616, 2192
1707714054156, 6073503, 4480, -7296, 2192
1707714054166, 6073513, 4672, -6848, 2160
1707714054176, 6073523, 4768, -6416, 2080
1707714054186, 6073533, 4848, -6000, 2016
1707714054196, 6073543, 4976, -5472, 1840
1707714054206, 6073553, 5104, -5216, 1632
1707714054216, 6073563, 5296, -4944, 1248
1707714054226, 6073573, 5504, -4800, 944
1707714054236, 6073583, 5600, -4688, 688
1707714054246, 6073593, 5600, -4432, 496
1707714054256, 6073603, 5664, -4000, 352
