Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707713926417, 5945763, 240, -4288, 5408
1707713926427, 5945773, 432, -4864, 5504
1707713926437, 5945783, 816, -5296, 5552
1707713926447, 5945793, 1136, -5648, 5696
1707713926457, 5945803, 1680, -6144, 5632
1707713926467, 5945813, 1984, -6608, 5488
1707713926477, 5945823, 2320, -7312, 5552
1707713926487, 5945833, 2080, -7728, 5568
1707713926497, 5945843, 1664, -7856, 5328
1707713926507, 5945853, 1072, -7792, 5152
1707713926517, 5945863, 128, -7712, 5216
1707713926527, 5945873, -1152, -7632, 5296
1707713926537, 5945883, -2592, -7152, 5424
1707713926547, 5945893, -4176, -6640, 5776
1707713926557, 5945903, -4992, -5568, 6080
1707713926567, 5945913, -7296, -5120, 5824
1707713926577, 5945923, -8608, -4160, 5680
1707713926587, 5945933, -9152, -3024, 5504
1707713926597, 5945943, -9536, -2176, 5312
1707713926607, 5945953, -9904, -1280, 5312
1707713926617, 5945963, -10320, -448, 5552
1707713926627, 5945973, -10960, 848, 5600
1707713926637, 5945983, -11184, 3216, 6208
1707713926647, 5945993, -10304, 5648, 7376
1707713926657, 5946003, -9808, 7328, 8896
1707713926667, 5946013, -9648, 8480, 10400
1707713926677, 5946023, -9248, 9616, 11616
1707713926687, 5946033, -9456, 9952, 12608
1707713926697, 5946043, -9488, 10576, 13008
1707713926707, 5946053, -9456, 10688, 12448
1707713926717, 5946063, -9744, 10080, 11280
1707713926727, 5946073, -10032, 9328, 9904
1707713926737, 5946083, -10160, 8304, 8560
1707713926747, 5946093, -9824, 6864, 7600
1707713926757, 5946103, -9472, 5168, 6896
1707713926767, 5946113, -9104, 3792, 6592
1707713926777, 5946123, -9136, 2176, 6752
1707713926787, 5946133, -8288, 1248, 6448
1707713926797, 5946143, -7744, 384, 6176
1707713926807, 5946153, -7296, -880, 6000
1707713926817, 5946163, -6544, -2144, 5680
1707713926827, 5946173, -5824, -3104, 5424
1707713926837, 5946183, -5104, -4016, 5312
1707713926847, 5946193, -4592, -4784, 5328
1707713926857, 5946203, -3760, -5120, 5360
1707713926867, 5946213, -3008, -5840, 5168
1707713926877, 5946223, -2176, -6624, 4960
1707713926887, 5946233, -1680, -7152, 5264
1707713926897, 5946243, -1680, -7504, 5584
1707713926907, 5946253, -992, -7664, 5840
1707713926917, 5946263, -176, -7952, 5920
1707713926927, 5946273, 176, -8384, 5872
1707713926937, 5946283, 832, -9040, 5552
1707713926947, 5946293, 1840, -9536, 5216
1707713926957, 5946303, 1744, -9920, 4880
1707713926967, 5946313, 1648, -10272, 4624
1707713926977, 5946323, 1856, -9984, 4608
1707713926987, 5946333, 1984, -9408, 4608
1707713926997, 5946343, 1856, -9184, 4896
1707713927007, 5946353, 1648, -8864, 5152
1707713927017, 5946363, 1888, -9088, 5728
1707713927027, 5946373, 1600, -9312, 6064
1707713927037, 5946383, 1088, -9712, 6048
1707713927047, 5946393, 144, -9968, 5776
1707713927057, 5946403, -1184, -9808, 5792
1707713927067, 5946413, -2912, -9328, 5760
1707713927077, 5946423, -4640, -8432, 5744
1707713927087, 5946433, -6064, -7248, 5808
1707713927097, 5946443, -6736, -5040, 5968
1707713927107, 5946453, -8864, -4336, 5984
1707713927117, 5946463, -9504, -3056, 5408
1707713927127, 5946473, -9760, -1760, 5744
1707713927137, 5946483, -9856, -1008, 6016
1707713927147, 5946493, -10080, -224, 6528
1707713927157, 5946503, -9856, 976, 6752
1707713927167, 5946513, -9680, 2432, 7120
1707713927177, 5946523, -9648, 3760, 7568
1707713927187, 5946533, -9664, 4960, 8352
1707713927197, 5946543, -9680, 6560, 9424
1707713927207, 5946553, -9552, 8272, 10576
1707713927217, 5946563, -9408, 9456, 11552
1707713927227, 5946573, -9280, 9952, 12160
1707713927237, 5946583, -9520, 9776, 12432
1707713927247, 5946593, -9792, 9344, 12160
1707713927257, 5946603, -9920, 8512, 11552
1707713927267, 5946613, -10032, 7184, 10688
1707713927277, 5946623, -10176, 5808, 9712
1707713927287, 5946633, -10240, 4432, 8912
1707713927297, 5946643, -10128, 3296, 8272
1707713927307, 5946653, -9824, 2048, 7552
1707713927317, 5946663, -9392, 912, 7136
1707713927327, 5946673, -9360, -304, 7056
1707713927337, 5946683, -8816, -1360, 6944
1707713927347, 5946693, -8240, -2560, 6848
1707713927357, 5946703, -7520, -3648, 6752
1707713927367, 5946713, -6512, -4640, 6544
1707713927377, 5946723, -5536, -5408, 6192
1707713927387, 5946733, -4752, -6144, 5664
1707713927397, 5946743, -3776, -6752, 5232
1707713927407, 5946753, -2928, -7344, 5168
1707713927417, 5946763, -2080, -7920, 5104
1707713927427, 5946773, -1296, -8224, 5184
1707713927437, 5946783, -624, -8432, 5184
1707713927447, 5946793, 112, -9024, 5232
1707713927457, 5946803, 992, -9568, 5232
1707713927467, 5946813, 1632, -10368, 5104
1707713927477, 5946823, 2048, -11040, 4816
1707713927487, 5946833, 2400, -11104, 4320
1707713927497, 5946843, 2512, -10816, 3904
1707713927507, 5946853, 2464, -10496, 3728
1707713927517, 5946863, 2192, -9952, 3824
1707713927527, 5946873, 1904, -9536, 4112
1707713927537, 5946883, 1776, -9360, 4496
1707713927547, 5946893, 1600, -9632, 4864
