Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707712598974, 4618313, -3824, -7952, 3952
1707712598984, 4618323, -3936, -8160, 4080
1707712598994, 4618333, -3856, -8400, 4272
1707712599004, 4618343, -3824, -8624, 4368
1707712599014, 4618353, -3728, -8752, 4416
1707712599024, 4618363, -3760, -8784, 4352
1707712599034, 4618373, -3760, -8752, 4192
1707712599044, 4618383, -3824, -8816, 3936
1707712599054, 4618393, -3872, -8992, 3600
1707712599064, 4618403, -3824, -9008, 3600
1707712599074, 4618413, -3824, -8944, 3760
1707712599084, 4618423, -3856, -9136, 4080
1707712599094, 4618433, -3824, -9312, 4368
1707712599104, 4618443, -3744, -9472, 4672
1707712599114, 4618453, -3680, -9728, 4752
1707712599124, 4618463, -3680, -9824, 4976
1707712599134, 4618473, -3728, -9792, 5216
1707712599144, 4618483, -3824, -9696, 5280
1707712599154, 4618493, -3792, -9760, 5296
1707712599164, 4618503, -3760, -9872, 5408
1707712599174, 4618513, -3632, -10096, 5536
1707712599184, 4618523, -3456, -10480, 5680
1707712599194, 4618533, -3328, -10896, 5888
1707712599204, 4618543, -3216, -11232, 6096
1707712599214, 4618553, -3200, -11376, 6384
1707712599224, 4618563, -3200, -11200, 6576
1707712599234, 4618573, -3152, -10928, 6624
1707712599244, 4618583, -3120, -10368, 6432
1707712599254, 4618593, -3008, -9968, 6256
1707712599264, 4618603, -2848, -9792, 5840
1707712599274, 4618613, -2544, -9792, 5504
1707712599284, 4618623, -2176, -9936, 5232
1707712599294, 4618633, -1936, -10144, 4992
1707712599304, 4618643, -1680, -10192, 4864
1707712599314, 4618653, -1456, -9856, 4768
1707712599324, 4618663, -1408, -9280, 4560
1707712599334, 4618673, -1264, -8432, 4480
1707712599344, 4618683, -816, -7776, 3840
1707712599354, 4618693, -576, -7296, 3216
1707712599364, 4618703, -592, -6832, 2880
1707712599374, 4618713, -608, -6416, 2912
1707712599384, 4618723, -48, -6272, 2832
1707712599394, 4618733, 208, -6144, 2720
1707712599404, 4618743, 432, -5744, 2576
1707712599414, 4618753, 480, -5120, 2320
1707712599424, 4618763, 736, -4816, 1904
1707712599434, 4618773, 1008, -4720, 1600
1707712599444, 4618783, 1200, -4592, 1296
1707712599454, 4618793, 1328, -4256, 1056
1707712599464, 4618803, 1504, -3952, 848
1707712599474, 4618813, 1632, -3312, 576
1707712599484, 4618823, 1920, -2816, 352
1707712599494, 4618833, 2240, -2448, 256
1707712599504, 4618843, 1680, -1968, 176
1707712599514, 4618853, 2656, -1712, 144
1707712599524, 4618863, 3392, -1472, -16
1707712599534, 4618873, 2560, -1152, 48
1707712599544, 4618883, 2976, -320, -288
1707712599554, 4618893, 3216, 496, -1040
1707712599564, 4618903, 3152, 688, -1632
1707712599574, 4618913, 3712, 544, -2384
1707712599584, 4618923, 3760, 960, -2544
1707712599594, 4618933, 3888, 1232, -2704
1707712599604, 4618943, 4192, 1280, -2656
1707712599614, 4618953, 4896, 688, -2672
1707712599624, 4618963, 5136, -192, -2288
1707712599634, 4618973, 5440, -880, -1888
1707712599644, 4618983, 5360, -464, -1552
1707712599654, 4618993, 5360, 0, -1504
1707712599664, 4619003, 5232, 576, -1344
1707712599674, 4619013, 5040, 1024, -1152
1707712599684, 4619023, 4992, 1232, -992
1707712599694, 4619033, 4960, 1344, -976
1707712599704, 4619043, 5008, 1392, -864
1707712599714, 4619053, 5088, 1104, -736
1707712599724, 4619063, 5264, 384, -656
1707712599734, 4619073, 5168, -208, -512
1707712599744, 4619083, 4912, -752, -752
1707712599754, 4619093, 4672, -832, -720
1707712599764, 4619103, 4672, -512, -880
1707712599774, 4619113, 4320, -144, -1088
1707712599784, 4619123, 3840, 304, -1136
1707712599794, 4619133, 3520, 1008, -1296
1707712599804, 4619143, 3408, 1232, -1232
1707712599814, 4619153, 3264, 624, -1200
1707712599824, 4619163, 3216, 128, -832
1707712599834, 4619173, 2944, -384, -288
1707712599844, 4619183, 2752, -976, 336
1707712599854, 4619193, 2336, -896, 1024
1707712599864, 4619203, 1952, -544, 1712
1707712599874, 4619213, 1808, -416, 2480
1707712599884, 4619223, 1680, -1440, 3376
1707712599894, 4619233, 1776, -2672, 3984
1707712599904, 4619243, 2096, -3104, 3936
1707712599914, 4619253, 2688, -3584, 3776
1707712599924, 4619263, 2800, -4240, 3680
1707712599934, 4619273, 2512, -4624, 4096
1707712599944, 4619283, 2224, -5344, 4816
1707712599954, 4619293, 2032, -5760, 5712
1707712599964, 4619303, 2048, -5808, 6560
1707712599974, 4619313, 1936, -6144, 7168
1707712599984, 4619323, 1968, -6176, 7152
1707712599994, 4619333, 2112, -5856, 6192
1707712600004, 4619343, 1968, -5792, 5168
1707712600014, 4619353, 1504, -5856, 4544
1707712600024, 4619363, 1072, -6112, 4480
1707712600034, 4619373, 864, -7152, 5216
1707712600044, 4619383, 512, -8384, 6432
1707712600054, 4619393, 272, -9488, 7360
1707712600064, 4619403, 176, -9600, 7632
1707712600074, 4619413, 96, -9184, 7536
1707712600084, 4619423, -48, -9008, 7280
1707712600094, 4619433, -288, -8400, 6672
1707712600104, 4619443, -912, -8080, 5984
1707712600114, 4619453, -1568, -8016, 5920
1707712600124, 4619463, -2048, -7840, 5680
1707712600134, 4619473, -2640, -8096, 5920
1707712600144, 4619483, -3104, -9184, 6672
1707712600154, 4619493, -3632, -10352, 7200
1707712600164, 4619503, -4480, -10864, 7408
1707712600174, 4619513, -4704, -10080, 7376
1707712600184, 4619523, -5120, -9312, 7264
1707712600194, 4619533, -5552, -8608, 7168
1707712600204, 4619543, -6288, -8384, 7056
1707712600214, 4619553, -6560, -8240, 6624
1707712600224, 4619563, -7088, -8256, 6320
1707712600234, 4619573, -7440, -8624, 6192
1707712600244, 4619583, -7712, -9200, 6368
1707712600254, 4619593, -8000, -9600, 6448
1707712600264, 4619603, -8096, -9984, 6112
1707712600274, 4619613, -8256, -10208, 5568
1707712600284, 4619623, -8672, -10176, 4992
1707712600294, 4619633, -9184, -10256, 4320
1707712600304, 4619643, -9264, -10032, 3776
1707712600314, 4619653, -9472, -9664, 3552
1707712600324, 4619663, -9776, -9408, 3392
1707712600334, 4619673, -10000, -9280, 3488
1707712600344, 4619683, -9760, -8832, 3472
1707712600354, 4619693, -10032, -8832, 3664
1707712600364, 4619703, -10160, -9136, 3744
1707712600374, 4619713, -10288, -9168, 3936
1707712600384, 4619723, -10304, -8976, 3760
1707712600394, 4619733, -10336, -8688, 3520
1707712600404, 4619743, -10352, -8304, 3040
1707712600414, 4619753, -10544, -8208, 2816
1707712600424, 4619763, -10544, -8400, 2608
1707712600434, 4619773, -10528, -8224, 2256
1707712600444, 4619783, -10576, -7872, 1600
1707712600454, 4619793, -10624, -7008, 976
1707712600464, 4619803, -10528, -6384, 656
1707712600474, 4619813, -10640, -5968, 1104
1707712600484, 4619823, -10448, -5872, 1664
1707712600494, 4619833, -10288, -5872, 2160
1707712600504, 4619843, -10208, -6288, 2720
1707712600514, 4619853, -10096, -6400, 3200
1707712600524, 4619863, -9728, -6496, 3184
1707712600534, 4619873, -9120, -5504, 2304
1707712600544, 4619883, -8144, -4688, 1360
1707712600554, 4619893, -7632, -4432, 896
1707712600564, 4619903, -7120, -4624, 592
1707712600574, 4619913, -6608, -4848, 736
1707712600584, 4619923, -6112, -5168, 576
1707712600594, 4619933, -5744, -5280, 848
1707712600604, 4619943, -5488, -4816, 1552
1707712600614, 4619953, -5088, -4480, 2336
1707712600624, 4619963, -4816, -4192, 3152
1707712600634, 4619973, -4624, -3552, 3456
1707712600644, 4619983, -4192, -2944, 3472
1707712600654, 4619993, -3872, -2784, 3456
1707712600664, 4620003, -3488, -2432, 3504
1707712600674, 4620013, -3168, -2288, 3296
1707712600684, 4620023, -2864, -2432, 3280
1707712600694, 4620033, -2864, -2416, 2720
1707712600704, 4620043, -2752, -2336, 1760
1707712600714, 4620053, -2320, -2832, 1072
1707712600724, 4620063, -1984, -3024, 448
1707712600734, 4620073, -2016, -2752, -16
1707712600744, 4620083, -2192, -2192, -208
1707712600754, 4620093, -2400, -1760, 144
1707712600764, 4620103, -2480, -1600, 464
1707712600774, 4620113, -2192, -2384, 768
1707712600784, 4620123, -2048, -3040, 1216
1707712600794, 4620133, -2224, -3184, 1392
1707712600804, 4620143, -2448, -2704, 1328
1707712600814, 4620153, -2768, -2128, 1008
1707712600824, 4620163, -3168, -1696, 432
1707712600834, 4620173, -3280, -1664, -96
1707712600844, 4620183, -3152, -2272, -464
1707712600854, 4620193, -3264, -2752, -784
1707712600864, 4620203, -3456, -2896, -992
1707712600874, 4620213, -3616, -3120, -1264
1707712600884, 4620223, -3776, -3376, -1376
1707712600894, 4620233, -3744, -3696, -1584
1707712600904, 4620243, -3984, -4160, -1456
1707712600914, 4620253, -4208, -4368, -1200
1707712600924, 4620263, -4400, -4624, -1232
1707712600934, 4620273, -4896, -4704, -1488
1707712600944, 4620283, -5504, -4288, -2176
1707712600954, 4620293, -5920, -4112, -2848
1707712600964, 4620303, -6384, -4512, -3264
1707712600974, 4620313, -6704, -4704, -3328
1707712600984, 4620323, -6912, -4992, -3408
1707712600994, 4620333, -7360, -5280, -3088
1707712601004, 4620343, -7616, -5120, -2608
1707712601014, 4620353, -7840, -4976, -2656
1707712601024, 4620363, -8144, -5168, -2656
1707712601034, 4620373, -8512, -5664, -2448
1707712601044, 4620383, -8912, -6592, -1840
1707712601054, 4620393, -9328, -7568, -1360
1707712601064, 4620403, -9680, -8144, -1424
1707712601074, 4620413, -10384, -8192, -2128
1707712601084, 4620423, -11056, -7664, -3168
1707712601094, 4620433, -11360, -6672, -4080
1707712601104, 4620443, -11520, -5568, -4560
1707712601114, 4620453, -11712, -5584, -4272
1707712601124, 4620463, -11808, -5968, -3408
1707712601134, 4620473, -11984, -6000, -2064
1707712601144, 4620483, -12448, -7344, -608
1707712601154, 4620493, -12496, -8256, 384
1707712601164, 4620503, -12944, -8880, 512
1707712601174, 4620513, -13680, -9312, 112
1707712601184, 4620523, -14288, -9696, -352
1707712601194, 4620533, -14672, -9808, -624
1707712601204, 4620543, -15088, -10000, -752
1707712601214, 4620553, -15536, -9744, -1296
1707712601224, 4620563, -15824, -9456, -1936
1707712601234, 4620573, -16032, -9360, -2384
1707712601244, 4620583, -16144, -9248, -2640
1707712601254, 4620593, -16080, -9296, -2720
1707712601264, 4620603, -15936, -9376, -2704
1707712601274, 4620613, -15936, -9664, -2336
1707712601284, 4620623, -15760, -9728, -1872
1707712601294, 4620633, -15360, -9776, -1472
1707712601304, 4620643, -15056, -9936, -912
1707712601314, 4620653, -14880, -9904, -400
1707712601324, 4620663, -14784, -9744, -208
1707712601334, 4620673, -14768, -9392, -432
1707712601344, 4620683, -14672, -9072, -864
1707712601354, 4620693, -14288, -8960, -1152
1707712601364, 4620703, -13664, -9136, -1072
1707712601374, 4620713, -13040, -9664, -544
1707712601384, 4620723, -12448, -10160, 96
1707712601394, 4620733, -12224, -10128, 464
1707712601404, 4620743, -12128, -9424, 368
1707712601414, 4620753, -11808, -8816, -16
1707712601424, 4620763, -11344, -8304, -400
1707712601434, 4620773, -11120, -8864, -528
1707712601444, 4620783, -10480, -7328, -1504
1707712601454, 4620793, -10432, -5824, -2016
1707712601464, 4620803, -9536, -4704, -2624
1707712601474, 4620813, -8672, -4080, -2768
1707712601484, 4620823, -7888, -3920, -2416
1707712601494, 4620833, -7296, -3904, -1616
1707712601504, 4620843, -6752, -3728, -1056
1707712601514, 4620853, -6448, -3392, -480
1707712601524, 4620863, -5968, -3120, 16
1707712601534, 4620873, -5744, -2752, 448
1707712601544, 4620883, -5488, -2304, 384
1707712601554, 4620893, -5136, -1904, 0
1707712601564, 4620903, -4576, -2016, -528
1707712601574, 4620913, -3984, -2464, -992
1707712601584, 4620923, -3472, -2784, -1088
1707712601594, 4620933, -3008, -2944, -1216
1707712601604, 4620943, -2624, -2832, -1056
1707712601614, 4620953, -2304, -2672, -832
1707712601624, 4620963, -2128, -2720, -288
1707712601634, 4620973, -1904, -2768, 224
1707712601644, 4620983, -1904, -2848, 768
1707712601654, 4620993, -1632, -2960, 1264
1707712601664, 4621003, -1440, -3392, 1680
1707712601674, 4621013, -1312, -3792, 2016
1707712601684, 4621023, -1008, -4048, 2352
1707712601694, 4621033, -560, -4304, 2768
1707712601704, 4621043, -432, -4304, 3024
1707712601714, 4621053, -352, -4384, 3184
