Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122890568, 585249, 8080, 1088, 848
1708122890576, 585260, 8080, 1200, 800
1708122890588, 585271, 8016, 1200, 912
1708122890600, 585282, 8048, 1232, 832
1708122890612, 585293, 7968, 1216, 816
1708122890620, 585304, 7952, 1280, 928
1708122890632, 585315, 8032, 1248, 816
1708122890644, 585326, 8016, 1344, 672
1708122890656, 585337, 8016, 1440, 576
1708122890664, 585348, 7968, 1408, 624
1708122890676, 585359, 8000, 1344, 704
1708122890688, 585370, 8000, 1344, 688
1708122890700, 585381, 8080, 1344, 768
1708122890708, 585392, 8112, 1296, 640
1708122890720, 585403, 7952, 1200, 480
1708122890732, 585414, 8192, 1168, 528
1708122890744, 585425, 8192, 1136, 656
1708122890752, 585436, 8144, 1168, 752
1708122890764, 585447, 8176, 1056, 624
1708122890776, 585458, 8176, 1088, 736
1708122890788, 585469, 8192, 1008, 512
1708122890796, 585480, 8176, 1104, 640
1708122890808, 585491, 8096, 1296, 688
1708122890820, 585502, 8032, 1280, 864
1708122890832, 585513, 8080, 1248, 864
1708122890840, 585524, 7936, 1072, 752
1708122890852, 585535, 7984, 1024, 704
1708122890864, 585546, 8048, 1216, 512
1708122890876, 585557, 8016, 1312, 672
1708122890884, 585568, 8016, 1392, 752
1708122890896, 585579, 8032, 1472, 864
1708122890908, 585590, 8016, 1344, 928
1708122890920, 585601, 8048, 1264, 896
1708122890928, 585612, 8096, 1184, 736
1708122890940, 585623, 8144, 1120, 384
1708122890952, 585634, 8128, 1136, 544
1708122890964, 585645, 8096, 1120, 928
1708122890972, 585656, 8064, 1056, 816
1708122890984, 585667, 8128, 976, 832
1708122890996, 585678, 8064, 992, 752
1708122891008, 585689, 8096, 1072, 736
1708122891016, 585700, 8064, 1136, 800
1708122891028, 585711, 8080, 1184, 736
1708122891040, 585722, 8032, 1328, 624
1708122891052, 585733, 8032, 1328, 896
1708122891060, 585744, 8000, 1344, 832
1708122891072, 585755, 8048, 1344, 832
1708122891084, 585766, 8048, 1312, 736
1708122891096, 585777, 8048, 1280, 480
1708122891104, 585788, 8064, 1248, 512
1708122891116, 585799, 8144, 1216, 448
1708122891128, 585810, 8080, 1168, 608
1708122891140, 585821, 8048, 1056, 912
1708122891148, 585832, 8000, 1120, 784
1708122891160, 585843, 8080, 1104, 880
1708122891172, 585854, 8032, 1088, 864
1708122891184, 585865, 8096, 1104, 784
1708122891192, 585876, 8064, 1040, 720
1708122891204, 585887, 8080, 1152, 816
1708122891216, 585898, 8064, 1216, 960
1708122891228, 585909, 8016, 1296, 992
1708122891236, 585920, 8064, 1296, 912
1708122891248, 585931, 8016, 1312, 1008
1708122891260, 585942, 8128, 1216, 784
1708122891272, 585953, 8128, 1136, 736
1708122891280, 585964, 8112, 1104, 640
1708122891292, 585975, 8160, 1168, 880
1708122891304, 585986, 8176, 1136, 784
1708122891316, 585997, 8176, 1152, 976
1708122891324, 586008, 8144, 1040, 784
1708122891336, 586019, 8112, 944, 768
1708122891348, 586030, 8224, 912, 688
1708122891360, 586041, 8128, 1040, 672
1708122891368, 586052, 8128, 1088, 624
1708122891380, 586063, 8112, 1248, 496
1708122891392, 586074, 8096, 1296, 496
1708122891404, 586085, 8080, 1296, 528
1708122891412, 586096, 8080, 1232, 496
1708122891424, 586107, 8000, 1200, 592
1708122891436, 586118, 8112, 1216, 672
1708122891448, 586129, 8144, 1088, 624
1708122891456, 586140, 8128, 1056, 512
1708122891468, 586151, 8096, 1072, 496
1708122891480, 586162, 8096, 1152, 608
1708122891492, 586173, 8016, 1184, 640
1708122891500, 586184, 8048, 1248, 656
1708122891512, 586195, 8080, 1168, 736
1708122891524, 586206, 8128, 1216, 752
1708122891536, 586217, 8000, 1184, 784
1708122891544, 586228, 8016, 1072, 752
1708122891556, 586239, 8032, 1120, 704
1708122891568, 586250, 7968, 1152, 400
1708122891580, 586261, 8032, 1216, 496
1708122891588, 586272, 8000, 1248, 720
1708122891600, 586283, 7984, 1280, 720
1708122891612, 586294, 8064, 1328, 816
1708122891624, 586305, 8016, 1312, 816
1708122891632, 586316, 8048, 1232, 848
1708122891644, 586327, 8064, 1232, 800
1708122891656, 586338, 8080, 1136, 800
1708122891668, 586349, 8128, 1136, 800
1708122891676, 586360, 8128, 1104, 784
1708122891688, 586371, 8144, 1136, 768
1708122891700, 586382, 8064, 1056, 848
1708122891712, 586393, 8160, 1072, 816
1708122891720, 586404, 8160, 1040, 848
1708122891732, 586415, 8112, 1072, 816
1708122891744, 586426, 8144, 1152, 784
1708122891756, 586437, 8176, 1088, 688
1708122891764, 586448, 8160, 1040, 656
1708122891776, 586459, 8128, 1072, 592
1708122891788, 586470, 8112, 1120, 704
1708122891800, 586481, 8208, 1232, 736
1708122891808, 586492, 8064, 1312, 704
1708122891820, 586503, 8064, 1360, 624
1708122891832, 586514, 8064, 1328, 528
1708122891844, 586525, 8080, 1328, 608
1708122891852, 586536, 8032, 1376, 672
1708122891864, 586547, 8016, 1344, 784
1708122891876, 586558, 8016, 1280, 912
1708122891888, 586569, 8032, 1232, 928
1708122891896, 586580, 8048, 1040, 816
1708122891908, 586591, 8048, 1056, 784
1708122891920, 586602, 8016, 1120, 688
1708122891932, 586613, 8080, 1152, 736
1708122891940, 586624, 8112, 1232, 768
1708122891952, 586635, 8096, 1056, 688
1708122891964, 586646, 8128, 1008, 688
1708122891976, 586657, 8160, 1136, 848
1708122891984, 586668, 8064, 1152, 752
1708122891996, 586679, 8112, 1312, 816
1708122892008, 586690, 8080, 1312, 672
1708122892020, 586701, 8080, 1360, 720
1708122892028, 586712, 8064, 1328, 752
1708122892040, 586723, 8064, 1296, 800
1708122892052, 586734, 8032, 1200, 832
1708122892064, 586745, 8160, 1184, 880
1708122892072, 586756, 8096, 1136, 848
1708122892084, 586767, 8096, 1120, 848
1708122892096, 586778, 8016, 1024, 672
1708122892108, 586789, 8128, 1008, 784
1708122892116, 586800, 8128, 1008, 432
1708122892128, 586811, 8176, 1088, 672
1708122892140, 586822, 8112, 1104, 624
1708122892152, 586833, 8032, 1088, 592
1708122892160, 586844, 8112, 1104, 528
1708122892172, 586855, 8080, 1152, 544
1708122892184, 586866, 8032, 1216, 720
1708122892196, 586877, 7952, 1312, 784
1708122892204, 586888, 8032, 1296, 784
1708122892216, 586899, 8048, 1232, 1056
1708122892228, 586910, 7952, 1216, 688
1708122892240, 586921, 8064, 1264, 720
1708122892248, 586932, 8048, 1360, 832
1708122892260, 586943, 7984, 1392, 720
1708122892272, 586954, 8096, 1312, 640
1708122892284, 586965, 8096, 1136, 544
1708122892292, 586976, 8080, 1008, 704
1708122892304, 586987, 8240, 912, 608
1708122892316, 586998, 8112, 1008, 736
1708122892328, 587009, 8096, 1168, 736
1708122892336, 587020, 8064, 1216, 768
1708122892348, 587031, 8080, 1152, 816
1708122892360, 587042, 8064, 1168, 784
1708122892372, 587053, 8112, 1120, 848
1708122892380, 587064, 8112, 1104, 816
1708122892392, 587075, 8112, 1152, 736
1708122892404, 587086, 8144, 1152, 720
1708122892416, 587097, 8096, 1216, 800
1708122892424, 587108, 8096, 1200, 768
1708122892436, 587119, 8080, 1168, 768
1708122892448, 587130, 8064, 1168, 720
1708122892460, 587141, 8096, 1168, 896
1708122892468, 587152, 8128, 1136, 1056
1708122892480, 587163, 8048, 1232, 784
1708122892492, 587174, 8096, 1200, 720
1708122892504, 587185, 7920, 1072, 704
1708122892512, 587196, 8160, 1056, 768
1708122892524, 587207, 8080, 1040, 896
1708122892536, 587218, 8144, 992, 880
1708122892548, 587229, 8112, 1056, 896
