Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122534432, 229124, 6064, 0, 5360
1708122534444, 229135, 6096, 0, 5408
1708122534452, 229146, 6048, -16, 5424
1708122534464, 229157, 6032, -64, 5392
1708122534476, 229168, 5984, -32, 5328
1708122534488, 229179, 5968, 0, 5312
1708122534496, 229190, 6032, 80, 5216
1708122534508, 229201, 6000, 128, 5440
1708122534520, 229212, 6000, 80, 5280
1708122534532, 229223, 6016, 64, 5248
1708122534540, 229234, 6192, 64, 5296
1708122534552, 229245, 6048, 112, 5232
1708122534564, 229256, 5888, 176, 5376
1708122534576, 229267, 5920, 192, 5408
1708122534584, 229278, 5904, 96, 5440
1708122534596, 229289, 6032, 0, 5376
1708122534608, 229300, 6032, 0, 5328
1708122534620, 229311, 6096, -16, 5360
1708122534628, 229322, 6032, 64, 5408
1708122534640, 229333, 5968, 64, 5280
1708122534652, 229344, 6064, 64, 5328
1708122534664, 229355, 6080, 16, 5520
1708122534672, 229366, 6048, -128, 5456
1708122534684, 229377, 6000, -176, 5120
1708122534696, 229388, 5904, -224, 5296
1708122534708, 229399, 6080, -352, 5280
1708122534716, 229410, 6192, -736, 5232
1708122534728, 229421, 6432, -1024, 5248
1708122534740, 229432, 6608, -1312, 5456
1708122534752, 229443, 6832, -1616, 5632
1708122534760, 229454, 7072, -2064, 5616
1708122534772, 229465, 7520, -2688, 6064
1708122534784, 229476, 8096, -3408, 6416
1708122534796, 229487, 8128, -4032, 6416
1708122534804, 229498, 8816, -3824, 6048
1708122534816, 229509, 9200, -3264, 6080
1708122534828, 229520, 9248, -2704, 6064
1708122534840, 229531, 9360, -1840, 6368
1708122534848, 229542, 9376, -752, 6528
1708122534860, 229553, 9552, 528, 6416
1708122534872, 229564, 9472, 1808, 6368
1708122534884, 229575, 9552, 3808, 5808
1708122534892, 229586, 9632, 6512, 5216
1708122534904, 229597, 9088, 8480, 4320
1708122534916, 229608, 8336, 11712, 3472
1708122534928, 229619, 6960, 16384, 3392
1708122534936, 229630, 4320, 24224, 3200
1708122534948, 229641, 1200, 31040, 3760
1708122534960, 229652, -3104, 32544, 4272
1708122534972, 229663, -4480, 32640, 6208
1708122534984, 229674, -14624, 32640, 10752
1708122534992, 229685, -19360, 32640, 14880
1708122535004, 229696, -21936, 26208, 15616
1708122535016, 229707, -24336, 12112, 17440
1708122535024, 229718, -26224, 3152, 19424
1708122535036, 229729, -24880, -5648, 17232
1708122535048, 229740, -24832, -6992, 13936
1708122535060, 229751, -26448, -9168, 13136
1708122535072, 229762, -26544, -9696, 12640
1708122535080, 229773, -24992, -10352, 12448
1708122535092, 229784, -23168, -13872, 11920
1708122535104, 229795, -21280, -16880, 10912
1708122535116, 229806, -18064, -20560, 9008
1708122535124, 229817, -15664, -23376, 7952
1708122535136, 229828, -13872, -24832, 6928
1708122535148, 229839, -13504, -24752, 6832
1708122535156, 229850, -10224, -24192, 6832
1708122535168, 229861, -8752, -22496, 6896
1708122535180, 229872, -8512, -20496, 7184
1708122535192, 229883, -8320, -18384, 8144
1708122535200, 229894, -8624, -16960, 8528
1708122535212, 229905, -9136, -16080, 9120
1708122535224, 229916, -9280, -15408, 9392
1708122535236, 229927, -10608, -15040, 8944
1708122535244, 229938, -10912, -15152, 7856
1708122535256, 229949, -10976, -16720, 8064
1708122535268, 229960, -10208, -19536, 7520
1708122535280, 229971, -9792, -21120, 6288
1708122535288, 229982, -9584, -22544, 5200
1708122535300, 229993, -9600, -23024, 4640
1708122535312, 230004, -9872, -23536, 5312
1708122535324, 230015, -9936, -24704, 6016
1708122535332, 230026, -11568, -25040, 5088
1708122535344, 230037, -13440, -25856, 3744
1708122535356, 230048, -14880, -26704, 3248
1708122535368, 230059, -17744, -25552, 1984
