Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122821584, 516268, 6992, -4048, 416
1708122821596, 516279, 7056, -4064, 240
1708122821604, 516290, 7024, -4144, 464
1708122821616, 516301, 6896, -4144, 832
1708122821628, 516312, 6912, -4256, 976
1708122821640, 516323, 6832, -4416, 1024
1708122821648, 516334, 6928, -4528, 1104
1708122821660, 516345, 6896, -4480, 1072
1708122821672, 516356, 6912, -4288, 1200
1708122821684, 516367, 6896, -4224, 1200
1708122821692, 516378, 7056, -4176, 1104
1708122821704, 516389, 6992, -4032, 1056
1708122821716, 516400, 6944, -4000, 1024
1708122821728, 516411, 7040, -3952, 1056
1708122821736, 516422, 6960, -3904, 1040
1708122821748, 516433, 6976, -3872, 1168
1708122821760, 516444, 7024, -3824, 1360
1708122821772, 516455, 7152, -3808, 1344
1708122821780, 516466, 7104, -3872, 1456
1708122821792, 516477, 7088, -3840, 1680
1708122821804, 516488, 7088, -3840, 1680
1708122821816, 516499, 7120, -3712, 1616
1708122821824, 516510, 7056, -3616, 1648
1708122821836, 516521, 7168, -3680, 1680
1708122821848, 516532, 7216, -3808, 1504
1708122821860, 516543, 7296, -3840, 1504
1708122821868, 516554, 7200, -4000, 1328
1708122821880, 516565, 7280, -4144, 1312
1708122821892, 516576, 7216, -4240, 1168
1708122821904, 516587, 7120, -4240, 1024
1708122821912, 516598, 7232, -4288, 704
1708122821924, 516609, 7344, -4400, 352
1708122821936, 516620, 7408, -4784, 224
1708122821948, 516631, 7424, -5072, -48
1708122821956, 516642, 7920, -5024, -368
1708122821968, 516653, 7984, -5168, -416
1708122821980, 516664, 8080, -5568, -144
1708122821992, 516675, 8448, -7344, 448
1708122822000, 516686, 8080, -7392, 496
1708122822012, 516697, 8176, -8560, 352
1708122822024, 516708, 8192, -9696, -496
1708122822036, 516719, 8160, -10288, -1712
1708122822044, 516730, 8064, -10112, -2064
1708122822056, 516741, 7440, -9456, -2272
1708122822068, 516752, 7024, -8704, -2432
1708122822080, 516763, 6576, -8464, -2432
1708122822088, 516774, 6368, -9152, -2192
1708122822100, 516785, 6400, -10032, -1968
1708122822112, 516796, 6448, -11072, -2096
1708122822125, 516807, 6480, -11312, -2112
1708122822132, 516818, 6112, -10912, -2240
1708122822145, 516829, 6240, -10160, -2176
1708122822156, 516840, 5184, -9760, -1808
1708122822169, 516851, 5072, -9856, -1328
1708122822177, 516862, 4912, -9360, -1072
1708122822188, 516873, 4240, -8176, -1088
1708122822200, 516884, 3792, -7424, -928
1708122822213, 516895, 3504, -7280, -464
1708122822221, 516906, 3488, -7152, 496
