Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122761390, 456076, 7120, 320, 4208
1708122761402, 456087, 7136, 288, 4096
1708122761410, 456098, 7008, 192, 4224
1708122761422, 456109, 7184, 160, 4112
1708122761434, 456120, 7168, 48, 4128
1708122761446, 456131, 7216, 112, 4112
1708122761454, 456142, 7152, 128, 4160
1708122761466, 456153, 7184, 176, 4272
1708122761478, 456164, 7088, 128, 4224
1708122761490, 456175, 7184, 64, 4288
1708122761498, 456186, 7152, 48, 4160
1708122761510, 456197, 7040, 0, 4064
1708122761522, 456208, 7184, 0, 4208
1708122761534, 456219, 7168, -16, 4176
1708122761542, 456230, 7168, -16, 4160
1708122761554, 456241, 7040, -16, 4064
1708122761567, 456252, 7104, -64, 4064
1708122761579, 456263, 7104, -96, 3936
1708122761587, 456274, 7072, -64, 4096
1708122761599, 456285, 7024, -16, 4160
1708122761611, 456296, 7120, 48, 4096
1708122761623, 456307, 6944, 48, 4240
1708122761631, 456318, 6880, 128, 4288
1708122761643, 456329, 6880, 144, 4160
1708122761655, 456340, 6944, 144, 3952
1708122761667, 456351, 7008, 144, 3968
1708122761675, 456362, 7040, 160, 3952
1708122761687, 456373, 6992, 112, 4032
1708122761699, 456384, 6896, 128, 4000
1708122761711, 456395, 7056, 208, 4128
1708122761719, 456406, 6944, 224, 4288
1708122761731, 456417, 6912, 192, 4160
1708122761743, 456428, 6944, 160, 4176
1708122761755, 456439, 7024, 128, 4400
1708122761763, 456450, 7056, 112, 4224
1708122761775, 456461, 6912, 80, 4160
1708122761787, 456472, 7072, 80, 4160
1708122761799, 456483, 6784, -16, 4160
1708122761807, 456494, 6800, -16, 4000
1708122761819, 456505, 6848, -128, 3920
1708122761831, 456516, 6944, -288, 4000
1708122761843, 456527, 6992, -640, 3968
1708122761851, 456538, 6944, -1232, 3936
1708122761863, 456549, 6944, -1552, 3808
1708122761875, 456560, 6960, -2128, 3888
1708122761887, 456571, 6944, -2576, 4032
1708122761895, 456582, 6640, -2848, 4256
1708122761907, 456593, 6496, -2864, 4976
1708122761919, 456604, 6384, -2736, 5088
1708122761931, 456615, 6336, -2224, 4800
1708122761939, 456626, 6416, -1952, 4592
1708122761951, 456637, 6448, -1088, 4112
1708122761963, 456648, 6416, 352, 3744
1708122761975, 456659, 5984, 1840, 4064
1708122761983, 456670, 6080, 3056, 4848
1708122761995, 456681, 6192, 3408, 5424
1708122762007, 456692, 6704, 3040, 5472
1708122762019, 456703, 7184, 2576, 5744
1708122762027, 456714, 7584, 2064, 5360
1708122762039, 456725, 7584, 1904, 5024
1708122762051, 456736, 8048, 2080, 4896
1708122762063, 456747, 8128, 2144, 5008
1708122762071, 456758, 8080, 2128, 5072
1708122762083, 456769, 8128, 2048, 4752
1708122762095, 456780, 8032, 1952, 4384
1708122762107, 456791, 7760, 1760, 4192
1708122762115, 456802, 7792, 1376, 3920
1708122762127, 456813, 7792, 896, 3504
1708122762139, 456824, 7616, 352, 3216
1708122762151, 456835, 7664, 80, 3056
1708122762159, 456846, 7488, -208, 2960
1708122762171, 456857, 7232, -160, 3136
1708122762183, 456868, 7008, -208, 3504
1708122762195, 456879, 6880, -560, 3376
1708122762203, 456890, 6864, -1200, 3200
1708122762215, 456901, 6880, -2192, 3344
1708122762227, 456912, 7264, -4144, 3568
1708122762239, 456923, 7264, -6288, 3232
1708122762247, 456934, 7584, -7408, 2880
1708122762259, 456945, 7488, -7968, 2736
1708122762271, 456956, 7280, -7872, 3056
1708122762283, 456967, 6592, -7280, 3440
1708122762291, 456978, 6240, -6896, 3552
1708122762303, 456989, 5776, -6704, 3536
1708122762315, 457000, 5728, -6624, 3808
