Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708123025860, 720538, 8240, 112, 336
1708123025872, 720549, 8304, -144, -16
1708123025880, 720560, 8400, 0, 176
1708123025892, 720571, 8288, 112, 48
1708123025904, 720582, 8240, 64, 32
1708123025916, 720593, 8304, 32, 0
1708123025924, 720604, 8224, 32, -96
1708123025936, 720615, 8256, 0, -96
1708123025948, 720626, 8336, 16, 144
1708123025960, 720637, 8240, -32, 192
1708123025968, 720648, 8208, 0, 224
1708123025980, 720659, 8176, -48, 192
1708123025992, 720670, 8256, -96, 240
1708123026004, 720681, 8208, -128, 304
1708123026012, 720692, 8240, -32, 224
1708123026024, 720703, 8256, 80, -96
1708123026036, 720714, 8352, 64, -176
1708123026048, 720725, 8240, 16, -112
1708123026056, 720736, 8320, 64, -96
1708123026068, 720747, 8160, 96, 32
1708123026080, 720758, 8048, 208, 144
1708123026092, 720769, 8112, 272, 112
1708123026100, 720780, 8064, 144, 16
1708123026112, 720791, 8096, 96, -16
1708123026124, 720802, 8080, -32, 528
1708123026136, 720813, 8064, -112, 352
1708123026144, 720824, 8128, 16, 240
1708123026156, 720835, 8128, 112, 48
1708123026168, 720846, 8128, 160, 0
1708123026180, 720857, 8128, 192, 112
1708123026188, 720868, 8128, 240, 0
1708123026200, 720879, 8080, 176, -16
1708123026212, 720890, 8096, 112, 32
1708123026224, 720901, 8128, 144, 0
1708123026232, 720912, 7984, 80, 96
1708123026244, 720923, 8176, 0, -80
1708123026256, 720934, 8208, 112, 128
1708123026268, 720945, 8192, 176, 208
1708123026276, 720956, 8144, 192, 32
1708123026288, 720967, 8256, 0, -176
1708123026300, 720978, 8304, -48, -416
1708123026312, 720989, 8304, -176, -288
1708123026320, 721000, 8224, -128, -256
1708123026332, 721011, 8288, -160, -288
1708123026344, 721022, 8256, -192, -288
1708123026356, 721033, 8192, 32, -192
1708123026364, 721044, 8192, 240, -160
1708123026376, 721055, 8208, 352, 32
1708123026388, 721066, 8256, 352, -160
1708123026400, 721077, 8448, 224, -384
1708123026408, 721088, 8448, 192, -800
1708123026420, 721099, 8944, 192, -1104
1708123026432, 721110, 9376, 384, -704
1708123026444, 721121, 9696, 592, -208
1708123026452, 721132, 10224, 656, 384
1708123026464, 721143, 10800, 496, 544
1708123026476, 721154, 11520, 336, 288
1708123026488, 721165, 11728, -16, 432
1708123026496, 721176, 12800, -384, 896
1708123026508, 721187, 12928, -944, 1760
1708123026520, 721198, 12736, -1072, 2848
1708123026532, 721209, 12512, -1168, 3696
1708123026540, 721220, 12464, -1008, 4336
1708123026552, 721231, 12208, -912, 4592
1708123026564, 721242, 12096, -688, 5008
1708123026576, 721253, 11488, -512, 5024
1708123026584, 721264, 11376, -288, 4768
1708123026596, 721275, 10128, -64, 4272
1708123026608, 721286, 9296, 112, 3504
1708123026620, 721297, 8592, 352, 3072
1708123026628, 721308, 8288, -336, 3008
1708123026640, 721319, 8288, -1024, 2304
1708123026652, 721330, 7856, -1136, 2320
1708123026664, 721341, 7648, -656, 2400
1708123026672, 721352, 6640, -32, 2640
1708123026684, 721363, 6480, 816, 3664
1708123026696, 721374, 5088, 1392, 4768
1708123026708, 721385, 4480, 1808, 5520
1708123026716, 721396, 4048, 1632, 5120
1708123026728, 721407, 3680, 544, 4368
1708123026740, 721418, 4080, -1120, 2912
1708123026752, 721429, 4368, -2112, 672
1708123026760, 721440, 4400, -1776, -1184
1708123026772, 721451, 4208, -1104, -1536
1708123026784, 721462, 3712, 160, -400
1708123026796, 721473, 3376, 768, 992
1708123026804, 721484, 2832, 1168, 2160
1708123026816, 721495, 2704, 1424, 2608
1708123026828, 721506, 2496, 1712, 2304
1708123026840, 721517, 2384, 2144, 1728
1708123026848, 721528, 2592, 1952, 528
1708123026860, 721539, 2544, 1328, -416
1708123026872, 721550, 2960, 864, -688
1708123026884, 721561, 3472, 0, -1568
1708123026892, 721572, 3664, 16, -1984
1708123026904, 721583, 3664, 688, -1936
1708123026916, 721594, 3600, 1536, -1872
1708123026928, 721605, 3744, 1632, -2384
1708123026936, 721616, 3696, 944, -4128
1708123026948, 721627, 4576, 480, -5824
1708123026960, 721638, 5392, 592, -7008
1708123026972, 721649, 5552, 480, -7168
1708123026980, 721660, 6256, 176, -6528
1708123026992, 721671, 6528, -256, -6320
1708123027004, 721682, 6640, -720, -6720
1708123027016, 721693, 6768, -1152, -7056
1708123027024, 721704, 7104, -1376, -7696
1708123027036, 721715, 7104, -784, -9216
1708123027048, 721726, 7296, -208, -9968
1708123027060, 721737, 7456, -368, -9072
1708123027068, 721748, 7312, -544, -8464
1708123027080, 721759, 6976, -416, -7984
1708123027092, 721770, 6896, -336, -7296
1708123027104, 721781, 7280, -224, -7248
1708123027112, 721792, 7456, -544, -7472
1708123027124, 721803, 7552, -288, -7536
1708123027136, 721814, 7504, -304, -7376
1708123027148, 721825, 7728, -1296, -6880
1708123027156, 721836, 8080, -1856, -6240
1708123027168, 721847, 8304, -1760, -5632
1708123027180, 721858, 8192, -1360, -3632
1708123027192, 721869, 8128, -1920, -2640
1708123027200, 721880, 8256, -2496, -2496
1708123027212, 721891, 8320, -3152, -3056
1708123027224, 721902, 8736, -2800, -3504
