Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122861527, 556209, 8208, 1440, -448
1708122861535, 556220, 8176, 1408, -448
1708122861547, 556231, 8160, 1424, 80
1708122861559, 556242, 8096, 1440, 48
1708122861571, 556253, 8000, 1312, 272
1708122861579, 556264, 8112, 1504, 112
1708122861591, 556275, 8144, 1440, -288
1708122861603, 556286, 8128, 1360, -544
1708122861615, 556297, 8112, 1344, -640
1708122861623, 556308, 8080, 1280, -784
1708122861635, 556319, 8080, 1264, -336
1708122861647, 556330, 8128, 1248, -272
1708122861659, 556341, 8144, 1232, -368
1708122861667, 556352, 8048, 1424, -464
1708122861679, 556363, 8048, 1440, -432
1708122861691, 556374, 8000, 1488, -352
1708122861703, 556385, 7936, 1552, -464
1708122861711, 556396, 7952, 1568, -272
1708122861723, 556407, 7968, 1600, -384
1708122861735, 556418, 7984, 1504, -208
1708122861744, 556429, 8048, 1344, -272
1708122861756, 556440, 7984, 1136, -352
1708122861768, 556451, 8096, 1024, -432
1708122861780, 556462, 8096, 880, -640
1708122861788, 556473, 8128, 896, -608
1708122861800, 556484, 8128, 1056, -448
1708122861812, 556495, 8064, 1328, -448
1708122861824, 556506, 8112, 1376, 48
1708122861832, 556517, 8032, 1280, 48
1708122861844, 556528, 8080, 1200, 192
1708122861856, 556539, 8128, 1264, 176
1708122861868, 556550, 8144, 1312, 32
1708122861876, 556561, 8160, 1200, 192
1708122861888, 556572, 8240, 1280, -48
1708122861900, 556583, 8096, 1312, -288
1708122861912, 556594, 8256, 1280, -368
1708122861920, 556605, 8128, 1312, -480
1708122861932, 556616, 8048, 1248, -384
1708122861944, 556627, 8048, 1312, -288
1708122861956, 556638, 8144, 1376, -144
1708122861964, 556649, 8032, 1504, 0
1708122861976, 556660, 8160, 1456, 304
1708122861988, 556671, 8144, 1520, 32
1708122862000, 556682, 8160, 1424, -352
1708122862008, 556693, 8096, 1344, -208
1708122862020, 556704, 8224, 1200, -160
1708122862032, 556715, 8240, 960, -144
1708122862044, 556726, 8352, 832, -144
1708122862052, 556737, 8544, 816, -512
1708122862064, 556748, 8592, 800, -1504
1708122862076, 556759, 8592, 416, -2960
1708122862088, 556770, 8544, 64, -3904
1708122862096, 556781, 8448, -480, -5168
1708122862108, 556792, 8560, -544, -6640
1708122862120, 556803, 7984, -704, -7296
1708122862132, 556814, 7568, -528, -7312
1708122862140, 556825, 7072, -496, -6768
1708122862152, 556836, 6496, -288, -6288
1708122862164, 556847, 6112, -336, -5856
1708122862176, 556858, 5696, -624, -6112
1708122862184, 556869, 5712, -704, -6176
