Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122921311, 615994, 8592, -544, 480
1708122921323, 616005, 8640, -544, 512
1708122921335, 616016, 8704, -560, 656
1708122921347, 616027, 8800, -656, 512
1708122921355, 616038, 8768, -720, 640
1708122921367, 616049, 8800, -784, 656
1708122921379, 616060, 8736, -768, 992
1708122921391, 616071, 8656, -752, 992
1708122921399, 616082, 8480, -736, 1088
1708122921411, 616093, 8448, -640, 1232
1708122921423, 616104, 8416, -560, 1232
1708122921435, 616115, 8256, -464, 1072
1708122921443, 616126, 8176, -480, 992
1708122921455, 616137, 8208, -464, 912
1708122921467, 616148, 8144, -304, 896
1708122921479, 616159, 8096, -176, 1232
1708122921487, 616170, 8064, -32, 848
1708122921499, 616181, 8016, -80, 640
1708122921511, 616192, 7984, -48, 512
1708122921523, 616203, 7920, -80, 512
1708122921531, 616214, 7840, 32, 640
1708122921543, 616225, 7824, 96, 640
1708122921555, 616236, 7920, 192, 368
1708122921567, 616247, 7792, 112, 448
1708122921575, 616258, 7888, 0, 400
1708122921587, 616269, 7936, -64, 528
1708122921599, 616280, 7808, 64, 656
1708122921611, 616291, 7840, 32, 864
1708122921619, 616302, 7936, 64, 896
1708122921631, 616313, 7888, 64, 784
1708122921643, 616324, 7920, 64, 704
1708122921655, 616335, 7920, 32, 784
1708122921663, 616346, 7936, 80, 1056
1708122921675, 616357, 8016, 192, 1024
1708122921687, 616368, 8048, 48, 864
1708122921699, 616379, 8144, -32, 800
1708122921707, 616390, 8176, -112, 560
1708122921719, 616401, 8192, -144, 576
1708122921731, 616412, 8176, 32, 496
1708122921743, 616423, 8160, 176, 544
1708122921751, 616434, 8272, 160, 672
1708122921763, 616445, 8240, -80, 848
1708122921775, 616456, 8448, -192, 848
1708122921787, 616467, 8416, -416, 832
1708122921795, 616478, 8624, -400, 864
1708122921807, 616489, 8672, -240, 752
1708122921819, 616500, 8864, -192, 784
1708122921831, 616511, 8992, -176, 912
1708122921839, 616522, 9104, -32, 1136
1708122921851, 616533, 9152, 0, 1232
1708122921863, 616544, 9184, -224, 1680
1708122921875, 616555, 9584, -256, 1856
1708122921883, 616566, 9776, -80, 1808
1708122921895, 616577, 9968, -32, 1856
1708122921907, 616588, 9920, 80, 2112
1708122921919, 616599, 9792, 320, 2016
1708122921927, 616610, 9696, 320, 2528
1708122921939, 616621, 9568, 80, 2432
1708122921951, 616632, 9632, 96, 2208
1708122921963, 616643, 9312, -16, 1920
1708122921971, 616654, 8960, -32, 2064
1708122921983, 616665, 8448, -16, 2416
1708122921995, 616676, 8176, 128, 2624
1708122922007, 616687, 7696, 240, 2832
1708122922015, 616698, 7504, 544, 2688
1708122922027, 616709, 6448, 928, 2944
1708122922039, 616720, 6256, 1360, 3568
1708122922051, 616731, 4816, 1488, 3936
1708122922059, 616742, 4016, 1440, 4496
1708122922071, 616753, 3264, 1488, 4928
1708122922083, 616764, 2464, 1392, 5856
1708122922095, 616775, 1904, 1216, 6128
1708122922103, 616786, 1456, 976, 6272
1708122922115, 616797, 1168, 576, 5888
1708122922127, 616808, 480, 32, 5280
1708122922139, 616819, 192, -608, 4240
1708122922147, 616830, 160, -1200, 3040
1708122922159, 616841, 160, -1888, 1200
1708122922171, 616852, 240, -2992, -160
1708122922183, 616863, 656, -3776, -1776
1708122922191, 616874, 752, -3552, -2800
1708122922203, 616885, 1168, -2624, -3728
1708122922215, 616896, 1264, -1664, -4640
1708122922227, 616907, 1536, -1056, -5312
1708122922235, 616918, 1664, -512, -5728
1708122922247, 616929, 1904, -96, -6192
1708122922259, 616940, 2256, -304, -6672
1708122922271, 616951, 2592, -576, -7536
1708122922279, 616962, 2816, -688, -7616
1708122922291, 616973, 2800, -752, -6960
1708122922303, 616984, 3504, -608, -6096
1708122922315, 616995, 4304, 176, -5104
1708122922323, 617006, 4848, 592, -4496
1708122922335, 617017, 5760, 240, -3856
1708122922347, 617028, 6592, 32, -3808
1708122922359, 617039, 7824, -1840, -4256
1708122922367, 617050, 8208, -2592, -5648
1708122922379, 617061, 10752, -3040, -7136
1708122922391, 617072, 10816, -2688, -8432
1708122922403, 617083, 12480, -2208, -8896
1708122922411, 617094, 12912, -2928, -8912
1708122922423, 617105, 13376, -2768, -8080
1708122922435, 617116, 14560, -2224, -7712
1708122922447, 617127, 15600, -2992, -8816
1708122922455, 617138, 16320, -4720, -9872
1708122922467, 617149, 16352, -7168, -9712
1708122922479, 617160, 16416, -8176, -8176
1708122922491, 617171, 16384, -8768, -5920
1708122922499, 617182, 16256, -9536, -4192
1708122922512, 617193, 16400, -8656, -3184
1708122922524, 617204, 16192, -7840, -3616
1708122922532, 617215, 15712, -7072, -3696
1708122922544, 617226, 15696, -6848, -3008
1708122922556, 617237, 14304, -7312, -2416
1708122922568, 617248, 14224, -8160, -1360
1708122922576, 617259, 12672, -8336, -1200
1708122922588, 617270, 11760, -8560, -864
1708122922600, 617281, 11104, -8720, -448
1708122922612, 617292, 10432, -7920, 768
1708122922620, 617303, 9792, -6816, 2000
1708122922632, 617314, 9504, -5904, 2784
1708122922644, 617325, 9488, -5168, 2640
1708122922656, 617336, 8896, -4688, 2288
1708122922664, 617347, 8768, -4432, 2512
1708122922676, 617358, 9232, -4512, 3024
1708122922688, 617369, 9344, -5184, 3232
1708122922700, 617380, 9472, -6560, 4032
1708122922708, 617391, 9440, -6640, 5184
1708122922720, 617402, 8832, -5824, 5904
1708122922732, 617413, 8352, -5216, 7168
1708122922744, 617424, 8272, -4016, 8288
1708122922752, 617435, 7520, -2880, 9664
1708122922764, 617446, 7120, -1744, 10992
1708122922776, 617457, 7104, -1472, 11296
1708122922788, 617468, 7264, -1824, 10736
1708122922796, 617479, 7392, -2352, 9568
1708122922808, 617490, 7472, -2512, 8384
1708122922820, 617501, 7664, -2976, 7968
1708122922832, 617512, 7328, -3680, 8320
1708122922840, 617523, 7280, -3584, 8080
1708122922852, 617534, 6608, -2720, 7424
1708122922864, 617545, 6272, -1088, 6800
1708122922876, 617556, 5968, 32, 6528
1708122922884, 617567, 5616, 944, 6160
1708122922896, 617578, 5520, 1376, 5648
