Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122957767, 652448, 8080, 656, 144
1708122957779, 652459, 8064, 704, 320
1708122957791, 652470, 8176, 768, 448
1708122957799, 652481, 8144, 720, 304
1708122957811, 652492, 8144, 608, 160
1708122957823, 652503, 8176, 576, 80
1708122957835, 652514, 8240, 608, -144
1708122957843, 652525, 8192, 624, 112
1708122957855, 652536, 8096, 720, 224
1708122957867, 652547, 8272, 688, -128
1708122957879, 652558, 8160, 624, -224
1708122957887, 652569, 8176, 624, -48
1708122957899, 652580, 8144, 848, 160
1708122957911, 652591, 8080, 928, 160
1708122957923, 652602, 8096, 912, 288
1708122957931, 652613, 8144, 832, 192
1708122957943, 652624, 8176, 640, 208
1708122957955, 652635, 8192, 640, 320
1708122957967, 652646, 8320, 688, 336
1708122957975, 652657, 8224, 704, 416
1708122957987, 652668, 8176, 624, 448
1708122957999, 652679, 8288, 336, 128
1708122958011, 652690, 8272, 144, -192
1708122958019, 652701, 8240, 240, 48
1708122958031, 652712, 8160, 432, 208
1708122958043, 652723, 8096, 640, 384
1708122958055, 652734, 8096, 736, 416
1708122958063, 652745, 8112, 656, 288
1708122958075, 652756, 8144, 544, 160
1708122958087, 652767, 8208, 576, -16
1708122958099, 652778, 8160, 576, 128
1708122958107, 652789, 8112, 624, 16
1708122958119, 652800, 8096, 560, 224
1708122958131, 652811, 8080, 720, 64
1708122958143, 652822, 8096, 752, -160
1708122958151, 652833, 8208, 656, -112
1708122958163, 652844, 8240, 640, -64
1708122958175, 652855, 8160, 688, 112
1708122958187, 652866, 8192, 736, 304
1708122958195, 652877, 8160, 720, 336
1708122958207, 652888, 8160, 640, 640
1708122958219, 652899, 8096, 592, 304
1708122958231, 652910, 8256, 672, 320
1708122958239, 652921, 8240, 608, 320
1708122958251, 652932, 8240, 544, 432
1708122958263, 652943, 8176, 528, 224
1708122958275, 652954, 8192, 448, 272
1708122958283, 652965, 8176, 544, 320
1708122958295, 652976, 8064, 624, 240
1708122958307, 652987, 8128, 736, 192
1708122958319, 652998, 8064, 832, 224
1708122958327, 653009, 8112, 640, 304
1708122958339, 653020, 8128, 608, 352
1708122958351, 653031, 8144, 752, 272
1708122958363, 653042, 8192, 672, 240
1708122958371, 653053, 8256, 608, 224
1708122958383, 653064, 8320, 464, -32
1708122958395, 653075, 8192, 400, 80
1708122958407, 653086, 8336, 480, 176
1708122958415, 653097, 8304, 608, 432
1708122958427, 653108, 8288, 576, 592
1708122958439, 653119, 8288, 464, 336
1708122958451, 653130, 8272, 320, 256
1708122958459, 653141, 8320, 272, 80
1708122958471, 653152, 8288, 208, 112
1708122958483, 653163, 8288, 256, -32
1708122958495, 653174, 8400, 272, 16
1708122958503, 653185, 8176, 352, -32
1708122958515, 653196, 8160, 512, -144
1708122958527, 653207, 8144, 544, -144
1708122958539, 653218, 8096, 624, -336
1708122958547, 653229, 8112, 704, -288
1708122958559, 653240, 8096, 784, -240
1708122958571, 653251, 8112, 672, -208
1708122958583, 653262, 8096, 688, -96
1708122958591, 653273, 8176, 928, 0
1708122958603, 653284, 8080, 992, 208
1708122958615, 653295, 8080, 992, 192
1708122958627, 653306, 8160, 800, 256
1708122958635, 653317, 8208, 736, 224
1708122958647, 653328, 8352, 784, 224
1708122958659, 653339, 8336, 768, 208
1708122958671, 653350, 8352, 880, 176
1708122958679, 653361, 8304, 848, 224
1708122958691, 653372, 8336, 752, 352
1708122958703, 653383, 8304, 688, 624
1708122958715, 653394, 8368, 480, 880
1708122958723, 653405, 8256, 480, 1008
1708122958735, 653416, 8176, 336, 1248
1708122958747, 653427, 8032, 496, 1168
1708122958759, 653438, 8048, 608, 944
1708122958767, 653449, 8032, 592, 720
1708122958779, 653460, 8064, 656, 640
1708122958791, 653471, 7968, 880, 672
1708122958803, 653482, 7920, 1120, 688
1708122958811, 653493, 7760, 1392, 912
1708122958823, 653504, 7824, 1344, 928
1708122958835, 653515, 7808, 1328, 688
1708122958847, 653526, 7840, 1088, 864
1708122958855, 653537, 7968, 560, 816
1708122958867, 653548, 7984, 160, 752
1708122958879, 653559, 7888, 144, 704
1708122958891, 653570, 7856, 304, 512
1708122958899, 653581, 7968, 464, 304
1708122958911, 653592, 8064, 496, -368
1708122958923, 653603, 8032, 416, -416
1708122958935, 653614, 8304, 448, -704
1708122958943, 653625, 8352, 512, -960
1708122958955, 653636, 8400, 496, -1008
1708122958967, 653647, 8544, 416, -1120
1708122958979, 653658, 8592, 240, -1168
1708122958987, 653669, 8656, 272, -688
1708122958999, 653680, 8528, 432, -816
1708122959011, 653691, 8416, 704, -912
1708122959023, 653702, 8544, 880, -496
1708122959031, 653713, 8352, 976, -272
1708122959043, 653724, 8224, 1104, 160
1708122959055, 653735, 8320, 1344, 192
1708122959067, 653746, 8208, 1360, 240
1708122959075, 653757, 8208, 1136, 320
1708122959087, 653768, 8144, 960, 336
1708122959099, 653779, 8128, 1168, 400
1708122959111, 653790, 8064, 1168, 288
1708122959119, 653801, 7952, 1008, 256
1708122959131, 653812, 8000, 816, -48
1708122959143, 653823, 7936, 432, -752
1708122959155, 653834, 8064, -80, -1312
1708122959163, 653845, 8304, -832, -2384
1708122959175, 653856, 8432, -1456, -3680
1708122959187, 653867, 8624, -2272, -5456
1708122959199, 653878, 8752, -3152, -6992
1708122959207, 653889, 8624, -4048, -8016
1708122959219, 653900, 8624, -4736, -9072
1708122959231, 653911, 8480, -3744, -9056
1708122959243, 653922, 8096, -2592, -8144
1708122959251, 653933, 7872, -2368, -7264
1708122959263, 653944, 7936, -2912, -6608
1708122959275, 653955, 7712, -2592, -6032
1708122959287, 653966, 7536, -2608, -5184
1708122959295, 653977, 7504, -2160, -4944
1708122959307, 653988, 7168, -1920, -4608
1708122959319, 653999, 7136, -1632, -3888
1708122959331, 654010, 7296, -1344, -3088
1708122959339, 654021, 7104, -528, -2544
1708122959351, 654032, 6912, -160, -1744
1708122959363, 654043, 6736, -144, -688
1708122959375, 654054, 6752, -672, -448
1708122959383, 654065, 6544, -1360, -48
1708122959395, 654076, 6624, -1936, 768
1708122959407, 654087, 6672, -1808, 1024
1708122959419, 654098, 6448, -1008, 1792
1708122959427, 654109, 6352, -208, 2448
1708122959439, 654120, 6288, 192, 2496
1708122959451, 654131, 6448, -288, 2640
1708122959463, 654142, 6784, -656, 2176
1708122959471, 654153, 6944, -624, 2704
1708122959483, 654164, 6960, -480, 3344
1708122959495, 654175, 7072, 240, 3488
1708122959507, 654186, 6880, 992, 3968
1708122959515, 654197, 7152, 1296, 4640
1708122959527, 654208, 7312, 1520, 5488
1708122959539, 654219, 7408, 1168, 6768
1708122959551, 654230, 7952, 704, 7904
1708122959559, 654241, 8128, 160, 8208
1708122959571, 654252, 8144, -880, 8640
1708122959583, 654263, 8544, -1568, 9264
1708122959595, 654274, 8672, -1248, 9344
1708122959603, 654285, 8528, -576, 8736
1708122959615, 654296, 8320, 288, 7872
1708122959627, 654307, 8416, 832, 7312
1708122959639, 654318, 8384, 864, 6016
1708122959647, 654329, 8528, 752, 5264
1708122959659, 654340, 8112, 672, 4688
1708122959671, 654351, 7968, 400, 4128
1708122959683, 654362, 7536, 160, 3424
1708122959691, 654373, 6944, 384, 2800
1708122959703, 654384, 6640, 528, 2512
1708122959715, 654395, 6144, 992, 2160
1708122959727, 654406, 5616, 1152, 1904
1708122959735, 654417, 5392, 880, 1984
1708122959747, 654428, 5280, 416, 1776
1708122959759, 654439, 5008, 224, 1488
1708122959771, 654450, 4624, -416, 1504
1708122959779, 654461, 4336, -992, 1520
1708122959791, 654472, 3872, -1168, 2144
1708122959803, 654483, 3648, -1488, 2240
1708122959815, 654494, 3264, -560, 2256
1708122959823, 654505, 3072, 688, 2864
1708122959835, 654516, 2960, 1888, 4112
1708122959847, 654527, 2784, 2832, 5408
1708122959859, 654538, 2752, 2800, 6128
1708122959867, 654549, 2624, 1168, 6384
1708122959879, 654560, 2768, -64, 6704
1708122959891, 654571, 3184, -816, 6288
1708122959903, 654582, 4048, -816, 4736
1708122959911, 654593, 4528, 0, 3712
1708122959923, 654604, 4560, 672, 4512
1708122959935, 654615, 5440, 624, 5744
1708122959947, 654626, 5600, 304, 7504
1708122959955, 654637, 6080, -672, 8896
1708122959967, 654648, 6896, -2080, 8912
1708122959979, 654659, 7824, -2784, 7568
1708122959991, 654670, 8832, -3104, 4368
1708122959999, 654681, 10304, -3152, 2048
1708122960011, 654692, 11328, -3536, 112
1708122960023, 654703, 11552, -4576, -1920
1708122960035, 654714, 13584, -4464, -3904
1708122960043, 654725, 14400, -3904, -6528
1708122960055, 654736, 14624, -3248, -7904
1708122960067, 654747, 14336, -2880, -7760
1708122960079, 654758, 13984, -2624, -6688
1708122960087, 654769, 13632, -2112, -5664
1708122960099, 654780, 13376, -1408, -5488
1708122960111, 654791, 12928, -1552, -5856
1708122960123, 654802, 12736, -1712, -5184
1708122960131, 654813, 12304, -2432, -4272
1708122960143, 654824, 11904, -3056, -2288
1708122960155, 654835, 11520, -3216, -1152
1708122960167, 654846, 11056, -3296, -1168
1708122960175, 654857, 10896, -2976, -2144
1708122960187, 654868, 10768, -2464, -3648
1708122960199, 654879, 10720, -1728, -4352
1708122960211, 654890, 10368, -1616, -4480
1708122960219, 654901, 10080, -1904, -3824
1708122960231, 654912, 9808, -2192, -3280
1708122960243, 654923, 9488, -2224, -2368
1708122960255, 654934, 9056, -2288, -1888
1708122960263, 654945, 8784, -2096, -1584
1708122960275, 654956, 8688, -1584, -1792
1708122960287, 654967, 8224, -1584, -1808
1708122960299, 654978, 8192, -2032, -1360
1708122960307, 654989, 8016, -1632, -1840
1708122960319, 655000, 7776, -832, -3008
1708122960331, 655011, 7648, -576, -3872
1708122960343, 655022, 7552, -592, -4304
1708122960351, 655033, 7504, -352, -4576
1708122960363, 655044, 7488, -224, -4528
1708122960375, 655055, 7392, -320, -4928
1708122960387, 655066, 7312, -288, -5328
1708122960395, 655077, 7232, -544, -5264
1708122960407, 655088, 7232, -544, -5520
1708122960419, 655099, 7152, -512, -5776
1708122960431, 655110, 7216, -1136, -6384
1708122960439, 655121, 7216, -1104, -7696
1708122960451, 655132, 7152, -1488, -7840
1708122960463, 655143, 7280, -1776, -8080
1708122960475, 655154, 7280, -1776, -8704
1708122960483, 655165, 7200, -2096, -9136
1708122960495, 655176, 7392, -2464, -10016
1708122960507, 655187, 7440, -2480, -10608
1708122960519, 655198, 7664, -2208, -11312
1708122960527, 655209, 7792, -2304, -12160
1708122960539, 655220, 7872, -3760, -12336
1708122960551, 655231, 7728, -6640, -11456
1708122960563, 655242, 7408, -8432, -8736
1708122960571, 655253, 7168, -10272, -4192
1708122960583, 655264, 7120, -10544, -1664
1708122960595, 655275, 7184, -10688, 864
1708122960607, 655286, 7456, -10736, 2080
1708122960615, 655297, 7648, -10176, 1760
1708122960627, 655308, 7808, -9760, 1232
1708122960639, 655319, 7408, -9632, 2544
1708122960651, 655330, 7520, -9856, 3600
1708122960659, 655341, 7248, -10928, 5840
1708122960671, 655352, 7184, -12128, 8400
1708122960683, 655363, 7168, -11584, 10032
1708122960695, 655374, 6720, -9568, 11792
1708122960703, 655385, 6560, -8400, 12384
1708122960715, 655396, 6608, -7248, 10560
1708122960727, 655407, 6528, -6976, 10048
1708122960739, 655418, 6400, -7136, 10576
1708122960747, 655429, 6464, -6720, 10832
1708122960759, 655440, 5712, -6048, 10608
1708122960771, 655451, 5392, -4720, 8864
1708122960783, 655462, 5424, -4128, 7328
1708122960791, 655473, 5552, -3840, 4752
1708122960803, 655484, 5600, -3056, 3456
1708122960815, 655495, 5696, -2320, 1840
1708122960827, 655506, 5552, -1760, 992
1708122960835, 655517, 5760, -1584, 1136
1708122960847, 655528, 6048, -1584, 1856
1708122960859, 655539, 6400, -2160, 1968
1708122960871, 655550, 6736, -2416, 2224
1708122960879, 655561, 7024, -2112, 2000
1708122960891, 655572, 7440, -1856, 1120
1708122960903, 655583, 7472, -1808, 192
1708122960915, 655594, 8080, -2144, -176
1708122960923, 655605, 8016, -2208, 160
1708122960935, 655616, 8384, -2128, 496
1708122960947, 655627, 8400, -1904, 1120
1708122960959, 655638, 8464, -1712, 1008
1708122960967, 655649, 8464, -2096, 1008
1708122960979, 655660, 8448, -2192, 1344
1708122960991, 655671, 8416, -2208, 1360
1708122961003, 655682, 8352, -2000, 752
1708122961011, 655693, 8352, -1760, 16
