Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708123068860, 763537, 6176, -4592, 2960
1708123068872, 763548, 6176, -4384, 3040
1708123068880, 763559, 6064, -4208, 3104
1708123068892, 763570, 6112, -4240, 3056
1708123068904, 763581, 6096, -4336, 3152
1708123068916, 763592, 6144, -4400, 3072
1708123068924, 763603, 6160, -4560, 3040
1708123068936, 763614, 6160, -4368, 3008
1708123068948, 763625, 6176, -4304, 2944
1708123068961, 763636, 6176, -4352, 2928
1708123068968, 763647, 6144, -4400, 3024
1708123068980, 763658, 6112, -4384, 3088
1708123068992, 763669, 6064, -4320, 3168
1708123069004, 763680, 6080, -4320, 3200
1708123069012, 763691, 6032, -4320, 3040
1708123069024, 763702, 6064, -4304, 3072
1708123069036, 763713, 6064, -4256, 3152
1708123069048, 763724, 6176, -4464, 3088
1708123069056, 763735, 6144, -4576, 2944
1708123069068, 763746, 6016, -4496, 2976
1708123069080, 763757, 6048, -4304, 3056
1708123069092, 763768, 6000, -4160, 3056
1708123069100, 763779, 5968, -4080, 3184
1708123069112, 763790, 6000, -4144, 3504
1708123069124, 763801, 5920, -4224, 3568
1708123069136, 763812, 5952, -4272, 3824
1708123069144, 763823, 5840, -4320, 3488
1708123069156, 763834, 6080, -4352, 3248
1708123069168, 763845, 6096, -4336, 2864
1708123069180, 763856, 6128, -4320, 2624
1708123069188, 763867, 6160, -4352, 2592
1708123069200, 763878, 6144, -4208, 2672
1708123069212, 763889, 6160, -4272, 3040
1708123069224, 763900, 6128, -4224, 3104
1708123069232, 763911, 6080, -4128, 3104
1708123069244, 763922, 6000, -4208, 3008
1708123069256, 763933, 6224, -4320, 2896
1708123069268, 763944, 6288, -4464, 2576
1708123069276, 763955, 6368, -4560, 2576
1708123069288, 763966, 6560, -4496, 2816
1708123069300, 763977, 6416, -4432, 3024
1708123069312, 763988, 6688, -4448, 3248
1708123069320, 763999, 6768, -4992, 3024
1708123069332, 764010, 7728, -5616, 2976
1708123069344, 764021, 8496, -5968, 1760
1708123069356, 764032, 9392, -6720, 320
1708123069364, 764043, 10464, -7360, -2624
1708123069376, 764054, 10608, -7600, -5616
1708123069388, 764065, 11040, -6832, -8720
1708123069400, 764076, 10848, -6000, -9504
1708123069408, 764087, 9728, -5440, -8800
1708123069420, 764098, 9552, -5008, -6208
1708123069432, 764109, 6400, -4784, -3168
1708123069444, 764120, 3904, -4896, 3376
1708123069452, 764131, 1008, -4272, 11024
1708123069464, 764142, -2256, -3392, 22960
1708123069476, 764153, -4768, -1776, 31504
1708123069488, 764164, -7264, 1120, 32608
1708123069496, 764175, -7808, 3856, 32640
1708123069508, 764186, -11392, 4208, 32640
1708123069520, 764197, -11648, -144, 30064
1708123069532, 764208, -11008, -5216, 21440
1708123069540, 764219, -9200, -12096, 12832
1708123069552, 764230, -6912, -16880, 8816
1708123069564, 764241, -4688, -20928, 4720
1708123069576, 764252, -4272, -22944, -1136
1708123069584, 764263, -1248, -23456, -11840
1708123069596, 764274, -704, -19440, -30416
1708123069608, 764285, 6448, -12912, -32496
1708123069620, 764296, 9632, -4208, -32624
1708123069628, 764307, 10144, -512, -32624
1708123069640, 764318, 8000, -176, -32624
1708123069652, 764329, 5360, -1888, -32624
1708123069664, 764340, 2240, -4368, -26640
1708123069672, 764351, 1296, -8928, -17936
1708123069684, 764362, -5936, -12816, -8928
1708123069696, 764373, -6800, -16160, 4816
1708123069708, 764384, -15056, -14400, 25776
1708123069716, 764395, -16560, -4448, 32432
1708123069728, 764406, -14832, 1904, 32640
1708123069740, 764417, -12864, 4304, 32640
1708123069752, 764428, -9872, 272, 32496
1708123069760, 764439, -6688, -3728, 17552
1708123069772, 764450, -5712, -8640, 6432
1708123069784, 764461, 2240, -12272, -2656
1708123069796, 764472, 7168, -13536, -19120
1708123069804, 764483, 11760, -11264, -31360
1708123069816, 764494, 14960, -5952, -32592
1708123069828, 764505, 13616, -3072, -32624
1708123069840, 764516, 9664, -2640, -31376
1708123069848, 764527, 8512, -2848, -19552
1708123069860, 764538, -3776, -2736, -4208
1708123069872, 764549, -5344, -80, 23856
1708123069884, 764560, -13264, 3072, 32096
1708123069892, 764571, -13424, 3088, 32624
1708123069904, 764582, -12800, 1584, 32640
1708123069916, 764593, -9664, -2960, 30048
1708123069928, 764604, -6192, -7376, 17136
1708123069936, 764615, -2896, -11408, 2944
1708123069948, 764626, -1904, -15216, -8864
1708123069960, 764637, 6928, -16704, -26192
1708123069973, 764648, 13728, -13200, -32432
1708123069981, 764659, 16000, -8896, -32624
1708123069993, 764670, 14624, -6032, -32624
1708123070005, 764681, 11552, -7328, -32624
1708123070017, 764692, 6528, -8688, -27664
1708123070025, 764703, 5056, -9104, -14816
1708123070037, 764714, -7808, -9184, 960
1708123070049, 764725, -9184, -5504, 27344
1708123070061, 764736, -16080, 272, 32320
1708123070069, 764747, -15168, 3264, 32640
1708123070081, 764758, -14128, 2608, 32640
1708123070093, 764769, -11344, -1744, 29536
1708123070105, 764780, -8048, -5760, 18288
1708123070113, 764791, -4960, -8208, 6912
1708123070125, 764802, -4256, -11040, -1376
1708123070137, 764813, 3808, -13936, -12160
1708123070149, 764824, 10288, -15664, -30896
1708123070157, 764835, 14592, -12336, -32528
1708123070169, 764846, 14896, -7440, -32624
1708123070181, 764857, 12048, -6064, -32624
1708123070193, 764868, 8096, -6320, -28192
1708123070201, 764879, 1584, -6544, -17056
1708123070213, 764890, -2592, -6960, -5344
1708123070225, 764901, -4080, -5536, 13328
1708123070237, 764912, -11984, -3168, 30432
1708123070245, 764923, -12144, 640, 32576
1708123070257, 764934, -11200, 2880, 32640
