Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122598507, 293199, 432, -2512, 6864
1708122598519, 293210, 576, -2656, 6928
1708122598531, 293221, 656, -2624, 6864
1708122598543, 293232, 656, -2352, 7216
1708122598551, 293243, 656, -2064, 7376
1708122598563, 293254, 512, -1728, 7328
1708122598575, 293265, 464, -1584, 7200
1708122598587, 293276, 544, -1616, 7232
1708122598595, 293287, 688, -1552, 7600
1708122598607, 293298, 640, -1616, 7664
1708122598619, 293309, 688, -1760, 7600
1708122598631, 293320, 736, -1744, 7632
1708122598639, 293331, 752, -1840, 7856
1708122598651, 293342, 896, -1792, 7744
1708122598663, 293353, 928, -1536, 7520
1708122598675, 293364, 944, -1216, 7504
1708122598687, 293375, 1120, -1040, 7664
1708122598695, 293386, 992, -1072, 7920
1708122598707, 293397, 928, -1264, 8080
1708122598719, 293408, 896, -1392, 8144
1708122598731, 293419, 1120, -1328, 8160
1708122598739, 293430, 1056, -1184, 7872
1708122598751, 293441, 1120, -992, 7728
1708122598763, 293452, 1088, -832, 7664
1708122598771, 293463, 1152, -624, 7920
1708122598783, 293474, 1280, -560, 7968
1708122598795, 293485, 1264, -480, 7968
1708122598807, 293496, 1392, -320, 8128
1708122598815, 293507, 1504, -480, 8368
1708122598827, 293518, 1744, -624, 8480
1708122598839, 293529, 1904, -976, 8512
1708122598851, 293540, 1968, -1024, 8416
1708122598859, 293551, 1792, -800, 8608
1708122598871, 293562, 1840, -560, 8544
1708122598883, 293573, 1840, -416, 8416
1708122598895, 293584, 1808, -688, 8496
1708122598903, 293595, 1904, -832, 8480
1708122598915, 293606, 1664, -1120, 8480
1708122598927, 293617, 1456, -1168, 8416
1708122598939, 293628, 1312, -1680, 8352
1708122598947, 293639, 1136, -2112, 7984
1708122598959, 293650, 976, -2576, 7760
1708122598971, 293661, 1008, -2912, 7504
1708122598983, 293672, 480, -3024, 7472
1708122598991, 293683, 304, -3328, 7424
1708122599003, 293694, -352, -3984, 6672
1708122599015, 293705, -768, -5216, 5200
1708122599027, 293716, -1264, -6192, 4016
1708122599039, 293727, -2224, -6912, 3136
1708122599047, 293738, -2928, -7120, 2784
1708122599059, 293749, -3760, -7200, 2480
1708122599071, 293760, -3920, -6848, 1632
1708122599079, 293771, -4624, -6672, 448
1708122599091, 293782, -4912, -6848, -464
1708122599103, 293793, -5440, -6896, -800
1708122599115, 293804, -6688, -6592, -96
1708122599127, 293815, -7648, -6080, 1168
1708122599135, 293826, -8224, -5248, 1712
1708122599147, 293837, -9120, -5520, 2384
1708122599159, 293848, -9296, -5216, 4544
1708122599171, 293859, -9360, -4448, 7968
1708122599179, 293870, -8864, -4064, 8432
1708122599191, 293881, -8240, -3632, 5984
1708122599203, 293892, -7616, -4000, 3776
1708122599215, 293903, -7152, -4800, 1648
1708122599223, 293914, -6976, -5712, 1392
1708122599235, 293925, -6944, -5968, 3664
1708122599247, 293936, -7120, -4912, 7776
1708122599259, 293947, -8384, -4144, 12080
1708122599267, 293958, -8512, -3440, 14320
1708122599279, 293969, -7600, -4096, 13968
1708122599291, 293980, -6960, -4576, 10832
1708122599303, 293991, -6896, -4512, 7776
1708122599311, 294002, -7104, -4512, 6288
1708122599323, 294013, -7104, -5664, 6336
1708122599335, 294024, -7536, -5936, 6624
1708122599347, 294035, -7424, -5984, 6992
1708122599355, 294046, -8016, -5520, 6544
1708122599367, 294057, -8336, -5184, 6416
1708122599379, 294068, -8272, -4928, 6816
1708122599391, 294079, -8256, -5088, 7776
1708122599399, 294090, -8064, -4608, 7792
1708122599411, 294101, -7776, -3856, 6928
1708122599423, 294112, -7616, -4096, 6240
1708122599435, 294123, -7840, -4224, 5792
1708122599443, 294134, -8016, -3440, 6000
1708122599455, 294145, -7904, -2480, 6416
1708122599467, 294156, -7712, -1680, 6624
1708122599479, 294167, -7408, -1360, 6864
1708122599487, 294178, -7232, -480, 7024
1708122599499, 294189, -7312, 256, 7216
1708122599511, 294200, -7040, 400, 6576
1708122599519, 294211, -6784, -352, 5872
1708122599531, 294222, -6688, -608, 6288
1708122599543, 294233, -6672, 176, 7792
1708122599555, 294244, -6800, 272, 9376
1708122599563, 294255, -6928, 624, 11024
1708122599575, 294266, -7264, 1600, 11728
1708122599587, 294277, -7616, 2800, 12992
1708122599599, 294288, -7824, 3344, 13952
1708122599607, 294299, -7888, 2400, 14048
1708122599619, 294310, -7696, 512, 12864
1708122599631, 294321, -6960, -656, 11744
1708122599643, 294332, -6848, -1232, 10160
1708122599651, 294343, -6976, -560, 9824
1708122599663, 294354, -7312, 560, 11648
1708122599675, 294365, -8064, 720, 12560
1708122599687, 294376, -8640, 752, 12576
1708122599695, 294387, -8688, 912, 11904
1708122599707, 294398, -10224, 1280, 10784
1708122599719, 294409, -10368, 1776, 9728
1708122599731, 294420, -11456, 1072, 9984
1708122599743, 294431, -11472, -784, 10400
1708122599751, 294442, -11376, -2048, 10224
1708122599763, 294453, -11216, -3296, 10752
1708122599775, 294464, -11728, -4224, 10848
1708122599787, 294475, -12512, -4352, 10560
1708122599795, 294486, -12816, -3936, 11184
1708122599807, 294497, -16176, -3760, 12592
1708122599819, 294508, -18768, -3696, 13104
1708122599831, 294519, -20688, -4016, 11536
1708122599839, 294530, -22528, -5344, 10800
1708122599851, 294541, -24304, -8320, 9968
1708122599863, 294552, -25472, -12208, 9440
1708122599875, 294563, -25632, -17376, 9232
1708122599883, 294574, -25232, -21568, 8480
1708122599895, 294585, -24672, -26160, 5872
1708122599907, 294596, -22768, -25776, -128
1708122599919, 294607, -21520, -20672, -6448
1708122599927, 294618, -20464, -15136, -7088
1708122599939, 294629, -20160, -9632, -2880
1708122599951, 294640, -19744, -6112, -592
