Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714775753, 6795103, -4048, -1856, 5920
1707714775763, 6795113, -4000, -1984, 5920
1707714775773, 6795123, -4016, -1984, 5888
1707714775783, 6795133, -4048, -2048, 5904
1707714775793, 6795143, -3984, -2064, 5872
1707714775803, 6795153, -3920, -2016, 5920
1707714775813, 6795163, -3904, -1968, 6000
1707714775823, 6795173, -3872, -1936, 6048
1707714775833, 6795183, -3904, -1968, 6112
1707714775843, 6795193, -4000, -1968, 6160
1707714775853, 6795203, -4048, -1968, 6176
1707714775863, 6795213, -4080, -1792, 6272
1707714775873, 6795223, -4096, -1696, 6256
1707714775883, 6795233, -4128, -1568, 6288
1707714775893, 6795243, -4144, -1488, 6272
1707714775903, 6795253, -4112, -1312, 6176
1707714775913, 6795263, -4112, -1200, 6192
1707714775923, 6795273, -4112, -1184, 6288
1707714775933, 6795283, -4128, -1104, 6352
1707714775943, 6795293, -4144, -1024, 6368
1707714775953, 6795303, -4144, -1008, 6336
1707714775963, 6795313, -4176, -928, 6368
1707714775973, 6795323, -4272, -848, 6336
1707714775983, 6795333, -4224, -848, 6320
1707714775993, 6795343, -4272, -800, 6320
1707714776003, 6795353, -4304, -800, 6272
1707714776013, 6795363, -4256, -704, 6288
1707714776023, 6795373, -4256, -656, 6256
1707714776033, 6795383, -4240, -576, 6272
1707714776043, 6795393, -4208, -624, 6272
1707714776053, 6795403, -4224, -592, 6368
1707714776063, 6795413, -4192, -496, 6240
1707714776073, 6795423, -4224, -560, 6272
1707714776083, 6795433, -4240, -432, 6288
1707714776093, 6795443, -4208, -528, 6304
1707714776103, 6795453, -4208, -512, 6240
1707714776113, 6795463, -4208, -464, 6208
1707714776123, 6795473, -4256, -448, 6352
1707714776133, 6795483, -4272, -416, 6480
1707714776143, 6795493, -4256, -416, 6496
1707714776153, 6795503, -4336, -272, 6576
1707714776163, 6795513, -4336, -400, 6656
1707714776173, 6795523, -4256, -416, 6640
1707714776183, 6795533, -4208, -544, 6704
1707714776193, 6795543, -4176, -624, 6624
1707714776203, 6795553, -4144, -704, 6656
1707714776213, 6795563, -4112, -768, 6640
1707714776223, 6795573, -4080, -896, 6640
1707714776233, 6795583, -4128, -864, 6656
1707714776243, 6795593, -4064, -992, 6688
1707714776253, 6795603, -4128, -992, 6656
1707714776263, 6795613, -4128, -1072, 6608
1707714776273, 6795623, -4160, -1168, 6640
1707714776283, 6795633, -4112, -1232, 6768
1707714776293, 6795643, -4144, -1360, 6752
1707714776303, 6795653, -4128, -1312, 6736
1707714776313, 6795663, -4112, -1456, 6592
1707714776323, 6795673, -4096, -1488, 6480
1707714776333, 6795683, -4096, -1600, 6528
1707714776343, 6795693, -4096, -1632, 6528
1707714776353, 6795703, -4048, -1664, 6512
1707714776363, 6795713, -4016, -1664, 6528
1707714776373, 6795723, -4000, -1696, 6480
1707714776383, 6795733, -3968, -1680, 6400
1707714776393, 6795743, -3920, -1696, 6384
1707714776403, 6795753, -3904, -1664, 6320
1707714776413, 6795763, -3920, -1776, 6176
1707714776423, 6795773, -3904, -1744, 6176
1707714776433, 6795783, -3936, -1808, 6080
1707714776443, 6795793, -4000, -1808, 6064
1707714776453, 6795803, -4064, -1840, 5968
1707714776463, 6795813, -4112, -1792, 5968
1707714776473, 6795823, -4176, -1776, 5920
1707714776483, 6795833, -4208, -1664, 5968
1707714776493, 6795843, -4160, -1648, 5888
1707714776503, 6795853, -4128, -1632, 5904
1707714776513, 6795863, -4160, -1616, 5936
1707714776523, 6795873, -4128, -1568, 5952
1707714776533, 6795883, -4096, -1504, 5920
1707714776543, 6795893, -4080, -1536, 5968
1707714776553, 6795903, -4048, -1568, 6144
1707714776563, 6795913, -4064, -1664, 6320
1707714776573, 6795923, -4016, -1680, 6400
1707714776583, 6795933, -4048, -1728, 6432
1707714776593, 6795943, -4032, -1792, 6512
1707714776603, 6795953, -4032, -1872, 6448
1707714776613, 6795963, -4064, -1936, 6400
1707714776623, 6795973, -4064, -1984, 6448
1707714776633, 6795983, -4064, -2000, 6432
1707714776643, 6795993, -4080, -1952, 6560
1707714776653, 6796003, -4096, -1952, 6512
1707714776663, 6796013, -4112, -1968, 6560
1707714776673, 6796023, -4096, -1968, 6672
1707714776683, 6796033, -4144, -1936, 6656
1707714776693, 6796043, -4176, -1920, 6624
1707714776703, 6796053, -4176, -1968, 6592
1707714776713, 6796063, -4144, -1984, 6608
1707714776723, 6796073, -4064, -1936, 6576
1707714776733, 6796083, -4080, -1984, 6560
1707714776743, 6796093, -4048, -2032, 6560
1707714776753, 6796103, -4048, -1968, 6576
1707714776763, 6796113, -4032, -1984, 6560
1707714776773, 6796123, -3952, -2112, 6464
1707714776783, 6796133, -3984, -2096, 6448
1707714776793, 6796143, -4048, -2128, 6368
1707714776803, 6796153, -4032, -2128, 6304
1707714776813, 6796163, -4000, -2320, 6288
1707714776823, 6796173, -4000, -2432, 6160
1707714776833, 6796183, -3936, -2544, 6080
1707714776843, 6796193, -3968, -2608, 5984
1707714776853, 6796203, -4048, -2592, 6000
1707714776863, 6796213, -4064, -2640, 5936
1707714776873, 6796223, -4112, -2656, 5936
1707714776883, 6796233, -4192, -2656, 5920
1707714776893, 6796243, -4304, -2704, 5984
1707714776903, 6796253, -4320, -2688, 6016
1707714776913, 6796263, -4384, -2784, 5968
1707714776923, 6796273, -4304, -2928, 5984
1707714776933, 6796283, -4224, -2944, 5936
1707714776943, 6796293, -4256, -3136, 5920
1707714776953, 6796303, -4128, -3232, 5904
1707714776963, 6796313, -4176, -3280, 5920
1707714776973, 6796323, -4256, -3360, 5872
1707714776983, 6796333, -4272, -3424, 5904
1707714776993, 6796343, -4272, -3424, 5952
1707714777003, 6796353, -4240, -3472, 5776
1707714777013, 6796363, -4256, -3472, 5792
1707714777023, 6796373, -4240, -3488, 5616
1707714777033, 6796383, -4272, -3472, 5536
1707714777043, 6796393, -4288, -3568, 5552
1707714777053, 6796403, -4304, -3600, 5456
1707714777063, 6796413, -4480, -3504, 5408
1707714777073, 6796423, -4528, -3424, 5312
1707714777083, 6796433, -4560, -3408, 5184
1707714777093, 6796443, -4608, -3440, 5072
1707714777103, 6796453, -4640, -3456, 4928
1707714777113, 6796463, -4576, -3552, 4752
1707714777123, 6796473, -4560, -3664, 4624
1707714777133, 6796483, -4608, -3664, 4496
1707714777143, 6796493, -4576, -3744, 4368
1707714777153, 6796503, -4576, -3872, 4176
1707714777163, 6796513, -4576, -3920, 4048
1707714777173, 6796523, -4544, -4048, 4016
1707714777183, 6796533, -4480, -4048, 3952
1707714777193, 6796543, -4384, -4016, 3920
1707714777203, 6796553, -4512, -3968, 3856
1707714777213, 6796563, -4432, -3824, 3840
1707714777223, 6796573, -4368, -3792, 3840
1707714777233, 6796583, -4384, -3728, 3952
1707714777243, 6796593, -4272, -3632, 3984
1707714777253, 6796603, -4160, -3600, 3984
1707714777263, 6796613, -4096, -3536, 4048
1707714777273, 6796623, -3984, -3520, 4080
1707714777283, 6796633, -3904, -3504, 4160
1707714777293, 6796643, -3856, -3584, 4160
1707714777303, 6796653, -3840, -3600, 4320
1707714777313, 6796663, -3824, -3664, 4544
1707714777323, 6796673, -3840, -3648, 4848
1707714777333, 6796683, -3760, -3472, 4864
1707714777343, 6796693, -3712, -3216, 4656
1707714777353, 6796703, -3648, -3136, 4432
1707714777363, 6796713, -3504, -2896, 4112
1707714777373, 6796723, -3376, -2736, 4064
1707714777383, 6796733, -3488, -2736, 4448
1707714777393, 6796743, -3568, -2864, 5056
