Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714243885, 6263233, -1520, -5936, 4912
1707714243895, 6263243, -1248, -6064, 5360
1707714243905, 6263253, -1408, -6128, 5888
1707714243915, 6263263, -1248, -5952, 6576
1707714243925, 6263273, -1392, -5504, 6944
1707714243935, 6263283, -1472, -5104, 7072
1707714243945, 6263293, -1504, -4816, 7232
1707714243955, 6263303, -1504, -4720, 7344
1707714243965, 6263313, -1376, -4464, 7456
1707714243975, 6263323, -1152, -4592, 7712
1707714243985, 6263333, -848, -4992, 7824
1707714243995, 6263343, -800, -5648, 8160
1707714244005, 6263353, -544, -6240, 8208
1707714244015, 6263363, -336, -6528, 8096
1707714244025, 6263373, -352, -6640, 7968
1707714244035, 6263383, -256, -6672, 7952
1707714244045, 6263393, -240, -6512, 8080
1707714244055, 6263403, -432, -6464, 8336
1707714244065, 6263413, -640, -6208, 8560
1707714244075, 6263423, 224, -7120, 8448
1707714244085, 6263433, 1232, -7952, 8160
1707714244095, 6263443, 1216, -7536, 7808
1707714244105, 6263453, 1488, -7520, 7776
1707714244115, 6263463, 1488, -7216, 7776
1707714244125, 6263473, 1488, -6976, 7936
1707714244135, 6263483, 1488, -6736, 8448
1707714244145, 6263493, 1712, -6160, 8752
1707714244155, 6263503, 2192, -5808, 8880
1707714244165, 6263513, 2736, -5200, 8944
1707714244175, 6263523, 3200, -4656, 8832
1707714244185, 6263533, 3504, -4320, 8816
1707714244195, 6263543, 3568, -3792, 8864
1707714244205, 6263553, 3600, -2944, 9504
1707714244215, 6263563, 3616, -2048, 10480
1707714244225, 6263573, 3488, -1776, 11408
1707714244235, 6263583, 3152, -1264, 12208
1707714244245, 6263593, 2672, -1280, 13344
1707714244255, 6263603, 2000, -2016, 14160
1707714244265, 6263613, 1344, -2496, 14832
1707714244275, 6263623, 672, -2736, 15024
1707714244285, 6263633, 80, -2816, 15088
1707714244295, 6263643, -576, -3232, 14992
1707714244305, 6263653, -1344, -3376, 15104
1707714244315, 6263663, -2496, -3840, 15040
1707714244325, 6263673, -3808, -4512, 14400
1707714244335, 6263683, -4928, -5280, 13280
1707714244345, 6263693, -6208, -5680, 12176
1707714244355, 6263703, -7104, -5328, 10976
1707714244365, 6263713, -7920, -4928, 9776
1707714244375, 6263723, -8720, -4864, 8544
1707714244385, 6263733, -9200, -4800, 6976
1707714244395, 6263743, -9904, -4768, 5552
1707714244405, 6263753, -10464, -4752, 4032
1707714244415, 6263763, -11056, -4256, 2608
1707714244425, 6263773, -11936, -3840, 1328
1707714244435, 6263783, -12384, -2992, -512
1707714244445, 6263793, -12608, -2176, -2096
1707714244455, 6263803, -12592, -1744, -3248
1707714244465, 6263813, -12656, -2112, -3840
1707714244475, 6263823, -13168, -3024, -3792
1707714244485, 6263833, -13712, -4064, -3536
1707714244495, 6263843, -14592, -5520, -3616
1707714244505, 6263853, -15200, -6720, -4016
1707714244515, 6263863, -15504, -8128, -4720
1707714244525, 6263873, -15264, -9776, -5520
1707714244535, 6263883, -15520, -11904, -6368
1707714244545, 6263893, -15472, -13168, -7424
1707714244555, 6263903, -15088, -13760, -8288
1707714244565, 6263913, -14384, -13664, -8720
1707714244575, 6263923, -13360, -12944, -9040
1707714244585, 6263933, -12880, -12896, -9168
1707714244595, 6263943, -12304, -12464, -8528
1707714244605, 6263953, -12112, -12080, -7584
1707714244615, 6263963, -12416, -11728, -6448
1707714244625, 6263973, -12848, -11408, -5136
1707714244635, 6263983, -13584, -11472, -3872
1707714244645, 6263993, -14048, -11408, -2768
1707714244655, 6264003, -14176, -11056, -1328
1707714244665, 6264013, -14416, -11056, 32
