Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714597104, 6616453, -5184, -6496, 4848
1707714597114, 6616463, -5072, -6288, 4960
1707714597124, 6616473, -5120, -6304, 5056
1707714597134, 6616483, -5168, -6560, 4896
1707714597144, 6616493, -5216, -6848, 4752
1707714597154, 6616503, -5472, -7232, 4784
1707714597164, 6616513, -5776, -7616, 4656
1707714597174, 6616523, -5888, -7584, 4560
1707714597184, 6616533, -5776, -7648, 4336
1707714597194, 6616543, -5664, -7856, 4064
1707714597204, 6616553, -5664, -8144, 3856
1707714597214, 6616563, -5792, -8528, 3728
1707714597224, 6616573, -5728, -8832, 3584
1707714597234, 6616583, -5808, -9136, 3552
1707714597244, 6616593, -5744, -9312, 3760
1707714597254, 6616603, -5632, -9472, 3680
1707714597264, 6616613, -5648, -9616, 3744
1707714597274, 6616623, -5904, -9888, 3968
1707714597284, 6616633, -6208, -9776, 4320
1707714597294, 6616643, -6208, -9424, 4656
1707714597304, 6616653, -6240, -8992, 5200
1707714597314, 6616663, -6304, -8560, 5904
1707714597324, 6616673, -6384, -8272, 6864
1707714597334, 6616683, -6400, -8016, 7824
1707714597344, 6616693, -6176, -7696, 8592
1707714597354, 6616703, -5952, -7632, 9200
1707714597364, 6616713, -5504, -7632, 9872
1707714597374, 6616723, -4864, -7712, 10160
1707714597384, 6616733, -4080, -8048, 10304
1707714597394, 6616743, -3552, -8288, 10128
1707714597404, 6616753, -3200, -8736, 9856
1707714597414, 6616763, -2656, -8912, 9888
1707714597424, 6616773, -2144, -8960, 9872
1707714597434, 6616783, -1776, -8960, 10416
1707714597444, 6616793, -1552, -8624, 11296
1707714597454, 6616803, -1088, -8144, 12160
1707714597464, 6616813, -576, -7792, 13232
1707714597474, 6616823, 144, -7568, 14128
1707714597484, 6616833, 1120, -7504, 14512
1707714597494, 6616843, 2112, -7808, 14496
1707714597504, 6616853, 3840, -8048, 14032
1707714597514, 6616863, 3712, -8368, 14208
1707714597524, 6616873, 3632, -8544, 14592
1707714597534, 6616883, 3968, -8208, 14016
1707714597544, 6616893, 4384, -7904, 13104
1707714597554, 6616903, 4064, -7376, 12544
1707714597564, 6616913, 3520, -6704, 12096
1707714597574, 6616923, 3056, -5968, 11296
1707714597584, 6616933, 2544, -5600, 10528
1707714597594, 6616943, 2032, -5632, 9680
1707714597604, 6616953, 1856, -5824, 8640
1707714597614, 6616963, 1728, -6352, 7488
1707714597624, 6616973, 1472, -7088, 6240
1707714597634, 6616983, 1056, -7984, 5136
1707714597644, 6616993, -224, -9200, 4640
1707714597654, 6617003, -1920, -10208, 4128
1707714597664, 6617013, -4448, -10976, 3920
1707714597674, 6617023, -7392, -11360, 4640
1707714597684, 6617033, -10464, -10608, 5504
1707714597694, 6617043, -13504, -9424, 6944
1707714597704, 6617053, -15792, -7760, 8048
1707714597714, 6617063, -16736, -6032, 8144
1707714597724, 6617073, -16448, -5184, 6464
1707714597734, 6617083, -16144, -4768, 4160
1707714597744, 6617093, -15376, -3776, 1456
1707714597754, 6617103, -15440, -4048, -144
1707714597764, 6617113, -14784, -1968, -2240
1707714597774, 6617123, -14528, 48, -3824
1707714597784, 6617133, -14256, 2944, -5424
1707714597794, 6617143, -13712, 4944, -6496
1707714597804, 6617153, -14144, 5024, -6144
1707714597814, 6617163, -14368, 4512, -5152
1707714597824, 6617173, -14496, 4352, -3632
1707714597834, 6617183, -15680, 5264, -2496
1707714597844, 6617193, -15744, 6576, -2080
1707714597854, 6617203, -16160, 7968, -1456
1707714597864, 6617213, -16160, 9568, -1392
1707714597874, 6617223, -16208, 10992, -1040
1707714597884, 6617233, -16320, 12240, -1088
1707714597894, 6617243, -16400, 13264, -1280
1707714597904, 6617253, -16384, 13536, -1744
1707714597914, 6617263, -16144, 13552, -2128
1707714597924, 6617273, -15840, 13792, -2496
1707714597934, 6617283, -15584, 13856, -2592
1707714597944, 6617293, -15680, 13648, -2576
1707714597954, 6617303, -15920, 13360, -2768
1707714597964, 6617313, -16544, 12944, -2864
1707714597974, 6617323, -17472, 12960, -2976
1707714597984, 6617333, -18448, 13504, -3312
1707714597994, 6617343, -19328, 14480, -3808
1707714598004, 6617353, -20208, 14944, -4512
1707714598014, 6617363, -21168, 14800, -4448
1707714598024, 6617373, -21952, 14160, -3952
1707714598034, 6617383, -22608, 13072, -3184
1707714598044, 6617393, -23616, 11568, -1600
1707714598054, 6617403, -24608, 10192, 208
1707714598064, 6617413, -25856, 8848, 1760
1707714598074, 6617423, -27264, 7360, 3232
1707714598084, 6617433, -29280, 5152, 4928
1707714598094, 6617443, -31520, 1984, 6800
1707714598104, 6617453, -32560, -2320, 8752
1707714598114, 6617463, -32624, -7648, 10480
1707714598124, 6617473, -32624, -12528, 11248
1707714598134, 6617483, -32624, -15936, 11728
1707714598144, 6617493, -32624, -19632, 12144
1707714598154, 6617503, -32624, -24048, 13024
1707714598164, 6617513, -32624, -27456, 13504
1707714598174, 6617523, -32624, -28880, 14288
1707714598184, 6617533, -32624, -27472, 15088
1707714598194, 6617543, -32624, -27648, 15728
1707714598204, 6617553, -32624, -30848, 14480
1707714598214, 6617563, -32624, -32528, 10704
1707714598224, 6617573, -32496, -32624, 4352
1707714598234, 6617583, -24016, -32624, -5072
1707714598244, 6617593, -14224, -32624, -11200
1707714598254, 6617603, -8160, -32624, -10272
1707714598264, 6617613, -6112, -29264, -6272
1707714598274, 6617623, -6592, -24880, -1920
1707714598284, 6617633, -6816, -20688, 2752
1707714598294, 6617643, -6256, -17520, 5600
1707714598304, 6617653, -5920, -16512, 6736
1707714598314, 6617663, -5824, -16224, 5216
1707714598324, 6617673, -5616, -15136, 3264
1707714598334, 6617683, -6176, -13792, 2064
1707714598344, 6617693, -6816, -12768, 1536
1707714598354, 6617703, -7504, -11072, 1520
1707714598364, 6617713, -8208, -8864, 1488
1707714598374, 6617723, -9024, -6448, 1472
1707714598384, 6617733, -9664, -4448, 1648
1707714598394, 6617743, -10240, -2672, 1936
1707714598404, 6617753, -10336, -1872, 2016
1707714598414, 6617763, -11072, -2240, 2768
1707714598424, 6617773, -11904, -3232, 2704
1707714598434, 6617783, -11600, -4448, 2480
1707714598444, 6617793, -10672, -5776, 2096
1707714598454, 6617803, -10368, -7040, 2272
1707714598464, 6617813, -11360, -7328, 3216
1707714598474, 6617823, -11408, -6480, 4336
1707714598484, 6617833, -11136, -8944, 5008
1707714598494, 6617843, -10368, -10944, 5584
1707714598504, 6617853, -9984, -11696, 6416
1707714598514, 6617863, -9600, -12208, 6928
1707714598524, 6617873, -8672, -12592, 6928
1707714598534, 6617883, -8112, -13040, 6240
1707714598544, 6617893, -7872, -13280, 5152
1707714598554, 6617903, -8064, -12624, 4208
1707714598564, 6617913, -8048, -11536, 3136
1707714598574, 6617923, -7616, -10272, 2512
1707714598584, 6617933, -8016, -8896, 2304
1707714598594, 6617943, -8560, -8192, 2272
1707714598604, 6617953, -8864, -7552, 2288
1707714598614, 6617963, -8672, -7040, 2352
1707714598624, 6617973, -8240, -7584, 2528
1707714598634, 6617983, -8096, -8400, 2704
1707714598644, 6617993, -7776, -8832, 2624
1707714598654, 6618003, -7456, -9184, 2640
1707714598664, 6618013, -7328, -9136, 2912
1707714598674, 6618023, -7120, -8448, 3168
1707714598684, 6618033, -7072, -8080, 3376
1707714598694, 6618043, -7184, -7616, 3312
1707714598704, 6618053, -7184, -8112, 3360
1707714598714, 6618063, -6944, -8128, 2752
1707714598724, 6618073, -6768, -8560, 1456
