Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714407675, 6427023, -3040, -7584, 2512
1707714407685, 6427033, -3008, -7552, 2368
1707714407695, 6427043, -2976, -7472, 2496
1707714407705, 6427053, -2960, -7280, 2560
1707714407715, 6427063, -2896, -7232, 2608
1707714407725, 6427073, -2848, -7232, 2672
1707714407735, 6427083, -2816, -7168, 2816
1707714407745, 6427093, -2624, -7312, 2944
1707714407755, 6427103, -2640, -7584, 3120
1707714407765, 6427113, -2432, -7952, 3200
1707714407775, 6427123, -2320, -8320, 3184
1707714407785, 6427133, -2080, -8448, 3104
1707714407795, 6427143, -1984, -8480, 2992
1707714407805, 6427153, -1840, -8352, 2944
1707714407815, 6427163, -1856, -8304, 2880
1707714407825, 6427173, -1968, -8192, 2784
1707714407835, 6427183, -1840, -8224, 2896
1707714407845, 6427193, -1984, -8304, 2944
1707714407855, 6427203, -2128, -8464, 2992
1707714407865, 6427213, -2320, -8384, 3056
1707714407875, 6427223, -2496, -8288, 3280
1707714407885, 6427233, -2704, -8208, 3632
1707714407895, 6427243, -3264, -8288, 4064
1707714407905, 6427253, -3760, -8176, 4544
1707714407915, 6427263, -3936, -7872, 4944
1707714407925, 6427273, -4256, -7568, 5504
1707714407935, 6427283, -4560, -7056, 6016
1707714407945, 6427293, -5120, -6528, 6432
1707714407955, 6427303, -5760, -6208, 6960
1707714407965, 6427313, -6432, -5792, 7536
1707714407975, 6427323, -7024, -5088, 7968
1707714407985, 6427333, -7776, -3792, 8672
1707714407995, 6427343, -8032, -3456, 9360
1707714408005, 6427353, -8336, -3712, 10688
1707714408015, 6427363, -8752, -4000, 12320
1707714408025, 6427373, -9056, -4688, 14080
1707714408035, 6427383, -9232, -5216, 15504
1707714408045, 6427393, -8960, -4832, 15744
1707714408055, 6427403, -10112, -6592, 16288
1707714408065, 6427413, -11152, -8016, 16080
1707714408075, 6427423, -12080, -9088, 15216
1707714408085, 6427433, -12080, -9248, 13312
1707714408095, 6427443, -12224, -9008, 11856
1707714408105, 6427453, -12864, -9152, 10592
1707714408115, 6427463, -13600, -9712, 9072
1707714408125, 6427473, -14208, -10256, 7488
1707714408135, 6427483, -14464, -10800, 5760
1707714408145, 6427493, -14768, -11152, 4288
1707714408155, 6427503, -14960, -11424, 3072
1707714408165, 6427513, -14896, -11632, 1984
1707714408175, 6427523, -14752, -11616, 1264
1707714408185, 6427533, -14640, -11840, 832
1707714408195, 6427543, -14576, -12144, 592
1707714408205, 6427553, -14496, -12288, 672
1707714408215, 6427563, -14704, -12304, 1104
1707714408225, 6427573, -15312, -12320, 1888
1707714408235, 6427583, -16016, -12048, 3040
1707714408245, 6427593, -16880, -11984, 4176
1707714408255, 6427603, -18096, -12048, 5312
1707714408265, 6427613, -18928, -11936, 5744
1707714408275, 6427623, -19872, -11280, 5744
1707714408285, 6427633, -23312, -13872, 6688
1707714408295, 6427643, -26768, -16816, 7184
1707714408305, 6427653, -29632, -18832, 6704
1707714408315, 6427663, -32208, -19744, 5184
1707714408325, 6427673, -32608, -19488, 2688
1707714408335, 6427683, -32624, -16016, 192
