Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707715034420, 7053773, 1248, 1648, 4800
1707715034430, 7053783, 992, 1856, 3920
1707715034440, 7053793, 1280, 2128, 3328
1707715034450, 7053803, 1680, 2224, 2944
1707715034460, 7053813, 1920, 2080, 2688
1707715034470, 7053823, 2032, 2000, 2560
1707715034480, 7053833, 2224, 1904, 2304
1707715034490, 7053843, 2240, 2080, 1968
1707715034500, 7053853, 2576, 2016, 1376
1707715034510, 7053863, 2816, 1632, 1120
1707715034520, 7053873, 2848, 1472, 1104
1707715034530, 7053883, 3056, 880, 1488
1707715034540, 7053893, 3168, 544, 1984
1707715034550, 7053903, 3024, 704, 2192
1707715034560, 7053913, 2864, 1072, 2160
1707715034570, 7053923, 2448, 1408, 2240
1707715034580, 7053933, 1888, 1632, 2368
1707715034590, 7053943, 1744, 2048, 2880
1707715034600, 7053953, 1536, 2512, 3232
1707715034610, 7053963, 1200, 2832, 3456
1707715034620, 7053973, 800, 2864, 4128
1707715034630, 7053983, 832, 2848, 4432
1707715034640, 7053993, 400, 2704, 4960
1707715034650, 7054003, 848, 2752, 4624
1707715034660, 7054013, 96, 3232, 6512
1707715034670, 7054023, -80, 3776, 6864
1707715034680, 7054033, -1008, 3376, 7872
1707715034690, 7054043, -1184, 4112, 8448
1707715034700, 7054053, -1744, 4528, 8928
1707715034710, 7054063, -2304, 5296, 9856
1707715034720, 7054073, -3088, 5648, 9776
1707715034730, 7054083, -4064, 6672, 9760
1707715034740, 7054093, -4416, 7008, 8976
1707715034750, 7054103, -5344, 8080, 9280
1707715034760, 7054113, -5744, 8896, 8800
1707715034772, 7054123, -6560, 10032, 8976
1707715034782, 7054133, -6848, 10544, 8928
1707715034792, 7054143, -7488, 11504, 9152
1707715034802, 7054153, -7664, 11744, 8560
1707715034812, 7054163, -7824, 11024, 8000
1707715034822, 7054173, -7872, 10800, 7520
1707715034832, 7054183, -7888, 10720, 6832
1707715034842, 7054193, -7920, 10784, 6320
1707715034852, 7054203, -8032, 10880, 6512
1707715034862, 7054213, -8144, 10720, 6320
1707715034872, 7054223, -8048, 10224, 5808
1707715034880, 7054233, -8000, 9504, 5520
1707715034890, 7054243, -7776, 9008, 5168
1707715034900, 7054253, -7728, 8240, 5168
1707715034910, 7054263, -7664, 7184, 5120
1707715034920, 7054273, -7904, 6160, 5200
1707715034930, 7054283, -8208, 5232, 5024
1707715034940, 7054293, -8368, 4480, 4288
1707715034950, 7054303, -8544, 3184, 3520
1707715034960, 7054313, -8464, 1360, 2944
1707715034970, 7054323, -8224, -112, 2624
1707715034982, 7054333, -7520, -1152, 1984
1707715034992, 7054343, -7600, -1984, 2096
1707715035002, 7054353, -7456, -2384, 1824
1707715035012, 7054363, -7280, -3760, 1392
1707715035020, 7054373, -6896, -5376, 736
1707715035030, 7054383, -6016, -6848, -64
1707715035042, 7054393, -5760, -7504, -672
1707715035052, 7054403, -6096, -8048, -1152
1707715035062, 7054413, -6128, -9376, -896
1707715035072, 7054423, -5168, -8112, -2544
1707715035082, 7054433, -5056, -8880, -3072
1707715035092, 7054443, -5360, -10880, -3120
1707715035102, 7054453, -4608, -12464, -2992
1707715035112, 7054463, -4400, -14224, -3360
1707715035122, 7054473, -4080, -15152, -3664
1707715035132, 7054483, -3472, -15280, -4080
1707715035142, 7054493, -3200, -15456, -4432
1707715035152, 7054503, -3760, -15968, -3936
1707715035162, 7054513, -3920, -15808, -2448
1707715035172, 7054523, -4080, -15600, -1408
1707715035182, 7054533, -4224, -15216, -832
1707715035192, 7054543, -4144, -15312, -384
1707715035202, 7054553, -4144, -15680, -128
1707715035212, 7054563, -4000, -15408, -208
1707715035222, 7054573, -3792, -14560, 112
1707715035232, 7054583, -3824, -13744, 432
1707715035242, 7054593, -3728, -13056, 416
1707715035252, 7054603, -3680, -12464, 400
1707715035262, 7054613, -3296, -12272, 208
1707715035272, 7054623, -2944, -12240, 128
1707715035282, 7054633, -2640, -12240, 208
1707715035292, 7054643, -2288, -12240, 416
1707715035302, 7054653, -1968, -11872, 624
1707715035312, 7054663, -1840, -11680, 752
1707715035322, 7054673, -2096, -11264, 784
1707715035330, 7054683, -2336, -9872, 544
1707715035340, 7054693, -2272, -9008, 288
1707715035350, 7054703, -2640, -8592, -48
1707715035362, 7054713, -3344, -8224, -704
1707715035372, 7054723, -3680, -7312, -1824
1707715035382, 7054733, -4480, -6096, -2576
1707715035392, 7054743, -5824, -4208, -3280
1707715035402, 7054753, -7040, -1056, -3056
1707715035412, 7054763, -7936, 1024, -2368
1707715035422, 7054773, -8224, 1456, -1424
1707715035430, 7054783, -9104, -128, -272
1707715035442, 7054793, -11072, -1552, 1264
1707715035452, 7054803, -13792, -2576, 3152
1707715035462, 7054813, -16992, -2096, 5504
1707715035470, 7054823, -19632, 560, 8544
1707715035482, 7054833, -20320, 4576, 12560
1707715035492, 7054843, -19296, 8656, 15728
1707715035502, 7054853, -17776, 11872, 17840
1707715035512, 7054863, -17824, 13440, 18544
1707715035522, 7054873, -17184, 15200, 17504
1707715035532, 7054883, -16704, 15376, 15744
1707715035542, 7054893, -17040, 14160, 14784
1707715035552, 7054903, -17376, 13056, 14928
1707715035562, 7054913, -17072, 11536, 15616
1707715035572, 7054923, -16576, 9472, 16768
1707715035582, 7054933, -15824, 7088, 18224
1707715035592, 7054943, -15152, 3968, 20144
1707715035602, 7054953, -14512, 800, 22416
1707715035612, 7054963, -13584, -1984, 24128
1707715035622, 7054973, -13472, -2720, 25120
1707715035632, 7054983, -12688, -2416, 25248
1707715035642, 7054993, -11712, -528, 24464
1707715035652, 7055003, -11232, 928, 22496
1707715035662, 7055013, -11408, 2416, 20656
1707715035672, 7055023, -11936, 2944, 18656
1707715035682, 7055033, -12416, 2592, 16784
1707715035692, 7055043, -12752, 1440, 14736
1707715035702, 7055053, -12800, 448, 13824
1707715035712, 7055063, -13088, -560, 13696
1707715035722, 7055073, -12864, -1120, 13456
1707715035732, 7055083, -12352, -2160, 13552
1707715035742, 7055093, -11920, -3584, 14208
1707715035752, 7055103, -10928, -5200, 14240
1707715035762, 7055113, -9184, -7472, 13056
1707715035772, 7055123, -9200, -7856, 10976
1707715035782, 7055133, -6480, -9168, 5056
1707715035792, 7055143, -3840, -9168, 2016
1707715035802, 7055153, -2336, -10240, 1408
1707715035812, 7055163, -4160, -9952, 5264
1707715035822, 7055173, -1600, -8416, 2960
1707715035832, 7055183, -1408, -7344, 2432
1707715035842, 7055193, -1120, -7280, 2240
1707715035852, 7055203, -1760, -4896, 2992
1707715035862, 7055213, -2304, -4288, 2928
