Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714642533, 6661883, -5408, -7408, 4224
1707714642543, 6661893, -5264, -8096, 3664
1707714642553, 6661903, -5200, -8784, 3104
1707714642563, 6661913, -5152, -9456, 2432
1707714642573, 6661923, -5168, -9808, 2016
1707714642583, 6661933, -5376, -9984, 1744
1707714642593, 6661943, -5744, -10048, 1536
1707714642603, 6661953, -6240, -10192, 1616
1707714642613, 6661963, -6432, -10448, 1616
1707714642623, 6661973, -6784, -11136, 1408
1707714642633, 6661983, -7088, -11840, 1024
1707714642643, 6661993, -7376, -12448, 672
1707714642653, 6662003, -7904, -13216, 688
1707714642663, 6662013, -8416, -13536, 1104
1707714642673, 6662023, -8944, -13584, 1360
1707714642683, 6662033, -9632, -13552, 1184
1707714642693, 6662043, -10464, -13280, 576
1707714642703, 6662053, -11328, -12560, -32
1707714642713, 6662063, -12048, -12064, -816
1707714642723, 6662073, -12480, -11600, -1296
1707714642733, 6662083, -12960, -10976, -1264
1707714642743, 6662093, -13392, -10208, -1152
1707714642753, 6662103, -13680, -9104, -832
1707714642763, 6662113, -13904, -8144, -528
1707714642773, 6662123, -13856, -7456, -624
1707714642783, 6662133, -13616, -6976, -944
1707714642793, 6662143, -13344, -6800, -1312
1707714642803, 6662153, -13152, -6608, -1872
1707714642813, 6662163, -13008, -6608, -2368
1707714642823, 6662173, -12576, -6720, -2912
1707714642833, 6662183, -12016, -6768, -3312
1707714642843, 6662193, -11456, -7008, -3504
1707714642853, 6662203, -11200, -7264, -3456
1707714642863, 6662213, -10992, -7312, -3552
1707714642873, 6662223, -10816, -7280, -3776
1707714642883, 6662233, -10704, -6976, -3696
1707714642893, 6662243, -10640, -6656, -3520
1707714642903, 6662253, -10640, -5984, -3344
1707714642913, 6662263, -10752, -5424, -3472
1707714642923, 6662273, -10896, -4832, -3664
1707714642933, 6662283, -11008, -4384, -3872
1707714642943, 6662293, -10912, -4096, -3952
1707714642953, 6662303, -10672, -4176, -4176
1707714642963, 6662313, -10192, -4464, -4544
1707714642973, 6662323, -9744, -4848, -4928
1707714642983, 6662333, -9440, -5024, -5296
1707714642993, 6662343, -9200, -5184, -5424
1707714643003, 6662353, -9088, -5232, -5568
1707714643013, 6662363, -9184, -5104, -5456
1707714643023, 6662373, -9296, -4896, -5216
1707714643033, 6662383, -9680, -4400, -4864
1707714643043, 6662393, -10128, -3584, -4640
1707714643053, 6662403, -10336, -2768, -4272
1707714643063, 6662413, -10560, -2160, -3600
1707714643073, 6662423, -10560, -1536, -3056
1707714643083, 6662433, -10720, -1024, -2544
1707714643093, 6662443, -10864, -256, -2240
1707714643103, 6662453, -10704, 96, -1904
1707714643113, 6662463, -10416, 320, -1536
1707714643123, 6662473, -10112, 624, -1328
1707714643133, 6662483, -9424, 768, -1248
1707714643143, 6662493, -9168, 1056, -1248
1707714643153, 6662503, -8992, 1472, -976
1707714643163, 6662513, -8704, 1760, -880
1707714643173, 6662523, -8368, 2000, -816
1707714643183, 6662533, -8176, 2336, -784
1707714643193, 6662543, -7888, 2784, -1008
1707714643203, 6662553, -7632, 3104, -1088
1707714643213, 6662563, -7536, 3280, -1040
1707714643223, 6662573, -7600, 3584, -864
1707714643233, 6662583, -7808, 3920, -560
1707714643243, 6662593, -8048, 3952, -160
1707714643253, 6662603, -8288, 3664, 656
1707714643263, 6662613, -8624, 3184, 1872
1707714643273, 6662623, -8992, 2944, 3072
1707714643283, 6662633, -9232, 2464, 4480
1707714643293, 6662643, -9616, 1840, 6256
1707714643303, 6662653, -10160, 1552, 8304
1707714643313, 6662663, -10432, 1248, 10240
1707714643323, 6662673, -10320, 656, 11792
1707714643333, 6662683, -10048, 96, 12800
1707714643343, 6662693, -9840, -800, 13344
1707714643353, 6662703, -9360, -2064, 13840
1707714643363, 6662713, -8976, -3216, 14416
1707714643373, 6662723, -8848, -4176, 14688
1707714643383, 6662733, -8736, -5056, 15008
1707714643393, 6662743, -8640, -5840, 15424
1707714643403, 6662753, -8640, -6448, 15920
1707714643413, 6662763, -8624, -7152, 16912
1707714643423, 6662773, -8432, -8224, 17664
1707714643433, 6662783, -8272, -10048, 18256
1707714643443, 6662793, -7696, -11248, 18528
1707714643453, 6662803, -7200, -11776, 18672
1707714643463, 6662813, -7232, -12016, 19088
1707714643473, 6662823, -7392, -11952, 19104
1707714643483, 6662833, -7520, -11648, 18864
1707714643493, 6662843, -7472, -12304, 17856
1707714643503, 6662853, -6992, -13184, 16176
1707714643513, 6662863, -6848, -13552, 14240
1707714643523, 6662873, -6736, -13488, 13232
1707714643533, 6662883, -7024, -13696, 13248
1707714643543, 6662893, -7472, -13696, 14112
1707714643553, 6662903, -7840, -13904, 14160
1707714643563, 6662913, -8096, -14512, 13120
1707714643573, 6662923, -8080, -15232, 11552
1707714643583, 6662933, -8000, -16128, 9968
1707714643593, 6662943, -7984, -16464, 8800
1707714643603, 6662953, -7920, -16416, 8240
1707714643613, 6662963, -7872, -16640, 7312
1707714643623, 6662973, -7440, -16816, 6288
1707714643633, 6662983, -7056, -16832, 5792
1707714643643, 6662993, -6720, -16720, 5520
1707714643653, 6663003, -6608, -16096, 5392
1707714643663, 6663013, -6608, -15696, 5648
1707714643673, 6663023, -6576, -15440, 5104
1707714643683, 6663033, -6848, -14256, 3776
1707714643693, 6663043, -7264, -13040, 1904
1707714643703, 6663053, -6496, -10832, 1024
1707714643713, 6663063, -6080, -10864, 496
1707714643723, 6663073, -6736, -10352, 496
1707714643733, 6663083, -7984, -9648, 848
1707714643743, 6663093, -7168, -9184, 1824
1707714643753, 6663103, -6336, -9776, 2528
1707714643763, 6663113, -5872, -10656, 2752
1707714643773, 6663123, -6736, -11936, 2704
1707714643783, 6663133, -6128, -11520, 1056
1707714643793, 6663143, -4720, -9712, -480
1707714643803, 6663153, -4928, -8992, -1504
1707714643813, 6663163, -5024, -8368, -2848
1707714643823, 6663173, -4848, -7248, -3680
1707714643833, 6663183, -5040, -6032, -3776
1707714643843, 6663193, -5120, -5152, -3888
1707714643853, 6663203, -5056, -4544, -3152
1707714643863, 6663213, -4400, -4096, -2320
1707714643873, 6663223, -4256, -4512, -1440
1707714643883, 6663233, -4816, -4160, -1184
1707714643893, 6663243, -4848, -3952, -1168
1707714643903, 6663253, -4528, -3792, -1040
1707714643913, 6663263, -4512, -4224, -704
1707714643923, 6663273, -4480, -4144, -720
1707714643933, 6663283, -4624, -3920, -752
1707714643943, 6663293, -4432, -3840, -592
1707714643953, 6663303, -3968, -4144, -800
1707714643963, 6663313, -3824, -4176, -576
1707714643973, 6663323, -3696, -4320, -720
