Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714799583, 6818933, 176, 992, 6304
1707714799593, 6818943, 208, 1168, 6224
1707714799603, 6818953, 304, 960, 6240
1707714799613, 6818963, 528, 752, 6304
1707714799623, 6818973, 624, 496, 6112
1707714799633, 6818983, 528, 80, 6016
1707714799643, 6818993, 736, 496, 6064
1707714799653, 6819003, 512, 0, 5888
1707714799663, 6819013, 448, 0, 5840
1707714799673, 6819023, 560, 128, 5712
1707714799683, 6819033, 592, 112, 5680
1707714799693, 6819043, 640, -48, 5680
1707714799703, 6819053, 656, -400, 6080
1707714799713, 6819063, 688, -1216, 6672
1707714799723, 6819073, 1056, -2112, 7104
1707714799733, 6819083, 1264, -3024, 7392
1707714799743, 6819093, 1328, -4240, 7520
1707714799753, 6819103, 1664, -5312, 7296
1707714799763, 6819113, 1792, -6032, 6576
1707714799773, 6819123, 1232, -7392, 6288
1707714799783, 6819133, 1040, -8928, 6448
1707714799793, 6819143, 1104, -10560, 6576
1707714799803, 6819153, 1040, -11856, 6704
1707714799813, 6819163, 432, -12592, 7248
1707714799823, 6819173, -528, -12880, 8512
1707714799833, 6819183, -1296, -12912, 10560
1707714799843, 6819193, -2176, -13328, 13072
1707714799853, 6819203, -2672, -13952, 15184
1707714799863, 6819213, -3968, -14736, 17488
1707714799873, 6819223, -5360, -14992, 19376
1707714799883, 6819233, -7376, -13920, 20656
1707714799893, 6819243, -8736, -11744, 21536
1707714799903, 6819253, -10928, -9120, 22640
1707714799913, 6819263, -12960, -6464, 23776
1707714799923, 6819273, -14832, -3648, 23984
1707714799933, 6819283, -16448, -1104, 23696
1707714799943, 6819293, -17568, 2080, 22288
1707714799953, 6819303, -19072, 4800, 20720
1707714799963, 6819313, -19728, 7632, 19056
1707714799973, 6819323, -19696, 10224, 16864
1707714799983, 6819333, -19024, 11504, 14640
1707714799993, 6819343, -18640, 12144, 14432
1707714800003, 6819353, -18048, 12864, 14880
1707714800013, 6819363, -17440, 13232, 15712
1707714800023, 6819373, -16880, 12912, 16064
1707714800033, 6819383, -16384, 12288, 15664
1707714800043, 6819393, -16448, 11312, 14752
1707714800053, 6819403, -16320, 10768, 13056
1707714800063, 6819413, -15920, 10256, 11168
1707714800073, 6819423, -15264, 9536, 9424
1707714800083, 6819433, -15264, 9488, 7824
1707714800093, 6819443, -15696, 9424, 6288
1707714800103, 6819453, -15344, 9472, 5376
1707714800113, 6819463, -13952, 9136, 4864
1707714800123, 6819473, -14448, 9344, 4384
1707714800133, 6819483, -14544, 9584, 3792
1707714800143, 6819493, -13856, 9680, 3200
1707714800153, 6819503, -13952, 9456, 2864
1707714800163, 6819513, -13872, 8896, 2432
1707714800173, 6819523, -13536, 8416, 1792
1707714800183, 6819533, -13056, 8160, 1280
1707714800193, 6819543, -12896, 7664, 560
1707714800203, 6819553, -12544, 7248, -352
1707714800213, 6819563, -12288, 6960, -1216
1707714800223, 6819573, -11952, 6080, -2144
1707714800233, 6819583, -11792, 5168, -2992
1707714800243, 6819593, -11392, 4512, -3760
1707714800253, 6819603, -11280, 4048, -4240
1707714800263, 6819613, -11056, 3728, -4720
1707714800273, 6819623, -10976, 3312, -4752
1707714800283, 6819633, -10480, 2496, -4624
1707714800293, 6819643, -10560, 1344, -3984
1707714800303, 6819653, -10736, 640, -2976
1707714800313, 6819663, -10608, -192, -2096
1707714800323, 6819673, -10432, -1376, -1568
1707714800333, 6819683, -10192, -2416, -1328
1707714800343, 6819693, -9824, -3376, -1408
1707714800353, 6819703, -9504, -4000, -1856
1707714800363, 6819713, -9200, -4704, -2512
1707714800373, 6819723, -8944, -5552, -3216
1707714800383, 6819733, -8928, -6592, -3088
1707714800393, 6819743, -9136, -7488, -2080
1707714800403, 6819753, -9136, -8592, -704
1707714800413, 6819763, -8896, -9984, 336
1707714800423, 6819773, -8864, -10256, 464
1707714800433, 6819783, -9280, -9536, -464
1707714800443, 6819793, -10096, -8368, -1552
1707714800453, 6819803, -11344, -7632, -1632
1707714800463, 6819813, -12016, -7536, -480
1707714800473, 6819823, -12272, -8496, 1664
1707714800483, 6819833, -12496, -10240, 3632
1707714800493, 6819843, -12336, -12256, 4848
1707714800503, 6819853, -11840, -14672, 5024
1707714800513, 6819863, -11296, -16736, 5264
1707714800523, 6819873, -10608, -18656, 5600
1707714800533, 6819883, -9968, -20752, 6784
1707714800543, 6819893, -8896, -22096, 7328
1707714800553, 6819903, -8144, -21584, 6848
1707714800563, 6819913, -8128, -20464, 6064
1707714800573, 6819923, -8624, -18400, 5888
1707714800583, 6819933, -9472, -16352, 6016
1707714800593, 6819943, -10208, -14960, 6576
1707714800603, 6819953, -10912, -13904, 7440
1707714800613, 6819963, -11312, -13072, 8096
1707714800623, 6819973, -12064, -12896, 9040
1707714800633, 6819983, -12048, -13056, 9968
1707714800643, 6819993, -11840, -13648, 10880
1707714800653, 6820003, -11456, -14256, 10112
1707714800663, 6820013, -10976, -15360, 12176
1707714800673, 6820023, -10848, -16608, 12672
1707714800683, 6820033, -11408, -16000, 12592
1707714800693, 6820043, -12192, -14800, 12352
1707714800703, 6820053, -12896, -13008, 12512
1707714800713, 6820063, -13536, -11568, 12784
1707714800723, 6820073, -13568, -10336, 12512
1707714800733, 6820083, -14320, -8496, 12528
1707714800743, 6820093, -14688, -7264, 12096
1707714800753, 6820103, -14976, -6080, 12304
1707714800763, 6820113, -15296, -4928, 12912
1707714800773, 6820123, -15440, -3728, 13616
1707714800783, 6820133, -15472, -2352, 14320
1707714800793, 6820143, -15808, -1216, 14736
1707714800803, 6820153, -15584, -64, 14704
1707714800813, 6820163, -14864, 1024, 13984
1707714800823, 6820173, -13984, 1328, 12960
1707714800833, 6820183, -13024, 1520, 12064
1707714800843, 6820193, -12352, 1936, 11712
1707714800853, 6820203, -12832, 1824, 13184
1707714800863, 6820213, -14176, 2448, 15408
1707714800873, 6820223, -16336, 8192, 12016
1707714800883, 6820233, -9024, 13888, 3520
1707714800893, 6820243, -5360, 6864, -2432
1707714800903, 6820253, -4416, 5312, -560
1707714800913, 6820263, -6336, 4752, 3472
1707714800923, 6820273, -7280, 5376, 6432
1707714800933, 6820283, -6928, 8112, 9552
1707714800943, 6820293, -7120, 9680, 11472
1707714800953, 6820303, -7008, 9888, 12688
1707714800963, 6820313, -6944, 10000, 13536
1707714800973, 6820323, -6512, 9536, 13488
1707714800983, 6820333, -5680, 9376, 12240
1707714800993, 6820343, -4224, 8752, 10096
1707714801003, 6820353, -2912, 7600, 8112
1707714801013, 6820363, -2096, 6128, 6576
