Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714940282, 6959633, -3936, -6288, 12640
1707714940292, 6959643, -5152, -7584, 13488
1707714940302, 6959653, -6288, -7792, 13984
1707714940312, 6959663, -6624, -7696, 13616
1707714940322, 6959673, -6736, -7728, 13760
1707714940332, 6959683, -5600, -6400, 12656
1707714940342, 6959693, -4944, -5792, 11392
1707714940352, 6959703, -4624, -6384, 10016
1707714940362, 6959713, -4256, -6960, 9136
1707714940372, 6959723, -3600, -6768, 8592
1707714940382, 6959733, -2832, -6528, 8256
1707714940392, 6959743, -2160, -6176, 8432
1707714940402, 6959753, -1888, -5776, 9024
1707714940412, 6959763, -1728, -5280, 9696
1707714940422, 6959773, -1968, -4928, 9824
1707714940432, 6959783, -2368, -4336, 9104
1707714940442, 6959793, -2416, -3584, 8448
1707714940452, 6959803, -3168, -3408, 8080
1707714940462, 6959813, -3872, -3360, 7856
1707714940472, 6959823, -4224, -3040, 7600
1707714940482, 6959833, -4800, -3536, 6912
1707714940492, 6959843, -5456, -4256, 5952
1707714940502, 6959853, -5712, -4736, 4816
1707714940512, 6959863, -5696, -5248, 3776
1707714940522, 6959873, -5792, -5616, 2688
1707714940532, 6959883, -5536, -5280, 1360
1707714940542, 6959893, -5312, -4304, -256
1707714940552, 6959903, -5040, -3792, -1872
1707714940562, 6959913, -4960, -2576, -3360
1707714940572, 6959923, -4960, -1088, -4528
1707714940582, 6959933, -4768, 176, -5248
1707714940592, 6959943, -4720, 1040, -5472
1707714940602, 6959953, -4736, 1712, -5136
1707714940612, 6959963, -4304, 1904, -4784
1707714940622, 6959973, -4048, 1552, -4480
1707714940632, 6959983, -3472, 880, -4592
1707714940642, 6959993, -2624, 16, -4992
1707714940652, 6960003, -2000, -1328, -5584
1707714940662, 6960013, -1360, -2624, -6240
1707714940672, 6960023, -848, -4384, -6496
1707714940682, 6960033, -144, -5472, -6960
1707714940692, 6960043, 128, -6880, -7392
1707714940702, 6960053, 608, -7952, -7904
1707714940712, 6960063, 1008, -9376, -8080
1707714940722, 6960073, 1072, -10896, -8032
1707714940732, 6960083, 1248, -11952, -7824
1707714940742, 6960093, 1360, -12480, -7488
1707714940752, 6960103, 1408, -12960, -7056
1707714940762, 6960113, 1552, -13312, -6496
1707714940772, 6960123, 1440, -13664, -5936
1707714940782, 6960133, 1280, -13536, -5408
1707714940792, 6960143, 912, -12896, -5104
1707714940802, 6960153, 496, -12160, -4848
1707714940812, 6960163, 64, -11520, -4272
1707714940822, 6960173, -64, -11344, -3568
1707714940832, 6960183, -64, -11296, -2832
1707714940842, 6960193, 64, -11424, -2448
1707714940852, 6960203, 112, -11280, -2128
1707714940862, 6960213, 272, -11168, -1856
1707714940872, 6960223, 400, -11056, -1376
1707714940882, 6960233, 432, -11136, -832
1707714940892, 6960243, 336, -11200, -160
1707714940902, 6960253, -16, -11456, 656
1707714940912, 6960263, -208, -11280, 1744
1707714940922, 6960273, -272, -9952, 2496
1707714940932, 6960283, -1680, -10432, 4848
1707714940942, 6960293, -1968, -8432, 6272
1707714940952, 6960303, 304, -6080, 5872
1707714940962, 6960313, 1584, -4048, 4880
1707714940972, 6960323, 464, -3248, 3936
1707714940982, 6960333, -1152, -3504, 4640
1707714940992, 6960343, -2064, -2816, 6512
1707714941002, 6960353, -1728, -896, 7984
1707714941012, 6960363, -1568, 448, 9872
1707714941022, 6960373, -1840, 2720, 12368
1707714941032, 6960383, -2464, 4688, 15040
1707714941042, 6960393, -2832, 6320, 17552
1707714941052, 6960403, -2368, 7632, 19248
1707714941062, 6960413, -1264, 8464, 19312
1707714941072, 6960423, -192, 8352, 17984
1707714941082, 6960433, 560, 7632, 16576
1707714941092, 6960443, 1008, 7216, 15392
1707714941102, 6960453, 1344, 7184, 14800
1707714941112, 6960463, 1360, 7248, 14608
1707714941122, 6960473, 1280, 7424, 14208
1707714941132, 6960483, 1280, 7120, 13616
1707714941142, 6960493, 1264, 6576, 12672
1707714941152, 6960503, 1360, 5664, 11616
1707714941162, 6960513, 1296, 4848, 10752
1707714941172, 6960523, 1104, 5040, 10352
1707714941182, 6960533, 608, 4640, 10048
1707714941192, 6960543, -736, 3856, 9872
1707714941202, 6960553, -736, 5200, 9136
1707714941212, 6960563, -624, 5552, 8544
1707714941222, 6960573, -1184, 4816, 8048
1707714941232, 6960583, -2304, 4176, 7648
1707714941242, 6960593, -3104, 3552, 7376
1707714941252, 6960603, -3904, 2096, 7504
1707714941262, 6960613, -3936, 16, 7728
1707714941272, 6960623, -4432, 16, 8064
1707714941282, 6960633, -4512, -592, 8160
1707714941292, 6960643, -4480, -1792, 6464
1707714941302, 6960653, -5184, -2928, 5120
1707714941312, 6960663, -5568, -3296, 4464
1707714941322, 6960673, -5664, -5088, 3760
1707714941332, 6960683, -5264, -6704, 2944
1707714941342, 6960693, -5104, -7168, 2624
1707714941352, 6960703, -5440, -8256, 2608
1707714941362, 6960713, -5600, -9088, 2032
1707714941372, 6960723, -6240, -9216, 1840
1707714941382, 6960733, -6592, -9648, 2240
1707714941392, 6960743, -6992, -10576, 3008
1707714941402, 6960753, -7232, -12192, 4192
