Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707715225671, 7245023, -448, -8656, 2288
1707715225681, 7245033, -272, -8944, 2288
1707715225691, 7245043, -32, -9152, 2240
1707715225701, 7245053, 416, -9600, 2016
1707715225711, 7245063, 976, -10400, 1904
1707715225721, 7245073, 1520, -11296, 1872
1707715225731, 7245083, 2160, -12464, 1824
1707715225741, 7245093, 2496, -13280, 1696
1707715225751, 7245103, 2912, -14032, 1760
1707715225761, 7245113, 3008, -14432, 1872
1707715225771, 7245123, 3152, -14656, 1840
1707715225781, 7245133, 3152, -14864, 1504
1707715225791, 7245143, 3440, -15200, 928
1707715225801, 7245153, 3920, -15504, 352
1707715225811, 7245163, 4304, -16480, 496
1707715225821, 7245173, 4496, -17664, 800
1707715225831, 7245183, 4896, -18800, 1632
1707715225841, 7245193, 5232, -19216, 2352
1707715225851, 7245203, 5760, -18624, 2528
1707715225861, 7245213, 5456, -19088, 3376
1707715225871, 7245223, 4352, -20144, 4832
1707715225881, 7245233, 3248, -20336, 6080
1707715225891, 7245243, 2784, -20176, 7136
1707715225901, 7245253, 2560, -19968, 8384
1707715225911, 7245263, 2176, -19456, 10240
1707715225921, 7245273, 1680, -19312, 11904
1707715225931, 7245283, 1136, -19888, 13328
1707715225941, 7245293, 240, -20208, 14704
1707715225951, 7245303, -640, -19712, 15488
1707715225961, 7245313, -1520, -18144, 15760
1707715225971, 7245323, -2144, -16496, 16064
1707715225981, 7245333, -2176, -15040, 15936
1707715225991, 7245343, -3424, -14480, 16192
1707715226001, 7245353, -3824, -13536, 15904
1707715226011, 7245363, -3472, -12128, 14912
1707715226021, 7245373, -4016, -11744, 14096
1707715226031, 7245383, -4912, -11872, 13808
1707715226041, 7245393, -4784, -11376, 13616
1707715226051, 7245403, -5056, -10896, 13344
1707715226061, 7245413, -5376, -10352, 12864
1707715226071, 7245423, -5664, -9136, 12304
1707715226081, 7245433, -5904, -8048, 11696
1707715226091, 7245443, -6400, -7488, 11296
