Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707715072660, 7092013, 6752, -12544, 4384
1707715072670, 7092023, 6752, -13456, 4032
1707715072680, 7092033, 6048, -12608, 3488
1707715072690, 7092043, 4912, -10080, 2720
1707715072700, 7092053, 3680, -6896, 1936
1707715072710, 7092063, 2256, -3424, 1360
1707715072720, 7092073, 752, 288, 448
1707715072730, 7092083, -592, 4656, -1008
1707715072740, 7092093, -2080, 8944, -3888
1707715072750, 7092103, -2800, 13024, -7360
1707715072760, 7092113, -3856, 15488, -9008
1707715072770, 7092123, -3536, 17872, -8480
1707715072780, 7092133, -3856, 15920, -6416
1707715072790, 7092143, -5744, 11312, -3376
1707715072800, 7092153, -9088, 6080, 1376
1707715072810, 7092163, -12928, 288, 7472
1707715072820, 7092173, -12576, -13248, 16128
1707715072830, 7092183, -1280, -30944, 29696
1707715072840, 7092193, 16224, -32528, 30080
1707715072850, 7092203, 16512, -32624, 19152
1707715072860, 7092213, 9872, -31120, 8048
1707715072870, 7092223, 3056, -18416, 1728
1707715072880, 7092233, 96, -7232, 992
1707715072890, 7092243, -560, 640, 3024
1707715072900, 7092253, -784, 5184, 3120
1707715072910, 7092263, -1168, 6416, 1808
1707715072920, 7092273, -640, 6144, -1488
1707715072930, 7092283, -656, 7520, -4384
1707715072940, 7092293, -944, 9104, -5872
1707715072950, 7092303, -1696, 9392, -5968
1707715072960, 7092313, -2480, 8144, -5200
1707715072970, 7092323, -4288, 6320, -2672
1707715072980, 7092333, -6480, 3392, 1712
1707715072990, 7092343, -8144, -4400, 11168
1707715073000, 7092353, -1504, -24272, 19632
1707715073010, 7092363, 11008, -32112, 24448
1707715073020, 7092373, 16112, -32592, 17168
1707715073030, 7092383, 11296, -32624, 9152
1707715073040, 7092393, 3568, -26160, 2464
1707715073050, 7092403, -1280, -14336, 2624
1707715073060, 7092413, -2176, -3536, 3984
1707715073070, 7092423, -2656, 3312, 4528
1707715073080, 7092433, -3056, 8352, 2752
1707715073090, 7092443, -3584, 12608, 816
1707715073100, 7092453, -3200, 12944, -2256
1707715073110, 7092463, -2400, 13552, -5152
1707715073120, 7092473, -2560, 12848, -6576
1707715073130, 7092483, -3248, 10240, -6352
1707715073140, 7092493, -4464, 6672, -4432
1707715073150, 7092503, -6208, 3024, -144
1707715073160, 7092513, -5712, -6592, 6960
1707715073170, 7092523, 1024, -23280, 15872
1707715073180, 7092533, 11632, -32048, 20224
1707715073190, 7092543, 14656, -32592, 14304
1707715073200, 7092553, 9392, -31392, 9168
1707715073210, 7092563, 3120, -20928, 4128
1707715073220, 7092573, 384, -9536, 3296
1707715073230, 7092583, -32, -560, 3168
1707715073240, 7092593, -848, 4960, 2480
