Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714444615, 6463963, -2000, -5568, 7024
1707714444625, 6463973, -2080, -5856, 7968
1707714444635, 6463983, -1936, -6160, 8448
1707714444645, 6463993, -1904, -6112, 8816
1707714444655, 6464003, -1904, -6112, 9152
1707714444665, 6464013, -2080, -6160, 9040
1707714444675, 6464023, -2320, -6064, 8736
1707714444685, 6464033, -2512, -5760, 8336
1707714444695, 6464043, -2688, -5376, 7856
1707714444705, 6464053, -3120, -4928, 7328
1707714444715, 6464063, -3392, -4384, 6944
1707714444725, 6464073, -3968, -4384, 6656
1707714444735, 6464083, -4352, -4512, 6272
1707714444745, 6464093, -4608, -4928, 5760
1707714444755, 6464103, -5072, -5232, 5024
1707714444765, 6464113, -5584, -5056, 3872
1707714444775, 6464123, -5888, -4176, 1968
1707714444785, 6464133, -5968, -2896, -80
1707714444795, 6464143, -6320, -2016, -1904
1707714444805, 6464153, -6336, -1200, -2576
1707714444815, 6464163, -6704, -832, -3392
1707714444825, 6464173, -7104, -912, -3600
1707714444835, 6464183, -7520, -896, -4016
1707714444845, 6464193, -7856, -864, -4128
1707714444855, 6464203, -8080, -1056, -4080
1707714444865, 6464213, -8752, -1312, -3744
1707714444875, 6464223, -9280, -1120, -3840
1707714444885, 6464233, -9760, -736, -3728
1707714444895, 6464243, -10032, -496, -3296
1707714444905, 6464253, -10448, -384, -2496
1707714444915, 6464263, -10944, -560, -1520
1707714444925, 6464273, -11584, -816, -336
1707714444935, 6464283, -12128, -1008, 560
1707714444945, 6464293, -12592, -1376, 1392
1707714444955, 6464303, -13184, -1568, 2368
1707714444965, 6464313, -13920, -1552, 2848
1707714444975, 6464323, -14496, -1744, 3424
1707714444985, 6464333, -14928, -2064, 3696
1707714444995, 6464343, -15520, -2448, 4032
1707714445005, 6464353, -16112, -2848, 4272
1707714445015, 6464363, -16368, -4352, 4112
1707714445025, 6464373, -16368, -3872, 5488
1707714445035, 6464383, -17456, -4016, 6320
1707714445045, 6464393, -18000, -4336, 6832
1707714445055, 6464403, -18112, -5216, 6960
1707714445065, 6464413, -18064, -6016, 7952
1707714445075, 6464423, -18592, -6416, 8768
1707714445085, 6464433, -18784, -7104, 9488
1707714445095, 6464443, -18176, -7168, 9600
1707714445105, 6464453, -18128, -8336, 9680
1707714445115, 6464463, -17776, -9104, 9776
1707714445125, 6464473, -17104, -9296, 9856
1707714445135, 6464483, -16160, -8800, 9840
1707714445145, 6464493, -14736, -7888, 9584
1707714445155, 6464503, -13696, -7024, 9184
1707714445165, 6464513, -12928, -5952, 8848
1707714445175, 6464523, -12256, -4720, 8368
1707714445185, 6464533, -11456, -3824, 7728
