Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707710985751, 3005083, -3792, -5104, 4176
1707710985761, 3005093, -3792, -5104, 4176
1707710985771, 3005103, -3680, -5216, 4160
1707710985781, 3005113, -3728, -5312, 4224
1707710985791, 3005123, -3664, -5280, 4192
1707710985801, 3005133, -3616, -5264, 4144
1707710985811, 3005143, -3680, -5248, 4192
1707710985821, 3005153, -3664, -5264, 4192
1707710985831, 3005163, -3696, -5280, 4192
1707710985841, 3005173, -3696, -5248, 4224
1707710985851, 3005183, -3696, -5248, 4240
1707710985861, 3005193, -3744, -5184, 4112
1707710985871, 3005203, -3616, -5248, 4208
1707710985881, 3005213, -3664, -5184, 4208
1707710985891, 3005223, -3696, -5168, 4240
1707710985901, 3005233, -3728, -5168, 4176
1707710985911, 3005243, -3712, -5136, 4176
1707710985921, 3005253, -3680, -5184, 4224
1707710985931, 3005263, -3680, -5104, 4272
1707710985941, 3005273, -3696, -5120, 4320
1707710985951, 3005283, -3696, -5136, 4400
1707710985961, 3005293, -3808, -5168, 4400
1707710985971, 3005303, -3776, -5168, 4416
1707710985981, 3005313, -3744, -5072, 4400
1707710985991, 3005323, -3744, -5088, 4432
1707710986001, 3005333, -3744, -5104, 4416
1707710986011, 3005343, -3728, -5056, 4336
1707710986021, 3005353, -3744, -5040, 4336
1707710986031, 3005363, -3776, -5072, 4256
1707710986041, 3005373, -3824, -5104, 4272
1707710986051, 3005383, -3744, -5040, 4272
1707710986061, 3005393, -3776, -5040, 4256
1707710986071, 3005403, -3840, -5024, 4288
1707710986081, 3005413, -3824, -4960, 4272
1707710986091, 3005423, -3824, -5008, 4352
1707710986101, 3005433, -3840, -4960, 4304
1707710986111, 3005443, -3840, -4992, 4352
1707710986121, 3005453, -3776, -5024, 4368
1707710986131, 3005463, -3872, -5248, 4432
1707710986141, 3005473, -3792, -5184, 4448
1707710986151, 3005483, -3648, -4976, 4144
1707710986161, 3005493, -3632, -4896, 4048
1707710986171, 3005503, -3680, -4800, 3952
1707710986181, 3005513, -3776, -4928, 4144
1707710986191, 3005523, -3760, -5024, 4288
1707710986201, 3005533, -3760, -5136, 4320
1707710986211, 3005543, -3664, -5184, 4368
1707710986221, 3005553, -3648, -5248, 4320
1707710986231, 3005563, -3648, -5232, 4256
1707710986241, 3005573, -3600, -5264, 4208
1707710986251, 3005583, -3616, -5280, 4224
1707710986261, 3005593, -3664, -5216, 4320
1707710986271, 3005603, -3664, -5184, 4368
1707710986281, 3005613, -3632, -5184, 4368
1707710986291, 3005623, -3680, -5216, 4496
1707710986301, 3005633, -3680, -5168, 4480
1707710986311, 3005643, -3744, -5168, 4512
1707710986321, 3005653, -3744, -5136, 4400
1707710986331, 3005663, -3648, -5072, 4432
1707710986341, 3005673, -3760, -5184, 4512
1707710986351, 3005683, -3712, -5104, 4480
1707710986361, 3005693, -3728, -5152, 4400
1707710986371, 3005703, -3760, -5168, 4464
1707710986381, 3005713, -3664, -5072, 4496
1707710986391, 3005723, -3680, -5072, 4464
1707710986401, 3005733, -3712, -5152, 4432
1707710986411, 3005743, -3680, -5056, 4432
1707710986421, 3005753, -3680, -4992, 4304
1707710986431, 3005763, -3728, -5056, 4368
1707710986441, 3005773, -3728, -4912, 4336
1707710986451, 3005783, -3616, -4928, 4352
1707710986461, 3005793, -3648, -4928, 4288
1707710986471, 3005803, -3568, -4832, 4256
1707710986481, 3005813, -3600, -5040, 4288
1707710986491, 3005823, -3600, -5056, 4400
1707710986501, 3005833, -3520, -5056, 4416
1707710986511, 3005843, -3552, -5088, 4400
1707710986521, 3005853, -3584, -5072, 4416
1707710986531, 3005863, -3632, -5056, 4464
1707710986541, 3005873, -3616, -5040, 4432
1707710986551, 3005883, -3632, -5024, 4480
1707710986561, 3005893, -3616, -4960, 4528
1707710986571, 3005903, -3712, -5136, 4624
1707710986581, 3005913, -3648, -5216, 4624
1707710986591, 3005923, -3664, -5152, 4656
1707710986601, 3005933, -3680, -5168, 4560
1707710986611, 3005943, -3696, -5056, 4624
1707710986621, 3005953, -3744, -5072, 4624
1707710986631, 3005963, -3888, -4944, 4656
1707710986641, 3005973, -4000, -4816, 4624
1707710986651, 3005983, -4112, -4704, 4672
1707710986661, 3005993, -4064, -4640, 4592
1707710986671, 3006003, -4048, -4640, 4544
1707710986681, 3006013, -4048, -4736, 4464
1707710986691, 3006023, -4000, -4768, 4336
1707710986701, 3006033, -3984, -4752, 4288
1707710986711, 3006043, -3936, -4800, 4240
1707710986721, 3006053, -4000, -4816, 4208
1707710986731, 3006063, -4016, -4912, 4304
1707710986741, 3006073, -3968, -4832, 4352
1707710986751, 3006083, -3984, -4912, 4368
1707710986761, 3006093, -3920, -4992, 4336
1707710986771, 3006103, -3856, -5024, 4368
1707710986781, 3006113, -3776, -5072, 4384
1707710986791, 3006123, -3728, -5168, 4320
1707710986801, 3006133, -3664, -5296, 4320
1707710986811, 3006143, -3616, -5328, 4384
1707710986821, 3006153, -3632, -5296, 4368
1707710986831, 3006163, -3616, -5264, 4432
1707710986841, 3006173, -3632, -5232, 4464
1707710986851, 3006183, -3632, -5232, 4544
1707710986861, 3006193, -3696, -5280, 4608
1707710986871, 3006203, -3632, -5264, 4560
1707710986881, 3006213, -3664, -5264, 4592
1707710986891, 3006223, -3696, -5264, 4592
1707710986901, 3006233, -3616, -5248, 4608
1707710986911, 3006243, -3632, -5248, 4608
1707710986921, 3006253, -3584, -5280, 4592
1707710986931, 3006263, -3584, -5216, 4544
1707710986941, 3006273, -3536, -5184, 4592
1707710986951, 3006283, -3584, -5200, 4592
1707710986961, 3006293, -3504, -5216, 4688
1707710986971, 3006303, -3536, -5232, 4704
1707710986981, 3006313, -3616, -5232, 4736
1707710986991, 3006323, -3568, -5200, 4720
1707710987001, 3006333, -3536, -5184, 4704
1707710987011, 3006343, -3536, -5184, 4752
1707710987021, 3006353, -3520, -5200, 4800
1707710987031, 3006363, -3568, -5120, 4848
1707710987041, 3006373, -3616, -5088, 4848
1707710987051, 3006383, -3632, -5008, 4880
1707710987061, 3006393, -3632, -5040, 4784
1707710987071, 3006403, -3632, -4960, 4752
1707710987081, 3006413, -3808, -5024, 4768
1707710987091, 3006423, -3744, -4880, 4752
1707710987101, 3006433, -3744, -4864, 4736
1707710987111, 3006443, -3728, -4848, 4720
1707710987121, 3006453, -3792, -4816, 4800
1707710987131, 3006463, -3808, -4752, 4736
1707710987141, 3006473, -3808, -4784, 4672
1707710987151, 3006483, -3776, -4816, 4672
1707710987161, 3006493, -3776, -4864, 4640
1707710987171, 3006503, -3760, -4848, 4656
1707710987181, 3006513, -3776, -4816, 4576
1707710987191, 3006523, -3776, -4864, 4608
1707710987201, 3006533, -3840, -4848, 4624
1707710987211, 3006543, -3776, -4848, 4576
1707710987221, 3006553, -3744, -4832, 4576
1707710987231, 3006563, -3760, -4816, 4592
1707710987241, 3006573, -3840, -4800, 4544
1707710987251, 3006583, -3792, -4864, 4464
1707710987261, 3006593, -3808, -4896, 4496
1707710987271, 3006603, -3840, -4864, 4560
1707710987281, 3006613, -3792, -4816, 4560
1707710987291, 3006623, -3856, -4912, 4544
1707710987301, 3006633, -3840, -4848, 4480
1707710987311, 3006643, -3888, -4816, 4528
1707710987321, 3006653, -3840, -4800, 4480
1707710987331, 3006663, -3824, -4848, 4448
1707710987341, 3006673, -3872, -4880, 4464
1707710987351, 3006683, -3840, -4864, 4416
1707710987361, 3006693, -3856, -4896, 4464
1707710987371, 3006703, -3840, -4816, 4448
1707710987381, 3006713, -3888, -4784, 4432
1707710987391, 3006723, -3904, -4784, 4496
1707710987401, 3006733, -3968, -4832, 4448
1707710987411, 3006743, -3888, -4816, 4416
1707710987421, 3006753, -3904, -4832, 4416
1707710987431, 3006763, -3904, -4848, 4416
1707710987441, 3006773, -3872, -4864, 4368
1707710987451, 3006783, -3920, -4928, 4432
1707710987461, 3006793, -3920, -4896, 4432
1707710987471, 3006803, -3872, -4912, 4432
1707710987481, 3006813, -3856, -4960, 4464
1707710987491, 3006823, -3776, -4976, 4432
1707710987501, 3006833, -3808, -4912, 4496
1707710987511, 3006843, -3824, -4928, 4496
1707710987521, 3006853, -3888, -4928, 4560
1707710987531, 3006863, -3888, -4880, 4592
1707710987541, 3006873, -3888, -4928, 4576
1707710987551, 3006883, -3840, -4944, 4624
1707710987561, 3006893, -3792, -4896, 4704
1707710987571, 3006903, -3776, -4896, 4608
1707710987581, 3006913, -3712, -4896, 4576
1707710987591, 3006923, -3792, -4880, 4608
1707710987601, 3006933, -3728, -4880, 4528
1707710987611, 3006943, -3680, -4928, 4576
1707710987621, 3006953, -3712, -4928, 4496
1707710987631, 3006963, -3728, -4880, 4512
1707710987641, 3006973, -3744, -4896, 4528
1707710987651, 3006983, -3728, -4816, 4544
1707710987661, 3006993, -3696, -4736, 4544
1707710987671, 3007003, -3712, -4736, 4576
1707710987681, 3007013, -3792, -4752, 4672
1707710987691, 3007023, -3760, -4752, 4704
1707710987701, 3007033, -3776, -4752, 4656
1707710987711, 3007043, -3760, -4912, 4656
1707710987721, 3007053, -3728, -4944, 4576
1707710987731, 3007063, -3744, -5024, 4624
1707710987741, 3007073, -3696, -5040, 4608
1707710987751, 3007083, -3696, -5056, 4688
1707710987761, 3007093, -3680, -5056, 4688
1707710987771, 3007103, -3664, -4976, 4656
1707710987781, 3007113, -3648, -4976, 4640
1707710987791, 3007123, -3728, -4944, 4576
1707710987801, 3007133, -3680, -5008, 4640
1707710987811, 3007143, -3680, -5040, 4688
1707710987821, 3007153, -3680, -4960, 4560
1707710987831, 3007163, -3632, -5024, 4592
1707710987841, 3007173, -3760, -4992, 4592
1707710987851, 3007183, -3776, -5024, 4560
1707710987861, 3007193, -3744, -4992, 4576
1707710987871, 3007203, -3792, -4960, 4496
1707710987881, 3007213, -3760, -4992, 4528
1707710987891, 3007223, -3760, -5008, 4480
1707710987901, 3007233, -3696, -4976, 4416
1707710987911, 3007243, -3760, -4912, 4400
1707710987921, 3007253, -3744, -4944, 4416
1707710987931, 3007263, -3824, -4928, 4448
1707710987941, 3007273, -3840, -4912, 4448
1707710987951, 3007283, -3824, -4928, 4464
1707710987961, 3007293, -3792, -4912, 4352
1707710987971, 3007303, -3760, -4912, 4400
1707710987981, 3007313, -3824, -4976, 4352
1707710987991, 3007323, -3808, -5088, 4464
1707710988001, 3007333, -3888, -5072, 4416
1707710988011, 3007343, -3840, -5040, 4432
1707710988021, 3007353, -3856, -5104, 4416
1707710988031, 3007363, -3872, -5056, 4480
1707710988041, 3007373, -3872, -5024, 4464
1707710988051, 3007383, -3872, -4976, 4464
1707710988061, 3007393, -3808, -4960, 4400
1707710988071, 3007403, -3872, -4976, 4416
1707710988081, 3007413, -3888, -4912, 4416
1707710988091, 3007423, -3776, -4928, 4448
1707710988101, 3007433, -3840, -4912, 4432
1707710988111, 3007443, -3824, -4896, 4416
1707710988121, 3007453, -3776, -4944, 4448
1707710988131, 3007463, -3696, -4912, 4480
1707710988141, 3007473, -3696, -5008, 4496
1707710988151, 3007483, -3616, -4976, 4560
1707710988161, 3007493, -3632, -5024, 4496
1707710988171, 3007503, -3568, -5072, 4592
1707710988181, 3007513, -3648, -5136, 4576
1707710988191, 3007523, -3568, -5088, 4528
1707710988201, 3007533, -3536, -5152, 4512
1707710988211, 3007543, -3536, -5104, 4544
1707710988221, 3007553, -3504, -5104, 4624
1707710988231, 3007563, -3504, -5152, 4704
1707710988241, 3007573, -3472, -5232, 4672
1707710988251, 3007583, -3440, -5216, 4704
1707710988261, 3007593, -3424, -5296, 4704
1707710988271, 3007603, -3424, -5360, 4624
1707710988281, 3007613, -3424, -5424, 4672
1707710988291, 3007623, -3504, -5504, 4768
1707710988301, 3007633, -3648, -5824, 4976
1707710988311, 3007643, -3200, -5488, 3760
1707710988321, 3007653, -3344, -5088, 4064
