Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707710390033, 2409363, -3952, -5120, 4240
1707710390043, 2409373, -3952, -5120, 4272
1707710390053, 2409383, -4016, -5120, 4320
1707710390063, 2409393, -4000, -5040, 4304
1707710390073, 2409403, -4000, -4976, 4384
1707710390083, 2409413, -3968, -4992, 4432
1707710390093, 2409423, -3968, -4992, 4320
1707710390103, 2409433, -3920, -4896, 4304
1707710390113, 2409443, -4000, -4944, 4304
1707710390123, 2409453, -3968, -4944, 4256
1707710390133, 2409463, -4016, -4864, 4240
1707710390143, 2409473, -4048, -4880, 4304
1707710390153, 2409483, -4016, -4896, 4240
1707710390163, 2409493, -4080, -4960, 4240
1707710390173, 2409503, -4080, -4896, 4272
1707710390183, 2409513, -4032, -4784, 4288
1707710390193, 2409523, -4064, -4736, 4320
1707710390203, 2409533, -4096, -4752, 4368
1707710390213, 2409543, -4064, -4720, 4352
1707710390223, 2409553, -4096, -4800, 4352
1707710390233, 2409563, -4032, -4912, 4352
1707710390243, 2409573, -4064, -4992, 4256
1707710390253, 2409583, -4064, -5216, 4224
1707710390263, 2409593, -3920, -5680, 4160
1707710390273, 2409603, -3840, -6064, 4000
1707710390283, 2409613, -3728, -6448, 3792
1707710390293, 2409623, -3360, -6800, 3568
1707710390303, 2409633, -2864, -6928, 3408
1707710390313, 2409643, -2464, -7536, 3696
1707710390323, 2409653, -2096, -8384, 3904
1707710390333, 2409663, -1472, -9264, 4448
1707710390343, 2409673, -1120, -10832, 4832
1707710390353, 2409683, -592, -12224, 5008
1707710390363, 2409693, 96, -12800, 4896
1707710390373, 2409703, 688, -12752, 4720
1707710390383, 2409713, 1088, -12048, 4832
1707710390393, 2409723, 1280, -11024, 5488
1707710390403, 2409733, 1008, -10080, 6432
1707710390413, 2409743, 592, -9040, 7536
1707710390423, 2409753, 32, -8032, 8624
1707710390433, 2409763, -864, -6896, 9680
1707710390443, 2409773, -1920, -5600, 10416
1707710390453, 2409783, -3184, -4784, 11136
1707710390463, 2409793, -4480, -4112, 12000
1707710390473, 2409803, -5360, -3296, 13152
1707710390483, 2409813, -6128, -2640, 14464
1707710390493, 2409823, -6592, -2016, 15904
1707710390503, 2409833, -7232, -1312, 16880
1707710390513, 2409843, -7984, -400, 17280
1707710390523, 2409853, -8624, 352, 16896
1707710390533, 2409863, -9424, 1024, 16096
1707710390543, 2409873, -10096, 1504, 14992
1707710390553, 2409883, -10816, 1776, 13760
1707710390563, 2409893, -11344, 1696, 12720
1707710390573, 2409903, -11696, 1472, 11632
1707710390583, 2409913, -11840, 848, 10608
1707710390593, 2409923, -11888, 112, 9536
1707710390603, 2409933, -11600, -928, 8368
1707710390613, 2409943, -11280, -2016, 7200
1707710390623, 2409953, -10912, -2976, 6064
1707710390633, 2409963, -10608, -3488, 4912
1707710390643, 2409973, -10304, -3680, 3920
1707710390653, 2409983, -10304, -3568, 3216
1707710390663, 2409993, -10512, -3104, 2640
1707710390673, 2410003, -10416, -2448, 2240
1707710390683, 2410013, -10112, -1856, 2000
1707710390693, 2410023, -9856, -1584, 2128
1707710390703, 2410033, -9712, -1552, 2528
1707710390713, 2410043, -9536, -1616, 3024
1707710390723, 2410053, -9296, -1712, 3424
1707710390733, 2410063, -8992, -1936, 3600
1707710390743, 2410073, -8880, -2448, 3664
1707710390753, 2410083, -8624, -2736, 3616
1707710390763, 2410093, -8576, -3072, 3472
1707710390773, 2410103, -8640, -3456, 3248
1707710390783, 2410113, -8752, -3760, 3024
1707710390793, 2410123, -8992, -3776, 2768
1707710390803, 2410133, -9232, -3584, 2576
1707710390813, 2410143, -9424, -3472, 2624
1707710390823, 2410153, -9616, -3408, 2800
1707710390833, 2410163, -9872, -3440, 3152
1707710390843, 2410173, -10192, -3488, 3440
1707710390853, 2410183, -10496, -3344, 3664
1707710390863, 2410193, -11200, -3232, 3824
1707710390873, 2410203, -11952, -2880, 4032
1707710390883, 2410213, -12464, -2464, 4304
1707710390893, 2410223, -13296, -2480, 4576
1707710390903, 2410233, -14240, -2736, 4752
