Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707710793332, 2812663, -3216, -6096, 11248
1707710793342, 2812673, -3296, -6704, 11808
1707710793352, 2812683, -3584, -7120, 12048
1707710793362, 2812693, -3760, -7360, 12208
1707710793372, 2812703, -3888, -7408, 12224
1707710793382, 2812713, -3984, -7536, 12240
1707710793392, 2812723, -4208, -7680, 12160
1707710793402, 2812733, -4512, -7744, 12128
1707710793412, 2812743, -4688, -7872, 12288
1707710793422, 2812753, -5136, -8064, 12672
1707710793432, 2812763, -5664, -7904, 12704
1707710793442, 2812773, -5856, -7424, 12608
1707710793452, 2812783, -5776, -6816, 12240
1707710793462, 2812793, -5808, -6288, 11728
1707710793472, 2812803, -5648, -5616, 11088
1707710793482, 2812813, -5376, -5104, 10160
1707710793492, 2812823, -4864, -4816, 9360
1707710793502, 2812833, -4448, -4720, 8512
1707710793512, 2812843, -4080, -4688, 7872
1707710793522, 2812853, -3728, -4576, 7056
1707710793532, 2812863, -3184, -4512, 6496
1707710793542, 2812873, -2640, -4608, 6272
1707710793552, 2812883, -2112, -4784, 6112
1707710793562, 2812893, -1744, -4768, 5600
1707710793572, 2812903, -1472, -4496, 4864
1707710793582, 2812913, -1136, -4032, 3952
1707710793592, 2812923, -720, -3696, 3296
1707710793602, 2812933, -512, -3440, 2832
1707710793612, 2812943, -400, -2992, 2464
1707710793622, 2812953, -464, -2400, 2032
1707710793632, 2812963, -304, -1760, 1376
1707710793642, 2812973, -288, -1296, 752
1707710793652, 2812983, -256, -752, 192
1707710793662, 2812993, -64, 0, -208
1707710793672, 2813003, 288, 512, -560
1707710793682, 2813013, 624, 848, -720
1707710793692, 2813023, 640, 864, -480
1707710793702, 2813033, 624, 816, 112
1707710793712, 2813043, 912, 544, 896
1707710793722, 2813053, 1184, 224, 1584
1707710793732, 2813063, 1456, -128, 2288
1707710793742, 2813073, 1552, -4816, 5072
1707710793752, 2813083, 3472, 448, 1600
1707710793762, 2813093, 2944, -6816, 5072
1707710793772, 2813103, 4464, -4816, 5648
1707710793782, 2813113, 4432, -4208, 7184
1707710793792, 2813123, 4016, -5168, 8048
1707710793802, 2813133, 4544, -4864, 9040
1707710793812, 2813143, 5056, -5200, 10448
1707710793822, 2813153, 5200, -6544, 11792
1707710793832, 2813163, 5616, -7280, 12112
1707710793842, 2813173, 6080, -7232, 12064
1707710793852, 2813183, 6080, -6656, 11616
1707710793862, 2813193, 6272, -5760, 11344
1707710793872, 2813203, 6432, -4464, 11440
1707710793882, 2813213, 6560, -3344, 11536
1707710793892, 2813223, 6416, -2528, 11680
1707710793902, 2813233, 6400, -2016, 11504
1707710793912, 2813243, 6784, -1840, 10720
1707710793922, 2813253, 7168, -1952, 9520
1707710793932, 2813263, 7408, -1904, 8448
1707710793942, 2813273, 7792, -1904, 7440
1707710793952, 2813283, 8288, -1904, 6944
1707710793962, 2813293, 8784, -2000, 7072
1707710793972, 2813303, 9216, -1712, 7472
1707710793982, 2813313, 9584, -1248, 7600
1707710793992, 2813323, 9360, -656, 7888
1707710794002, 2813333, 9136, 416, 7888
1707710794012, 2813343, 9040, 1488, 7296
1707710794022, 2813353, 8880, 2240, 6624
1707710794032, 2813363, 8688, 2992, 6128
1707710794042, 2813373, 8672, 3472, 5552
1707710794052, 2813383, 8672, 3424, 5072
1707710794062, 2813393, 8144, 2112, 5104
1707710794072, 2813403, 9088, 2656, 4304
1707710794082, 2813413, 9664, 3376, 3168
1707710794092, 2813423, 9760, 2048, 2208
1707710794102, 2813433, 9472, 1136, 2000
1707710794112, 2813443, 9472, 960, 1472
1707710794122, 2813453, 9216, 384, 1472
1707710794132, 2813463, 8656, -656, 1680
1707710794142, 2813473, 8048, -1424, 1600
1707710794152, 2813483, 7232, -1904, 1616
1707710794162, 2813493, 6368, -1984, 1840
1707710794172, 2813503, 4800, -2240, 2880
1707710794182, 2813513, 4336, -1632, 2832
1707710794192, 2813523, 3424, -848, 2512
1707710794202, 2813533, 2800, -1152, 2272
1707710794212, 2813543, 1936, -1184, 1584
1707710794222, 2813553, 1456, -1264, 592
1707710794232, 2813563, 1184, -1744, -352
1707710794242, 2813573, 752, -2096, -1008
1707710794252, 2813583, 224, -2240, -1536
1707710794262, 2813593, -272, -2272, -1840
1707710794272, 2813603, -896, -2016, -2192
1707710794282, 2813613, -1552, -1664, -2800
1707710794292, 2813623, -2080, -1408, -2896
1707710794302, 2813633, -2736, -912, -2880
1707710794312, 2813643, -3296, -336, -2976
1707710794322, 2813653, -3792, -32, -3600
1707710794332, 2813663, -4048, 656, -4720
1707710794342, 2813673, -4688, 1616, -5504
1707710794352, 2813683, -5424, 2224, -5968
1707710794362, 2813693, -6288, 2752, -6384
1707710794372, 2813703, -6592, 3536, -6976
1707710794382, 2813713, -7152, 3552, -6560
1707710794392, 2813723, -7392, 3792, -5872
1707710794402, 2813733, -8000, 3840, -5632
1707710794412, 2813743, -8416, 4368, -5952
1707710794422, 2813753, -8944, 5008, -7184
1707710794432, 2813763, -9264, 5808, -7888
1707710794442, 2813773, -9568, 6560, -7856
1707710794452, 2813783, -9712, 7600, -7904
1707710794462, 2813793, -9744, 8096, -8000
1707710794472, 2813803, -9664, 8496, -8112
1707710794482, 2813813, -9712, 8784, -7968
1707710794492, 2813823, -9504, 8672, -7744
1707710794502, 2813833, -9424, 8240, -7136
1707710794512, 2813843, -9440, 8176, -6688
1707710794522, 2813853, -9504, 8336, -6256
1707710794532, 2813863, -9584, 8752, -6048
1707710794542, 2813873, -9472, 9200, -6112
1707710794552, 2813883, -9600, 9456, -6112
1707710794562, 2813893, -9616, 9552, -6048
1707710794572, 2813903, -9888, 9472, -5904
1707710794582, 2813913, -10048, 9344, -5680
1707710794592, 2813923, -10000, 9360, -5648
1707710794602, 2813933, -10176, 9232, -5472
1707710794612, 2813943, -10304, 9040, -5168
1707710794622, 2813953, -10128, 8304, -5232
1707710794632, 2813963, -10224, 7680, -5136
1707710794642, 2813973, -10416, 7040, -4752
1707710794652, 2813983, -10944, 6656, -4528
1707710794662, 2813993, -11648, 6592, -4368
1707710794672, 2814003, -12272, 7120, -4528
1707710794682, 2814013, -13072, 7664, -4752
1707710794692, 2814023, -13984, 7840, -5072
