Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707710453532, 2472863, -4048, -6224, 3168
1707710453542, 2472873, -4096, -6336, 3200
1707710453552, 2472883, -4272, -6224, 3168
1707710453562, 2472893, -4336, -6064, 3152
1707710453572, 2472903, -4448, -6000, 3072
1707710453582, 2472913, -4608, -5984, 3072
1707710453592, 2472923, -4592, -6016, 2944
1707710453602, 2472933, -4368, -6032, 2720
1707710453612, 2472943, -4320, -6400, 2496
1707710453622, 2472953, -4272, -6576, 2384
1707710453632, 2472963, -4208, -6528, 2368
1707710453642, 2472973, -4352, -6432, 2336
1707710453652, 2472983, -4368, -6240, 2448
1707710453662, 2472993, -4320, -6192, 2608
1707710453672, 2473003, -4432, -6720, 2544
1707710453682, 2473013, -4352, -7072, 2496
1707710453692, 2473023, -4416, -7232, 2288
1707710453702, 2473033, -4864, -7264, 2096
1707710453712, 2473043, -5488, -6736, 2096
1707710453722, 2473053, -5632, -5824, 2448
1707710453732, 2473063, -5536, -5312, 2608
1707710453742, 2473073, -5536, -5360, 2544
1707710453752, 2473083, -5456, -5584, 2464
1707710453762, 2473093, -5520, -5728, 2336
1707710453772, 2473103, -5680, -5648, 2320
1707710453782, 2473113, -6064, -5456, 2304
1707710453792, 2473123, -6400, -5296, 2608
1707710453802, 2473133, -6848, -5472, 3088
1707710453812, 2473143, -7488, -5296, 3488
1707710453822, 2473153, -8080, -4720, 3776
1707710453832, 2473163, -8576, -4128, 4032
1707710453842, 2473173, -9104, -3168, 4176
1707710453852, 2473183, -9232, -2256, 4256
1707710453862, 2473193, -9296, -1712, 4384
1707710453872, 2473203, -9280, -1392, 4528
1707710453882, 2473213, -9264, -1472, 4688
1707710453892, 2473223, -9392, -1216, 5104
1707710453902, 2473233, -9296, -1616, 5440
1707710453912, 2473243, -9040, -2240, 5664
1707710453922, 2473253, -8784, -3200, 6096
1707710453932, 2473263, -8960, -3808, 6352
1707710453942, 2473273, -9120, -3600, 6320
1707710453952, 2473283, -9536, -3056, 6720
1707710453962, 2473293, -10112, -2256, 7296
1707710453972, 2473303, -10528, -2064, 8288
1707710453982, 2473313, -10912, -2608, 9472
1707710453992, 2473323, -11424, -2272, 11056
1707710454002, 2473333, -11600, -2352, 12960
1707710454012, 2473343, -11792, -2832, 14688
1707710454022, 2473353, -12288, -3520, 15728
1707710454032, 2473363, -12816, -4448, 16032
1707710454042, 2473373, -13200, -5584, 15424
1707710454052, 2473383, -13472, -6272, 13760
1707710454062, 2473393, -13808, -7216, 11632
1707710454072, 2473403, -14144, -8720, 9792
1707710454082, 2473413, -14144, -9808, 8112
1707710454092, 2473423, -14560, -10752, 6368
1707710454102, 2473433, -14656, -11232, 5408
1707710454112, 2473443, -14704, -11440, 4704
1707710454122, 2473453, -15008, -12064, 4480
1707710454132, 2473463, -15056, -13008, 5040
1707710454142, 2473473, -15600, -14096, 5280
1707710454152, 2473483, -16336, -14768, 5968
1707710454162, 2473493, -16976, -14832, 6432
1707710454172, 2473503, -17696, -14960, 6944
1707710454182, 2473513, -18512, -15600, 7504
1707710454192, 2473523, -18912, -16512, 7632
1707710454202, 2473533, -19440, -17088, 7504
1707710454212, 2473543, -20192, -17312, 7296
1707710454222, 2473553, -20608, -17584, 7264
1707710454232, 2473563, -21024, -18512, 7088
1707710454242, 2473573, -21584, -19424, 7280
1707710454252, 2473583, -21952, -19584, 7440
1707710454262, 2473593, -21920, -19152, 6768
1707710454272, 2473603, -21472, -19104, 5376
1707710454282, 2473613, -21280, -20160, 4464
1707710454292, 2473623, -21072, -20176, 4048
1707710454302, 2473633, -20528, -20336, 3568
1707710454312, 2473643, -19696, -20704, 3056
1707710454322, 2473653, -19488, -19920, 3136
1707710454332, 2473663, -19312, -17760, 3600
1707710454342, 2473673, -19344, -15136, 4176
1707710454352, 2473683, -19808, -12784, 4832
1707710454362, 2473693, -20464, -10928, 5584
1707710454372, 2473703, -21472, -9664, 6448
1707710454382, 2473713, -22224, -8864, 6688
1707710454392, 2473723, -22784, -8928, 6480
1707710454402, 2473733, -23728, -9552, 6192
1707710454412, 2473743, -24288, -9984, 5152
1707710454422, 2473753, -24448, -9968, 4000
1707710454432, 2473763, -24800, -10048, 2864
1707710454442, 2473773, -25120, -10080, 1872
1707710454452, 2473783, -24784, -9088, 976
1707710454462, 2473793, -24768, -8656, 496
1707710454472, 2473803, -25408, -7824, -336
1707710454482, 2473813, -25152, -7136, -1696
1707710454492, 2473823, -24880, -6560, -2896
1707710454502, 2473833, -24320, -6704, -4160
1707710454512, 2473843, -22592, -7152, -5744
