Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711473688, 3493023, -2000, -5520, 9760
1707711473698, 3493033, -1776, -5776, 10496
1707711473708, 3493043, -1792, -6112, 11408
1707711473718, 3493053, -1808, -6704, 12576
1707711473728, 3493063, -1840, -7232, 13648
1707711473738, 3493073, -1936, -7856, 14560
1707711473748, 3493083, -2112, -8464, 15120
1707711473758, 3493093, -2368, -9088, 15424
1707711473768, 3493103, -2384, -9408, 15264
1707711473778, 3493113, -2784, -9184, 14976
1707711473788, 3493123, -3168, -8944, 14736
1707711473798, 3493133, -3712, -8416, 14736
1707711473808, 3493143, -4080, -8080, 14848
1707711473818, 3493153, -4368, -7744, 14928
1707711473828, 3493163, -4576, -7520, 15056
1707711473838, 3493173, -4912, -7456, 15152
1707711473848, 3493183, -5024, -7648, 14736
1707711473858, 3493193, -5360, -7664, 14704
1707711473868, 3493203, -5472, -7376, 14432
1707711473878, 3493213, -5728, -7280, 14224
1707711473888, 3493223, -5984, -7216, 13808
1707711473898, 3493233, -5792, -7392, 13440
1707711473908, 3493243, -5872, -7344, 13408
1707711473918, 3493253, -5712, -7072, 12800
1707711473928, 3493263, -5632, -6624, 11744
1707711473938, 3493273, -5456, -6048, 10272
1707711473948, 3493283, -5120, -5744, 8992
1707711473958, 3493293, -4624, -5680, 7776
1707711473968, 3493303, -4128, -5664, 6608
1707711473978, 3493313, -3600, -5728, 5696
1707711473988, 3493323, -3072, -5584, 4832
1707711473998, 3493333, -2112, -5344, 4000
1707711474008, 3493343, -1488, -4944, 3264
1707711474018, 3493353, -896, -4512, 2480
1707711474028, 3493363, -112, -4272, 1488
1707711474038, 3493373, 624, -3888, 416
1707711474048, 3493383, 1344, -3952, -688
1707711474058, 3493393, 1888, -3904, -2096
1707711474068, 3493403, 2224, -4000, -3808
1707711474078, 3493413, 2544, -4128, -5168
1707711474088, 3493423, 2640, -4320, -6256
1707711474098, 3493433, 2992, -4672, -7024
1707711474108, 3493443, 3200, -5472, -7168
1707711474118, 3493453, 3088, -6192, -6704
1707711474128, 3493463, 2544, -6464, -6128
1707711474138, 3493473, 2240, -6128, -5616
1707711474148, 3493483, 1456, -5520, -5232
1707711474158, 3493493, 352, -4896, -4528
1707711474168, 3493503, -848, -4320, -3600
1707711474178, 3493513, -2336, -3536, -2688
1707711474188, 3493523, -3824, -2304, -1344
1707711474198, 3493533, -4992, -864, -432
1707711474208, 3493543, -5792, 656, 416
1707711474218, 3493553, -6384, 1856, 1520
1707711474228, 3493563, -6848, 2896, 2800
1707711474238, 3493573, -7312, 4656, 4400
1707711474248, 3493583, -7488, 6192, 5200
1707711474258, 3493593, -6512, 6176, 4864
1707711474268, 3493603, -8304, 9472, 4944
1707711474278, 3493613, -6640, 10976, 4048
1707711474288, 3493623, -6000, 11360, 3984
1707711474298, 3493633, -4992, 10992, 4144
1707711474308, 3493643, -4240, 9856, 4464
1707711474318, 3493653, -3232, 8528, 4720
1707711474328, 3493663, -2480, 6496, 5504
1707711474338, 3493673, -1760, 4672, 6752
1707711474348, 3493683, -1760, 3664, 7904
1707711474358, 3493693, -1264, 3856, 9184
1707711474368, 3493703, -1216, 4672, 10048
1707711474378, 3493713, -976, 5968, 10768
1707711474388, 3493723, -1104, 6848, 11472
1707711474398, 3493733, -1840, 7632, 11184
1707711474408, 3493743, -1808, 7984, 10448
1707711474418, 3493753, -1984, 7696, 9520
1707711474428, 3493763, -1968, 7328, 8384
1707711474438, 3493773, -2208, 7056, 7824
1707711474448, 3493783, -2416, 7072, 7648
1707711474458, 3493793, -2544, 6912, 7456
1707711474468, 3493803, -2752, 6592, 7408
1707711474478, 3493813, -2944, 6432, 7456
1707711474488, 3493823, -3280, 6208, 7440
1707711474498, 3493833, -3808, 6608, 7712
1707711474508, 3493843, -4544, 7056, 7616
1707711474518, 3493853, -5088, 7104, 7136
1707711474528, 3493863, -5520, 5840, 6288
1707711474538, 3493873, -5696, 3184, 4784
1707711474548, 3493883, -6160, 1408, 3520
1707711474558, 3493893, -6656, 1008, 2704
1707711474568, 3493903, -7280, 512, 2240
1707711474578, 3493913, -7968, 96, 2112
1707711474588, 3493923, -8768, -64, 1648
1707711474598, 3493933, -10352, 224, 400
1707711474608, 3493943, -12032, 112, -1072
1707711474618, 3493953, -13872, -368, -3904
1707711474630, 3493963, -15072, -1344, -8128
1707711474640, 3493973, -15936, -3216, -12640
1707711474650, 3493983, -16480, -5248, -15680
1707711474660, 3493993, -16432, -7504, -17696
1707711474670, 3494003, -15856, -8768, -18240
1707711474680, 3494013, -15184, -10880, -17936
1707711474690, 3494023, -14288, -12624, -18176
1707711474700, 3494033, -13232, -14160, -18192
1707711474710, 3494043, -12480, -15136, -17248
1707711474720, 3494053, -12000, -15808, -16256
