Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707710859121, 2878453, -944, -6192, 5312
1707710859131, 2878463, -1008, -6464, 5152
1707710859141, 2878473, -944, -6640, 4832
1707710859151, 2878483, -816, -6880, 4480
1707710859161, 2878493, -704, -7104, 4240
1707710859171, 2878503, -576, -7296, 3952
1707710859181, 2878513, -384, -7536, 3856
1707710859191, 2878523, -320, -7632, 4048
1707710859201, 2878533, -304, -7728, 4352
1707710859211, 2878543, -496, -7952, 4736
1707710859221, 2878553, -656, -8192, 4784
1707710859231, 2878563, -272, -8208, 4176
1707710859241, 2878573, 16, -8208, 3184
1707710859251, 2878583, 208, -8192, 1872
1707710859261, 2878593, 480, -8160, 848
1707710859271, 2878603, 160, -8080, 624
1707710859281, 2878613, -80, -7648, 960
1707710859291, 2878623, -144, -7136, 1520
1707710859301, 2878633, -112, -6432, 1920
1707710859311, 2878643, -320, -5824, 2256
1707710859321, 2878653, -496, -5376, 2256
1707710859331, 2878663, -528, -5088, 1760
1707710859341, 2878673, -464, -4624, 864
1707710859351, 2878683, -464, -4288, 80
1707710859361, 2878693, -560, -4304, -464
1707710859371, 2878703, -624, -4368, -1184
1707710859381, 2878713, -640, -4368, -1152
1707710859391, 2878723, -832, -4400, -512
1707710859401, 2878733, -832, -4048, -16
1707710859411, 2878743, -1104, -3712, 464
1707710859421, 2878753, -1488, -2736, 528
1707710859431, 2878763, -2160, -2160, 208
1707710859441, 2878773, -2720, -1824, 752
1707710859451, 2878783, -3536, -1840, 1872
1707710859461, 2878793, -5152, -2560, 3200
1707710859471, 2878803, -5840, -3920, 4304
1707710859481, 2878813, -6400, -5264, 5408
1707710859491, 2878823, -7408, -6128, 6208
1707710859501, 2878833, -8560, -6800, 6480
1707710859511, 2878843, -9024, -7984, 6464
1707710859521, 2878853, -9264, -9120, 6016
1707710859531, 2878863, -9072, -10048, 5120
1707710859541, 2878873, -8640, -12192, 3680
1707710859551, 2878883, -7600, -13952, 1248
1707710859561, 2878893, -6800, -15264, -1920
1707710859571, 2878903, -6240, -16848, -4992
1707710859581, 2878913, -5520, -18848, -5552
1707710859591, 2878923, -4768, -19520, -4256
1707710859601, 2878933, -4752, -18960, -848
1707710859611, 2878943, -5232, -16448, 2016
1707710859621, 2878953, -6128, -13824, 2192
1707710859631, 2878963, -8048, -12144, 832
1707710859641, 2878973, -8848, -10512, -496
1707710859651, 2878983, -9728, -9568, -368
1707710859661, 2878993, -10304, -9424, -336
1707710859671, 2879003, -10784, -9664, -1456
1707710859681, 2879013, -11504, -9408, -2704
1707710859691, 2879023, -12128, -8960, -3760
1707710859701, 2879033, -12464, -8608, -4000
1707710859711, 2879043, -12816, -8544, -3648
1707710859721, 2879053, -12784, -8720, -3504
1707710859731, 2879063, -12864, -8832, -3952
1707710859741, 2879073, -12880, -8432, -5040
1707710859751, 2879083, -12640, -8064, -5744
1707710859761, 2879093, -12592, -7744, -6304
1707710859771, 2879103, -12368, -7264, -6944
1707710859781, 2879113, -12016, -6816, -7120
1707710859791, 2879123, -11584, -6784, -6704
1707710859801, 2879133, -11392, -6832, -6144
1707710859811, 2879143, -11376, -7264, -6048
1707710859821, 2879153, -11200, -7472, -6304
1707710859831, 2879163, -10896, -7696, -6080
1707710859841, 2879173, -10912, -7952, -6016
1707710859852, 2879183, -10768, -7872, -6736
1707710859862, 2879193, -10704, -7712, -7568
1707710859872, 2879203, -10528, -7456, -7744
1707710859882, 2879213, -10256, -7200, -7136
1707710859892, 2879223, -9952, -6880, -6720
1707710859902, 2879233, -9536, -7024, -6496
1707710859912, 2879243, -9424, -7184, -6176
1707710859922, 2879253, -9232, -7008, -6128
1707710859932, 2879263, -9232, -6512, -6416
1707710859942, 2879273, -9504, -5632, -6688
1707710859952, 2879283, -9392, -5008, -7072
1707710859962, 2879293, -9008, -5008, -6960
1707710859972, 2879303, -8576, -5216, -6480
1707710859982, 2879313, -8224, -5904, -6336
1707710859992, 2879323, -8000, -6176, -6672
1707710860002, 2879333, -7776, -6000, -7152
1707710860012, 2879343, -7808, -5632, -7440
1707710860022, 2879353, -7568, -5232, -7472
1707710860032, 2879363, -7232, -4944, -7472
1707710860042, 2879373, -6928, -4592, -7232
1707710860052, 2879383, -6848, -4224, -7040
1707710860062, 2879393, -6768, -3664, -6800
1707710860072, 2879403, -6688, -2944, -6432
1707710860082, 2879413, -6832, -2000, -5840
1707710860092, 2879423, -6912, -1200, -5280
1707710860102, 2879433, -7184, -176, -4800
1707710860112, 2879443, -7280, 768, -4432
1707710860122, 2879453, -7040, 1360, -4192
1707710860132, 2879463, -6880, 1488, -3872
1707710860142, 2879473, -6656, 1632, -3472
