Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711098251, 3117583, -4208, -864, 6768
1707711098261, 3117593, -4160, -832, 6608
1707711098271, 3117603, -4096, -880, 6464
1707711098281, 3117613, -4160, -992, 6400
1707711098291, 3117623, -4064, -1136, 6336
1707711098301, 3117633, -4080, -1104, 6240
1707711098311, 3117643, -4080, -1312, 6096
1707711098321, 3117653, -4144, -1440, 5952
1707711098331, 3117663, -4160, -1504, 5760
1707711098341, 3117673, -4160, -1536, 5552
1707711098351, 3117683, -4048, -1456, 5104
1707711098361, 3117693, -3856, -1440, 4832
1707711098371, 3117703, -3952, -1568, 4624
1707711098381, 3117713, -3952, -1632, 4464
1707711098391, 3117723, -3824, -1648, 4352
1707711098401, 3117733, -3888, -1760, 4336
1707711098411, 3117743, -3904, -1760, 4448
1707711098421, 3117753, -3872, -1696, 4576
1707711098431, 3117763, -3904, -1664, 4720
1707711098441, 3117773, -3968, -1760, 4832
1707711098451, 3117783, -4016, -1840, 4912
1707711098461, 3117793, -4016, -2000, 4928
1707711098471, 3117803, -3808, -2080, 5040
1707711098481, 3117813, -3840, -2320, 5104
1707711098491, 3117823, -3952, -2336, 5296
1707711098501, 3117833, -4048, -2256, 5440
1707711098511, 3117843, -4128, -2240, 5520
1707711098521, 3117853, -4224, -2544, 5728
1707711098531, 3117863, -4256, -2912, 5840
1707711098541, 3117873, -3984, -3648, 6160
1707711098551, 3117883, -3680, -5104, 6592
1707711098561, 3117893, -3568, -6992, 6848
1707711098571, 3117903, -3520, -8336, 6832
1707711098581, 3117913, -3440, -9056, 6544
1707711098591, 3117923, -3552, -9280, 6320
1707711098601, 3117933, -3776, -9312, 5808
1707711098611, 3117943, -3840, -9152, 5472
1707711098621, 3117953, -3952, -9392, 5200
1707711098631, 3117963, -4064, -9888, 5040
1707711098641, 3117973, -4192, -10416, 4992
1707711098651, 3117983, -4352, -10400, 5152
1707711098661, 3117993, -4448, -10192, 5520
1707711098671, 3118003, -4592, -10192, 5616
1707711098681, 3118013, -4656, -10160, 6112
1707711098691, 3118023, -4880, -10560, 6992
1707711098701, 3118033, -5216, -10928, 7776
1707711098711, 3118043, -5440, -11184, 8400
1707711098721, 3118053, -5568, -10784, 8848
1707711098731, 3118063, -5680, -10208, 9296
1707711098741, 3118073, -5808, -9408, 9680
1707711098751, 3118083, -6192, -8832, 10352
1707711098761, 3118093, -6496, -8288, 11408
1707711098771, 3118103, -6800, -8064, 12256
1707711098781, 3118113, -7168, -8000, 12976
1707711098791, 3118123, -7904, -7968, 13360
1707711098801, 3118133, -8896, -7472, 13552
1707711098811, 3118143, -10032, -6288, 13536
1707711098821, 3118153, -11104, -4944, 13456
1707711098831, 3118163, -11904, -3472, 13472
1707711098841, 3118173, -12544, -2208, 13456
1707711098851, 3118183, -13200, -1072, 13152
1707711098861, 3118193, -13392, -64, 12560
1707711098871, 3118203, -13264, 960, 11616
1707711098881, 3118213, -13136, 1232, 11008
1707711098891, 3118223, -13168, 1840, 10576
1707711098901, 3118233, -13376, 3120, 9856
1707711098911, 3118243, -13200, 4528, 8992
1707711098921, 3118253, -13200, 5328, 8864
1707711098931, 3118263, -13040, 5696, 8944
1707711098941, 3118273, -12624, 5968, 9056
1707711098951, 3118283, -12608, 6832, 9104
1707711098961, 3118293, -12368, 7392, 8976
1707711098971, 3118303, -11584, 7488, 8960
1707711098981, 3118313, -11328, 7008, 9264
1707711098991, 3118323, -11136, 6400, 9472
1707711099001, 3118333, -10720, 5312, 9280
1707711099011, 3118343, -10432, 4416, 9024
1707711099021, 3118353, -10224, 3968, 9136
1707711099031, 3118363, -9984, 3488, 8992
1707711099041, 3118373, -9664, 3328, 8816
1707711099051, 3118383, -9360, 3136, 8640
1707711099061, 3118393, -8992, 3008, 8400
1707711099071, 3118403, -8736, 2752, 8080
1707711099081, 3118413, -8624, 2640, 7632
1707711099091, 3118423, -8288, 2304, 6720
1707711099101, 3118433, -7792, 1840, 5840
1707711099111, 3118443, -7216, 1184, 4944
1707711099121, 3118453, -6688, 896, 4144
1707711099131, 3118463, -6352, 832, 3424
1707711099141, 3118473, -6096, 1200, 2656
1707711099151, 3118483, -6192, 1984, 2336
1707711099161, 3118493, -6208, 3040, 2240
1707711099171, 3118503, -6272, 3792, 2192
1707711099181, 3118513, -6128, 3968, 2144
1707711099191, 3118523, -6128, 3456, 2368
1707711099201, 3118533, -5824, 2416, 2432
1707711099211, 3118543, -5568, 1600, 2208
1707711099221, 3118553, -5360, 912, 1792
1707711099231, 3118563, -4864, 352, 1360
1707711099241, 3118573, -4496, -96, 912
1707711099251, 3118583, -4240, -288, 528
1707711099261, 3118593, -4144, -384, 352
1707711099271, 3118603, -4176, -352, -16
1707711099281, 3118613, -4016, 160, -256
1707711099291, 3118623, -3984, 352, -368
1707711099301, 3118633, -4080, 128, -272
1707711099311, 3118643, -4000, -240, -176
1707711099321, 3118653, -3920, -1344, -352
1707711099331, 3118663, -3808, -2704, -864
1707711099341, 3118673, -3680, -3616, -1504
1707711099351, 3118683, -3456, -3728, -2352
1707711099361, 3118693, -3392, -3488, -3264
1707711099371, 3118703, -3248, -3552, -3520
1707711099381, 3118713, -3152, -3680, -3264
1707711099391, 3118723, -3168, -3920, -2560
1707711099401, 3118733, -3136, -4240, -1696
1707711099411, 3118743, -2976, -4672, -608
1707711099421, 3118753, -2944, -5248, 240
1707711099431, 3118763, -2720, -5936, 656
1707711099441, 3118773, -2608, -6416, 896
1707711099451, 3118783, -2368, -6544, 1168
1707711099461, 3118793, -2144, -6928, 1504
1707711099471, 3118803, -1968, -7744, 1712
1707711099481, 3118813, -1888, -8464, 1920
1707711099491, 3118823, -1680, -9056, 1952
1707711099501, 3118833, -1648, -9712, 2096
1707711099511, 3118843, -1712, -9920, 2368
1707711099521, 3118853, -1824, -9936, 2656
1707711099531, 3118863, -2128, -10112, 3008
1707711099541, 3118873, -2336, -10560, 3600
1707711099551, 3118883, -2368, -11088, 4112
1707711099561, 3118893, -2544, -11296, 4432
