Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711268580, 3287913, -4944, -3248, 5152
1707711268590, 3287923, -5120, -2976, 5344
1707711268600, 3287933, -5232, -2656, 5600
1707711268610, 3287943, -4992, -2192, 5440
1707711268620, 3287953, -5136, -2160, 5616
1707711268630, 3287963, -5392, -2448, 5776
1707711268640, 3287973, -5264, -2288, 5744
1707711268650, 3287983, -5072, -2336, 5632
1707711268660, 3287993, -4768, -2672, 5536
1707711268670, 3288003, -4672, -3008, 5536
1707711268680, 3288013, -5072, -3392, 5744
1707711268690, 3288023, -5152, -3456, 5696
1707711268700, 3288033, -4976, -3504, 5328
1707711268710, 3288043, -4992, -3504, 5040
1707711268720, 3288053, -5152, -3488, 5056
1707711268730, 3288063, -5152, -3248, 4544
1707711268740, 3288073, -5392, -2704, 4080
1707711268750, 3288083, -5440, -2704, 3792
1707711268760, 3288093, -5680, -2416, 3840
1707711268770, 3288103, -5600, -2064, 4256
1707711268780, 3288113, -5776, -1888, 4688
1707711268790, 3288123, -5808, -1728, 4704
1707711268800, 3288133, -5952, -2032, 4656
1707711268810, 3288143, -6112, -2704, 4512
1707711268820, 3288153, -6000, -2736, 4224
1707711268830, 3288163, -5984, -2576, 4144
1707711268840, 3288173, -6224, -2624, 4608
1707711268850, 3288183, -6544, -2736, 6304
1707711268860, 3288193, -6512, -3456, 8064
1707711268870, 3288203, -6288, -4624, 9504
1707711268880, 3288213, -5760, -5696, 10224
1707711268890, 3288223, -5568, -6512, 11200
1707711268900, 3288233, -5536, -7632, 11936
1707711268910, 3288243, -5440, -8304, 12656
1707711268920, 3288253, -5408, -8992, 12800
1707711268930, 3288263, -5344, -9456, 12384
1707711268940, 3288273, -5184, -9120, 11840
1707711268950, 3288283, -5712, -9104, 11856
1707711268960, 3288293, -6480, -8704, 12256
1707711268970, 3288303, -7120, -8464, 12528
1707711268980, 3288313, -7840, -8240, 12608
1707711268990, 3288323, -8320, -7392, 12368
1707711269000, 3288333, -9008, -6192, 12608
1707711269010, 3288343, -9968, -4880, 12912
1707711269020, 3288353, -10976, -3824, 12704
1707711269030, 3288363, -11696, -2832, 11952
1707711269040, 3288373, -12288, -2464, 10640
1707711269050, 3288383, -12208, -2208, 9664
1707711269060, 3288393, -12400, -2144, 9120
1707711269070, 3288403, -11760, -2304, 8944
1707711269080, 3288413, -12784, -1248, 8416
1707711269090, 3288423, -12544, -544, 7936
1707711269100, 3288433, -12752, -1568, 8368
1707711269110, 3288443, -13616, -1872, 9296
1707711269120, 3288453, -12864, -1376, 9168
1707711269130, 3288463, -12544, -1872, 9008
1707711269140, 3288473, -12512, -2064, 8912
1707711269150, 3288483, -13056, -1632, 8768
1707711269160, 3288493, -13616, -1376, 8176
1707711269170, 3288503, -14496, -928, 6576
1707711269180, 3288513, -14320, -1440, 4304
1707711269190, 3288523, -13696, -2416, 2272
1707711269200, 3288533, -12720, -3600, 208
1707711269210, 3288543, -11440, -5104, -1600
1707711269220, 3288553, -10176, -6400, -4160
1707711269230, 3288563, -8704, -8576, -6816
1707711269240, 3288573, -7024, -9408, -9296
1707711269250, 3288583, -5712, -9120, -9920
1707711269260, 3288593, -4208, -8128, -9728
1707711269270, 3288603, -3408, -6880, -8656
1707711269280, 3288613, -2768, -5488, -7328
1707711269290, 3288623, -2352, -4288, -6080
