Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711785068, 3804403, -6176, -9984, -2000
1707711785078, 3804413, -6384, -10240, -1872
1707711785088, 3804423, -6464, -10592, -1776
1707711785098, 3804433, -6736, -11328, -1936
1707711785108, 3804443, -6816, -11920, -2320
1707711785118, 3804453, -6640, -12224, -2880
1707711785128, 3804463, -6512, -12320, -3488
1707711785138, 3804473, -6400, -12208, -3904
1707711785148, 3804483, -6400, -11936, -4112
1707711785158, 3804493, -6416, -11680, -4000
1707711785168, 3804503, -6448, -11504, -3568
1707711785178, 3804513, -6816, -11712, -2816
1707711785188, 3804523, -7200, -11760, -1776
1707711785198, 3804533, -7536, -11696, -880
1707711785208, 3804543, -7744, -11360, -272
1707711785218, 3804553, -7872, -10992, 144
1707711785228, 3804563, -7952, -10608, 288
1707711785238, 3804573, -7824, -10224, 256
1707711785248, 3804583, -7792, -10000, 304
1707711785258, 3804593, -7584, -9632, 496
1707711785268, 3804603, -7264, -9264, 544
1707711785278, 3804613, -6944, -9248, 544
1707711785288, 3804623, -6608, -9056, 432
1707711785298, 3804633, -6144, -8880, 240
1707711785308, 3804643, -6144, -8848, -192
1707711785318, 3804653, -5824, -8800, -672
1707711785328, 3804663, -5232, -8688, -1056
1707711785338, 3804673, -4912, -8656, -1600
1707711785348, 3804683, -4704, -8608, -1952
1707711785358, 3804693, -4464, -8656, -2064
1707711785368, 3804703, -4160, -8912, -2080
1707711785378, 3804713, -3968, -9152, -2000
1707711785388, 3804723, -3776, -9344, -1888
1707711785398, 3804733, -3376, -9360, -1792
1707711785408, 3804743, -2976, -9296, -1888
1707711785418, 3804753, -2704, -9072, -2160
1707711785428, 3804763, -2608, -8832, -2336
1707711785438, 3804773, -2480, -8480, -2608
1707711785448, 3804783, -2288, -8144, -2944
1707711785458, 3804793, -2096, -7712, -3264
1707711785468, 3804803, -2016, -7296, -3616
1707711785478, 3804813, -1728, -6752, -3904
1707711785488, 3804823, -1440, -6416, -4128
1707711785498, 3804833, -1568, -6000, -4192
1707711785508, 3804843, -1760, -5584, -4160
1707711785518, 3804853, -1808, -4992, -3968
1707711785528, 3804863, -1680, -4560, -3792
1707711785538, 3804873, -1328, -4112, -3696
1707711785548, 3804883, -1024, -3904, -3792
1707711785558, 3804893, -816, -3600, -3840
1707711785568, 3804903, -608, -3328, -4208
1707711785578, 3804913, -384, -3456, -4384
1707711785588, 3804923, -160, -3136, -4496
1707711785598, 3804933, 32, -2992, -4480
1707711785608, 3804943, 80, -2656, -4416
1707711785618, 3804953, 192, -2560, -4192
1707711785628, 3804963, 432, -2496, -4176
1707711785638, 3804973, 864, -2784, -4128
1707711785648, 3804983, 1168, -2784, -4192
1707711785658, 3804993, 1248, -2592, -4336
1707711785668, 3805003, 1168, -2320, -4400
1707711785678, 3805013, 1168, -1936, -4192
1707711785688, 3805023, 1056, -1344, -3984
1707711785698, 3805033, 1056, -752, -3744
1707711785708, 3805043, 1232, -144, -3456
1707711785718, 3805053, 1424, 288, -3408
1707711785728, 3805063, 1520, 656, -3440
1707711785738, 3805073, 1472, 960, -3648
1707711785748, 3805083, 1312, 1296, -3648
1707711785758, 3805093, 1056, 1712, -3488
1707711785768, 3805103, 912, 1712, -3008
1707711785778, 3805113, 768, 1760, -2016
1707711785788, 3805123, 432, 2080, -912
1707711785798, 3805133, 544, 2752, -432
1707711785808, 3805143, 800, 3472, -256
1707711785818, 3805153, 848, 4208, -288
1707711785828, 3805163, 752, 4832, 192
1707711785838, 3805173, 720, 5616, 1040
1707711785848, 3805183, 896, 6384, 1536
1707711785858, 3805193, 1152, 6688, 1584
1707711785868, 3805203, 1312, 6560, 1328
1707711785878, 3805213, 1392, 6448, 1072
1707711785888, 3805223, 1488, 6944, 1120
1707711785898, 3805233, 1584, 7808, 1648
1707711785908, 3805243, 1760, 8320, 2080
1707711785918, 3805253, 2000, 8480, 2080
1707711785928, 3805263, 2304, 8624, 1856
1707711785938, 3805273, 2640, 8432, 1440
1707711785948, 3805283, 2960, 7712, 1264
1707711785958, 3805293, 3056, 6944, 1440
1707711785968, 3805303, 3216, 6288, 1824
1707711785978, 3805313, 3520, 4928, 2576
1707711785988, 3805323, 3456, 3760, 3968
1707711785998, 3805333, 3488, 2832, 5296
1707711786008, 3805343, 3824, 1600, 6784
1707711786018, 3805353, 4064, 288, 8224
1707711786028, 3805363, 4368, -960, 9728
1707711786038, 3805373, 4736, -2272, 10704
1707711786048, 3805383, 5152, -3504, 11776
1707711786058, 3805393, 5520, -4672, 12624
1707711786068, 3805403, 5904, -5744, 12752
1707711786078, 3805413, 6208, -6656, 12336
1707711786088, 3805423, 6352, -6928, 11312
1707711786098, 3805433, 6400, -6576, 10288
1707711786108, 3805443, 6272, -6096, 9056
1707711786118, 3805453, 6272, -6112, 7808
1707711786128, 3805463, 6176, -5632, 6800
1707711786138, 3805473, 5952, -5152, 6032
1707711786148, 3805483, 5456, -4608, 5216
1707711786158, 3805493, 4896, -4192, 4464
1707711786168, 3805503, 4160, -3648, 3648
1707711786178, 3805513, 2912, -2736, 3152
1707711786188, 3805523, 1392, -1408, 3008
1707711786198, 3805533, -384, 32, 2768
1707711786208, 3805543, -2208, 1840, 2288
1707711786218, 3805553, -4240, 3552, 1648
1707711786228, 3805563, -6224, 5344, 528
1707711786238, 3805573, -7984, 8768, -1328
1707711786248, 3805583, -9008, 13120, -3808
1707711786258, 3805593, -9232, 16432, -5872
1707711786268, 3805603, -8528, 19808, -6960
1707711786278, 3805613, -8128, 21568, -7040
1707711786288, 3805623, -7872, 23968, -6992
1707711786298, 3805633, -7664, 25328, -7008
1707711786308, 3805643, -7280, 25344, -6672
1707711786318, 3805653, -6864, 24192, -5984
1707711786328, 3805663, -6512, 22816, -5408
1707711786338, 3805673, -5856, 20960, -4992
1707711786348, 3805683, -5856, 18016, -4672
1707711786358, 3805693, -4944, 16000, -4368
1707711786368, 3805703, -4224, 14096, -3632
1707711786378, 3805713, -3872, 12752, -2208
1707711786388, 3805723, -3824, 11264, -1024
1707711786398, 3805733, -2848, 7904, -1312
1707711786408, 3805743, -1744, 3776, -2032
1707711786418, 3805753, -848, 624, -1392
1707711786428, 3805763, 192, -1120, 192
1707711786438, 3805773, 1536, -3088, 1792
1707711786448, 3805783, 3104, -5488, 3920
1707711786458, 3805793, 4672, -7440, 7456
1707711786468, 3805803, 6144, -8800, 11168
1707711786478, 3805813, 7456, -10416, 13552
1707711786488, 3805823, 8400, -11360, 13984
1707711786498, 3805833, 8656, -10928, 12832
1707711786508, 3805843, 8704, -9536, 10944
1707711786518, 3805853, 8640, -7872, 9152
1707711786528, 3805863, 8384, -6512, 7664
1707711786538, 3805873, 8352, -5184, 6224
1707711786548, 3805883, 8128, -3856, 5328
1707711786558, 3805893, 7552, -2448, 4640
1707711786568, 3805903, 7168, -1248, 4240
1707711786578, 3805913, 6608, -176, 3936
1707711786588, 3805923, 6000, 912, 3552
1707711786598, 3805933, 5328, 1264, 2912
1707711786608, 3805943, 4336, 1792, 2352
1707711786618, 3805953, 2864, 2896, 1904
1707711786628, 3805963, 1072, 4320, 1456
1707711786638, 3805973, -864, 6336, 1104
1707711786648, 3805983, -2496, 8592, 144
1707711786658, 3805993, -3808, 11264, -1328
1707711786668, 3806003, -5056, 14640, -3472
1707711786678, 3806013, -5520, 18912, -5552
1707711786688, 3806023, -5952, 22224, -7072
1707711786698, 3806033, -6000, 24256, -7776
1707711786708, 3806043, -5600, 24496, -8144
1707711786718, 3806053, -5472, 23040, -7936
1707711786728, 3806063, -5216, 20656, -7024
1707711786738, 3806073, -4352, 17744, -6368
1707711786748, 3806083, -4144, 15664, -5568
1707711786758, 3806093, -4144, 14912, -4480
1707711786768, 3806103, -4208, 14624, -3408
1707711786778, 3806113, -4400, 13056, -2480
1707711786788, 3806123, -4384, 10048, -2048
1707711786798, 3806133, -3280, 5392, -2512
1707711786808, 3806143, -2080, 1200, -2592
1707711786818, 3806153, -976, -256, -1632
1707711786828, 3806163, 304, 160, -160
1707711786838, 3806173, 1744, 432, 1168
1707711786848, 3806183, 2448, 464, 2128
1707711786858, 3806193, 3120, -224, 2528
1707711786868, 3806203, 3760, -2096, 2480
1707711786878, 3806213, 4288, -5008, 2704
1707711786888, 3806223, 5296, -8640, 3584
1707711786898, 3806233, 6224, -11024, 6000
1707711786908, 3806243, 6944, -11360, 9488
1707711786918, 3806253, 7744, -11008, 13104
1707711786928, 3806263, 8064, -10880, 15280
1707711786938, 3806273, 7744, -10352, 15664
1707711786948, 3806283, 7168, -9008, 14528
1707711786958, 3806293, 6624, -7392, 12400
1707711786968, 3806303, 6112, -5616, 10208
1707711786978, 3806313, 5888, -4400, 8048
1707711786988, 3806323, 5760, -3344, 6176
1707711786998, 3806333, 5440, -2096, 4976
1707711787008, 3806343, 5088, -912, 4304
1707711787018, 3806353, 4768, 64, 3696
1707711787028, 3806363, 4592, 624, 2944
1707711787038, 3806373, 4288, 480, 2080
1707711787048, 3806383, 3712, 464, 1552
1707711787058, 3806393, 2944, 976, 1440
1707711787068, 3806403, 1936, 1616, 1408
1707711787078, 3806413, 416, 2768, 1488
1707711787088, 3806423, -992, 4160, 992
1707711787098, 3806433, -2464, 5664, -192
1707711787108, 3806443, -3888, 7856, -2400
1707711787118, 3806453, -5280, 10848, -4960
1707711787128, 3806463, -6864, 14464, -6544
1707711787138, 3806473, -8192, 18800, -8080
1707711787148, 3806483, -8624, 23472, -9424
1707711787158, 3806493, -9056, 25904, -9840
1707711787168, 3806503, -8928, 27104, -9520
1707711787178, 3806513, -8640, 25248, -8752
1707711787188, 3806523, -8176, 22704, -7712
1707711787198, 3806533, -7728, 20032, -6752
1707711787208, 3806543, -6976, 17312, -5872
1707711787218, 3806553, -6400, 15328, -4736
1707711787228, 3806563, -6528, 13808, -3808
1707711787238, 3806573, -6112, 11424, -3008
1707711787248, 3806583, -5680, 8048, -2720
1707711787258, 3806593, -5136, 4480, -2512
1707711787268, 3806603, -4576, 1216, -2192
1707711787278, 3806613, -3696, -1808, -1296
1707711787288, 3806623, -2400, -3792, 48
1707711787298, 3806633, -1296, -4000, 1776
1707711787308, 3806643, -208, -3440, 3680
1707711787318, 3806653, 736, -3168, 5136
1707711787328, 3806663, 1616, -3776, 6416
1707711787338, 3806673, 2288, -3920, 6800
1707711787348, 3806683, 2960, -4304, 6640
1707711787358, 3806693, 3632, -4992, 6368
1707711787368, 3806703, 4128, -5136, 6080
1707711787378, 3806713, 4752, -4656, 6032
1707711787388, 3806723, 5360, -4160, 5712
1707711787398, 3806733, 5904, -3824, 5120
1707711787408, 3806743, 5904, -3792, 4144
1707711787418, 3806753, 6272, -3760, 3120
1707711787428, 3806763, 6464, -3536, 2480
1707711787438, 3806773, 6560, -3360, 1984
1707711787448, 3806783, 6576, -3504, 1744
1707711787458, 3806793, 6208, -3056, 1824
1707711787468, 3806803, 5952, -2544, 2000
1707711787478, 3806813, 5776, -2208, 2240
1707711787488, 3806823, 5280, -2112, 2416
1707711787498, 3806833, 4960, -1968, 2464
1707711787508, 3806843, 4528, -2000, 2320
1707711787518, 3806853, 4160, -1984, 2032
1707711787528, 3806863, 4080, -1824, 1856
1707711787538, 3806873, 3664, -1904, 1760
1707711787548, 3806883, 3584, -2064, 1376
1707711787558, 3806893, 3728, -2112, 960
1707711787568, 3806903, 3680, -2352, 624
1707711787578, 3806913, 3488, -2400, 480
1707711787587, 3806923, 3504, -2432, 160
1707711787597, 3806933, 3520, -2848, -528
1707711787607, 3806943, 3568, -3456, -1312
1707711787617, 3806953, 3664, -3968, -2016
1707711787627, 3806963, 3840, -3952, -2352
1707711787637, 3806973, 3728, -3776, -2560
1707711787647, 3806983, 3744, -3600, -2784
1707711787657, 3806993, 3632, -3520, -3024
