Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707711618197, 3637533, 3280, 368, 7104
1707711618207, 3637543, 3072, 496, 7168
1707711618217, 3637553, 2816, 544, 7344
1707711618227, 3637563, 2432, 352, 7712
1707711618237, 3637573, 2080, 176, 8032
1707711618247, 3637583, 2464, -384, 8704
1707711618257, 3637593, 3888, -1824, 9712
1707711618267, 3637603, 5584, -7104, 11664
1707711618277, 3637613, 7904, -13120, 11568
1707711618287, 3637623, 11008, -16288, 6368
1707711618297, 3637633, 12544, -17920, 976
1707711618307, 3637643, 11440, -20080, -3184
1707711618317, 3637653, 8384, -18672, -5456
1707711618327, 3637663, 5312, -14176, -4624
1707711618337, 3637673, 2208, -10608, -2192
1707711618347, 3637683, -624, -8064, 1040
1707711618357, 3637693, -2272, -5760, 3680
1707711618367, 3637703, -3056, -4496, 4096
1707711618377, 3637713, -4304, -3616, 2944
1707711618387, 3637723, -6240, -1792, 1888
1707711618397, 3637733, -8672, 1968, 2352
1707711618407, 3637743, -10304, 9152, 5536
1707711618417, 3637753, -11120, 19440, 12144
1707711618427, 3637763, -11552, 27328, 20496
1707711618437, 3637773, -11696, 31392, 22704
1707711618447, 3637783, -13440, 24736, 26064
1707711618457, 3637793, -12032, 17168, 22800
1707711618467, 3637803, -10640, 11568, 14720
1707711618477, 3637813, -9664, 6480, 10368
1707711618487, 3637823, -8224, 1904, 7968
1707711618497, 3637833, -6416, -2352, 8608
1707711618507, 3637843, -2656, -6736, 10576
1707711618517, 3637853, 2320, -11728, 13584
1707711618527, 3637863, 6208, -14528, 12192
1707711618537, 3637873, 8672, -15840, 5296
1707711618547, 3637883, 9760, -15632, -2272
1707711618557, 3637893, 10640, -14848, -8704
1707711618569, 3637903, 10288, -15280, -10128
1707711618577, 3637913, 8784, -14192, -6736
1707711618587, 3637923, 7200, -11312, -3008
1707711618597, 3637933, 5616, -9328, 64
1707711618607, 3637943, 4016, -8400, 1872
1707711618617, 3637953, 2368, -7360, 3040
1707711618627, 3637963, 560, -5328, 3760
1707711618637, 3637973, -2064, -2080, 4640
1707711618647, 3637983, -4384, 3488, 6160
1707711618657, 3637993, -5888, 11232, 9280
1707711618667, 3638003, -6832, 19200, 14480
1707711618677, 3638013, -8128, 22640, 19184
1707711618687, 3638023, -8144, 19824, 20416
1707711618697, 3638033, -7648, 14112, 18880
1707711618707, 3638043, -6608, 8352, 16496
1707711618717, 3638053, -4736, 3184, 14688
1707711618727, 3638063, -992, -3536, 14640
1707711618737, 3638073, 4096, -10752, 16320
1707711618747, 3638083, 7616, -14560, 13520
1707711618757, 3638093, 9184, -15040, 5728
1707711618767, 3638103, 8624, -12992, -1520
1707711618777, 3638113, 8752, -11472, -8176
1707711618787, 3638123, 8400, -12144, -9088
1707711618797, 3638133, 8400, -12128, -5648
1707711618807, 3638143, 7728, -11296, -1872
1707711618817, 3638153, 6880, -11024, 624
1707711618827, 3638163, 5072, -10864, 2608
