Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707710673422, 2692753, -3296, -4336, 5408
1707710673432, 2692763, -3328, -4368, 5328
1707710673442, 2692773, -3344, -4416, 5360
1707710673452, 2692783, -3280, -4448, 5232
1707710673462, 2692793, -3312, -4432, 5200
1707710673472, 2692803, -3344, -4416, 5168
1707710673482, 2692813, -3264, -4448, 5136
1707710673492, 2692823, -3248, -4368, 5152
1707710673502, 2692833, -3328, -4320, 5168
1707710673512, 2692843, -3280, -4272, 5280
1707710673522, 2692853, -3360, -4384, 5280
1707710673532, 2692863, -3296, -4352, 5248
1707710673542, 2692873, -3392, -4352, 5344
1707710673552, 2692883, -3328, -4336, 5312
1707710673562, 2692893, -3344, -4272, 5328
1707710673572, 2692903, -3344, -4208, 5280
1707710673582, 2692913, -3376, -4208, 5328
1707710673592, 2692923, -3392, -4176, 5264
1707710673602, 2692933, -3360, -4112, 5168
1707710673612, 2692943, -3344, -4112, 5248
1707710673622, 2692953, -3312, -4112, 5104
1707710673632, 2692963, -3232, -4128, 5024
1707710673642, 2692973, -3136, -4096, 4816
1707710673652, 2692983, -3088, -4048, 4656
1707710673662, 2692993, -3056, -4128, 4720
1707710673672, 2693003, -3040, -4128, 4896
1707710673682, 2693013, -3072, -4224, 5296
1707710673692, 2693023, -3136, -4272, 5696
1707710673702, 2693033, -3040, -4512, 6080
1707710673712, 2693043, -2720, -4928, 6832
1707710673722, 2693053, -2560, -5312, 7744
1707710673732, 2693063, -2288, -5888, 8848
1707710673742, 2693073, -1760, -6832, 10208
1707710673752, 2693083, -1392, -7936, 12000
1707710673762, 2693093, -1248, -8944, 13600
1707710673772, 2693103, -1280, -9744, 14624
1707710673782, 2693113, -1584, -10176, 15488
1707710673792, 2693123, -2064, -10112, 15840
1707710673802, 2693133, -2656, -9312, 15600
1707710673812, 2693143, -3328, -8304, 15168
1707710673822, 2693153, -4048, -7360, 14944
1707710673832, 2693163, -4704, -6304, 14992
1707710673842, 2693173, -5296, -5424, 15104
1707710673852, 2693183, -5568, -4944, 15232
1707710673862, 2693193, -5904, -4768, 15424
1707710673872, 2693203, -6176, -4592, 15584
1707710673882, 2693213, -6224, -4672, 15360
1707710673892, 2693223, -6192, -4896, 14704
1707710673902, 2693233, -6128, -4848, 13536
1707710673912, 2693243, -5888, -4928, 12336
1707710673922, 2693253, -5776, -4896, 11184
1707710673932, 2693263, -5776, -4944, 10000
1707710673942, 2693273, -5504, -4704, 9200
1707710673952, 2693283, -5120, -4224, 8576
1707710673962, 2693293, -4784, -4144, 8448
1707710673972, 2693303, -4784, -4304, 8560
1707710673982, 2693313, -4416, -4368, 8512
1707710673992, 2693323, -4224, -4320, 8496
1707710674002, 2693333, -4224, -4320, 8368
1707710674012, 2693343, -4144, -4320, 8320
1707710674022, 2693353, -3904, -4320, 8000
1707710674032, 2693363, -3440, -4432, 7760
1707710674042, 2693373, -3056, -4496, 7504
1707710674052, 2693383, -2848, -4288, 7200
1707710674062, 2693393, -2416, -3984, 6688
1707710674072, 2693403, -1920, -3600, 6160
1707710674082, 2693413, -1936, -2784, 5440
1707710674092, 2693423, -2048, -1776, 4464
1707710674102, 2693433, -2176, -816, 3296
1707710674112, 2693443, -1968, 48, 1776
1707710674122, 2693453, -1536, 672, -32
1707710674132, 2693463, -880, 1248, -1232
1707710674142, 2693473, -432, 1408, -2176
1707710674152, 2693483, -64, 1392, -3200
1707710674162, 2693493, -1296, 2592, -5024
1707710674172, 2693503, 448, 1392, -7248
1707710674182, 2693513, 2336, -704, -6944
1707710674192, 2693523, 3264, -1600, -6656
1707710674202, 2693533, 4048, -2704, -6256
1707710674212, 2693543, 3968, -3248, -5408
1707710674222, 2693553, 3568, -1952, -5408
1707710674232, 2693563, 3456, -816, -5984
1707710674242, 2693573, 3472, -112, -5872
1707710674252, 2693583, 3296, 0, -5488
1707710674262, 2693593, 3104, 0, -4976
1707710674272, 2693603, 2912, 0, -4464
1707710674282, 2693613, 2784, -96, -4032
1707710674292, 2693623, 2640, 320, -3808
1707710674302, 2693633, 2624, 608, -3680
1707710674312, 2693643, 2672, 576, -3856
1707710674322, 2693653, 2576, 464, -3856
1707710674332, 2693663, 2832, -5296, -2880
1707710674342, 2693673, 4304, -3360, -4336
1707710674352, 2693683, 3824, -3056, -5232
1707710674362, 2693693, 3040, -2912, -5872
1707710674372, 2693703, 2128, -1664, -4896
1707710674382, 2693713, 1216, -416, -4240
1707710674392, 2693723, 368, 736, -3760
1707710674402, 2693733, -176, 2736, -3616
1707710674412, 2693743, -656, 3728, -2720
1707710674422, 2693753, -896, 4144, -912
1707710674432, 2693763, -880, 4208, 160
1707710674442, 2693773, -1392, 2832, 1680
1707710674452, 2693783, -1568, 1168, 3056
1707710674462, 2693793, -1344, 48, 4096
1707710674472, 2693803, -1296, -1008, 4304
1707710674482, 2693813, -1328, -1632, 3776
1707710674492, 2693823, -1264, -2032, 3584
1707710674502, 2693833, -1312, -2512, 3680
1707710674512, 2693843, -1504, -3120, 4752
1707710674522, 2693853, -1888, -3760, 6464
1707710674532, 2693863, -2496, -4512, 8096
1707710674542, 2693873, -2800, -4688, 9216
1707710674552, 2693883, -3008, -4944, 10480
1707710674562, 2693893, -3264, -5088, 12048
1707710674572, 2693903, -3648, -5232, 13872
1707710674582, 2693913, -3872, -5808, 15856
1707710674592, 2693923, -3952, -6512, 16736
1707710674602, 2693933, -3632, -6960, 16112
1707710674612, 2693943, -3168, -6576, 14480
1707710674622, 2693953, -3040, -6784, 13312
1707710674632, 2693963, -3296, -7280, 13168
1707710674642, 2693973, -3888, -7760, 13552
1707710674652, 2693983, -4384, -7360, 13728
