Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707713198441, 5217783, -3200, -4848, 6208
1707713198451, 5217793, -3232, -4800, 5920
1707713198461, 5217803, -3232, -4768, 5712
1707713198471, 5217813, -3296, -4816, 5472
1707713198481, 5217823, -3360, -4720, 5280
1707713198491, 5217833, -3296, -4688, 5024
1707713198501, 5217843, -3424, -4592, 5072
1707713198511, 5217853, -3584, -4640, 4960
1707713198521, 5217863, -3728, -4448, 4848
1707713198531, 5217873, -3872, -4256, 4768
1707713198541, 5217883, -4000, -4064, 4704
1707713198551, 5217893, -4064, -3792, 4640
1707713198561, 5217903, -4096, -3648, 4624
1707713198571, 5217913, -4208, -3440, 4624
1707713198581, 5217923, -4240, -3296, 4576
1707713198591, 5217933, -4384, -3264, 4576
1707713198601, 5217943, -4432, -3136, 4560
1707713198611, 5217953, -4496, -3136, 4576
1707713198621, 5217963, -4576, -3152, 4560
1707713198631, 5217973, -4592, -3184, 4528
1707713198641, 5217983, -4640, -3232, 4512
1707713198651, 5217993, -4576, -3216, 4512
1707713198661, 5218003, -4448, -3248, 4480
1707713198671, 5218013, -4368, -3216, 4528
1707713198681, 5218023, -4192, -3280, 4544
1707713198691, 5218033, -4208, -3232, 4496
1707713198701, 5218043, -4080, -3344, 4624
1707713198711, 5218053, -4080, -3392, 4672
1707713198721, 5218063, -4064, -3536, 4656
1707713198731, 5218073, -4048, -3616, 4656
1707713198741, 5218083, -4080, -3760, 4640
1707713198751, 5218093, -4112, -3744, 4592
1707713198761, 5218103, -4128, -3872, 4656
1707713198771, 5218113, -4144, -3824, 4672
1707713198781, 5218123, -4112, -3904, 4608
1707713198791, 5218133, -4080, -3968, 4688
1707713198801, 5218143, -4176, -3952, 4720
1707713198811, 5218153, -4016, -3872, 4816
1707713198821, 5218163, -4016, -3792, 4752
1707713198831, 5218173, -3952, -3856, 4736
1707713198841, 5218183, -3904, -3936, 4688
1707713198851, 5218193, -3808, -4016, 4640
1707713198861, 5218203, -3776, -4128, 4576
1707713198871, 5218213, -3728, -4096, 4496
1707713198881, 5218223, -3696, -4192, 4512
1707713198891, 5218233, -3776, -4224, 4512
1707713198901, 5218243, -3744, -4272, 4448
1707713198911, 5218253, -3792, -4320, 4496
1707713198921, 5218263, -3856, -4528, 4576
1707713198931, 5218273, -3840, -4752, 4784
1707713198941, 5218283, -3760, -4848, 4864
1707713198951, 5218293, -3760, -5008, 4976
1707713198961, 5218303, -3712, -5248, 5008
1707713198971, 5218313, -3664, -5376, 5040
1707713198981, 5218323, -3792, -5520, 5168
1707713198991, 5218333, -3872, -5808, 5296
1707713199001, 5218343, -3968, -5872, 5600
1707713199011, 5218353, -3936, -5920, 5872
1707713199021, 5218363, -3936, -5888, 6176
1707713199031, 5218373, -3888, -5744, 6352
1707713199041, 5218383, -3792, -5424, 6560
1707713199051, 5218393, -3680, -5088, 6704
1707713199061, 5218403, -3680, -4704, 6688
1707713199071, 5218413, -3664, -4400, 6608
1707713199081, 5218423, -3616, -4176, 6464
1707713199091, 5218433, -3488, -3936, 6320
1707713199101, 5218443, -3504, -3872, 6016
1707713199111, 5218453, -3584, -3856, 5696
1707713199121, 5218463, -3472, -3856, 5280
1707713199131, 5218473, -3488, -3936, 4960
1707713199141, 5218483, -3456, -4000, 4656
1707713199151, 5218493, -3536, -3984, 4432
1707713199161, 5218503, -3568, -3968, 4320
1707713199171, 5218513, -3632, -3920, 4240
