Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707712323175, 4342513, -2560, -7888, 2480
1707712323185, 4342523, -2400, -7904, 2752
1707712323195, 4342533, -2400, -8096, 3120
1707712323205, 4342543, -2384, -8192, 3632
1707712323215, 4342553, -2464, -8256, 4016
1707712323225, 4342563, -2640, -8208, 4512
1707712323235, 4342573, -2752, -8080, 5024
1707712323245, 4342583, -2848, -7888, 5552
1707712323255, 4342593, -2832, -7744, 6000
1707712323265, 4342603, -2912, -7728, 6272
1707712323275, 4342613, -3008, -7584, 6320
1707712323285, 4342623, -3264, -7504, 6480
1707712323295, 4342633, -3360, -7376, 6528
1707712323305, 4342643, -3456, -7216, 6432
1707712323315, 4342653, -3616, -6992, 6416
1707712323325, 4342663, -3664, -6864, 6384
1707712323335, 4342673, -3632, -6960, 6320
1707712323345, 4342683, -3744, -6992, 6128
1707712323355, 4342693, -3680, -6976, 5808
1707712323365, 4342703, -3600, -7072, 5520
1707712323375, 4342713, -3568, -7216, 5216
1707712323385, 4342723, -3648, -7248, 4896
1707712323395, 4342733, -3648, -7168, 4784
1707712323405, 4342743, -3728, -7088, 4688
1707712323415, 4342753, -3760, -6976, 4672
1707712323425, 4342763, -3728, -6928, 4672
1707712323435, 4342773, -3712, -6960, 4672
1707712323445, 4342783, -3680, -7008, 4768
1707712323455, 4342793, -3728, -7152, 4880
1707712323465, 4342803, -3824, -7200, 5040
1707712323475, 4342813, -3920, -7120, 5136
1707712323485, 4342823, -4000, -6880, 5136
1707712323495, 4342833, -4048, -6736, 5360
1707712323505, 4342843, -4048, -6624, 5408
1707712323515, 4342853, -4080, -6512, 5328
1707712323525, 4342863, -4144, -6400, 5328
1707712323535, 4342873, -4320, -6192, 5344
1707712323545, 4342883, -4464, -6016, 5360
1707712323555, 4342893, -4608, -5856, 5296
1707712323565, 4342903, -4736, -5680, 5136
1707712323575, 4342913, -4784, -5520, 5072
1707712323585, 4342923, -4752, -5296, 4848
1707712323595, 4342933, -4720, -5136, 4768
1707712323605, 4342943, -4800, -4944, 4688
1707712323615, 4342953, -4976, -4896, 4496
1707712323625, 4342963, -4864, -4784, 4416
1707712323635, 4342973, -4832, -4944, 4176
1707712323645, 4342983, -4736, -5136, 3824
1707712323655, 4342993, -4592, -5424, 3488
1707712323665, 4343003, -4384, -5728, 3296
1707712323675, 4343013, -4240, -5936, 2992
1707712323685, 4343023, -4128, -6032, 2784
1707712323695, 4343033, -3984, -6064, 2592
1707712323705, 4343043, -3872, -5968, 2448
1707712323715, 4343053, -3824, -5808, 2336
1707712323725, 4343063, -3808, -5728, 2304
1707712323735, 4343073, -3712, -5696, 2288
1707712323745, 4343083, -3664, -5632, 2192
1707712323755, 4343093, -3536, -5696, 2208
1707712323765, 4343103, -3424, -5712, 2144
1707712323775, 4343113, -3328, -5808, 2064
1707712323785, 4343123, -3328, -5984, 2128
1707712323795, 4343133, -3312, -6064, 2256
1707712323805, 4343143, -3344, -6256, 2336
1707712323815, 4343153, -3408, -6160, 2576
1707712323825, 4343163, -3472, -6192, 2912
1707712323835, 4343173, -3616, -6224, 3264
1707712323845, 4343183, -3696, -6320, 3504
1707712323855, 4343193, -3712, -6448, 3536
1707712323865, 4343203, -3856, -6608, 3504
1707712323875, 4343213, -3888, -6736, 3440
1707712323885, 4343223, -3888, -6896, 3248
1707712323895, 4343233, -3968, -7024, 3088
1707712323905, 4343243, -3968, -7264, 2960
1707712323915, 4343253, -3952, -7408, 3008
1707712323925, 4343263, -4016, -7392, 2960
1707712323935, 4343273, -4064, -7440, 2864
1707712323945, 4343283, -4192, -7504, 2752
1707712323955, 4343293, -4240, -7456, 2336
1707712323965, 4343303, -4240, -7520, 1856
1707712323975, 4343313, -4320, -7744, 1504
1707712323985, 4343323, -4320, -7856, 1184
1707712323995, 4343333, -4224, -8032, 736
1707712324005, 4343343, -4080, -8144, 432
1707712324015, 4343353, -3952, -8224, 352
1707712324025, 4343363, -3824, -8240, 384
1707712324035, 4343373, -3648, -8480, 384
1707712324045, 4343383, -3568, -8704, 208
1707712324055, 4343393, -3360, -8960, -96
1707712324065, 4343403, -3168, -9104, -320
1707712324075, 4343413, -2848, -9136, -448
1707712324085, 4343423, -2560, -9088, -528
1707712324095, 4343433, -2384, -8944, -448
1707712324105, 4343443, -2272, -8848, -256
1707712324115, 4343453, -2320, -8784, 64
1707712324125, 4343463, -2352, -8640, 608
1707712324135, 4343473, -2432, -8384, 1248
1707712324145, 4343483, -2400, -8128, 1856
1707712324155, 4343493, -2608, -7888, 2336
1707712324165, 4343503, -3008, -7776, 2688
1707712324175, 4343513, -3232, -7584, 2976
1707712324185, 4343523, -3536, -7536, 3152
1707712324195, 4343533, -3632, -7632, 3152
1707712324205, 4343543, -3664, -7664, 2816
1707712324215, 4343553, -3840, -7600, 2192
1707712324225, 4343563, -4096, -7616, 1456
1707712324235, 4343573, -4272, -7680, 720
1707712324245, 4343583, -4288, -7856, 16
1707712324255, 4343593, -4208, -8032, -624
1707712324265, 4343603, -4048, -8352, -1216
1707712324275, 4343613, -3856, -8848, -1904
1707712324285, 4343623, -3520, -9168, -2992
1707712324295, 4343633, -3184, -9360, -3600
1707712324305, 4343643, -2928, -9280, -3744
1707712324315, 4343653, -2736, -9472, -3696
1707712324325, 4343663, -2656, -9712, -2880
1707712324335, 4343673, -2720, -9808, -1824
1707712324345, 4343683, -2928, -9584, -1008
1707712324355, 4343693, -3344, -9232, -272
1707712324365, 4343703, -3728, -8960, 272
1707712324375, 4343713, -3888, -8352, 864
1707712324385, 4343723, -4064, -8224, 1408
1707712324395, 4343733, -4064, -8224, 1936
1707712324405, 4343743, -4032, -8288, 2336
1707712324415, 4343753, -4032, -8480, 2400
1707712324425, 4343763, -3936, -8704, 2336
1707712324435, 4343773, -3968, -8896, 2032
1707712324445, 4343783, -3984, -9136, 1776
1707712324455, 4343793, -3952, -9264, 1584
1707712324465, 4343803, -3952, -9392, 1264
1707712324475, 4343813, -3920, -9360, 1040
1707712324485, 4343823, -4032, -9392, 992
1707712324495, 4343833, -4032, -9392, 912
1707712324505, 4343843, -4048, -9328, 928
1707712324515, 4343853, -4240, -9216, 1200
1707712324525, 4343863, -4352, -9008, 1584
1707712324535, 4343873, -4640, -8848, 1984
1707712324545, 4343883, -5248, -8688, 2368
1707712324555, 4343893, -5440, -8432, 2592
1707712324565, 4343903, -5552, -8624, 2480
1707712324575, 4343913, -5536, -8928, 2160
1707712324585, 4343923, -5424, -9072, 1760
1707712324595, 4343933, -5312, -9184, 1536
1707712324605, 4343943, -5424, -9184, 1440
1707712324615, 4343953, -5600, -9120, 1600
1707712324625, 4343963, -6000, -9120, 1968
1707712324635, 4343973, -6304, -8960, 2400
1707712324645, 4343983, -6400, -8784, 2704
1707712324655, 4343993, -6432, -8656, 2992
1707712324665, 4344003, -6336, -8528, 3104
1707712324675, 4344013, -6128, -8496, 3088
1707712324685, 4344023, -6064, -8688, 3072
1707712324695, 4344033, -5808, -8912, 3056
1707712324705, 4344043, -5696, -9040, 2768
1707712324715, 4344053, -5504, -9184, 2656
1707712324725, 4344063, -5456, -9184, 2688
1707712324735, 4344073, -5328, -9088, 2816
1707712324745, 4344083, -5248, -8992, 2928
1707712324755, 4344093, -5232, -8960, 2992
1707712324765, 4344103, -5088, -8944, 2928
1707712324775, 4344113, -4960, -8848, 2768
1707712324785, 4344123, -4752, -8784, 2640
1707712324795, 4344133, -4528, -8672, 2304
1707712324805, 4344143, -4368, -8640, 2192
1707712324815, 4344153, -4192, -8432, 2112
1707712324825, 4344163, -4016, -8304, 1872
1707712324835, 4344173, -3840, -8640, 1648
1707712324845, 4344183, -3568, -8704, 1376
1707712324855, 4344193, -3344, -8784, 1184
1707712324865, 4344203, -3200, -8928, 1248
1707712324875, 4344213, -3072, -9024, 1312
1707712324885, 4344223, -2880, -9184, 1056
1707712324895, 4344233, -2576, -9360, 624
1707712324905, 4344243, -2304, -9392, 272
1707712324915, 4344253, -2128, -9344, 48
1707712324925, 4344263, -1936, -9296, -96
1707712324935, 4344273, -1744, -9104, -320
1707712324945, 4344283, -1600, -8816, -352
1707712324955, 4344293, -1504, -8624, -112
1707712324965, 4344303, -1568, -8528, 352
1707712324975, 4344313, -1760, -8096, 896
1707712324985, 4344323, -1776, -7776, 1840
1707712324995, 4344333, -1552, -7584, 2736
1707712325005, 4344343, -1216, -7152, 3136
1707712325015, 4344353, -736, -6896, 3280
1707712325025, 4344363, -400, -6752, 3280
1707712325035, 4344373, -32, -6208, 3072
1707712325045, 4344383, 176, -5840, 2832
1707712325055, 4344393, 272, -5472, 2928
1707712325065, 4344403, 512, -5184, 2960
1707712325075, 4344413, 480, -4720, 3088
1707712325085, 4344423, 592, -3968, 3248
1707712325095, 4344433, 816, -3312, 3648
1707712325105, 4344443, 1168, -3120, 3872
1707712325115, 4344453, 1456, -2784, 3952
1707712325125, 4344463, 1856, -2672, 3968
1707712325135, 4344473, 2080, -2496, 3920
1707712325145, 4344483, 2352, -2160, 4032
1707712325155, 4344493, 2720, -2080, 4160
1707712325165, 4344503, 2976, -1936, 4144
1707712325175, 4344513, 3152, -1728, 4224
1707712325185, 4344523, 3200, -1760, 4208
1707712325195, 4344533, 3488, -1824, 3984
1707712325205, 4344543, 3792, -1744, 3712
1707712325215, 4344553, 3952, -1632, 3424
1707712325225, 4344563, 4096, -1744, 3216
1707712325235, 4344573, 4272, -2096, 3072
1707712325245, 4344583, 4624, -2624, 2832
1707712325255, 4344593, 5008, -2912, 2416
1707712325265, 4344603, 5248, -3296, 1920
1707712325275, 4344613, 5408, -3600, 1472
1707712325285, 4344623, 5600, -3856, 1104
1707712325295, 4344633, 5888, -4032, 832
1707712325305, 4344643, 5984, -4112, 752
1707712325315, 4344653, 5936, -4128, 688
1707712325325, 4344663, 5872, -3952, 816
1707712325335, 4344673, 5648, -4032, 992
1707712325345, 4344683, 5488, -3920, 1136
1707712325355, 4344693, 5456, -4016, 1408
1707712325365, 4344703, 5408, -4176, 1536
1707712325375, 4344713, 5280, -4304, 1616
1707712325385, 4344723, 5152, -4320, 1744
1707712325395, 4344733, 5072, -4304, 1792
1707712325405, 4344743, 4960, -4304, 1792
1707712325415, 4344753, 4768, -4208, 1888
1707712325425, 4344763, 4528, -4144, 1952
1707712325435, 4344773, 4272, -4096, 1824
1707712325445, 4344783, 4144, -3952, 1760
1707712325455, 4344793, 3792, -3936, 1744
1707712325465, 4344803, 3616, -3872, 1600
1707712325475, 4344813, 3152, -3888, 1440
1707712325485, 4344823, 3152, -3776, 1408
1707712325495, 4344833, 2928, -3664, 1376
1707712325505, 4344843, 2688, -3520, 1504
1707712325515, 4344853, 2480, -3056, 1536
1707712325525, 4344863, 2288, -2656, 1504
1707712325535, 4344873, 2160, -2624, 1440
1707712325545, 4344883, 1648, -2688, 1216
1707712325555, 4344893, 1456, -2736, 992
1707712325565, 4344903, 1168, -2960, 752
1707712325575, 4344913, 1024, -3024, 576
1707712325585, 4344923, 976, -2976, 416
1707712325595, 4344933, 976, -3120, 432
1707712325605, 4344943, 992, -3584, 368
1707712325615, 4344953, 1056, -3952, 128
1707712325625, 4344963, 1280, -4000, -144
1707712325635, 4344973, 1568, -4224, -416
1707712325645, 4344983, 1792, -4752, -736
1707712325655, 4344993, 1920, -5440, -928
1707712325665, 4345003, 2080, -5968, -1056
1707712325675, 4345013, 2144, -6704, -1104
1707712325685, 4345023, 2208, -7264, -864
1707712325695, 4345033, 2432, -7664, -496
1707712325705, 4345043, 2656, -7792, 48
1707712325715, 4345053, 2704, -7968, 336
