Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707712828811, 4848153, -3504, -5232, 5216
1707712828821, 4848163, -3312, -5216, 5280
1707712828831, 4848173, -3280, -5392, 5184
1707712828841, 4848183, -3232, -5552, 5168
1707712828851, 4848193, -3184, -5616, 5200
1707712828861, 4848203, -3104, -5728, 5232
1707712828871, 4848213, -3008, -5776, 5360
1707712828881, 4848223, -2896, -5888, 5424
1707712828891, 4848233, -2896, -6016, 5408
1707712828901, 4848243, -2928, -6080, 5424
1707712828911, 4848253, -2656, -5968, 5376
1707712828921, 4848263, -2768, -5872, 5232
1707712828931, 4848273, -2752, -6000, 5040
1707712828941, 4848283, -2640, -5808, 4896
1707712828951, 4848293, -2576, -5952, 4768
1707712828961, 4848303, -2608, -6064, 4880
1707712828971, 4848313, -2624, -6048, 4912
1707712828981, 4848323, -2688, -5952, 5024
1707712828991, 4848333, -2704, -5952, 5216
1707712829001, 4848343, -2880, -6064, 5328
1707712829011, 4848353, -2912, -6144, 5424
1707712829021, 4848363, -2992, -6144, 5456
1707712829031, 4848373, -2960, -6080, 5440
1707712829041, 4848383, -3024, -6256, 5312
1707712829051, 4848393, -2944, -6432, 5056
1707712829061, 4848403, -2944, -6688, 4832
1707712829071, 4848413, -2800, -6976, 4688
1707712829081, 4848423, -2736, -7328, 4544
1707712829091, 4848433, -3040, -7856, 4752
1707712829101, 4848443, -3312, -8208, 4816
1707712829111, 4848453, -3312, -8784, 5024
1707712829121, 4848463, -3456, -9456, 5152
1707712829131, 4848473, -3440, -9744, 5120
1707712829141, 4848483, -3472, -10064, 5104
1707712829151, 4848493, -3520, -10352, 5024
1707712829161, 4848503, -3296, -10368, 4864
1707712829171, 4848513, -2992, -10192, 4448
1707712829181, 4848523, -2864, -10128, 3904
1707712829191, 4848533, -2832, -9952, 3632
1707712829201, 4848543, -2768, -9696, 3600
1707712829211, 4848553, -2800, -9600, 3728
1707712829221, 4848563, -2800, -9168, 4112
1707712829231, 4848573, -2768, -8736, 4544
1707712829241, 4848583, -2704, -8656, 4832
1707712829251, 4848593, -2672, -8832, 5040
1707712829261, 4848603, -2608, -8832, 5168
1707712829271, 4848613, -2224, -8912, 5248
1707712829281, 4848623, -1760, -8848, 5168
1707712829291, 4848633, -1392, -8784, 4960
1707712829301, 4848643, -1072, -8896, 4688
1707712829311, 4848653, -816, -9024, 4624
1707712829321, 4848663, -640, -8928, 4624
1707712829331, 4848673, -496, -8752, 4640
1707712829341, 4848683, -416, -8480, 4928
1707712829351, 4848693, -432, -8096, 5360
1707712829361, 4848703, -496, -7728, 6000
1707712829371, 4848713, -496, -7248, 6688
1707712829381, 4848723, -336, -6880, 7456
1707712829391, 4848733, -96, -6752, 7888
1707712829401, 4848743, 112, -6816, 7904
1707712829411, 4848753, 32, -7056, 7520
1707712829421, 4848763, -32, -7248, 7072
1707712829431, 4848773, 320, -7360, 6352
1707712829441, 4848783, 656, -7520, 5680
1707712829451, 4848793, 1152, -7664, 5200
1707712829461, 4848803, 1488, -7840, 5168
1707712829471, 4848813, 1632, -8096, 5248
1707712829481, 4848823, 1872, -8048, 5280
1707712829491, 4848833, 1952, -8128, 5408
1707712829501, 4848843, 2032, -8064, 5600
1707712829511, 4848853, 1888, -7936, 5648
1707712829521, 4848863, 1792, -7696, 5664
1707712829531, 4848873, 1968, -7424, 5600
1707712829541, 4848883, 2144, -7344, 5440
1707712829551, 4848893, 2144, -7328, 5024
1707712829561, 4848903, 2304, -7248, 4400
1707712829571, 4848913, 2560, -7072, 3744
1707712829581, 4848923, 2736, -6848, 3312
1707712829591, 4848933, 3024, -6736, 3216
1707712829601, 4848943, 3024, -6688, 2928
1707712829611, 4848953, 3376, -6784, 2688
1707712829621, 4848963, 3072, -6640, 2512
1707712829631, 4848973, 3232, -6512, 2192
1707712829641, 4848983, 3120, -6432, 1936
1707712829651, 4848993, 3184, -6208, 1760
1707712829661, 4849003, 3072, -6144, 1376
1707712829671, 4849013, 3104, -6016, 528
1707712829681, 4849023, 2784, -5968, -240
1707712829691, 4849033, 2704, -5728, -1216
1707712829701, 4849043, 2416, -5184, -1920
1707712829711, 4849053, 2304, -4720, -2192
1707712829721, 4849063, 2400, -4240, -2128
1707712829731, 4849073, 2464, -3872, -2192
1707712829741, 4849083, 2400, -3792, -2304
1707712829751, 4849093, 2288, -3904, -2624
1707712829761, 4849103, 1984, -3648, -2928
1707712829771, 4849113, 1888, -3680, -2784
1707712829781, 4849123, 1888, -3760, -2608
1707712829791, 4849133, 1648, -3600, -2576
1707712829801, 4849143, 1360, -3600, -2576
1707712829811, 4849153, 1040, -3360, -2688
1707712829821, 4849163, 768, -3120, -3136
1707712829831, 4849173, 512, -3136, -3200
1707712829841, 4849183, -96, -2736, -3536
1707712829851, 4849193, -832, -2256, -3904
1707712829861, 4849203, -976, -1696, -4176
1707712829871, 4849213, -1312, -1488, -4240
1707712829881, 4849223, -1840, -1040, -4400
1707712829891, 4849233, -2560, -560, -4560
1707712829901, 4849243, -3424, -48, -4784
1707712829911, 4849253, -3936, 576, -5056
1707712829921, 4849263, -4208, 1184, -5280
