Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707712419393, 4438733, -4576, -5648, 2608
1707712419403, 4438743, -4576, -5536, 2592
1707712419413, 4438753, -4624, -5472, 2608
1707712419423, 4438763, -4656, -5360, 2688
1707712419433, 4438773, -4736, -5328, 2656
1707712419443, 4438783, -4784, -5296, 2768
1707712419453, 4438793, -4832, -5216, 2832
1707712419463, 4438803, -4944, -5216, 2752
1707712419473, 4438813, -5040, -5264, 2768
1707712419483, 4438823, -5104, -5232, 2736
1707712419493, 4438833, -5264, -5152, 2768
1707712419503, 4438843, -5264, -5184, 2864
1707712419513, 4438853, -5328, -5200, 2864
1707712419523, 4438863, -5424, -5184, 2992
1707712419533, 4438873, -5424, -5200, 3056
1707712419543, 4438883, -5424, -5120, 3168
1707712419553, 4438893, -5328, -4944, 3280
1707712419563, 4438903, -5280, -4832, 3344
1707712419573, 4438913, -5296, -4688, 3328
1707712419583, 4438923, -5216, -4592, 3328
1707712419593, 4438933, -5168, -4560, 3184
1707712419603, 4438943, -5120, -4608, 3136
1707712419613, 4438953, -5040, -4704, 2928
1707712419623, 4438963, -5040, -4752, 2736
1707712419633, 4438973, -4928, -4800, 2608
1707712419643, 4438983, -4864, -4864, 2448
1707712419653, 4438993, -4832, -4912, 2384
1707712419663, 4439003, -4768, -4976, 2256
1707712419673, 4439013, -4736, -5072, 2240
1707712419683, 4439023, -4736, -5200, 2128
1707712419693, 4439033, -4704, -5408, 2144
1707712419703, 4439043, -4720, -5648, 2080
1707712419713, 4439053, -4624, -5840, 1984
1707712419723, 4439063, -4640, -5872, 1968
1707712419733, 4439073, -4560, -5856, 1952
1707712419743, 4439083, -4544, -5808, 2064
1707712419753, 4439093, -4416, -5840, 2208
1707712419763, 4439103, -4240, -6000, 2304
1707712419773, 4439113, -4096, -6128, 2352
1707712419783, 4439123, -3968, -6512, 2272
1707712419793, 4439133, -3904, -7008, 2096
1707712419803, 4439143, -3760, -7504, 1904
1707712419813, 4439153, -3728, -7792, 1648
1707712419823, 4439163, -3728, -7808, 1472
1707712419833, 4439173, -3728, -7792, 1392
1707712419843, 4439183, -3840, -7856, 1280
1707712419853, 4439193, -4000, -7792, 1376
1707712419863, 4439203, -4048, -7584, 1552
1707712419873, 4439213, -4128, -7248, 1920
1707712419883, 4439223, -4256, -7040, 2064
1707712419893, 4439233, -4352, -7008, 2176
1707712419903, 4439243, -4496, -7040, 2224
1707712419913, 4439253, -4656, -6912, 2224
1707712419923, 4439263, -4624, -6544, 2512
1707712419933, 4439273, -4752, -6224, 2944
1707712419943, 4439283, -4816, -6144, 3472
1707712419953, 4439293, -4896, -6112, 3968
1707712419963, 4439303, -5072, -6064, 4240
1707712419973, 4439313, -5440, -5824, 4528
1707712419983, 4439323, -5472, -5584, 4832
1707712419993, 4439333, -5376, -5056, 4944
1707712420003, 4439343, -5808, -4864, 5152
1707712420013, 4439353, -5712, -4544, 5264
1707712420023, 4439363, -5664, -4464, 5408
1707712420033, 4439373, -5680, -4656, 5408
1707712420043, 4439383, -5920, -4864, 5360
1707712420053, 4439393, -5936, -5088, 5392
1707712420063, 4439403, -6208, -5072, 5616
1707712420073, 4439413, -6528, -4768, 5840
1707712420083, 4439423, -6592, -4352, 6096
1707712420093, 4439433, -6688, -3984, 6288
1707712420103, 4439443, -6832, -3792, 6512
1707712420113, 4439453, -6944, -3760, 7152
1707712420123, 4439463, -6944, -3664, 7424
1707712420133, 4439473, -6944, -3904, 7584
1707712420143, 4439483, -7008, -4112, 7440
1707712420153, 4439493, -6592, -4816, 7472
1707712420163, 4439503, -6512, -5312, 7152
1707712420173, 4439513, -6544, -5360, 6848
1707712420183, 4439523, -6544, -5376, 6368
1707712420193, 4439533, -6384, -5408, 5872
1707712420203, 4439543, -6240, -5616, 5520
