Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707713627537, 5646883, -3008, -5664, 9440
1707713627547, 5646893, -3072, -5472, 9696
1707713627557, 5646903, -3200, -5424, 9936
1707713627567, 5646913, -3360, -5296, 10192
1707713627577, 5646923, -3408, -5056, 10352
1707713627587, 5646933, -3488, -4800, 10256
1707713627597, 5646943, -3504, -4464, 10256
1707713627607, 5646953, -3488, -4224, 10176
1707713627617, 5646963, -3488, -3920, 10080
1707713627627, 5646973, -3472, -3632, 10016
1707713627637, 5646983, -3392, -3472, 9952
1707713627647, 5646993, -3296, -3376, 10144
1707713627657, 5647003, -3184, -3264, 10080
1707713627667, 5647013, -2768, -3760, 9472
1707713627677, 5647023, -3632, -3840, 10912
1707713627687, 5647033, -2144, -4080, 9408
1707713627697, 5647043, -1552, -4736, 8800
1707713627707, 5647053, -1168, -4832, 8656
1707713627717, 5647063, -736, -4912, 8464
1707713627727, 5647073, -448, -4912, 8176
1707713627737, 5647083, -272, -4688, 8176
1707713627747, 5647093, -32, -4496, 8096
1707713627757, 5647103, 160, -4752, 8288
1707713627767, 5647113, 160, -4016, 8352
1707713627777, 5647123, 432, -3840, 8256
1707713627787, 5647133, 816, -3744, 7888
1707713627797, 5647143, 928, -3568, 7712
1707713627807, 5647153, 1152, -3296, 7744
1707713627817, 5647163, 1408, -3232, 7600
1707713627827, 5647173, 1648, -3088, 7600
1707713627837, 5647183, 1824, -2736, 7520
1707713627847, 5647193, 2176, -2384, 7424
1707713627857, 5647203, 2352, -1904, 7216
1707713627867, 5647213, 2448, -1584, 7104
1707713627877, 5647223, 2640, -1440, 6944
1707713627887, 5647233, 2992, -1504, 6704
1707713627897, 5647243, 3344, -1344, 6304
1707713627907, 5647253, 3312, -1344, 5968
1707713627917, 5647263, 3488, -992, 5472
1707713627927, 5647273, 3584, -688, 4752
1707713627937, 5647283, 3312, -64, 4560
1707713627947, 5647293, 3312, 720, 4448
1707713627957, 5647303, 3312, 1408, 4496
1707713627967, 5647313, 3440, 1472, 4256
1707713627977, 5647323, 3072, 2720, 4976
1707713627987, 5647333, 2832, 2320, 5136
1707713627997, 5647343, 2784, 2624, 5088
1707713628007, 5647353, 2352, 2928, 5248
1707713628017, 5647363, 2112, 3552, 4976
1707713628027, 5647373, 1472, 4432, 5168
