Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707712992802, 5012143, -3760, -4400, 4272
1707712992812, 5012153, -3696, -4112, 4336
1707712992822, 5012163, -3536, -4048, 4480
1707712992832, 5012173, -3488, -4016, 4832
1707712992842, 5012183, -3184, -4112, 4928
1707712992852, 5012193, -2912, -4176, 5024
1707712992862, 5012203, -2672, -4288, 4976
1707712992872, 5012213, -2368, -4272, 4832
1707712992882, 5012223, -1648, -3456, 4224
1707712992892, 5012233, -2352, -4816, 4384
1707712992902, 5012243, -2880, -5456, 4592
1707712992912, 5012253, -2736, -4928, 4672
1707712992922, 5012263, -2576, -4592, 3984
1707712992932, 5012273, -2832, -4416, 4288
1707712992942, 5012283, -3088, -4256, 4320
1707712992952, 5012293, -3072, -4304, 4144
1707712992962, 5012303, -3120, -4304, 3872
1707712992972, 5012313, -2960, -4448, 3680
1707712992982, 5012323, -2864, -4656, 3440
1707712992992, 5012333, -2944, -4928, 3312
1707712993002, 5012343, -3360, -5584, 3328
1707712993012, 5012353, -3888, -5920, 3600
1707712993022, 5012363, -3952, -5264, 3408
1707712993032, 5012373, -4032, -4352, 2784
1707712993042, 5012383, -4288, -4192, 2272
1707712993052, 5012393, -4624, -4208, 2144
1707712993062, 5012403, -4912, -4368, 2304
1707712993072, 5012413, -5024, -4880, 2704
1707712993082, 5012423, -5056, -5712, 3248
1707712993092, 5012433, -5168, -6368, 3696
1707712993102, 5012443, -4992, -7376, 3856
1707712993112, 5012453, -4896, -8336, 4032
1707712993122, 5012463, -4640, -9312, 4208
1707712993132, 5012473, -4320, -10304, 4208
1707712993142, 5012483, -4272, -11104, 3888
1707712993152, 5012493, -4240, -11504, 3168
1707712993162, 5012503, -4112, -11600, 2256
1707712993172, 5012513, -4080, -12048, 1760
1707712993182, 5012523, -4144, -12064, 1328
1707712993192, 5012533, -4240, -11728, 1152
1707712993202, 5012543, -4560, -11296, 1088
1707712993212, 5012553, -4912, -10704, 1056
1707712993222, 5012563, -5392, -9824, 1216
1707712993232, 5012573, -5920, -9008, 1136
1707712993242, 5012583, -6320, -8288, 896
1707712993252, 5012593, -6544, -7520, 528
1707712993262, 5012603, -6800, -6816, 400
1707712993272, 5012613, -7040, -6448, 224
1707712993282, 5012623, -7168, -6208, 80
1707712993292, 5012633, -7088, -6256, -208
1707712993302, 5012643, -7072, -6384, -560
1707712993312, 5012653, -6912, -6432, -896
1707712993322, 5012663, -6704, -6576, -1072
1707712993332, 5012673, -6608, -6480, -1280
1707712993342, 5012683, -6496, -6368, -1488
1707712993352, 5012693, -6352, -6256, -1392
1707712993362, 5012703, -6240, -6240, -1376
1707712993372, 5012713, -6064, -6320, -1424
1707712993382, 5012723, -6048, -6400, -1568
1707712993392, 5012733, -6032, -6512, -1776
1707712993402, 5012743, -5840, -6272, -2304
1707712993412, 5012753, -5920, -6080, -2912
1707712993422, 5012763, -5952, -6560, -2848
1707712993432, 5012773, -5616, -5824, -3216
1707712993442, 5012783, -5600, -5968, -3152
1707712993452, 5012793, -5520, -6336, -3120
1707712993462, 5012803, -5312, -6816, -3216
1707712993472, 5012813, -5072, -7456, -3408
1707712993482, 5012823, -4896, -8096, -3584
1707712993492, 5012833, -4912, -8288, -3808
1707712993502, 5012843, -4912, -8704, -3936
1707712993512, 5012853, -4848, -8752, -4304
1707712993522, 5012863, -4864, -8944, -4528
1707712993532, 5012873, -4912, -8992, -4816
1707712993542, 5012883, -5024, -8848, -4912
1707712993552, 5012893, -5248, -8672, -4944
1707712993562, 5012903, -5312, -8240, -5024
1707712993572, 5012913, -5280, -7648, -5136
1707712993582, 5012923, -5408, -7152, -5072
