Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707713264119, 5283463, -3744, -5184, 4224
1707713264129, 5283473, -3664, -5424, 4384
1707713264139, 5283483, -3616, -5600, 4592
1707713264150, 5283493, -3568, -5696, 4704
1707713264159, 5283503, -3440, -5744, 4800
1707713264169, 5283513, -3232, -5760, 4800
1707713264179, 5283523, -3184, -5776, 4768
1707713264189, 5283533, -3024, -5744, 4576
1707713264200, 5283543, -2992, -5536, 4320
1707713264209, 5283553, -2976, -5296, 4032
1707713264219, 5283563, -2976, -5120, 3760
1707713264229, 5283573, -3152, -4912, 3584
1707713264239, 5283583, -3344, -4784, 3408
1707713264249, 5283593, -3504, -4656, 3296
1707713264259, 5283603, -3648, -4496, 3328
1707713264269, 5283613, -3776, -4448, 3360
1707713264279, 5283623, -3872, -4416, 3472
1707713264289, 5283633, -3952, -4480, 3664
1707713264300, 5283643, -3952, -4480, 3840
1707713264309, 5283653, -3872, -4464, 4016
1707713264319, 5283663, -3808, -4640, 4304
1707713264329, 5283673, -3712, -4656, 4496
1707713264339, 5283683, -3696, -4832, 4640
1707713264350, 5283693, -3456, -4656, 4736
1707713264359, 5283703, -3408, -5008, 4736
1707713264369, 5283713, -3440, -5296, 4832
1707713264379, 5283723, -3264, -5360, 4912
1707713264389, 5283733, -3152, -5472, 4944
1707713264400, 5283743, -3104, -5632, 4832
1707713264409, 5283753, -3120, -5712, 4848
1707713264420, 5283763, -3296, -5856, 4768
1707713264429, 5283773, -3232, -5936, 4784
1707713264439, 5283783, -3152, -5872, 4768
1707713264450, 5283793, -3008, -5856, 4768
1707713264459, 5283803, -3040, -5920, 4720
1707713264470, 5283813, -2912, -5856, 4736
1707713264479, 5283823, -3184, -5488, 4624
1707713264489, 5283833, -2736, -5680, 4528
1707713264500, 5283843, -2752, -5856, 4480
1707713264509, 5283853, -2816, -6000, 4736
1707713264520, 5283863, -2864, -6144, 4896
1707713264529, 5283873, -2864, -6160, 4944
1707713264539, 5283883, -3072, -6128, 5200
1707713264549, 5283893, -2944, -6160, 5264
1707713264559, 5283903, -2784, -6272, 5312
1707713264569, 5283913, -2640, -6240, 5424
1707713264579, 5283923, -2416, -6192, 5568
1707713264589, 5283933, -2368, -6032, 5696
1707713264599, 5283943, -2272, -6160, 6016
1707713264609, 5283953, -2320, -6304, 6432
1707713264620, 5283963, -2336, -6464, 6848
1707713264629, 5283973, -1792, -5072, 5968
1707713264639, 5283983, -2400, -6496, 6320
1707713264649, 5283993, -3200, -7552, 7088
1707713264659, 5284003, -4672, -8528, 8448
1707713264670, 5284013, -5344, -9168, 9456
1707713264679, 5284023, -5232, -9200, 10224
1707713264689, 5284033, -5232, -8816, 10272
1707713264699, 5284043, -4768, -8544, 9920
1707713264709, 5284053, -4576, -8304, 9248
1707713264720, 5284063, -4624, -7840, 8384
1707713264729, 5284073, -4368, -7232, 7040
1707713264740, 5284083, -4080, -6880, 5856
1707713264750, 5284093, -3760, -6576, 5136
1707713264759, 5284103, -3584, -6208, 4960
1707713264770, 5284113, -3264, -5856, 5072
1707713264779, 5284123, -3200, -5888, 5776
1707713264789, 5284133, -3184, -5856, 6128
1707713264799, 5284143, -3136, -5680, 6672
1707713264809, 5284153, -3184, -5424, 7232
1707713264820, 5284163, -3488, -5200, 7728
1707713264829, 5284173, -3696, -4912, 8224
1707713264839, 5284183, -3776, -4800, 8672
1707713264849, 5284193, -3856, -4736, 8864
1707713264859, 5284203, -3840, -4752, 8864
1707713264870, 5284213, -3808, -4560, 8800
1707713264879, 5284223, -3792, -4736, 8832
1707713264889, 5284233, -3808, -4288, 8560
1707713264899, 5284243, -3792, -4032, 8384
1707713264909, 5284253, -3808, -3920, 8304
1707713264920, 5284263, -3824, -3984, 8608
1707713264929, 5284273, -3808, -3840, 8496
1707713264940, 5284283, -3744, -3984, 8528
1707713264949, 5284293, -3680, -4064, 8592
1707713264959, 5284303, -3696, -4288, 8640
1707713264970, 5284313, -3744, -4096, 8512
1707713264979, 5284323, -3984, -3872, 8336
1707713264989, 5284333, -3648, -3344, 7888
1707713265000, 5284343, -3344, -2816, 7248
1707713265009, 5284353, -3648, -2272, 7328
1707713265020, 5284363, -3968, -1824, 7616
1707713265029, 5284373, -3984, -1264, 7776
1707713265039, 5284383, -3888, -1088, 7744
1707713265049, 5284393, -3760, -928, 7808
1707713265059, 5284403, -3664, -848, 7808
1707713265069, 5284413, -3584, -560, 7856
1707713265079, 5284423, -3568, -208, 7968
1707713265089, 5284433, -3680, -80, 8112
1707713265099, 5284443, -3792, -32, 8416
1707713265109, 5284453, -3984, 48, 8496
1707713265119, 5284463, -3696, 80, 8480
1707713265129, 5284473, -3184, 48, 8128
1707713265139, 5284483, -3056, 96, 7856
1707713265150, 5284493, -2928, 400, 7776
1707713265159, 5284503, -2752, 624, 7648
1707713265169, 5284513, -2544, 816, 7728
1707713265179, 5284523, -2352, 832, 7712
1707713265189, 5284533, -1920, 880, 7520
1707713265200, 5284543, -1552, 688, 7424
1707713265209, 5284553, -1328, 688, 7344
1707713265219, 5284563, -992, 704, 6896
1707713265229, 5284573, -784, 416, 6352
1707713265239, 5284583, -224, 496, 5520
1707713265249, 5284593, 112, 192, 5024
1707713265259, 5284603, 352, -48, 4672
1707713265269, 5284613, 688, 16, 4304
1707713265279, 5284623, 1168, 96, 3824
1707713265289, 5284633, 1104, 32, 4432
1707713265299, 5284643, 1328, 448, 4864
1707713265309, 5284653, 1488, 720, 5664
1707713265319, 5284663, 1472, 704, 6352
1707713265329, 5284673, 1392, 496, 6784
1707713265339, 5284683, 1424, 560, 6720
1707713265350, 5284693, 1392, 848, 6528
1707713265359, 5284703, 1344, 976, 6368
1707713265369, 5284713, 1456, 1040, 6224
1707713265379, 5284723, 1648, 800, 5808
1707713265390, 5284733, 1696, 848, 5680
1707713265399, 5284743, 1584, 944, 5696
1707713265409, 5284753, 1728, 896, 5584
1707713265419, 5284763, 1968, 960, 5232
1707713265429, 5284773, 2224, 960, 5104
1707713265439, 5284783, 2272, 880, 5040
1707713265449, 5284793, 2384, 768, 5008
