Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707713428589, 5447933, -5408, -3632, 4336
1707713428599, 5447943, -5408, -3664, 4288
1707713428609, 5447953, -5408, -3824, 4256
1707713428619, 5447963, -5344, -3808, 4240
1707713428629, 5447973, -5376, -3856, 4272
1707713428639, 5447983, -5344, -3936, 4176
1707713428649, 5447993, -5312, -3984, 4128
1707713428659, 5448003, -5344, -3984, 4128
1707713428669, 5448013, -5328, -3968, 4080
1707713428679, 5448023, -5360, -4000, 4128
1707713428689, 5448033, -5408, -4064, 4272
1707713428699, 5448043, -5360, -4080, 4272
1707713428709, 5448053, -5344, -4128, 4336
1707713428719, 5448063, -5360, -4128, 4320
1707713428729, 5448073, -5264, -4128, 4256
1707713428739, 5448083, -5360, -4112, 4352
1707713428749, 5448093, -5344, -4144, 4464
1707713428759, 5448103, -5376, -4096, 4496
1707713428769, 5448113, -5392, -4064, 4432
1707713428779, 5448123, -5376, -4048, 4432
1707713428789, 5448133, -5280, -4128, 4368
1707713428799, 5448143, -5248, -4144, 4288
1707713428809, 5448153, -5136, -4176, 4192
1707713428819, 5448163, -5024, -4176, 4304
1707713428829, 5448173, -4896, -4160, 4464
1707713428839, 5448183, -4944, -4112, 4896
1707713428849, 5448193, -4928, -4064, 5504
1707713428859, 5448203, -4816, -4112, 5984
1707713428869, 5448213, -4576, -3856, 6032
1707713428879, 5448223, -5136, -4272, 6800
1707713428889, 5448233, -5296, -4320, 7376
1707713428899, 5448243, -5152, -4080, 7584
1707713428909, 5448253, -4880, -4016, 7568
1707713428919, 5448263, -4784, -3984, 7472
1707713428929, 5448273, -4624, -4224, 7392
1707713428939, 5448283, -4464, -4544, 7408
1707713428949, 5448293, -4400, -4752, 7488
1707713428959, 5448303, -4320, -4704, 7712
1707713428969, 5448313, -4272, -4560, 7920
1707713428979, 5448323, -4464, -4400, 8128
1707713428989, 5448333, -4512, -4352, 8032
1707713428999, 5448343, -4576, -4368, 8016
1707713429009, 5448353, -4608, -4368, 7872
1707713429019, 5448363, -4592, -4432, 7776
1707713429029, 5448373, -4608, -4592, 7632
1707713429039, 5448383, -4640, -4816, 7568
1707713429049, 5448393, -4720, -4944, 7376
1707713429059, 5448403, -4752, -5040, 7152
1707713429069, 5448413, -4864, -5040, 7008
1707713429079, 5448423, -4928, -5024, 6848
1707713429089, 5448433, -5072, -4864, 6816
1707713429099, 5448443, -5168, -4736, 6784
1707713429109, 5448453, -5280, -4656, 6784
1707713429119, 5448463, -5344, -4688, 6848
1707713429129, 5448473, -5424, -4752, 6864
1707713429139, 5448483, -5424, -4976, 7008
1707713429149, 5448493, -5408, -5200, 7024
1707713429159, 5448503, -5424, -5312, 6912
1707713429169, 5448513, -5424, -5344, 6816
1707713429179, 5448523, -5424, -5488, 6992
1707713429189, 5448533, -5408, -5568, 7216
1707713429199, 5448543, -5264, -5776, 7344
1707713429209, 5448553, -5296, -6048, 7392
1707713429219, 5448563, -5280, -6176, 7456
1707713429229, 5448573, -5248, -6192, 7488
1707713429239, 5448583, -5296, -6192, 7552
1707713429249, 5448593, -5312, -5936, 7536
1707713429259, 5448603, -5440, -5632, 7488
1707713429269, 5448613, -5616, -5296, 7408
1707713429279, 5448623, -5728, -4960, 7296
1707713429289, 5448633, -5760, -4688, 7040
1707713429299, 5448643, -5632, -4416, 6848
1707713429309, 5448653, -5568, -4256, 6640
1707713429319, 5448663, -5472, -4224, 6432
1707713429329, 5448673, -5264, -4208, 6192
1707713429339, 5448683, -5152, -4352, 6048
1707713429349, 5448693, -4880, -4368, 5888
1707713429359, 5448703, -4560, -4560, 5504
1707713429369, 5448713, -4272, -4704, 5088
1707713429379, 5448723, -4080, -4832, 4720
1707713429389, 5448733, -3792, -4832, 4400
1707713429399, 5448743, -3680, -4800, 4064
1707713429409, 5448753, -3360, -4608, 3792
1707713429419, 5448763, -3088, -4432, 3728
1707713429429, 5448773, -2848, -4352, 3744
1707713429439, 5448783, -2544, -4384, 3792
1707713429449, 5448793, -2304, -4432, 3856
1707713429459, 5448803, -1936, -4480, 4000
1707713429469, 5448813, -1664, -4688, 4160
1707713429479, 5448823, -1328, -5184, 4304
1707713429489, 5448833, -976, -5504, 4464
1707713429499, 5448843, -592, -5728, 4448
1707713429509, 5448853, -352, -6080, 4432
1707713429519, 5448863, -288, -6160, 4336
1707713429529, 5448873, -176, -6176, 4256
1707713429539, 5448883, -80, -5968, 4336
1707713429549, 5448893, -80, -5696, 4480
1707713429559, 5448903, 0, -5392, 4656
1707713429569, 5448913, 0, -5040, 4960
1707713429579, 5448923, -16, -4800, 5216
1707713429589, 5448933, -160, -4736, 5280
1707713429599, 5448943, -160, -4784, 5408
1707713429609, 5448953, -16, -4928, 5296
1707713429619, 5448963, 80, -5024, 5008
1707713429629, 5448973, 352, -5200, 4576
1707713429639, 5448983, 528, -5344, 3952
1707713429649, 5448993, 800, -5408, 3536
1707713429659, 5449003, 1008, -5632, 3072
1707713429669, 5449013, 1216, -5744, 2768
1707713429679, 5449023, 1552, -5840, 2464
1707713429689, 5449033, 1600, -6064, 2304
1707713429699, 5449043, 1440, -6080, 2144
1707713429709, 5449053, 1296, -5936, 2192
1707713429719, 5449063, 1296, -5776, 2432
1707713429729, 5449073, 1232, -5520, 2672
1707713429739, 5449083, 1248, -5328, 2864
1707713429749, 5449093, 1168, -5264, 2848
1707713429759, 5449103, 1024, -4976, 2864
1707713429769, 5449113, 944, -4848, 2816
1707713429779, 5449123, 864, -4848, 2848
1707713429789, 5449133, 672, -4688, 2976
1707713429799, 5449143, 752, -4576, 2832
1707713429809, 5449153, 848, -4640, 2832
1707713429819, 5449163, 720, -4688, 3056
1707713429829, 5449173, 704, -4624, 3392
1707713429839, 5449183, 800, -4704, 3632
1707713429849, 5449193, 944, -4944, 3632
1707713429859, 5449203, 1216, -5264, 3456
1707713429869, 5449213, 1408, -5648, 2960
1707713429879, 5449223, 1472, -6000, 2624
1707713429889, 5449233, 1504, -6224, 2288
1707713429899, 5449243, 1536, -6208, 1984
1707713429909, 5449253, 1584, -6192, 1696
1707713429919, 5449263, 1552, -6064, 1344
1707713429929, 5449273, 1520, -5984, 800
1707713429939, 5449283, 1616, -6032, 560
1707713429949, 5449293, 1632, -5952, 544
1707713429959, 5449303, 1520, -5808, 688
1707713429969, 5449313, 1632, -5664, 768
1707713429979, 5449323, 1648, -5728, 816
1707713429989, 5449333, 1728, -5904, 976
1707713429999, 5449343, 1936, -6272, 816
1707713430009, 5449353, 2048, -6752, 688
1707713430019, 5449363, 2208, -7104, 656
1707713430029, 5449373, 2304, -7440, 704
1707713430039, 5449383, 2432, -7600, 976
1707713430049, 5449393, 2592, -7776, 1280
1707713430059, 5449403, 2816, -7808, 1584
1707713430069, 5449413, 2720, -7648, 1616
1707713430079, 5449423, 2832, -7520, 1600
1707713430089, 5449433, 2720, -7376, 1584
1707713430099, 5449443, 2624, -6992, 1664
1707713430109, 5449453, 2592, -6688, 1856
1707713430119, 5449463, 2560, -6528, 2192
1707713430129, 5449473, 2560, -6448, 2480
1707713430139, 5449483, 2528, -6480, 2688
1707713430149, 5449493, 2576, -6752, 2736
1707713430159, 5449503, 2688, -6960, 2832
1707713430169, 5449513, 2688, -7184, 3072
1707713430179, 5449523, 2720, -7328, 3344
1707713430189, 5449533, 2720, -7440, 3632
1707713430199, 5449543, 2864, -7392, 3632
1707713430209, 5449553, 2896, -7424, 3536
1707713430219, 5449563, 2800, -7392, 3408
1707713430229, 5449573, 2736, -7264, 3328
1707713430239, 5449583, 2672, -7168, 3568
1707713430249, 5449593, 2624, -7072, 3840
1707713430259, 5449603, 2704, -6928, 4000
1707713430269, 5449613, 2704, -6896, 4096
1707713430279, 5449623, 2704, -6864, 4064
1707713430289, 5449633, 2816, -6848, 3952
1707713430299, 5449643, 2784, -6864, 3792
1707713430309, 5449653, 2832, -6656, 3824
1707713430319, 5449663, 2832, -6368, 3984
1707713430329, 5449673, 2672, -6112, 4368
1707713430339, 5449683, 2656, -6000, 4720
1707713430349, 5449693, 2800, -5760, 4960
1707713430359, 5449703, 2864, -5616, 4976
1707713430369, 5449713, 2944, -5440, 4784
1707713430379, 5449723, 2864, -5248, 4704
1707713430389, 5449733, 2896, -5088, 4912
1707713430399, 5449743, 2944, -4848, 5088
1707713430409, 5449753, 3136, -4704, 5328
1707713430419, 5449763, 3264, -4688, 5504
1707713430429, 5449773, 3344, -4832, 5600
1707713430439, 5449783, 3392, -4944, 5808
1707713430449, 5449793, 3424, -4880, 5952
1707713430459, 5449803, 3504, -4848, 6112
1707713430469, 5449813, 3568, -4608, 6128
1707713430479, 5449823, 3488, -4384, 6224
1707713430489, 5449833, 3360, -4016, 6160
1707713430499, 5449843, 3312, -3584, 6160
1707713430509, 5449853, 3264, -3168, 6128
1707713430519, 5449863, 3344, -2880, 6096
1707713430529, 5449873, 3344, -2736, 6096
1707713430539, 5449883, 3376, -2752, 6128
1707713430549, 5449893, 3424, -2720, 6256
1707713430559, 5449903, 3520, -2704, 6384
1707713430569, 5449913, 3680, -2720, 6448
1707713430579, 5449923, 3664, -2688, 6336
1707713430589, 5449933, 3760, -2704, 6176
1707713430599, 5449943, 3760, -2592, 5984
1707713430609, 5449953, 3712, -2464, 5952
1707713430619, 5449963, 3680, -2256, 6192
1707713430629, 5449973, 3792, -2096, 6496
1707713430639, 5449983, 3872, -1984, 6784
1707713430649, 5449993, 3888, -1856, 6816
1707713430659, 5450003, 3904, -1936, 6864
1707713430669, 5450013, 3856, -1920, 6800
1707713430679, 5450023, 3904, -1760, 6736
1707713430689, 5450033, 3760, -1568, 6752
1707713430699, 5450043, 3760, -1200, 6928
1707713430709, 5450053, 3696, -960, 6896
1707713430719, 5450063, 3696, -752, 6784
1707713430729, 5450073, 3520, -592, 6752
1707713430739, 5450083, 3488, -400, 6640
1707713430749, 5450093, 3424, -224, 6656
1707713430759, 5450103, 3472, -128, 6784
1707713430769, 5450113, 3456, -144, 6832
1707713430779, 5450123, 3456, -32, 6656
1707713430789, 5450133, 3392, 112, 6560
1707713430799, 5450143, 3344, 192, 6624
1707713430809, 5450153, 3424, 352, 6880
1707713430819, 5450163, 3408, 448, 7040
1707713430829, 5450173, 3392, 768, 7232
1707713430839, 5450183, 3264, 896, 7264
1707713430849, 5450193, 3136, 1056, 7296
1707713430859, 5450203, 3072, 1200, 7216
1707713430869, 5450213, 2928, 1280, 7216
1707713430879, 5450223, 2912, 1312, 7024
1707713430889, 5450233, 2928, 1408, 6784
1707713430899, 5450243, 2896, 1600, 6432
1707713430909, 5450253, 2656, 2032, 6288
1707713430919, 5450263, 2416, 2672, 6384
1707713430929, 5450273, 2208, 3376, 6720
1707713430939, 5450283, 2144, 3968, 7440
1707713430949, 5450293, 2000, 4224, 8240
1707713430959, 5450303, 1984, 4480, 8816
1707713430969, 5450313, 2096, 4464, 9296
1707713430979, 5450323, 2096, 4208, 9584
1707713430989, 5450333, 2080, 3984, 9376
1707713430999, 5450343, 2144, 3920, 8704
1707713431009, 5450353, 2176, 3840, 8208
1707713431019, 5450363, 2128, 3680, 7936
1707713431029, 5450373, 2368, 3264, 7856
1707713431039, 5450383, 2496, 2624, 7984
1707713431049, 5450393, 2576, 2064, 8112
1707713431059, 5450403, 2640, 1680, 8064
1707713431069, 5450413, 2464, 1632, 8000
1707713431079, 5450423, 2368, 1600, 7856
