Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707714046846, 6066193, -3712, -6528, 1952
1707714046856, 6066203, -3632, -6560, 1920
1707714046866, 6066213, -3568, -6576, 1872
1707714046876, 6066223, -3648, -6544, 1856
1707714046886, 6066233, -3616, -6432, 1856
1707714046896, 6066243, -3648, -6432, 1856
1707714046906, 6066253, -3648, -6384, 1856
1707714046916, 6066263, -3632, -6304, 1904
1707714046926, 6066273, -3760, -6320, 1904
1707714046936, 6066283, -3840, -6240, 1856
1707714046946, 6066293, -3840, -6128, 1888
1707714046956, 6066303, -3888, -6032, 1776
1707714046966, 6066313, -3952, -5920, 1824
1707714046976, 6066323, -3984, -5728, 1856
1707714046986, 6066333, -4016, -5648, 1872
1707714046996, 6066343, -4032, -5696, 1920
1707714047006, 6066353, -4080, -5584, 1936
1707714047016, 6066363, -4048, -5712, 1824
1707714047026, 6066373, -4000, -5776, 1776
1707714047036, 6066383, -3824, -5728, 1728
1707714047046, 6066393, -3776, -6016, 1776
1707714047056, 6066403, -3744, -6288, 1760
1707714047066, 6066413, -3664, -6432, 1824
1707714047076, 6066423, -3664, -6608, 1824
1707714047086, 6066433, -3552, -6752, 1856
1707714047096, 6066443, -3536, -6816, 1824
1707714047106, 6066453, -3456, -6848, 1776
1707714047116, 6066463, -3392, -6944, 1712
1707714047126, 6066473, -3408, -6992, 1744
1707714047136, 6066483, -3344, -7008, 1712
1707714047146, 6066493, -3344, -6992, 1776
1707714047156, 6066503, -3344, -6992, 1728
1707714047166, 6066513, -3280, -6944, 1648
1707714047176, 6066523, -3200, -7024, 1776
1707714047186, 6066533, -3216, -7056, 1744
1707714047196, 6066543, -3232, -7168, 1792
1707714047206, 6066553, -3168, -7184, 1776
1707714047216, 6066563, -2992, -7312, 1712
1707714047226, 6066573, -2704, -7568, 1840
1707714047236, 6066583, -2320, -8000, 2080
1707714047246, 6066593, -2144, -8416, 2384
1707714047256, 6066603, -1904, -9312, 2656
1707714047266, 6066613, -1648, -10080, 2896
1707714047276, 6066623, -1408, -10976, 3168
1707714047286, 6066633, -1264, -11824, 3584
1707714047296, 6066643, -1184, -12560, 3904
1707714047306, 6066653, -1184, -13136, 3776
1707714047316, 6066663, -1136, -13408, 3280
1707714047326, 6066673, -1056, -13296, 2864
1707714047336, 6066683, -1008, -13232, 2816
1707714047346, 6066693, -1056, -13280, 2992
1707714047356, 6066703, -1232, -13280, 3328
1707714047366, 6066713, -1456, -13328, 3280
1707714047376, 6066723, -1568, -13424, 3152
