Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707713907137, 5926483, -128, 176, -1776
1707713907147, 5926493, 1040, -128, -2784
1707713907157, 5926503, 1920, -1088, -3552
1707713907167, 5926513, 2080, -2272, -4192
1707713907177, 5926523, 2144, -2848, -4560
1707713907187, 5926533, 2592, -2864, -4784
1707713907197, 5926543, 2752, -2864, -4736
1707713907207, 5926553, 2496, -3008, -4416
1707713907217, 5926563, 1728, -2720, -3856
1707713907227, 5926573, 672, -2240, -3296
1707713907237, 5926583, -1056, -1360, -2400
1707713907247, 5926593, -3024, -560, -1296
1707713907257, 5926603, -4944, 0, 144
1707713907267, 5926613, -6624, 704, 2080
1707713907277, 5926623, -8480, 1984, 4608
1707713907287, 5926633, -10080, 3440, 8544
1707713907297, 5926643, -11696, 2896, 14384
1707713907307, 5926653, -12656, 976, 21360
1707713907317, 5926663, -11600, 1456, 26544
1707713907327, 5926673, -10608, 752, 29008
1707713907337, 5926683, -8848, -48, 28256
1707713907347, 5926693, -7488, -960, 24800
1707713907357, 5926703, -7056, -1232, 20656
1707713907367, 5926713, -6560, 128, 15904
1707713907377, 5926723, -6016, 1408, 12592
1707713907387, 5926733, -5728, 1344, 10880
1707713907397, 5926743, -5296, 1120, 10112
1707713907407, 5926753, -4480, 288, 10624
1707713907417, 5926763, -4064, -1904, 11760
1707713907427, 5926773, -3040, -2176, 12704
1707713907437, 5926783, -2720, -2992, 13488
1707713907447, 5926793, -2832, -3120, 13088
1707713907457, 5926803, -2992, -2480, 12176
1707713907467, 5926813, -3456, -1984, 11360
1707713907477, 5926823, -3728, -1920, 10416
1707713907487, 5926833, -3552, -1360, 9600
1707713907497, 5926843, -3520, -816, 8256
1707713907507, 5926853, -3296, -240, 6848
1707713907517, 5926863, -3040, 144, 5248
1707713907527, 5926873, -2448, 528, 3648
1707713907537, 5926883, -1856, 576, 2064
1707713907547, 5926893, -1344, -416, 1136
1707713907557, 5926903, -48, -288, -608
1707713907567, 5926913, 384, -208, -1456
1707713907577, 5926923, 1456, 0, -2576
1707713907587, 5926933, 1952, -352, -2160
1707713907597, 5926943, 2272, -1184, -2240
1707713907607, 5926953, 2528, -720, -2528
1707713907617, 5926963, 2256, -848, -2352
1707713907627, 5926973, 3072, 560, -3952
1707713907637, 5926983, 3056, 1296, -4064
1707713907647, 5926993, 3072, 1632, -4208
1707713907657, 5927003, 3088, 1488, -3888
1707713907667, 5927013, 3056, 864, -3568
1707713907677, 5927023, 3120, 240, -3264
1707713907687, 5927033, 2592, -192, -3008
1707713907697, 5927043, 1792, -336, -2576
1707713907707, 5927053, 896, -192, -1840
1707713907717, 5927063, 448, -160, -1344
1707713907727, 5927073, -576, -512, -96
1707713907737, 5927083, -576, -1200, 1008
1707713907747, 5927093, -1616, -2000, 2272
1707713907757, 5927103, -2544, -2976, 3488
1707713907767, 5927113, -3296, -3104, 4672
1707713907777, 5927123, -4096, -2880, 6576
1707713907787, 5927133, -5056, -3008, 8096
1707713907797, 5927143, -6848, -2624, 9408
1707713907807, 5927153, -7664, -1936, 11008
1707713907817, 5927163, -8256, -1600, 12752
1707713907827, 5927173, -8480, -1408, 14304
1707713907837, 5927183, -8720, -1328, 15648
1707713907847, 5927193, -8592, -1344, 16592
1707713907857, 5927203, -8512, -1568, 17456
1707713907867, 5927213, -8416, -2144, 17968
1707713907877, 5927223, -8336, -2704, 18288
1707713907887, 5927233, -8144, -3280, 18400
1707713907897, 5927243, -8016, -3520, 18192
1707713907907, 5927253, -7904, -3568, 17776
1707713907917, 5927263, -7552, -3360, 16960
1707713907927, 5927273, -7168, -2976, 16048
1707713907937, 5927283, -6576, -2784, 14960
1707713907947, 5927293, -6080, -2960, 13872
1707713907957, 5927303, -5824, -3200, 13216
1707713907967, 5927313, -5440, -3440, 12640
1707713907977, 5927323, -5056, -3440, 12224
1707713907987, 5927333, -4640, -3248, 11840
1707713907997, 5927343, -4368, -3056, 11488
1707713908007, 5927353, -4336, -2912, 11296
1707713908017, 5927363, -4496, -2704, 11376
1707713908027, 5927373, -4656, -2608, 11104
1707713908037, 5927383, -4656, -2800, 9968
1707713908047, 5927393, -4512, -2192, 8688
1707713908057, 5927403, -4368, -1840, 7872
1707713908067, 5927413, -3984, -1824, 7072
1707713908077, 5927423, -3616, -1728, 6400
1707713908087, 5927433, -3232, -1616, 5888
1707713908097, 5927443, -2336, -1344, 5344
1707713908107, 5927453, -2320, -1312, 4240
1707713908117, 5927463, -2336, -1264, 3136
1707713908127, 5927473, -1744, -832, 1840
1707713908137, 5927483, -1120, -688, 928
1707713908147, 5927493, -288, -528, 16
