Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707712560533, 4579873, -32, -7984, 5728
1707712560543, 4579883, 128, -8064, 5680
1707712560553, 4579893, 304, -8128, 5600
1707712560563, 4579903, 464, -8272, 5728
1707712560573, 4579913, 656, -8576, 5888
1707712560583, 4579923, 816, -8768, 6032
1707712560593, 4579933, 816, -8928, 5984
1707712560603, 4579943, 1008, -8864, 5792
1707712560613, 4579953, 1264, -8896, 5856
1707712560623, 4579963, 1472, -8848, 5680
1707712560633, 4579973, 1616, -8752, 5568
1707712560643, 4579983, 1792, -8528, 5584
1707712560653, 4579993, 1888, -8368, 5664
1707712560663, 4580003, 2048, -8144, 5792
1707712560673, 4580013, 2048, -7920, 5904
1707712560683, 4580023, 2032, -7696, 5856
1707712560693, 4580033, 1984, -7280, 5792
1707712560703, 4580043, 2080, -6928, 5552
1707712560713, 4580053, 2224, -6688, 5168
1707712560723, 4580063, 2288, -6192, 4656
1707712560733, 4580073, 2464, -5648, 4256
1707712560743, 4580083, 2656, -5280, 3808
1707712560753, 4580093, 2896, -5040, 3488
1707712560763, 4580103, 3136, -4976, 3584
1707712560773, 4580113, 3360, -4864, 3760
1707712560783, 4580123, 3536, -4784, 4080
1707712560793, 4580133, 3584, -4720, 4336
1707712560803, 4580143, 3728, -4400, 4416
1707712560813, 4580153, 3664, -4288, 4416
1707712560823, 4580163, 3776, -4160, 4288
1707712560833, 4580173, 3872, -4080, 4304
1707712560843, 4580183, 4096, -4016, 4416
1707712560853, 4580193, 4352, -4112, 4560
1707712560863, 4580203, 4480, -4080, 4464
1707712560873, 4580213, 4496, -3872, 4032
1707712560883, 4580223, 4304, -3296, 3568
1707712560893, 4580233, 4128, -2752, 3232
1707712560903, 4580243, 3968, -2336, 2832
1707712560913, 4580253, 3728, -2336, 2736
1707712560923, 4580263, 3536, -2160, 2848
1707712560933, 4580273, 3408, -1632, 2624
1707712560943, 4580283, 3696, -1264, 2320
