Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122512839, 207531, 7264, -1280, 3664
1708122512848, 207542, 7248, -1280, 3664
1708122512859, 207553, 7328, -1344, 3536
1708122512871, 207564, 7264, -1232, 3328
1708122512883, 207575, 7264, -1296, 3328
1708122512891, 207586, 7216, -1280, 3264
1708122512904, 207597, 7328, -1232, 3328
1708122512915, 207608, 7248, -1328, 3168
1708122512927, 207619, 7216, -1360, 3392
1708122512935, 207630, 7360, -1264, 3344
1708122512947, 207641, 7184, -1168, 3360
1708122512959, 207652, 7184, -1200, 3472
1708122512971, 207663, 7232, -1168, 3600
1708122512979, 207674, 7328, -1232, 3808
1708122512991, 207685, 7344, -1344, 3728
1708122513003, 207696, 7232, -1248, 3808
1708122513015, 207707, 7200, -1264, 3776
1708122513023, 207718, 7312, -1440, 3728
1708122513035, 207729, 7264, -1584, 3648
1708122513047, 207740, 7376, -1680, 3696
1708122513059, 207751, 7360, -1616, 3632
1708122513067, 207762, 7264, -1552, 3472
1708122513079, 207773, 7248, -1472, 3504
1708122513091, 207784, 7248, -1488, 3360
1708122513103, 207795, 7280, -1568, 3248
1708122513111, 207806, 7120, -1744, 3312
1708122513123, 207817, 7376, -1824, 3296
1708122513136, 207828, 7344, -1744, 3216
1708122513147, 207839, 7312, -1664, 3184
1708122513155, 207850, 7280, -1552, 3376
1708122513168, 207861, 7296, -1520, 3440
1708122513180, 207872, 7216, -1600, 3232
1708122513192, 207883, 7168, -1424, 3344
1708122513200, 207894, 7248, -1424, 3376
1708122513212, 207905, 7200, -1440, 3552
1708122513224, 207916, 7248, -1472, 3584
1708122513236, 207927, 7184, -1488, 3536
1708122513244, 207938, 7216, -1440, 3424
1708122513256, 207949, 7120, -1360, 3520
1708122513268, 207960, 7168, -1312, 3488
1708122513280, 207971, 7136, -1216, 3280
1708122513288, 207982, 7136, -1104, 3424
1708122513300, 207993, 7056, -1216, 3392
1708122513312, 208004, 7008, -1216, 3344
1708122513324, 208015, 7136, -1344, 3232
1708122513332, 208026, 7072, -1488, 3184
1708122513344, 208037, 7120, -1488, 3200
1708122513356, 208048, 7088, -1568, 3008
1708122513368, 208059, 7056, -1664, 3024
1708122513376, 208070, 7232, -1792, 2912
1708122513388, 208081, 7136, -1904, 2704
1708122513400, 208092, 7536, -2112, 2528
1708122513412, 208103, 7664, -2176, 2352
1708122513420, 208114, 7824, -2000, 2336
1708122513432, 208125, 7888, -1280, 2480
1708122513444, 208136, 7776, -736, 2400
1708122513456, 208147, 7824, 48, 2896
1708122513464, 208158, 7904, 1856, 3744
1708122513476, 208169, 7696, 3568, 4256
1708122513488, 208180, 7616, 5376, 4608
1708122513500, 208191, 7360, 6736, 5120
1708122513508, 208202, 7072, 8848, 6128
1708122513520, 208213, 6672, 10208, 7520
1708122513532, 208224, 6608, 11952, 9168
1708122513544, 208235, 6592, 12896, 10640
1708122513552, 208246, 6192, 13600, 12128
1708122513564, 208257, 5936, 12736, 13824
1708122513576, 208268, 3584, 11360, 14768
1708122513588, 208279, 1584, 10064, 14928
1708122513596, 208290, 128, 8624, 14256
1708122513608, 208301, -2080, 6400, 12528
1708122513620, 208312, -3536, 3312, 11680
1708122513632, 208323, -4160, -2288, 12368
1708122513640, 208334, -4208, -6304, 13104
1708122513652, 208345, -4320, -8848, 12624
1708122513664, 208356, -4528, -10512, 10064
1708122513676, 208367, -5280, -10368, 8128
1708122513684, 208378, -6208, -9344, 7072
1708122513696, 208389, -6736, -8672, 6560
1708122513708, 208400, -6848, -8368, 6640
1708122513720, 208411, -5888, -9040, 7104
1708122513728, 208422, -4720, -9680, 6304
1708122513740, 208433, -4560, -9904, 4848
1708122513752, 208444, -3232, -9696, 3552
1708122513764, 208455, -2912, -8544, 2752
1708122513772, 208466, -2688, -7216, 3152
1708122513784, 208477, -2784, -6256, 5168
1708122513796, 208488, -2240, -6640, 6640
