Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122661650, 356339, 4512, -6928, 1392
1708122661662, 356350, 4528, -6864, 1568
1708122661674, 356361, 4304, -6640, 1536
1708122661682, 356372, 4192, -6512, 1664
1708122661694, 356383, 4192, -6784, 1824
1708122661706, 356394, 4240, -6864, 1584
1708122661718, 356405, 4176, -6960, 1456
1708122661726, 356416, 4112, -6960, 1424
1708122661738, 356427, 4064, -6864, 1040
1708122661750, 356438, 3920, -6928, 1040
1708122661762, 356449, 3936, -7072, 1008
1708122661770, 356460, 3856, -7104, 880
1708122661782, 356471, 3776, -6912, 640
1708122661794, 356482, 3840, -6800, 560
1708122661806, 356493, 3904, -6688, 480
1708122661814, 356504, 3792, -6656, 336
1708122661826, 356515, 3744, -6544, 304
1708122661838, 356526, 3792, -6768, 496
1708122661850, 356537, 3856, -6912, 496
1708122661858, 356548, 3856, -7040, 320
1708122661870, 356559, 3888, -7104, 144
1708122661882, 356570, 3888, -7232, 160
1708122661894, 356581, 3824, -7424, 240
1708122661902, 356592, 3856, -7472, 208
1708122661914, 356603, 3840, -7424, 240
1708122661926, 356614, 3744, -7424, 176
1708122661938, 356625, 3776, -7408, 128
1708122661946, 356636, 3776, -7440, 160
1708122661958, 356647, 3792, -7552, 272
1708122661970, 356658, 3888, -7456, 288
1708122661982, 356669, 3920, -7376, 128
1708122661990, 356680, 3888, -7328, 256
1708122662002, 356691, 3872, -7216, 208
1708122662014, 356702, 3888, -7184, 352
1708122662026, 356713, 3856, -7056, 384
1708122662034, 356724, 3808, -7072, 592
1708122662046, 356735, 3728, -7040, 512
1708122662058, 356746, 3696, -6976, 400
1708122662070, 356757, 3680, -6976, 400
1708122662078, 356768, 3696, -7104, 624
1708122662090, 356779, 3744, -7344, 400
1708122662102, 356790, 3648, -7440, -16
1708122662114, 356801, 3648, -7376, -448
1708122662122, 356812, 3392, -7120, -560
1708122662134, 356823, 3232, -7344, -816
1708122662146, 356834, 3136, -7760, -640
1708122662158, 356845, 3216, -8656, -624
1708122662166, 356856, 3184, -9712, -592
1708122662178, 356867, 3152, -10944, -864
1708122662190, 356878, 3120, -12528, -1488
1708122662202, 356889, 3040, -13456, -2160
1708122662210, 356900, 2928, -14480, -2816
1708122662222, 356911, 2800, -15104, -2880
1708122662234, 356922, 2464, -15296, -2880
1708122662246, 356933, 1952, -15088, -2288
1708122662254, 356944, 1552, -14320, -1568
1708122662266, 356955, 1376, -13408, -992
1708122662278, 356966, 288, -12624, -768
