Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122768849, 463534, 3520, 2480, 6880
1708122768861, 463545, 3632, 2448, 6800
1708122768869, 463556, 3568, 2368, 6608
1708122768881, 463567, 3632, 2320, 6656
1708122768893, 463578, 3632, 2256, 6656
1708122768905, 463589, 3648, 2272, 6768
1708122768913, 463600, 3680, 2272, 6896
1708122768925, 463611, 3680, 2320, 6864
1708122768937, 463622, 3632, 2448, 7024
1708122768949, 463633, 3616, 2432, 6896
1708122768957, 463644, 3648, 2368, 6688
1708122768969, 463655, 3568, 2224, 6784
1708122768981, 463666, 3712, 2096, 6752
1708122768993, 463677, 3728, 2080, 6736
1708122769001, 463688, 3712, 2080, 6736
1708122769013, 463699, 3728, 2176, 6832
1708122769025, 463710, 3680, 2272, 6976
1708122769037, 463721, 3632, 2272, 6896
1708122769045, 463732, 3680, 2224, 7024
1708122769057, 463743, 3744, 2064, 6768
1708122769069, 463754, 3568, 1984, 6752
1708122769081, 463765, 3648, 2000, 6784
1708122769089, 463776, 3648, 1984, 6816
1708122769101, 463787, 3744, 1888, 6864
1708122769113, 463798, 3664, 2016, 6928
1708122769125, 463809, 3680, 2096, 6976
1708122769133, 463820, 3600, 2192, 7040
1708122769145, 463831, 3584, 2176, 7040
1708122769157, 463842, 3632, 2256, 6976
1708122769169, 463853, 3568, 2272, 7152
1708122769177, 463864, 3504, 2272, 7216
1708122769189, 463875, 3488, 2208, 6880
1708122769201, 463886, 3552, 2160, 6816
1708122769213, 463897, 3600, 2272, 6704
1708122769221, 463908, 3488, 2240, 6800
1708122769233, 463919, 3440, 2352, 7216
1708122769245, 463930, 3456, 2576, 7184
1708122769257, 463941, 3152, 2896, 7120
1708122769265, 463952, 3056, 3136, 7344
1708122769277, 463963, 2848, 3408, 7360
1708122769289, 463974, 2464, 3936, 7104
1708122769301, 463985, 2256, 4304, 7008
1708122769309, 463996, 2048, 4576, 7392
1708122769321, 464007, 1936, 4672, 7808
1708122769333, 464018, 1824, 4608, 8288
1708122769345, 464029, 1856, 4336, 8464
1708122769353, 464040, 1456, 4272, 8624
1708122769365, 464051, 1616, 4064, 8512
1708122769377, 464062, 1776, 3808, 8544
1708122769389, 464073, 1792, 4064, 9520
1708122769397, 464084, 1536, 4144, 10000
1708122769409, 464095, 1120, 3696, 9744
1708122769421, 464106, 1200, 2624, 9184
1708122769433, 464117, 2048, 1120, 8352
1708122769441, 464128, 2112, -544, 7760
1708122769453, 464139, 3120, -1600, 7792
1708122769465, 464150, 3600, -3760, 8080
1708122769477, 464161, 4400, -6512, 8656
1708122769485, 464172, 5904, -10224, 8976
1708122769497, 464183, 6944, -12480, 7632
1708122769509, 464194, 7344, -13888, 5424
1708122769521, 464205, 7408, -14528, 4336
1708122769529, 464216, 7680, -14592, 4288
1708122769541, 464227, 7344, -14080, 4656
1708122769553, 464238, 6896, -13632, 4768
1708122769565, 464249, 5968, -13040, 4672
1708122769573, 464260, 5312, -12672, 4496
1708122769585, 464271, 4608, -12048, 3936
1708122769597, 464282, 4352, -11488, 3936
1708122769609, 464293, 2848, -10768, 4448
1708122769617, 464304, 2768, -9776, 5232
1708122769629, 464315, 544, -8800, 6000
1708122769641, 464326, -656, -8048, 6928
1708122769653, 464337, -1680, -7472, 7856
1708122769661, 464348, -2976, -6464, 8688
1708122769673, 464359, -4048, -5264, 9760
1708122769685, 464370, -4928, -4112, 10240
1708122769697, 464381, -5232, -3056, 9680
1708122769705, 464392, -6144, -2160, 8528
1708122769717, 464403, -6336, -1632, 7264
1708122769729, 464414, -6464, -1072, 7776
1708122769741, 464425, -6800, -32, 9072
1708122769749, 464436, -7024, 576, 10176
1708122769761, 464447, -7216, 576, 10080
1708122769773, 464458, -7136, 592, 9312
1708122769785, 464469, -7296, 656, 8512
1708122769793, 464480, -7408, 1808, 9808
1708122769805, 464491, -8112, 3232, 11376
1708122769817, 464502, -8208, 4288, 12128
1708122769829, 464513, -7968, 4208, 12112
1708122769837, 464524, -7312, 3520, 11088
1708122769849, 464535, -7184, 3072, 9392
1708122769861, 464546, -6992, 2784, 9008
1708122769873, 464557, -7008, 3232, 10112
1708122769881, 464568, -7648, 3760, 10736
1708122769893, 464579, -7584, 4192, 9920
1708122769905, 464590, -7840, 4016, 9280
1708122769917, 464601, -7680, 4064, 8784
1708122769925, 464612, -7552, 5488, 8224
1708122769937, 464623, -7392, 6400, 8416
1708122769949, 464634, -6768, 6928, 8416
1708122769961, 464645, -5760, 6672, 8576
1708122769969, 464656, -5392, 5728, 9408
1708122769981, 464667, -3344, 5152, 9712
1708122769993, 464678, -2800, 3792, 10752
1708122770005, 464689, -3136, 3008, 11008
1708122770013, 464700, -4224, 3232, 9376
1708122770025, 464711, -5040, 4176, 7984
1708122770037, 464722, -6112, 6384, 5744
1708122770049, 464733, -6496, 9392, 4608
1708122770057, 464744, -7408, 11376, 3824
1708122770069, 464755, -7504, 12736, 3952
1708122770081, 464766, -7552, 13360, 4384
1708122770093, 464777, -7344, 11824, 5344
1708122770101, 464788, -7760, 10784, 6144
1708122770113, 464799, -8272, 12320, 5200
1708122770125, 464810, -9536, 14096, 4048
1708122770137, 464821, -11024, 15696, 3776
1708122770145, 464832, -11248, 15552, 4112
1708122770157, 464843, -13616, 13440, 4320
1708122770169, 464854, -14960, 11664, 3552
1708122770181, 464865, -16016, 11808, 3136
1708122770189, 464876, -17936, 12784, 3776
1708122770201, 464887, -19248, 13040, 5360
1708122770213, 464898, -20096, 12016, 7216
1708122770225, 464909, -20304, 11984, 7872
1708122770233, 464920, -20016, 11280, 9648
1708122770245, 464931, -19792, 10640, 11792
1708122770257, 464942, -19600, 9104, 12704
1708122770269, 464953, -19008, 6992, 12976
1708122770277, 464964, -18880, 4512, 12400
1708122770289, 464975, -18624, 3248, 12416
1708122770301, 464986, -17568, -16, 13728
1708122770313, 464997, -15168, -6464, 18544
1708122770321, 465008, -14480, -10336, 20192
1708122770333, 465019, -8400, -11616, 18992
1708122770345, 465030, -7312, -12064, 18576
1708122770357, 465041, -6864, -11216, 16832
1708122770365, 465052, -5760, -10400, 13840
1708122770377, 465063, -5312, -12384, 14240
1708122770389, 465074, -4208, -20480, 18048
1708122770401, 465085, -3568, -25632, 18528
1708122770409, 465096, 2032, -25296, 13872
1708122770421, 465107, 2288, -18864, 3872
1708122770433, 465118, 2928, -16576, -848
1708122770445, 465129, 2816, -16800, 1008
1708122770453, 465140, 2896, -15968, 3264
1708122770465, 465151, 2432, -12720, 3168
1708122770477, 465162, 1920, -10320, 2208
1708122770489, 465173, 1200, -8256, 1856
1708122770497, 465184, 1120, -6608, 1696
1708122770509, 465195, 288, -5728, 2592
1708122770521, 465206, -656, -3600, 4992
1708122770533, 465217, -1440, -992, 6752
1708122770541, 465228, -2384, 1648, 7600
1708122770553, 465239, -2912, 2224, 6992
1708122770565, 465250, -2752, 752, 6160
1708122770577, 465261, -2608, -1840, 6192
1708122770585, 465272, -768, -3952, 6336
1708122770597, 465283, -592, -4832, 6080
1708122770609, 465294, 240, -4288, 5536
1708122770621, 465305, 240, -2624, 5296
1708122770629, 465316, 256, -1088, 5776
1708122770641, 465327, 176, 32, 7392
1708122770653, 465338, 384, 320, 7920
1708122770665, 465349, 832, 416, 8080
1708122770673, 465360, 912, -512, 8320
1708122770685, 465371, 2144, -1632, 8336
1708122770697, 465382, 3136, -2304, 8048
1708122770709, 465393, 3680, -2608, 7920
1708122770717, 465404, 4064, -3056, 7648
1708122770729, 465415, 4112, -3024, 7008
1708122770741, 465426, 4048, -2224, 7200
1708122770753, 465437, 4080, -1472, 7472
1708122770761, 465448, 3808, -928, 7632
1708122770773, 465459, 3840, -128, 7648
1708122770785, 465470, 3616, 208, 8016
1708122770797, 465481, 3952, -224, 8688
1708122770805, 465492, 4368, -1200, 9024
1708122770817, 465503, 4944, -2464, 8768
1708122770829, 465514, 5040, -3136, 8496
1708122770841, 465525, 4928, -3232, 7888
1708122770849, 465536, 4864, -2384, 7568
1708122770861, 465547, 4080, -1488, 7152
1708122770873, 465558, 3504, -528, 7312
1708122770885, 465569, 2976, 496, 7664
1708122770893, 465580, 2432, 1728, 7824
1708122770905, 465591, 2576, 1600, 8080
1708122770917, 465602, 2928, 96, 8384
1708122770929, 465613, 3056, -1008, 8256
1708122770937, 465624, 3424, -1824, 7984
1708122770949, 465635, 3504, -2304, 7824
1708122770961, 465646, 3360, -2160, 7296
1708122770973, 465657, 3056, -1552, 6816
1708122770981, 465668, 2736, -928, 6752
1708122770993, 465679, 2512, -208, 7200
1708122771005, 465690, 2368, -32, 7664
1708122771017, 465701, 2384, 32, 8000
1708122771025, 465712, 2304, -496, 8320
1708122771037, 465723, 2896, -1200, 8528
1708122771049, 465734, 3008, -1616, 8464
1708122771061, 465745, 2992, -1520, 8080
1708122771069, 465756, 2816, -1168, 7504
1708122771081, 465767, 2656, -1008, 6992
1708122771093, 465778, 2608, -816, 6832
1708122771105, 465789, 2544, -768, 7184
1708122771113, 465800, 2480, -512, 7344
1708122771125, 465811, 2688, -224, 7200
1708122771137, 465822, 2272, 0, 7104
1708122771149, 465833, 2112, 240, 6944
1708122771157, 465844, 2048, 448, 6816
1708122771169, 465855, 1984, 576, 6672
1708122771181, 465866, 2112, 128, 6656
1708122771193, 465877, 2288, -576, 6864
