Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708123009944, 704621, 8096, 80, 512
1708123009952, 704632, 7984, 64, 592
1708123009964, 704643, 7984, -16, 880
1708123009976, 704654, 8000, -96, 752
1708123009988, 704665, 7984, -112, 784
1708123009996, 704676, 7952, -144, 688
1708123010008, 704687, 8112, -144, 656
1708123010020, 704698, 8144, -224, 480
1708123010032, 704709, 8176, -288, 608
1708123010040, 704720, 8288, -496, 640
1708123010052, 704731, 8288, -352, 464
1708123010064, 704742, 8288, -192, 240
1708123010076, 704753, 8208, 32, 368
1708123010084, 704764, 8240, 32, 368
1708123010096, 704775, 8320, 64, 304
1708123010108, 704786, 8352, 48, 272
1708123010120, 704797, 8368, -48, 272
1708123010128, 704808, 8352, -32, 256
1708123010140, 704819, 8352, -224, 256
1708123010152, 704830, 8304, -320, 0
1708123010164, 704841, 8400, -320, -176
1708123010172, 704852, 8560, -256, -160
1708123010184, 704863, 8384, -192, -192
1708123010196, 704874, 8352, -48, -96
1708123010208, 704885, 8304, 48, -176
1708123010216, 704896, 8224, 64, -192
1708123010228, 704907, 8240, 48, -80
1708123010240, 704918, 8272, 32, 160
1708123010252, 704929, 8240, 64, 48
1708123010260, 704940, 8320, 112, 16
1708123010272, 704951, 8304, 256, 80
1708123010284, 704962, 8304, 240, 208
1708123010296, 704973, 8384, 224, 432
1708123010304, 704984, 8576, 144, 624
1708123010316, 704995, 8768, 144, 1072
1708123010328, 705006, 8784, 256, 1280
1708123010340, 705017, 9488, 256, 1312
1708123010348, 705028, 9456, -160, 1168
1708123010360, 705039, 10144, -672, 1056
1708123010372, 705050, 10480, -960, 1312
1708123010384, 705061, 10688, -1136, 1472
1708123010392, 705072, 10800, -1120, 1664
1708123010404, 705083, 10864, -1232, 1680
1708123010416, 705094, 10832, -1424, 1840
1708123010428, 705105, 10848, -1600, 2176
1708123010436, 705116, 10512, -1568, 2544
1708123010448, 705127, 10096, -1312, 2496
1708123010460, 705138, 9824, -1136, 2464
1708123010472, 705149, 9280, -1200, 2608
1708123010480, 705160, 8944, -1184, 2960
1708123010492, 705171, 8512, -816, 2976
1708123010504, 705182, 8400, -320, 2816
1708123010516, 705193, 7984, -80, 2528
1708123010524, 705204, 8000, 288, 2144
1708123010536, 705215, 7472, 528, 1936
1708123010548, 705226, 7200, 928, 1728
1708123010560, 705237, 7136, 1040, 1584
1708123010568, 705248, 7168, 304, 1280
1708123010580, 705259, 7024, 32, 1280
1708123010592, 705270, 6944, 64, 1712
1708123010604, 705281, 6816, 272, 2288
1708123010612, 705292, 6320, 656, 2704
1708123010624, 705303, 5952, 1216, 2912
1708123010636, 705314, 5680, 1744, 2592
1708123010648, 705325, 5328, 2160, 1680
1708123010656, 705336, 5232, 2320, 1120
1708123010668, 705347, 5264, 2464, 656
1708123010680, 705358, 5216, 1968, 640
1708123010692, 705369, 5280, 1280, 672
1708123010700, 705380, 5312, 528, 224
1708123010712, 705391, 5360, 416, -256
1708123010724, 705402, 5072, 464, 224
1708123010736, 705413, 4912, 560, 1216
1708123010744, 705424, 4784, 976, 1552
1708123010756, 705435, 4912, 736, 1920
1708123010768, 705446, 4928, 368, 1808
1708123010780, 705457, 4832, 688, 1376
1708123010788, 705468, 4992, 1120, 688
1708123010800, 705479, 5088, 1024, -384
1708123010812, 705490, 5424, 400, -496
1708123010824, 705501, 5760, -288, -240
1708123010832, 705512, 5792, -304, -480
1708123010844, 705523, 5712, 80, -704
1708123010856, 705534, 5584, 48, -1152
1708123010868, 705545, 5840, -336, -1520
1708123010876, 705556, 5856, -688, -1936
1708123010888, 705567, 6704, -400, -1728
1708123010900, 705578, 7232, -160, -1600
1708123010912, 705589, 7376, -176, -1760
1708123010920, 705600, 7280, -192, -2192
1708123010932, 705611, 7408, -608, -2912
1708123010944, 705622, 7264, -1072, -3664
1708123010956, 705633, 7408, -944, -4992
1708123010965, 705644, 7856, -672, -6384
1708123010977, 705655, 7840, -336, -7104
1708123010989, 705666, 8608, -368, -7376
1708123010997, 705677, 8912, -736, -6464
1708123011009, 705688, 8992, -1296, -5536
1708123011021, 705699, 9072, -1408, -5264
1708123011033, 705710, 9344, -1216, -5488
1708123011041, 705721, 9264, -1200, -5456
1708123011053, 705732, 9152, -544, -4944
1708123011065, 705743, 8608, -336, -4384
1708123011077, 705754, 9072, -352, -3712
1708123011085, 705765, 9488, -848, -3568
1708123011097, 705776, 9632, -1280, -3168
1708123011109, 705787, 9888, -2016, -2960
1708123011121, 705798, 9808, -2672, -2320
1708123011129, 705809, 9920, -3088, -2096
1708123011141, 705820, 9120, -3040, -2080
