Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122944083, 638764, 8112, -112, 1264
1708122944095, 638775, 8144, -96, 1344
1708122944107, 638786, 8160, 16, 1296
1708122944115, 638797, 8224, -80, 1072
1708122944127, 638808, 8128, -144, 768
1708122944139, 638819, 8224, -304, 464
1708122944151, 638830, 8352, -352, 176
1708122944159, 638841, 8352, -272, 192
1708122944171, 638852, 8384, 0, 224
1708122944183, 638863, 8320, 224, 256
1708122944195, 638874, 8320, 240, 240
1708122944203, 638885, 8272, 144, 32
1708122944215, 638896, 8304, 64, -384
1708122944227, 638907, 8320, 96, -272
1708122944239, 638918, 8304, 80, 224
1708122944247, 638929, 8352, 96, 288
1708122944259, 638940, 8240, 48, 368
1708122944271, 638951, 8208, 144, 320
1708122944283, 638962, 8176, 256, 304
1708122944291, 638973, 8192, 368, 288
1708122944303, 638984, 8160, 432, 480
1708122944315, 638995, 8128, 544, 768
1708122944327, 639006, 8096, 528, 720
1708122944335, 639017, 8080, 464, 848
1708122944347, 639028, 8080, 320, 992
1708122944359, 639039, 8112, 352, 1120
1708122944371, 639050, 8096, 368, 1392
1708122944379, 639061, 8096, 592, 1616
1708122944391, 639072, 7984, 816, 1376
1708122944403, 639083, 7984, 784, 1296
1708122944415, 639094, 8064, 480, 1104
1708122944423, 639105, 8048, 240, 1568
1708122944435, 639116, 8080, 144, 1616
1708122944447, 639127, 8016, 192, 1504
1708122944459, 639138, 8048, 96, 1424
1708122944467, 639149, 8064, 48, 1408
1708122944479, 639160, 8080, -48, 1456
1708122944491, 639171, 8112, 0, 1104
1708122944503, 639182, 8160, 144, 1072
1708122944511, 639193, 8208, 160, 848
1708122944523, 639204, 8224, 144, 816
1708122944535, 639215, 8368, 96, 720
1708122944547, 639226, 8448, 16, 720
1708122944555, 639237, 8464, 32, 816
1708122944567, 639248, 8512, 160, 656
1708122944579, 639259, 8672, 240, 816
1708122944591, 639270, 8896, 352, 1040
1708122944599, 639281, 8880, 320, 704
1708122944611, 639292, 9248, 320, 832
1708122944623, 639303, 9184, 400, 1040
1708122944635, 639314, 9168, 384, 1328
1708122944643, 639325, 9328, 112, 1440
1708122944655, 639336, 9088, 208, 1344
1708122944667, 639347, 8928, 176, 1488
1708122944679, 639358, 8832, 208, 1728
1708122944687, 639369, 8784, 112, 1920
1708122944699, 639380, 8544, -48, 1984
1708122944711, 639391, 8272, -48, 1904
1708122944723, 639402, 7728, 64, 2480
1708122944731, 639413, 7392, 80, 3136
1708122944743, 639424, 6768, 48, 3216
1708122944755, 639435, 6208, 208, 3488
1708122944767, 639446, 5616, 336, 3808
1708122944775, 639457, 4928, 512, 4272
1708122944787, 639468, 4320, 896, 4512
1708122944799, 639479, 4128, 1472, 5392
1708122944811, 639490, 2688, 1584, 6384
1708122944819, 639501, 1840, 1440, 7104
1708122944831, 639512, 1136, 1472, 7136
1708122944843, 639523, 192, 1616, 7344
1708122944855, 639534, -352, 1616, 7248
1708122944863, 639545, -928, 2192, 6928
1708122944875, 639556, -992, 2032, 6368
1708122944887, 639567, -1568, 1888, 5568
1708122944899, 639578, -1552, 1840, 4608
1708122944907, 639589, -1728, 1792, 3536
1708122944919, 639600, -1616, 1536, 2144
1708122944931, 639611, -1296, 448, 832
1708122944943, 639622, -992, 0, -688
1708122944951, 639633, -416, -752, -1120
1708122944963, 639644, 304, -1488, -416
1708122944975, 639655, 512, -2160, -560
