Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122975709, 670389, 8320, -704, -784
1708122975721, 670400, 8336, -800, -720
1708122975733, 670411, 8240, -704, -528
1708122975741, 670422, 8272, -544, -192
1708122975753, 670433, 8112, -448, 160
1708122975765, 670444, 8032, -432, 304
1708122975777, 670455, 8096, -560, 160
1708122975785, 670466, 8176, -736, 48
1708122975797, 670477, 8176, -800, -496
1708122975809, 670488, 8176, -816, -720
1708122975821, 670499, 8048, -768, -416
1708122975829, 670510, 8064, -704, -192
1708122975841, 670521, 8032, -512, 16
1708122975853, 670532, 8048, -432, 0
1708122975865, 670543, 8064, -304, -80
1708122975873, 670554, 8096, -336, -432
1708122975885, 670565, 8112, -544, -336
1708122975897, 670576, 8176, -576, -400
1708122975909, 670587, 8176, -592, -304
1708122975917, 670598, 8240, -640, -224
1708122975929, 670609, 8208, -720, -304
1708122975941, 670620, 8272, -704, -464
1708122975953, 670631, 8224, -688, -352
1708122975961, 670642, 8224, -560, -480
1708122975973, 670653, 8224, -400, -320
1708122975985, 670664, 8176, -336, -368
1708122975997, 670675, 8288, -432, -176
1708122976005, 670686, 8160, -432, -256
1708122976017, 670697, 8224, -464, -320
1708122976029, 670708, 8240, -512, -336
1708122976041, 670719, 8240, -608, -528
1708122976049, 670730, 8192, -656, -544
1708122976061, 670741, 8208, -640, -480
1708122976073, 670752, 8176, -544, -352
1708122976085, 670763, 8096, -384, -384
1708122976093, 670774, 8176, -416, -256
1708122976105, 670785, 8080, -496, -368
1708122976117, 670796, 8160, -672, -640
1708122976129, 670807, 8224, -896, -848
1708122976137, 670818, 8336, -1232, -1760
1708122976149, 670829, 8432, -1200, -2128
1708122976161, 670840, 8544, -1296, -2608
1708122976173, 670851, 8496, -1520, -3280
1708122976181, 670862, 8560, -1856, -3408
1708122976193, 670873, 8496, -2624, -3616
1708122976205, 670884, 8528, -2992, -4144
1708122976217, 670895, 8352, -2736, -4400
1708122976225, 670906, 8112, -2320, -4464
1708122976237, 670917, 7920, -1632, -4528
1708122976249, 670928, 7840, -1968, -4864
1708122976261, 670939, 7712, -2480, -5584
1708122976269, 670950, 7792, -2496, -5904
1708122976281, 670961, 7312, -2320, -6176
1708122976293, 670972, 7024, -1952, -6064
1708122976305, 670983, 6832, -1680, -5664
1708122976313, 670994, 6880, -1600, -5200
1708122976325, 671005, 6608, -1360, -5184
1708122976337, 671016, 6400, -1280, -4560
1708122976349, 671027, 6384, -1216, -3936
1708122976357, 671038, 6656, -1344, -3648
1708122976369, 671049, 6528, -1024, -3344
1708122976381, 671060, 6784, -384, -2592
1708122976393, 671071, 6992, -704, -1568
1708122976401, 671082, 7280, -1120, -1456
1708122976413, 671093, 7600, -1024, -1152
1708122976425, 671104, 7920, -928, -768
1708122976437, 671115, 7920, -496, 224
1708122976445, 671126, 7888, -32, 784
1708122976457, 671137, 8000, -144, 1520
1708122976469, 671148, 8208, -1008, 1840
1708122976481, 671159, 8384, -1600, 1840
1708122976489, 671170, 8512, -1760, 1936
1708122976501, 671181, 8416, -1952, 2144
1708122976513, 671192, 8336, -2496, 3248
1708122976525, 671203, 8272, -2688, 4816
1708122976533, 671214, 8048, -2848, 6208
1708122976545, 671225, 8080, -2384, 7328
1708122976557, 671236, 8032, -1664, 7440
1708122976569, 671247, 8016, -1168, 6672
1708122976577, 671258, 8000, -1248, 5968
1708122976589, 671269, 7888, -1216, 5712
1708122976601, 671280, 7904, -704, 5968
1708122976613, 671291, 7744, 96, 6352
1708122976621, 671302, 7728, 688, 6800
1708122976633, 671313, 7456, 736, 6848
1708122976645, 671324, 7440, 416, 6304
1708122976657, 671335, 7616, 304, 6048
1708122976665, 671346, 7328, 688, 5904
1708122976677, 671357, 7088, 1120, 6016
1708122976689, 671368, 7024, 1376, 5664
1708122976701, 671379, 6976, 1840, 5136
1708122976709, 671390, 6896, 2192, 4640
1708122976721, 671401, 6816, 1840, 4208
1708122976733, 671412, 7120, 1344, 3488
1708122976745, 671423, 7152, 1024, 3008
1708122976753, 671434, 7360, 1104, 2768
1708122976765, 671445, 7392, 1040, 2192
1708122976777, 671456, 7376, 272, 1840
1708122976789, 671467, 7168, 48, 1760
1708122976797, 671478, 7088, 16, 1840
1708122976809, 671489, 6160, -192, 2304
1708122976821, 671500, 6064, -64, 2784
1708122976833, 671511, 4880, 64, 3152
1708122976841, 671522, 4352, -160, 3536
1708122976853, 671533, 3840, 256, 3984
1708122976865, 671544, 3296, 288, 3760
1708122976877, 671555, 3056, 80, 4096
1708122976885, 671566, 2752, -288, 4208
1708122976897, 671577, 2704, -1536, 4512
1708122976909, 671588, 2384, -2848, 5120
1708122976921, 671599, 2320, -2272, 5808
1708122976929, 671610, 2096, -1408, 5696
1708122976941, 671621, 1872, 400, 5888
1708122976953, 671632, 1856, 1344, 6064
1708122976965, 671643, 1920, 1792, 5920
1708122976973, 671654, 1984, 1440, 5312
1708122976985, 671665, 2816, 624, 4464
1708122976997, 671676, 3136, -608, 4240
1708122977009, 671687, 4800, -1536, 4448
1708122977017, 671698, 6432, -3200, 4608
1708122977029, 671709, 7808, -4464, 4640
1708122977041, 671720, 8992, -5232, 3776
1708122977053, 671731, 10160, -6240, 2784
1708122977061, 671742, 11024, -6144, 1280
1708122977073, 671753, 11280, -4416, -1184
1708122977085, 671764, 13008, -3264, -4240
1708122977097, 671775, 13328, -1536, -8256
1708122977105, 671786, 15168, -1136, -10432
1708122977117, 671797, 16112, -1872, -10544
1708122977129, 671808, 16240, -3248, -8752
1708122977141, 671819, 16336, -5488, -5664
