Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708123049433, 744111, 7216, -3680, 880
1708123049445, 744122, 7248, -3680, 976
1708123049457, 744133, 7168, -3744, 1040
1708123049465, 744144, 7216, -3584, 1024
1708123049477, 744155, 7232, -3584, 736
1708123049489, 744166, 7232, -3712, 832
1708123049501, 744177, 7312, -3632, 784
1708123049509, 744188, 7360, -3824, 832
1708123049521, 744199, 7344, -3840, 944
1708123049533, 744210, 7344, -3808, 976
1708123049545, 744221, 7424, -3760, 880
1708123049553, 744232, 7344, -3664, 864
1708123049565, 744243, 7344, -3648, 800
1708123049577, 744254, 7312, -3584, 720
1708123049589, 744265, 7328, -3520, 720
1708123049597, 744276, 7312, -3584, 752
1708123049609, 744287, 7168, -3664, 864
1708123049621, 744298, 7328, -3824, 928
1708123049633, 744309, 7248, -3744, 1248
1708123049641, 744320, 7264, -3760, 1248
1708123049653, 744331, 7312, -3824, 1040
1708123049665, 744342, 7360, -3824, 1040
1708123049677, 744353, 7344, -3712, 1056
1708123049685, 744364, 7280, -3664, 992
1708123049697, 744375, 7296, -3584, 800
1708123049709, 744386, 7344, -3392, 592
1708123049721, 744397, 7456, -3392, 304
1708123049729, 744408, 7488, -3424, -320
1708123049741, 744419, 7920, -3472, -832
1708123049753, 744430, 8208, -3392, -2304
1708123049765, 744441, 8336, -3120, -3808
1708123049773, 744452, 8736, -3328, -4992
1708123049785, 744463, 8672, -3696, -5952
1708123049797, 744474, 8880, -3968, -5488
1708123049809, 744485, 8288, -3776, -4032
1708123049817, 744496, 7536, -3808, -1552
1708123049829, 744507, 6368, -4640, 3488
1708123049841, 744518, 4352, -5392, 9376
1708123049853, 744529, 2784, -5488, 17552
1708123049861, 744540, 2640, -3952, 26848
1708123049873, 744551, 976, -2080, 30880
1708123049885, 744562, 528, -1568, 28592
1708123049897, 744573, 848, -3696, 23072
1708123049905, 744584, 1776, -8016, 15120
1708123049917, 744595, 2720, -11072, 7952
1708123049929, 744606, 3536, -13584, 128
1708123049941, 744617, 3696, -13792, -7664
1708123049949, 744628, 6096, -11056, -19472
1708123049961, 744639, 6624, -3200, -31872
1708123049973, 744650, 10320, 2560, -32592
1708123049985, 744661, 9328, 6112, -32624
1708123049993, 744672, 6832, 4528, -31152
1708123050005, 744683, 3280, -128, -17264
1708123050017, 744694, 272, -3632, -6688
1708123050029, 744705, -4176, -6752, 10608
1708123050037, 744716, -5200, -8512, 29808
1708123050049, 744727, -6976, -7744, 32464
1708123050061, 744738, -6624, -5104, 32640
1708123050073, 744749, -6256, -3904, 32640
1708123050081, 744760, -4864, -7168, 25168
1708123050093, 744771, -3200, -11168, 11568
1708123050105, 744782, -752, -15792, -4464
1708123050117, 744793, -304, -15808, -19584
1708123050125, 744804, 6688, -10944, -31616
1708123050137, 744815, 7776, 544, -32608
1708123050149, 744826, 10752, 6960, -32624
1708123050161, 744837, 6144, 4992, -31280
1708123050169, 744848, 2096, -928, -16816
1708123050181, 744859, -3088, -7136, 3344
1708123050193, 744870, -5664, -9104, 25856
1708123050205, 744881, -5040, -8048, 32432
1708123050213, 744892, -4432, -5152, 32640
1708123050225, 744903, -1216, -4576, 32640
1708123050237, 744914, -448, -4608, 19376
1708123050249, 744925, 1280, -5520, 688
1708123050257, 744936, 6416, -6288, -25344
1708123050269, 744947, 12336, -5840, -32176
1708123050281, 744958, 15040, -2480, -32624
1708123050293, 744969, 14976, -1600, -32624
1708123050301, 744980, 5248, -4880, -20592
1708123050313, 744991, 3808, -8944, 2208
1708123050325, 745002, -3488, -8624, 22208
1708123050337, 745013, -3776, -4384, 32320
1708123050345, 745024, -3152, -4704, 32624
1708123050357, 745035, -1120, -5728, 32640
1708123050369, 745046, -48, -6272, 23504
1708123050381, 745057, 1104, -6352, 7392
1708123050389, 745068, 1664, -5248, -6560
1708123050401, 745079, 7120, -4608, -22912
1708123050413, 745090, 11760, -3120, -32288
1708123050425, 745101, 12288, -1232, -32608
1708123050433, 745112, 8576, -368, -29824
1708123050445, 745123, 4576, -2432, -17360
1708123050457, 745134, 256, -4480, 816
1708123050469, 745145, -1376, -5584, 18816
1708123050477, 745156, -6208, -4192, 31616
1708123050489, 745167, -6496, -2864, 32608
1708123050501, 745178, -6352, -2672, 32640
1708123050513, 745189, -4288, -6320, 30240
1708123050521, 745200, -2912, -9360, 16496
1708123050533, 745211, -224, -11376, -2048
1708123050545, 745222, 3328, -12144, -17584
1708123050557, 745233, 8672, -10224, -31936
1708123050565, 745244, 10112, -3088, -32592
1708123050577, 745255, 12496, 1680, -32624
1708123050589, 745266, 8688, 928, -32480
1708123050601, 745277, 4832, -3296, -21632
1708123050609, 745288, 1072, -7792, -5600
1708123050621, 745299, -2944, -9440, 9520
1708123050633, 745310, -4112, -7568, 30288
1708123050645, 745321, -4624, -5040, 32496
1708123050653, 745332, -3440, -3504, 32640
1708123050665, 745343, -3168, -3200, 30528
1708123050677, 745354, 304, -5024, 17824
1708123050689, 745365, 2720, -5632, 464
1708123050697, 745376, 5696, -5632, -12960
1708123050709, 745387, 10240, -5392, -29392
1708123050721, 745398, 12816, -2928, -32432
1708123050733, 745409, 11888, -1248, -32240
1708123050741, 745420, 11168, -2544, -20992
1708123050753, 745431, 2112, -4192, -7520
1708123050765, 745442, 752, -5008, 15312
1708123050777, 745453, -4048, -3248, 31136
1708123050785, 745464, -3088, -4080, 32608
1708123050797, 745475, -1520, -3760, 32640
1708123050809, 745486, -160, -5360, 21216
1708123050821, 745497, 1904, -6992, 7136
1708123050829, 745508, 4320, -6992, -8192
1708123050841, 745519, 5152, -6496, -28784
1708123050853, 745530, 13520, -4704, -32384
1708123050865, 745541, 13488, -1008, -32624
1708123050873, 745552, 9696, -1440, -31184
1708123050885, 745563, 3440, -5584, -15072
1708123050897, 745574, -2464, -8064, 304
1708123050909, 745585, -6768, -7104, 28384
1708123050917, 745596, -5632, -4400, 32384
1708123050929, 745607, -6768, -3552, 32624
1708123050941, 745618, -6656, -3536, 32640
1708123050953, 745629, -3744, -5952, 23280
1708123050961, 745640, -1232, -7536, 3952
1708123050973, 745651, 1808, -8176, -9328
1708123050985, 745662, 7520, -8672, -26864
1708123050997, 745673, 11568, -5936, -32272
1708123051005, 745684, 12832, -2000, -32624
1708123051017, 745695, 12560, 208, -32624
1708123051029, 745706, 7792, -1568, -25968
1708123051041, 745717, 3760, -6208, -12112
1708123051049, 745728, 384, -8352, -352
1708123051061, 745739, -4544, -7968, 23696
1708123051073, 745750, -5280, -4944, 32032
1708123051085, 745761, -5008, -3184, 32624
1708123051093, 745772, -4816, -2192, 32640
1708123051105, 745783, -2288, -3936, 24064
1708123051117, 745794, -1984, -6608, 5072
1708123051129, 745805, 3152, -6560, -10096
1708123051137, 745816, 8368, -5840, -28800
1708123051149, 745827, 11904, -4800, -32400
1708123051161, 745838, 11888, -1888, -32624
1708123051173, 745849, 8880, -1712, -26096
1708123051181, 745860, 5664, -3328, -11184
1708123051193, 745871, 4928, -4320, 2512
1708123051205, 745882, 528, -5200, 15280
1708123051217, 745893, 496, -5792, 27264
1708123051225, 745904, 912, -6432, 29040
1708123051237, 745915, 2304, -5104, 22480
1708123051249, 745926, 3472, -4672, 14304
1708123051261, 745937, 4528, -4576, 5184
1708123051269, 745948, 4800, -4288, -1680
1708123051281, 745959, 7664, -3920, -6976
1708123051293, 745970, 7792, -3664, -11616
1708123051305, 745981, 9392, -3808, -13824
1708123051313, 745992, 9536, -4128, -14016
1708123051325, 746003, 8896, -4336, -10992
1708123051337, 746014, 7920, -4096, -5584
