Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708122776383, 471069, 4544, -1888, 5296
1708122776395, 471080, 4560, -1712, 5024
1708122776407, 471091, 4432, -1776, 4624
1708122776415, 471102, 4352, -1840, 4384
1708122776427, 471113, 4320, -1952, 4192
1708122776439, 471124, 4368, -2288, 4320
1708122776451, 471135, 4416, -2560, 4320
1708122776459, 471146, 4672, -2624, 3936
1708122776471, 471157, 4688, -2480, 3648
1708122776483, 471168, 4704, -2432, 3328
1708122776495, 471179, 4720, -2304, 3424
1708122776503, 471190, 4656, -2160, 3696
1708122776515, 471201, 4576, -1760, 3952
1708122776527, 471212, 4656, -1280, 4224
1708122776539, 471223, 4480, -992, 4272
1708122776547, 471234, 4544, -864, 4288
1708122776559, 471245, 4752, -1072, 4128
1708122776571, 471256, 5040, -1488, 3728
1708122776583, 471267, 5360, -1680, 3632
1708122776591, 471278, 5504, -1920, 3936
1708122776603, 471289, 5440, -1744, 4112
1708122776615, 471300, 5408, -1472, 4352
1708122776627, 471311, 5408, -1232, 4864
1708122776635, 471322, 5392, -1232, 5008
1708122776647, 471333, 5504, -1472, 4896
1708122776659, 471344, 5648, -1584, 4912
1708122776671, 471355, 5680, -1680, 4896
1708122776679, 471366, 5744, -1616, 4464
1708122776691, 471377, 5680, -1408, 3888
1708122776703, 471388, 5728, -1264, 3920
1708122776715, 471399, 5456, -1184, 3936
1708122776723, 471410, 5264, -832, 3632
1708122776735, 471421, 5136, -800, 3040
1708122776747, 471432, 4944, -896, 2384
1708122776759, 471443, 4544, -816, 1968
1708122776767, 471454, 4208, -896, 1488
1708122776779, 471465, 4240, -1040, 704
1708122776791, 471476, 3168, -1712, 288
1708122776803, 471487, 3040, -2480, -80
1708122776811, 471498, 1920, -3184, 128
1708122776823, 471509, 1088, -4256, 416
1708122776835, 471520, 528, -4656, 560
1708122776847, 471531, -96, -5072, 592
1708122776855, 471542, -592, -5392, 1040
1708122776867, 471553, -1376, -5536, 800
1708122776879, 471564, -1472, -5472, 656
1708122776891, 471575, -2752, -5552, 736
1708122776903, 471586, -2832, -5104, 1184
1708122776911, 471597, -3952, -4912, 1776
1708122776923, 471608, -4240, -5664, 2848
1708122776935, 471619, -4608, -5920, 4160
1708122776943, 471630, -4592, -6832, 5280
1708122776955, 471641, -4480, -7584, 5616
1708122776967, 471652, -4448, -8208, 6576
1708122776979, 471663, -4480, -8624, 7200
1708122776987, 471674, -4096, -8848, 7328
1708122776999, 471685, -3936, -8688, 6880
1708122777011, 471696, -4016, -8992, 5968
1708122777023, 471707, -4480, -9136, 5680
1708122777031, 471718, -5440, -8816, 6496
1708122777043, 471729, -6208, -8480, 8736
1708122777055, 471740, -6320, -8368, 9584
1708122777067, 471751, -7088, -8544, 9760
1708122777075, 471762, -7040, -8480, 10736
1708122777087, 471773, -7568, -7840, 12336
1708122777099, 471784, -7808, -5712, 15312
1708122777111, 471795, -7744, -4240, 16208
1708122777119, 471806, -6992, -3424, 14592
1708122777131, 471817, -5840, -4288, 11568
1708122777143, 471828, -5024, -5792, 8816
1708122777155, 471839, -4864, -7344, 7824
1708122777163, 471850, -3808, -7984, 8160
1708122777175, 471861, -4096, -7728, 8176
1708122777187, 471872, -4448, -6560, 8448
1708122777199, 471883, -5312, -4352, 9696
1708122777207, 471894, -6144, -2112, 11376
1708122777219, 471905, -6400, -192, 12208
1708122777231, 471916, -6400, -16, 11088
1708122777243, 471927, -5120, -1056, 9216
1708122777251, 471938, -4992, -2864, 6432
1708122777263, 471949, -3376, -4064, 4768
1708122777275, 471960, -3056, -4208, 3872
1708122777287, 471971, -3216, -3600, 3824
1708122777295, 471982, -3536, -2688, 4640
1708122777307, 471993, -3920, -2016, 5216
1708122777319, 472004, -4176, -1440, 6704
1708122777331, 472015, -4352, -192, 7856
1708122777339, 472026, -4624, 384, 8640
1708122777351, 472037, -4384, 736, 8768
1708122777363, 472048, -4080, 672, 8432
1708122777375, 472059, -3552, 144, 8272
1708122777383, 472070, -3152, -464, 8624
1708122777395, 472081, -2848, -1392, 9632
1708122777407, 472092, -2768, -1856, 9984
1708122777419, 472103, -2384, -1984, 10080
1708122777427, 472114, -2400, -1584, 11120
1708122777439, 472125, -3408, -864, 12064
1708122777451, 472136, -4240, -128, 12496
1708122777463, 472147, -4816, 528, 11968
1708122777471, 472158, -5168, 672, 11264
1708122777483, 472169, -5264, 64, 11024
1708122777495, 472180, -5152, -928, 11376
1708122777507, 472191, -5232, -2592, 12720
1708122777515, 472202, -5392, -3728, 14352
1708122777527, 472213, -6384, -4608, 15120
1708122777539, 472224, -7280, -4640, 15088
1708122777551, 472235, -8736, -5200, 13504
1708122777559, 472246, -9840, -5648, 12432
1708122777571, 472257, -11056, -6672, 11552
1708122777583, 472268, -13024, -7920, 11920
1708122777595, 472279, -14608, -9136, 14128
1708122777603, 472290, -15072, -10672, 15952
1708122777615, 472301, -18240, -10864, 15856
1708122777627, 472312, -20144, -10592, 13040
1708122777639, 472323, -21232, -10864, 9360
1708122777647, 472334, -22144, -11264, 4960
1708122777659, 472345, -22064, -12016, 4032
1708122777671, 472356, -22336, -12624, 2336
1708122777683, 472367, -22528, -12304, -1952
1708122777691, 472378, -19488, -12336, -5504
1708122777703, 472389, -18736, -11376, -7264
1708122777715, 472400, -14352, -10096, -5840
1708122777727, 472411, -12960, -7568, -1616
1708122777735, 472422, -12528, -6288, 2416
1708122777747, 472433, -12240, -5008, 7760
1708122777759, 472444, -11536, -5792, 10288
1708122777771, 472455, -10384, -7008, 10176
1708122777779, 472466, -9984, -8560, 7920
1708122777791, 472477, -5776, -9072, 5328
1708122777803, 472488, -3152, -8448, 3200
1708122777815, 472499, -1648, -7600, 1856
1708122777823, 472510, -448, -5840, 1824
1708122777835, 472521, 128, -4432, 1616
1708122777847, 472532, 608, -3696, 816
1708122777859, 472543, 640, -3232, 1328
1708122777867, 472554, 2032, -2528, 2592
1708122777879, 472565, 2160, -2416, 3504
1708122777891, 472576, 3568, -2576, 3536
1708122777903, 472587, 4320, -2560, 3344
1708122777911, 472598, 4560, -2432, 3536
1708122777923, 472609, 4752, -2272, 3920
1708122777935, 472620, 4528, -2080, 3808
1708122777947, 472631, 4432, -1680, 3600
1708122777955, 472642, 4352, -1056, 3120
1708122777967, 472653, 4240, -496, 3088
1708122777979, 472664, 4016, 128, 3232
1708122777991, 472675, 3760, 736, 3648
1708122777999, 472686, 3504, 1472, 3648
1708122778011, 472697, 3360, 1968, 3728
1708122778023, 472708, 3408, 1824, 3792
1708122778035, 472719, 3360, 1424, 3504
1708122778043, 472730, 3600, 1136, 3600
1708122778055, 472741, 3664, 736, 3728
1708122778067, 472752, 3504, 512, 3872
1708122778079, 472763, 3456, 272, 3984
1708122778087, 472774, 3440, 160, 4224
1708122778099, 472785, 3456, 288, 4224
1708122778111, 472796, 3376, 368, 4896
1708122778123, 472807, 3216, 480, 5632
1708122778131, 472818, 3168, 416, 5376
1708122778143, 472829, 3232, 224, 5152
1708122778155, 472840, 3504, -176, 4592
1708122778167, 472851, 3680, -240, 4128
1708122778175, 472862, 3600, -48, 3968
1708122778187, 472873, 3472, 240, 3792
1708122778199, 472884, 3392, 736, 4128
1708122778211, 472895, 3360, 832, 5024
1708122778219, 472906, 3296, 656, 5536
1708122778231, 472917, 3280, 144, 5680
1708122778243, 472928, 3616, -128, 5440
1708122778255, 472939, 3728, -544, 4992
1708122778263, 472950, 3760, -800, 4656
1708122778275, 472961, 3744, -1376, 4448
1708122778287, 472972, 3456, -1712, 4448
1708122778299, 472983, 3312, -1856, 5200
1708122778307, 472994, 3392, -1888, 5872
1708122778319, 473005, 2976, -1888, 5904
1708122778331, 473016, 2864, -2096, 5728
1708122778343, 473027, 2608, -2160, 5232
1708122778351, 473038, 2352, -2112, 4608
1708122778363, 473049, 2096, -2400, 4272
1708122778375, 473060, 1744, -2768, 4096
1708122778387, 473071, 1168, -2848, 4320
1708122778395, 473082, 1008, -2624, 4992
1708122778407, 473093, 1008, -2464, 5760
1708122778419, 473104, 688, -2384, 6208
1708122778431, 473115, 416, -2336, 6288
1708122778439, 473126, 256, -2080, 6464
1708122778451, 473137, 64, -1792, 6752
1708122778463, 473148, -48, -1488, 7104
1708122778475, 473159, -16, -1712, 6880
1708122778483, 473170, 0, -2272, 6688
1708122778495, 473181, 320, -2480, 6624
1708122778507, 473192, 208, -2848, 7248
1708122778519, 473203, 304, -2832, 8720
1708122778527, 473214, 160, -2480, 10032
1708122778539, 473225, 96, -2288, 9920
1708122778551, 473236, 256, -2560, 9104
1708122778563, 473247, 800, -3584, 8192
1708122778571, 473258, 1504, -4832, 7040
1708122778583, 473269, 1584, -6272, 5312
1708122778595, 473280, 1616, -6752, 4720
1708122778607, 473291, 592, -6608, 6080
1708122778615, 473302, -304, -6048, 7904
1708122778627, 473313, -1664, -4976, 11152
1708122778639, 473324, -2160, -4160, 13296
1708122778651, 473335, -2464, -3680, 14672
1708122778659, 473346, -2416, -3888, 14064
1708122778671, 473357, -1760, -4192, 11952
1708122778683, 473368, -1648, -4816, 8576
1708122778695, 473379, -624, -5392, 6928
1708122778703, 473390, -880, -5712, 7488
1708122778715, 473401, -1376, -5312, 9376
1708122778727, 473412, -2048, -4624, 11376
1708122778739, 473423, -2192, -4176, 12000
1708122778747, 473434, -2352, -3888, 10864
1708122778759, 473445, -2288, -3376, 9552
1708122778771, 473456, -2528, -3216, 8432
1708122778783, 473467, -2560, -3360, 7632
1708122778791, 473478, -2448, -3632, 7280
1708122778803, 473489, -2336, -3936, 7664
1708122778815, 473500, -2192, -4176, 8912
1708122778827, 473511, -2144, -4704, 10464
1708122778835, 473522, -2288, -4816, 10944
1708122778847, 473533, -2368, -4640, 10416
1708122778859, 473544, -2352, -4416, 8832
1708122778871, 473555, -2496, -4160, 7408
1708122778879, 473566, -2656, -3840, 6208
1708122778891, 473577, -2736, -3776, 5888
1708122778903, 473588, -2576, -3952, 5856
1708122778915, 473599, -2608, -4096, 6224
1708122778923, 473610, -2656, -4176, 6864
1708122778935, 473621, -2688, -4416, 6528
1708122778947, 473632, -2624, -4752, 6176
1708122778959, 473643, -2592, -5136, 5344
1708122778967, 473654, -2608, -5184, 4800
1708122778979, 473665, -2512, -5280, 4512
1708122778991, 473676, -2512, -5536, 4336
1708122779003, 473687, -2528, -5616, 4208
1708122779011, 473698, -2464, -5424, 3824
1708122779023, 473709, -2416, -5184, 3552
1708122779035, 473720, -2464, -4944, 3488
1708122779047, 473731, -2544, -4720, 3664
1708122779055, 473742, -2640, -4368, 4272
1708122779067, 473753, -2672, -4336, 4864
1708122779079, 473764, -2672, -4336, 5536
